table_name,schema_name,column_name,data_type,null?,default,kind,expression,comment,database_name,autoincrement
POSTINGS,US,ID,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Posting ID,EMSI,
POSTINGS,US,CITY,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,City code of the posting,EMSI,
POSTINGS,US,CITY_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,City name of the posting,EMSI,
POSTINGS,US,COMPANY,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Company ID of the posting,EMSI,
POSTINGS,US,COMPANY_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Company name of the posting,EMSI,
POSTINGS,US,COMPANY_RAW,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Raw company name of the posting,EMSI,
POSTINGS,US,COMPANY_IS_STAFFING,"{""type"":""BOOLEAN"",""nullable"":true}",true,,COLUMN,,Boolean value indicating whether the posting company is a staffing company,EMSI,
POSTINGS,US,COUNTY,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,County code of the posting,EMSI,
POSTINGS,US,COUNTY_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,County name of the posting,EMSI,
POSTINGS,US,DUPLICATES,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,Number of duplicated postings,EMSI,
POSTINGS,US,EDUCATION_LEVELS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,IDs of education levels requested in the posting,EMSI,
POSTINGS,US,EDUCATION_LEVELS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,Names of education levels requested in the posting,EMSI,
