,0,1,2,3,4
Administration,13-1000,43-6000,11-9000,99-9000,43-4000
"Agriculture, Horticulture, and Landscaping",37-3000,49-9000,99-9000,11-9000,37-2000
Analysis,15-1200,15-2000,13-1000,13-2000,11-9000
Architecture and Construction,53-7000,49-9000,11-9000,47-2000,13-1000
Business,15-1200,13-1000,11-9000,11-2000,11-3000
Customer and Client Support,43-4000,41-2000,41-4000,41-1000,11-9000
Design,15-1200,27-1000,13-1000,11-2000,99-9000
"Economics, Policy, and Social Studies",11-9000,13-1000,15-1200,99-9000,11-2000
Education and Training,25-2000,11-9000,15-1200,29-1000,25-1000
Energy and Utilities,17-2000,49-9000,17-3000,11-9000,15-1200
Engineering,17-2000,15-1200,17-3000,49-9000,11-9000
Environment,17-2000,11-9000,15-1200,53-3000,13-1000
Finance,13-2000,11-3000,43-3000,11-9000,13-1000
Health Care,29-1000,29-2000,31-1100,11-9000,31-9000
Hospitality and Food Services,35-3000,11-9000,35-2000,35-1000,35-9000
Human Resources,13-1000,11-3000,11-9000,15-1200,99-9000
Information Technology,15-1200,13-1000,99-9000,11-9000,15-2000
"Law, Regulation, and Compliance",11-9000,15-1200,13-1000,11-3000,13-2000
"Maintenance, Repair, and Facility Services",49-9000,49-3000,37-2000,17-3000,53-7000
Manufacturing and Production,51-9000,15-1200,17-2000,49-9000,51-4000
Marketing and Public Relations,11-2000,13-1000,41-4000,11-9000,15-1200
Media and Communications,15-1200,13-1000,11-9000,99-9000,11-2000
"Performing Arts, Sports, and Recreation",39-9000,27-2000,25-3000,11-9000,25-2000
Personal Care and Services,39-5000,41-2000,39-2000,11-9000,41-1000
Physical and Inherent Abilities,15-1200,11-9000,13-1000,99-9000,11-2000
Property and Real Estate,11-9000,41-9000,13-2000,99-9000,11-3000
Public Safety and National Security,33-9000,15-1200,11-9000,11-3000,13-1000
Sales,41-4000,41-2000,11-2000,41-1000,13-1000
Science and Research,11-9000,29-2000,15-1200,15-2000,13-1000
Social and Human Services,21-1000,11-9000,29-1000,99-9000,13-1000
"Transportation, Supply Chain, and Logistics",53-7000,53-3000,13-1000,11-3000,43-5000
