,0,1,2,3,4
Account Management,"Sales Representatives, Wholesale and Manufacturing","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Computer Occupations,Other Management Occupations
Accounting and Finance Software,Financial Clerks,Financial Specialists,Operations Specialties Managers,Secretaries and Administrative Assistants,Computer Occupations
Accounts Payable and Receivable,Financial Clerks,Financial Specialists,Operations Specialties Managers,Other Management Occupations,Unclassified Occupation
Administrative Support and Clerical Tasks,Secretaries and Administrative Assistants,Information and Record Clerks,Other Office and Administrative Support Workers,Unclassified Occupation,Health Technologists and Technicians
Advertising,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Sales Representatives, Wholesale and Manufacturing",Media and Communication Workers,Unclassified Occupation
Aerospace Engineering,Engineers,Computer Occupations,Other Management Occupations,Other Production Occupations,Unclassified Occupation
Agile Software Development,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Other Management Occupations,Unclassified Occupation
Agricultural Management and Operations,Computer Occupations,Other Management Occupations,Unclassified Occupation,"Sales Representatives, Wholesale and Manufacturing",Engineers
Agricultural Research and Agronomy,Unclassified Occupation,Other Management Occupations,Computer Occupations,"Sales Representatives, Wholesale and Manufacturing",Mathematical Science Occupations
Agriculture and Crop Farming,Grounds Maintenance Workers,Unclassified Occupation,Other Management Occupations,Computer Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Air Quality and Emissions,Engineers,Business Operations Specialists,Other Management Occupations,Physical Scientists,Occupational Health and Safety Specialists and Technicians
Air Transportation,Air Transportation Workers,Computer Occupations,Other Management Occupations,Engineers,Information and Record Clerks
Alternative Therapy,Healthcare Diagnosing or Treating Practitioners,Other Healthcare Support Occupations,Health Technologists and Technicians,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists"
Anesthesiology,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Healthcare Support Occupations,Other Management Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
Animal Care,Animal Care and Service Workers,Retail Sales Workers,Health Technologists and Technicians,Unclassified Occupation,Information and Record Clerks
Animal Health and Veterinary Medicine,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Animal Care and Service Workers,Other Healthcare Support Occupations,Retail Sales Workers
Animation and Game Design,Art and Design Workers,Computer Occupations,Unclassified Occupation,Postsecondary Teachers,Media and Communication Equipment Workers
Appliance Repair and Maintenance,"Other Installation, Maintenance, and Repair Occupations",Other Food Preparation and Serving Related Workers,Building Cleaning and Pest Control Workers,Material Moving Workers,Construction Trades Workers
Application Programming Interface (API),Computer Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Aquaculture,Life Scientists,Other Management Occupations,Unclassified Occupation,"Life, Physical, and Social Science Technicians","Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Architectural Design,Computer Occupations,Engineers,"Architects, Surveyors, and Cartographers",Other Management Occupations,"Drafters, Engineering Technicians, and Mapping Technicians"
Art and Illustration,Art and Design Workers,Computer Occupations,Postsecondary Teachers,Unclassified Occupation,Other Management Occupations
Artificial Intelligence and Machine Learning (AI/ML),Computer Occupations,Mathematical Science Occupations,Unclassified Occupation,Financial Specialists,Other Management Occupations
Audio Production and Technology,Media and Communication Equipment Workers,Computer Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Unclassified Occupation,Other Educational Instruction and Library Occupations
Auditing,Financial Specialists,Operations Specialties Managers,Computer Occupations,Other Management Occupations,Business Operations Specialists
Augmented and Virtual Reality (AR/VR),Computer Occupations,Art and Design Workers,Unclassified Occupation,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Automation Engineering,Engineers,Computer Occupations,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians",Other Management Occupations
Automotive Technologies,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Motor Vehicle Operators,"Drafters, Engineering Technicians, and Mapping Technicians",Engineers,Computer Occupations
Backup Software,Computer Occupations,Supervisors of Sales Workers,Other Office and Administrative Support Workers,Unclassified Occupation,Other Management Occupations
Banking Services,"Sales Representatives, Services",Financial Clerks,Financial Specialists,Unclassified Occupation,Supervisors of Sales Workers
Basic Electrical Systems,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians",Construction Trades Workers,Engineers,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
Basic Technical Knowledge,Information and Record Clerks,Other Management Occupations,Unclassified Occupation,Secretaries and Administrative Assistants,Health Technologists and Technicians
Beauty and Body Treatments and Alterations,Personal Appearance Workers,Retail Sales Workers,Supervisors of Sales Workers,Other Management Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
Billing and Invoicing,Financial Clerks,Information and Record Clerks,Other Management Occupations,Business Operations Specialists,Financial Specialists
Bioinformatics,Mathematical Science Occupations,Life Scientists,Other Management Occupations,Computer Occupations,Unclassified Occupation
Biology,Health Technologists and Technicians,Other Management Occupations,Life Scientists,Mathematical Science Occupations,Postsecondary Teachers
Biotechnology,Other Management Occupations,Mathematical Science Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Sales Representatives, Wholesale and Manufacturing",Computer Occupations
Blockchain,Computer Occupations,Business Operations Specialists,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Operations Specialties Managers
Blood Collection,Other Healthcare Support Occupations,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Management Occupations
Brand Management,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Other Management Occupations,"Sales Representatives, Wholesale and Manufacturing",Unclassified Occupation
Budget Management,Other Management Occupations,Operations Specialties Managers,Financial Specialists,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Business Analysis,Computer Occupations,Business Operations Specialists,Other Management Occupations,Operations Specialties Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Business Communications,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Other Management Occupations,Unclassified Occupation
Business Consulting,Computer Occupations,Business Operations Specialists,Other Management Occupations,Operations Specialties Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Business Continuity,Computer Occupations,Business Operations Specialists,Other Management Occupations,Operations Specialties Managers,Unclassified Occupation
Business Intelligence,Computer Occupations,Mathematical Science Occupations,Financial Specialists,Business Operations Specialists,Operations Specialties Managers
Business Intelligence Software,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Financial Specialists,Unclassified Occupation
Business Leadership,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Other Management Occupations,Operations Specialties Managers
Business Management,Computer Occupations,Other Management Occupations,Business Operations Specialists,Operations Specialties Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Business Operations,Computer Occupations,Other Management Occupations,Business Operations Specialists,Operations Specialties Managers,Unclassified Occupation
Business Solutions,Computer Occupations,Business Operations Specialists,Operations Specialties Managers,Financial Specialists,Other Management Occupations
Business Strategy,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Computer Occupations,Other Management Occupations,"Sales Representatives, Wholesale and Manufacturing"
Business-to-Business (B2B) Sales,"Sales Representatives, Wholesale and Manufacturing","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Computer Occupations,Retail Sales Workers
C and C++,Computer Occupations,Engineers,Unclassified Occupation,Mathematical Science Occupations,Other Management Occupations
Cannabis,Unclassified Occupation,Other Management Occupations,Business Operations Specialists,Operations Specialties Managers,"Sales Representatives, Wholesale and Manufacturing"
Cardiology,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,Other Healthcare Support Occupations,"Sales Representatives, Wholesale and Manufacturing"
Carpentry,"Other Installation, Maintenance, and Repair Occupations",Construction Trades Workers,Retail Sales Workers,Building Cleaning and Pest Control Workers,Unclassified Occupation
Cash Management,Financial Specialists,Operations Specialties Managers,Supervisors of Sales Workers,Other Management Occupations,Retail Sales Workers
Cash Register Operation,Retail Sales Workers,Information and Record Clerks,Food and Beverage Serving Workers,Supervisors of Sales Workers,Unclassified Occupation
Chemical and Biomedical Engineering,Engineers,Other Management Occupations,Computer Occupations,Unclassified Occupation,Physical Scientists
Chemistry,Physical Scientists,Health Technologists and Technicians,Other Management Occupations,"Life, Physical, and Social Science Technicians",Life Scientists
Child Care,Other Personal Care and Service Workers,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Healthcare Diagnosing or Treating Practitioners,Other Educational Instruction and Library Occupations,Health Technologists and Technicians
Childhood Education and Development,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Counselors, Social Workers, and Other Community and Social Service Specialists",Healthcare Diagnosing or Treating Practitioners,Other Educational Instruction and Library Occupations,Other Management Occupations
Circuitry,Engineers,"Drafters, Engineering Technicians, and Mapping Technicians","Other Installation, Maintenance, and Repair Occupations",Computer Occupations,Assemblers and Fabricators
Civil and Architectural Engineering,Engineers,Other Management Occupations,Unclassified Occupation,Business Operations Specialists,Computer Occupations
Clean Energy,Engineers,Other Management Occupations,Computer Occupations,Other Production Occupations,Unclassified Occupation
Cleaning and Janitorial Services,Building Cleaning and Pest Control Workers,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Material Moving Workers,Retail Sales Workers,Other Production Occupations
Client Support,Computer Occupations,"Sales Representatives, Wholesale and Manufacturing",Information and Record Clerks,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists
Climate Change,Unclassified Occupation,Other Management Occupations,Supervisors of Food Preparation and Serving Workers,Business Operations Specialists,Engineers
Clinical Informatics,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,Secretaries and Administrative Assistants,Computer Occupations
Clinical Trials,Other Management Occupations,Mathematical Science Occupations,Healthcare Diagnosing or Treating Practitioners,Life Scientists,Health Technologists and Technicians
Cloud Computing,Computer Occupations,Other Management Occupations,Business Operations Specialists,Engineers,Unclassified Occupation
Cloud Solutions,Computer Occupations,"Sales Representatives, Wholesale and Manufacturing","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Other Management Occupations
Coaching and Athletic Training,Other Personal Care and Service Workers,"Entertainers and Performers, Sports and Related Workers",Other Management Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Other Healthcare Practitioners and Technical Occupations
Collaborative Software,Computer Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Commercial Lending,Financial Specialists,"Sales Representatives, Services",Information and Record Clerks,Unclassified Occupation,Operations Specialties Managers
Communication,Computer Occupations,Business Operations Specialists,Other Management Occupations,"Sales Representatives, Wholesale and Manufacturing",Unclassified Occupation
Community and Social Work,"Counselors, Social Workers, and Other Community and Social Service Specialists",Other Management Occupations,Healthcare Diagnosing or Treating Practitioners,Unclassified Occupation,Health Technologists and Technicians
"Company, Product, and Service Knowledge",Retail Sales Workers,"Sales Representatives, Wholesale and Manufacturing",Supervisors of Sales Workers,Computer Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Compensation and Benefits,Business Operations Specialists,Operations Specialties Managers,Other Management Occupations,Unclassified Occupation,Computer Occupations
Computer Hardware,Computer Occupations,Engineers,Unclassified Occupation,"Other Installation, Maintenance, and Repair Occupations",Information and Record Clerks
Computer Science,Computer Occupations,Business Operations Specialists,Unclassified Occupation,Mathematical Science Occupations,Other Management Occupations
Computer-Aided Manufacturing,Other Production Occupations,Metal Workers and Plastic Workers,Engineers,"Drafters, Engineering Technicians, and Mapping Technicians",Computer Occupations
Concrete and Masonry,Construction Trades Workers,"Other Installation, Maintenance, and Repair Occupations",Engineers,Other Management Occupations,Unclassified Occupation
Configuration Management,Computer Occupations,Engineers,Business Operations Specialists,Unclassified Occupation,Other Management Occupations
Conservation,Engineers,Other Management Occupations,Physical Scientists,Life Scientists,Unclassified Occupation
Construction Estimating,Business Operations Specialists,Other Management Occupations,Engineers,Computer Occupations,Unclassified Occupation
Construction Inspection,Other Management Occupations,Engineers,Computer Occupations,"Other Installation, Maintenance, and Repair Occupations",Business Operations Specialists
Construction Management,Other Management Occupations,Business Operations Specialists,Engineers,Construction Trades Workers,Material Moving Workers
Construction Painting,"Other Installation, Maintenance, and Repair Occupations",Construction Trades Workers,Retail Sales Workers,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Material Moving Workers
Content Development and Management,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Media and Communication Workers,Computer Occupations,Unclassified Occupation
Content Management Systems,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Media and Communication Workers,Unclassified Occupation
Contract Management,Business Operations Specialists,Other Management Occupations,Computer Occupations,Operations Specialties Managers,Financial Specialists
Cost Accounting,Operations Specialties Managers,Financial Specialists,Other Management Occupations,Business Operations Specialists,Computer Occupations
