,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Raiser's Edge NXT,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Risk Mitigation,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,7.316598893389895e-06,0.0001944062265482635,5.435783413852008e-05,1.3405690172553898e-05,0.000124174611299269,0.00034629719464068976,1.8139029564194044e-06,0.007678095639240497,0.00011886727021999388,7.4689153647017575e-06,0.0053581242365313584,2.921305833963424e-07,0.0031894514901021865,6.6680277935427e-07,0.0023412579285940595,7.5427810006558505e-06,9.391685847483285e-05,7.038697491582014e-05,1.4932342468735415e-05,6.130400955752999e-20,9.629452089896281e-06,4.663525094114639e-05,3.5100241778560007e-07,8.279421259228299e-06,0.00041376193929997066,0.0010259942430561049,0.00011388079077612149,5.109448987611371e-06,1.8398878169101997e-05,5.666500225419379e-06,1.5573745949213026e-08,7.617380188237316e-05,4.255067644605129e-05,3.281546203922057e-05
2023-02-01,4.199419410952435e-06,0.00019675149157826846,8.212980423000823e-05,2.088095559025481e-05,0.00012568730069585854,0.00029342965123202767,1.0951307124147945e-06,0.0076791553450012585,0.00012048181139217659,8.205387528337476e-06,0.005193161153095274,8.50253511635907e-07,0.003218451775751303,3.627431295882517e-07,0.0025512327174861934,4.716736277650937e-06,7.923563572706998e-05,7.150072432470585e-05,1.799777310054178e-05,1.511953810848926e-19,1.363933663162135e-05,5.05019428198285e-05,1.4046780694429942e-06,1.0065559562298494e-05,0.0004280401944401803,0.0010129054566890645,0.00012213491683811604,4.604190107837574e-06,7.84894125066329e-06,-2.3603693072028792e-06,9.573824262806107e-09,6.697523498802607e-05,4.319254740840668e-05,3.2721958608243566e-05
2023-03-01,1.4859359830450742e-06,0.00020547609380389565,0.00011359825977942374,3.3665176760589764e-05,0.00012551901088044755,0.00024546868108286625,2.0687323554846802e-06,0.007804873388602782,0.0001158354330909987,9.806223575110659e-06,0.004967746662401833,1.507916446332474e-06,0.0032225202352081177,-1.3890286674224226e-06,0.0026189746017349514,-8.022309709107947e-06,6.572061918166719e-05,6.908959481918592e-05,2.365140329777952e-05,-3.4164085358936225e-08,1.6348789890010144e-05,4.912750602897311e-05,2.4065962730305117e-06,1.3826491447656976e-05,0.0004332323965258815,0.0010226918046552815,0.00012929101127497837,3.489795747271992e-06,-5.544661462678656e-05,-4.1334711861866194e-05,-9.527122260430516e-07,5.466588207418753e-05,4.37349409829144e-05,2.5991602261395464e-05
2023-04-01,1.4080981495084358e-06,0.00021418825606060304,0.00014422818077214523,5.054582309304485e-05,0.00012171597717921712,0.0002325625875930065,3.5748559468071952e-06,0.008047705633387844,0.00010065519782339439,1.138398429642384e-05,0.004767329002511364,2.1586661151611037e-06,0.0032426697601780135,-2.7199709762827065e-06,0.0024645235241429466,-3.670498785233702e-05,5.4334512892735944e-05,4.8427232004811605e-05,3.0091977211405264e-05,-2.1598208319207112e-08,1.6561481988707446e-05,4.146097731026783e-05,1.6046123724146684e-06,2.098355754523415e-05,0.0004168025634269083,0.0010300498503967217,0.0001340612984380955,6.351856512843286e-08,-0.00020399162351277707,-0.00012908135963552673,-2.9587796815167594e-06,4.420688801032917e-05,4.390412216249108e-05,1.3209691550472003e-05
2023-05-01,3.777907778744745e-06,0.0002188896233921185,0.00016811780992968172,6.747453761876907e-05,0.00011807616970916209,0.0002742357333091944,4.760255341404215e-06,0.00838004896242928,7.76923288825994e-05,1.2790432117229664e-05,0.0046530617846658505,2.74129732754524e-06,0.00329106072337244,-2.220441396917649e-06,0.002299340709805138,-8.132311262235233e-05,4.327613511921879e-05,1.1785818756271165e-05,3.483137250890095e-05,1.1585960278423617e-07,1.6763973362253698e-05,3.548778733779576e-05,-4.958035345606432e-07,3.1400341649400486e-05,0.0003871862464672459,0.0010140484036416776,0.0001388345155502123,-5.689455225337976e-06,-0.00038580887917096245,-0.00020419097078799907,-5.9009489198912114e-06,3.328551485290898e-05,4.1438954286457085e-05,-1.180082149888819e-06
2023-06-01,5.7982532900219346e-06,0.00021808634101102886,0.0001790827747138477,8.083876016792252e-05,0.00012012808757445615,0.0003637814938805088,5.539370494056132e-06,0.008684164339055897,5.622201528199852e-05,1.3608844122301215e-05,0.004620249369282519,3.226889421733677e-06,0.0033129653288971467,-1.1323764404594947e-06,0.0024212833920830845,-0.00013584135848133098,3.241779202814931e-05,-2.3426876308028097e-05,3.926182231172732e-05,4.1063436800243954e-07,1.8317895234070656e-05,3.460069473945946e-05,-1.4160428789539717e-06,4.12624509543347e-05,0.0003665218490653332,0.0009749044353067182,0.00014276780743678705,-1.0531373167038663e-05,-0.0003007338862602923,5.009205291919162e-05,-9.674759800631912e-06,2.7665412982558917e-05,3.661183958709758e-05,-7.843919748055626e-06
2023-07-01,5.680224979945636e-06,0.0002088452997176431,0.00017206157921116437,8.942565128371062e-05,0.00012817243836021157,0.00047627813356541053,6.075563350482729e-06,0.008880246289928567,4.465189739323068e-05,1.4773070344030594e-05,0.004674992772614741,3.6081291649284334e-06,0.003293500621217698,-1.2456064082548035e-06,0.0028129441317728023,-0.00019395665043674286,2.8704671795425036e-05,-4.7591684288552944e-05,8.545618883245516e-05,6.096559748128846e-07,1.9578169884187e-05,3.6314889228517404e-05,-2.8880942224213175e-07,4.9106120626396215e-05,0.0003672270321974661,0.0009334519463850735,0.00014110201900337916,-1.4142166363383221e-05,0.0007472483524362489,0.0013693292172641473,-1.316010084175667e-05,3.1221491407742655e-05,3.258358353178394e-05,-4.598053910280031e-06
2023-08-01,3.7054157431464174e-06,0.00019047306760033332,0.00014474666000597258,9.462203022770614e-05,0.00013935772410975127,0.0005793502519760316,6.419682009340232e-06,0.00901564929149135,4.4204261880399045e-05,1.582603986390146e-05,0.004821246927190201,3.890995133114329e-06,0.0032766288619338994,-2.7182239343594997e-06,0.0030749647865742323,-0.0002523532469628273,3.354498583023666e-05,-5.938941922172913e-05,0.0002929739340719294,8.464811028209464e-07,1.939882548930373e-05,3.598207899490599e-05,1.878933839544369e-06,5.51063070502892e-05,0.00038779195493398623,0.0009087894020115889,0.00013789710780984696,-1.7567116547855005e-05,0.0035945130569425207,0.004441480140751079,-1.5677382452659703e-05,4.4144767914842123e-05,3.0504723255686716e-05,6.444700030414252e-06
2023-09-01,7.859187379809023e-07,0.00016954558014314598,9.874186015480709e-05,9.956540672164253e-05,0.00014575510710713912,0.000635737175325866,6.614187471587606e-06,0.00915580054813442,4.9212684508814304e-05,1.5431017562169663e-05,0.005014583938724015,4.088621912500025e-06,0.0032688905518080086,-4.818080089612687e-06,0.0028975535376310957,-0.00030175726847842107,3.72428321175192e-05,-6.378842013029194e-05,0.000802137646860849,2.3174933720586205e-06,1.922288819299848e-05,3.636784175667193e-05,2.985517638206328e-06,6.00855419430051e-05,0.0004220440403154526,0.0008776033181834271,0.00013379393315527785,-2.1658339292893282e-05,0.007794760741630371,0.007336644504540227,-1.6485847179839666e-05,6.183011759945399e-05,2.933749713978311e-05,1.7905101742935503e-05
2023-10-01,-2.1563232504877794e-06,0.00015544327413286925,3.970250130745179e-05,0.0001075445612733448,0.0001442150409759894,0.0006120983763695028,6.747488018233377e-06,0.009284668383342864,5.271339511374968e-05,1.5012341517694715e-05,0.005158371047212642,4.2170289227135974e-06,0.0032290787656773824,-6.593293562233407e-06,0.0025453199859586818,-0.0003065707697259294,3.331983993213071e-05,-6.281388958317166e-05,0.0016643761592835026,6.685164584991711e-06,1.972145689367688e-05,4.194618974851804e-05,2.872964402609629e-06,6.938263898951544e-05,0.00045316475535631367,0.000834733445170084,0.00012604327524264037,-2.5962447682749592e-05,0.00835858936101923,-0.0006483131432644942,-1.7548318631392608e-05,7.93508977364649e-05,2.874610159745221e-05,2.287184967769215e-05
