,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Ecology,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Tire Balancing And Rotation,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Instructional Strategies
2023-01-01,0.00018897823589975754,7.341014133999124e-05,0.025973223818383677,8.644203514284574e-05,0.0002111710196502214,-1.944070076850292e-06,4.2759685577517955e-05,0.00011628732208603016,2.943101683359886e-05,3.542008806741395e-05,0.004699449270264486,0.0005475635939877175,2.0837597852633594e-05,1.0964246379868183e-05,0.006714534402216416,0.0012193706345486567,0.003452740231693713,0.0007841260397910235,0.00047743980419917575,6.293528914782377e-05,0.0009214154489554365,0.0020628024259089404,0.0012045972351218508,0.00026196062642600606,0.002598267702277372,6.653406715980163e-05,4.1150399438648984e-05,0.0007750921347356316,0.00016236201953074496,0.001902070374666213,0.00029568061281366487,0.00011854774822481516
2023-02-01,0.00020670338738695832,-0.04246442491421476,0.019588251177093473,7.16916066296394e-05,0.00018992558588293507,-4.750004280382147e-06,3.9236811268692024e-05,0.00017104084849122697,1.9098150204007007e-05,3.565104944860572e-05,0.00474586594757013,0.0006332265227231524,-8.838507828256062e-06,1.3839765296975996e-05,0.006569555060212672,0.0012451718907683363,0.0034390279106680027,0.0007773207294280468,0.0005112407354745084,6.585320992552783e-05,0.0009198123998213411,0.00214471949554221,0.0012246749852819307,0.00028734667759988615,0.0024962208651610794,6.808634823840901e-05,4.228982050324899e-05,0.0006674070115313857,0.00016474427488510516,0.0019374039361360817,0.00035721632096393305,0.00014536079422554918
2023-03-01,0.00021879059772612802,-2.7143549356187577,0.007472498165059044,6.18362454085841e-05,0.0001621408589656886,-3.054355442167941e-06,3.459781146790922e-05,0.00023330520672190557,7.655923205562405e-06,3.112801301800159e-05,0.0048005717528993505,0.0007299447135901335,-9.972047418739595e-05,2.4003020824243016e-05,0.006428282255198311,0.0012776729007965967,0.00342840817996226,0.0007748935401431103,0.0005229006177732488,7.80912438585158e-05,0.000918215021574169,0.002288311430794888,0.001257376410863622,0.00031008645788064984,0.002432553529362021,6.963183416333868e-05,4.191923601002686e-05,0.0005038705585770496,0.00016678159871180652,0.002192643218816123,0.00039336034563657013,0.0001769779908689927
2023-04-01,0.0002275037596636305,20160.455200195312,-0.010243665352672508,6.266535643604806e-05,0.00013162400260818773,5.600549770514759e-06,3.807192383975179e-05,0.00030179354801822153,-2.7316572639477216e-08,3.217076958286326e-05,0.004848260315999047,0.000833648582361414,-0.00027561848353356273,3.546552119829389e-05,0.006327589599722084,0.001311406218920611,0.00347469114325215,0.0007743237961791984,0.0005002818765782772,9.179833799876827e-05,0.0009166232228477933,0.0024707730850682943,0.0013120038603423251,0.0003183453475976447,0.0024308863837167564,7.117580880437887e-05,3.13542148017745e-05,0.0002869724195936938,0.00016850588561382343,0.0024749601238399045,0.0004234125634681326,0.00021178273369852797
2023-05-01,0.00023940671611117202,1346641.4221572876,-0.03629861055649469,7.921141378988258e-05,9.047083747951478e-05,1.5907359843201798e-05,4.715519788510719e-05,0.00033251551483825696,8.083696271192601e-07,3.764446275094904e-05,0.004879239303620375,0.0009392506239642285,-0.0005054412501960755,4.289128874686086e-05,0.0062697899002814896,0.0013577391533602693,0.003581477372778645,0.0007739158576098691,0.00045537411710284964,9.85175075873609e-05,0.0009150369146157678,0.002651668782647583,0.0013841371480237273,0.0003085927731068494,0.002456916688950716,7.272286806693318e-05,9.262879595854683e-06,3.0043483407251654e-05,0.0001699461679086173,0.0026463004096235875,0.00045208285359492963,0.00024416803171084235
2023-06-01,0.00025234946141324026,-9417812831.0,-0.06609698361843225,0.00010471063959953552,3.2845209118728744e-05,2.0394864480124e-05,4.619488112116119e-05,0.0003191093535726099,1.89563059186295e-05,4.2058582725649035e-05,0.004879973255492653,0.0010350344688866654,-0.0007347791064480847,4.531826375684725e-05,0.006234733668701259,0.0014176144976173384,0.0036544286952654983,0.0007727746700083944,0.0004092639619209819,9.550336264928613e-05,0.0009134560101290957,0.002812945001865013,0.001467379939495774,0.0002862886619939201,0.0024471897550012037,7.42770220032205e-05,-2.5752716420915844e-05,-0.00025422307361956334,0.00017112887184025845,0.002827315022075283,0.00046986675366431194,0.000274579752306468
2023-07-01,0.00025866191325960106,-652868681398.0,-0.08002726420972628,0.00011587603373253703,-3.897448134788976e-05,1.7807650778027364e-05,5.596295191046899e-05,0.0003046908950745268,6.483404326672519e-05,4.172326178314418e-05,0.00470641444643692,0.0011049425879800137,-0.0009385060879678531,4.402885212551366e-05,0.006227291443694919,0.001471461823029323,0.0036834544921338355,0.0007706687750254944,0.00036978443731288155,8.6876514778417e-05,0.0009118804248556555,0.0029701713623050954,0.0015535707977922483,0.0002619105305893078,0.0023573269955347136,7.584178204204943e-05,-6.574463547020772e-05,-0.0005563329237487255,0.00017207805086228925,0.0030993020900175108,0.0004883558424455571,0.0003032813740237462
2023-08-01,0.00025277934451344854,4508191867928576.0,-0.052137894300822274,0.00011110433351837593,-0.00011733878705307944,1.3116984265000307e-05,0.00012252649239765664,0.0002888789693492457,0.00013754933438671227,3.491759464287518e-05,0.0043336603998811,0.0011375600026309514,-0.0011186058917398098,4.044071515251939e-05,0.006101928357895991,0.0015165754601631288,0.0037503048265609545,0.0007678222040828891,0.00033416510012895323,8.067040846112751e-05,0.0009103100764212444,0.003148301667801149,0.0016302980074646791,0.00024500392620045177,0.002192977277070317,7.742023551121806e-05,-9.118304367946255e-05,-0.0008675534905319494,0.00017281559804330256,0.0033285690173003825,0.0005287719951701834,0.0003307281306542915
2023-09-01,0.00023594893316109105,3.2876491312306586e+17,0.045798446998983056,9.234253770716997e-05,-0.00019742253007884567,1.3046870303387715e-05,0.00027043920995364456,0.0002799419349359369,0.00021606567966928967,2.2392724590463085e-05,0.0039688116170519365,0.0011341652995024033,-0.001281596994881316,3.6447482372699224e-05,0.0057832540568942955,0.0015851552530659855,0.0038874686971691347,0.0007646888595578597,0.00030323638638973306,8.380121487188849e-05,0.0009087448845521913,0.0033531967979112624,0.0016882784331143988,0.00023949091304045859,0.0019996922312489657,7.901510930908228e-05,-0.00010796652310109478,-0.0011773219625391097,0.00017336143946357658,0.003386581222770209,0.0005918952903810767,0.00035390692857886064
2023-10-01,0.0002145095262809479,-2.183569121407402e+21,0.25280672688833916,6.407876640510441e-05,-0.00028085948138469215,2.225993540290356e-05,0.0004747722974768258,0.0002885915432761138,0.00026482533136031077,9.615495088016892e-07,0.0037670922219088213,0.0011096770819846512,-0.0014635189755835807,3.4489752869350604e-05,0.0054142114463765385,0.001703932972155949,0.004022539051836154,0.0007617560253695459,0.0002824387706355092,9.73062723302701e-05,0.0009071847710195007,0.0035686232198623886,0.00172877850325063,0.00024242454977449425,0.0018184989315196288,8.062882431070066e-05,-0.00013463858212919648,-0.0014729841993480746,0.00017373371030390583,0.003365506005399147,0.0006618492456312615,0.0003668265639641909
