,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Tire Balancing And Rotation,Skill: Risk Mitigation,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,2.54878947493498e-13,1.751622626508659e-05,0.002240586299331851,3.1141914874303257e-06,1.7223344546421685e-05,7.53410340516131e-05,0.000318077497538834,-1.0783507258784765e-07,0.00012626269372063015,0.008416734954694654,9.769814898899608e-06,5.71765519354031e-05,5.9822822936752526e-05,1.7167534527090952e-05,1.0431313573152337e-05,0.0007873720076288447,7.833604035624789e-05,-4.245839688500234e-07,-1.5618640361709082e-07,0.0019566574271859777,5.795372777964287e-05,0.00046843139580632603,0.0009850600109909914,2.683574448201425e-05,0.0002965917537559726,2.6164429460109553e-05,4.802717377623924e-05,0.0008435573810747318,2.5589268831514828e-05,0.0029294037037212017,0.00020969506206705937,3.858179944775961e-05,3.107695150364033e-05,1.102961058420458e-06,0.0003133481185329473,0.00017097120640554274,0.00013155913397143437,-2.83508113905975e-07
2023-02-01,-3.975150539088283e-08,2.2452850657810604e-05,0.0024623592765406046,1.5598973964681047e-08,1.7165446764671945e-05,7.225648291064358e-05,0.0003240443212015794,-8.544716920184135e-08,0.0001269443385457299,0.00789501916353865,1.413380563702669e-05,6.092773638824599e-05,6.305442677451792e-05,1.5703823154917417e-05,1.6325182687711073e-05,0.000805705672646605,4.58927965055902e-05,-2.1195028848856175e-06,-5.239270675906274e-07,0.0020382654309897257,5.654758541254853e-05,0.00046952860824756834,0.0011813153016270428,2.8370925091407203e-05,0.0002877666815110435,2.151717105955815e-05,4.5845917356126885e-05,0.0009137170871861213,2.79486119076681e-05,0.0030320356792210013,0.00021721549637656823,4.118649196953127e-05,2.997829351280691e-05,3.6275524736164084e-08,0.00032415971655698765,0.0001838551822092686,0.00013540707115262203,-4.574251543284104e-07
2023-03-01,-1.0364981772408748e-07,1.6650095388451354e-05,0.0026874021819708973,-3.042949629967904e-06,1.716906198393874e-05,6.906880133533642e-05,0.00032974911875776616,-6.370001272901284e-08,0.00012762171061220118,0.0071655984331747075,1.8092697647974254e-05,6.522063678106337e-05,6.305392394353272e-05,1.3842578139756792e-05,2.4007413645854632e-05,0.0008119868365178015,3.65297788220967e-05,-4.242751090888077e-06,-4.6043633840296117e-07,0.002109959348455844,5.549521723646621e-05,0.0004682626796223913,0.0013176893115766557,3.1280513420256544e-05,0.00027641755762494003,1.6363338085312396e-05,3.7346206200896016e-05,0.000981173735096719,2.8950197143275668e-05,0.0031915734869572424,0.000214054567080751,4.776228605904458e-05,2.874204186914845e-05,-3.861833821719878e-07,0.0003252918849064284,0.00020736292157630526,0.0001420696665748174,6.93106439277036e-08
2023-04-01,-1.013817975294663e-07,1.2311737786667044e-06,0.0028181872967063554,-5.9782633536940964e-06,1.720618224139806e-05,6.507338804220021e-05,0.00033518821115132694,-1.534579044067817e-08,0.00012829445521656577,0.0064348708488370715,1.3356948016029201e-05,7.09645985219032e-05,6.242753611530496e-05,1.1342255261368325e-05,3.204596505902341e-05,0.0007997692131827078,9.355023605877826e-06,-5.727828681486896e-06,1.2749638357523358e-08,0.0021708837414294068,5.840799465638852e-05,0.000479192934706847,0.0013619759200804537,3.3308596024084186e-05,0.000261131259449247,1.3426279352578264e-05,3.0164177691432756e-05,0.0010585184844585007,2.998320086089543e-05,0.0034274866979464146,0.00020701342005302915,5.3616301976386316e-05,2.8435594971791467e-05,-1.8176153122664328e-06,0.0003206300457240539,0.00020915027983688125,0.00016337020821741402,1.3488083029685419e-06
2023-05-01,-6.092947334529252e-08,-1.8187155159403013e-05,0.002784482111422232,-8.818636015971505e-06,1.7259129744267222e-05,5.9733918977071726e-05,0.00034035813109106663,6.547144521007382e-08,0.0001289622407343125,0.0058830784635400275,-2.2168720377292664e-05,7.612485883003026e-05,7.136743982028018e-05,1.0100226905594623e-05,3.7720592589288645e-05,0.000795990307963917,-9.525265525765317e-06,-5.68706098840263e-06,1.2590012721274246e-06,0.002211089618301471,6.388355592862553e-05,0.0005081187798633462,0.0016483006677283792,3.369326192398847e-05,0.00025248558829305326,1.851640064060233e-05,3.3279597907749805e-05,0.0011365393814244994,3.0889224301223525e-05,0.003772616797197454,0.00020362957089829073,5.9206743975168894e-05,2.4728944508139016e-05,-4.468557612182777e-06,0.0003152748913323875,0.0001951184864785516,0.00018851451496680846,2.7472487060583716e-06
2023-06-01,-4.432982020815135e-08,-3.33418146232925e-05,0.0026634849464753784,-1.1446617654877575e-05,1.7317206129257964e-05,5.273857173821756e-05,0.00034525562515314284,7.992192845135273e-08,0.0001296247572502702,0.005708421291030323,-0.00014276132116403036,7.574776329215179e-05,9.37691096799997e-05,1.0484842225664688e-05,4.0470880807253276e-05,0.000826916027500076,-2.2209298405082132e-05,-4.792794338331257e-06,3.0044102588915553e-06,0.002238207585078953,6.449210041901164e-05,0.0005554321715473146,0.0022087909403515267,3.2276081673392645e-05,0.0002494428871148292,3.3216562990348475e-05,4.88495139804982e-05,0.0012178763811870187,3.081151032448826e-05,0.004196609162229042,0.00020356169639020166,6.188038559901249e-05,1.8575476512372086e-05,-8.482840900485138e-06,0.0003112037166653005,0.00017816103731393499,0.00020155606015759227,3.0931170736110018e-06
2023-07-01,-3.744952631676522e-08,-3.807964157641965e-05,0.002497489772068559,-1.347451051259406e-05,1.737433863571433e-05,4.402737680698081e-05,0.00034987765571528075,1.3300327500520031e-07,0.00013028171527123734,0.006038242376071215,-0.0004517787500381085,7.251427344095893e-05,0.00011700567724498131,9.548835186136683e-06,4.14870683861627e-05,0.000873994293701908,-3.192072034714404e-05,-6.0853672668021485e-06,4.756919472324905e-06,0.002251485868595662,6.0533735574318264e-05,0.0006128355608454671,0.002560897350414386,3.0371494793277705e-05,0.00024866685854861483,5.090901901160899e-05,6.609405065761038e-05,0.001300643856146754,2.9360018744174927e-05,0.004690007515726128,0.00020499660173747876,6.120260679405408e-05,1.3724010119677207e-05,-1.2664025738492585e-05,0.0003149977669904112,0.00015664515682405845,0.00019350195748357902,1.1040576095347865e-06
2023-08-01,-1.7848371200586542e-08,-3.353742054491984e-05,0.0023657484241045457,-1.439350682132522e-05,1.7427444862576712e-05,3.3791019352581775e-05,0.0003542214027216773,1.1469047936414351e-07,0.00013093284451591662,0.006746274067144074,-0.0010897098847055962,7.471865877273502e-05,0.00012508894517929847,5.013648600381789e-06,4.087863958386449e-05,0.0009012499978058065,-3.4617148444998106e-05,-8.666869205397218e-06,6.658324453219647e-06,0.002228684147426971,5.561187781530539e-05,0.000662432841555669,0.003466091662026642,2.9347271670943356e-05,0.0002501968548428454,6.501969763438713e-05,7.496460962722397e-05,0.0013601044834088633,2.7054330484357656e-05,0.005246187004329182,0.0002099233590361685,5.927560909312643e-05,1.2974629024217924e-05,-1.5847769033193998e-05,0.00032972115741753034,0.00015320639479535943,0.0001700783613184797,-1.4873722481320589e-06
2023-09-01,-5.051685068597288e-10,-2.7342915415802158e-05,0.0023011542735596117,-1.405957957252228e-05,1.7475311625468134e-05,2.244411658800024e-05,0.0003582842652776805,5.504450874083364e-08,0.00013157789277750068,0.007441558405597785,-0.002182356052019896,8.055184115608754e-05,0.00011813725111931483,7.028767608258946e-07,3.877768748239442e-05,0.0008953827901928427,-2.774272986932894e-05,-1.076357432287297e-05,7.5683870713124735e-06,0.0021757063451642395,5.054789112112035e-05,0.0006967272590921411,0.005716221655679322,2.7426370528974817e-05,0.0002445476827330189,7.581256566538275e-05,7.456278439180281e-05,0.0014023425244568243,2.700909387167209e-05,0.0058353028754564,0.0002279406707281069,5.716564363173417e-05,1.672265751509636e-05,-1.756071810933358e-05,0.000352997557749835,0.00016847585926750311,0.00014720784380664506,-2.9095850782328328e-06
2023-10-01,-8.94521096830236e-09,-2.868322340505709e-05,0.0022133805099298007,-1.2893393559231947e-05,1.7517838532913426e-05,1.0578087118375796e-05,0.00036206386307346315,2.215444957298117e-08,0.00013221662485453565,0.00770977131858946,-0.003687597553408043,8.570942501081945e-05,0.00010869321033269694,8.781103218620735e-07,3.564495568203455e-05,0.000880532026873222,-2.681529251568967e-05,-1.1840536402619752e-05,7.865519273771028e-06,0.002125987640536425,4.7429036772081856e-05,0.0007315885320063064,0.00807595527276182,2.4184073249247506e-05,0.00023021015606225655,9.046919312869596e-05,6.89450533898413e-05,0.0014399874695690492,3.014762703663945e-05,0.00649589362896114,0.00025476670955756615,5.9583750003020235e-05,2.081574321736498e-05,-1.7915414126033627e-05,0.00037039364725288367,0.00018089435722481724,0.00013542594031613116,-2.2030839370714004e-06
2023-11-01,-2.887787067621055e-08,-4.2852677346577186e-05,0.002079560845821982,-1.1216688853111558e-05,1.7555537823010188e-05,-1.0999128386495096e-06,0.0003655580376360399,-7.95019310327939e-09,0.000132848821545952,0.007378866680448159,-0.004965824471509464,8.663842282560227e-05,0.00010716255940991409,3.47651985760375e-06,3.071947265537875e-05,0.0008702891482947596,-6.856899605184904e-05,-1.1556068611967716e-05,7.2646699302109485e-06,0.0020784955884987034,4.71632167368305e-05,0.0007761240249744138,0.010686794992146564,2.490002163900061e-05,0.00021458413738425808,0.00011609015098820811,6.392218026652157e-05,0.001492331647629374,3.692053684745581e-05,0.007290608878847546,0.0002795401780382521,6.4945368367328e-05,2.464529255865692e-05,-1.779734343390742e-05,0.0003735268074535998,0.00017562518841032234,0.00013515186211798328,1.7233416783997223e-06
2023-12-01,-3.54273632203734e-08,-6.739550462705766e-05,0.001875147089125689,-8.997491093399086e-06,1.758921224220514e-05,-1.1834924530522396e-05,0.0003687648534091127,-3.2133698143334205e-08,0.00013347427870640034,0.006564581381797813,-0.003788554039625904,8.405459276736809e-05,0.00011444030568491401,4.946278325734575e-06,2.4903561054489443e-05,0.0008629190112440274,-0.00012341526624722724,-1.109240879279609e-05,6.697901569018699e-06,0.002001149518830517,5.0035366735588896e-05,0.0008322134450409685,0.014348747194081562,2.7320773772347068e-05,0.00020608098293888603,0.0001602529691943468,6.371976243215757e-05,0.0015813089199312796,4.5402178325922744e-05,0.008273305273274077,0.0003061662308422882,7.094636145651287e-05,2.7910265233660486e-05,-1.7770403906823072e-05,0.0003614227713149993,0.00015185941935070776,0.0001411938127178537,4.646982508623283e-06
2024-01-01,-2.7083497580817607e-08,-9.18942799223069e-05,0.001583980745986178,-6.2086870913402136e-06,1.7619754976954657e-05,-2.0892076364122354e-05,0.0003716825986603584,-4.48062980156419e-08,0.00013409280635826135,0.005502542410829022,0.005593752183832454,7.578213615214944e-05,0.00012447876848291155,5.19870893978745e-06,1.9961077810763964e-05,0.00086111375782865,-0.0001440018666816294,-1.1667629283841292e-05,6.9433277283500566e-06,0.0019083506340742589,5.47813567072122e-05,0.0009022244057707204,0.015932703056223848,2.774978402020318e-05,0.0002047560923536315,0.000221740989246483,6.885846202529512e-05,0.0016932176554057031,5.171637615216243e-05,0.009439776211512482,0.00033128728000056396,7.69225157222868e-05,3.1564674116192e-05,-1.7295563755139186e-05,0.00033848067397723616,0.0001388853583327426,0.0001458767679002978,3.28664625692037e-06
2024-02-01,-1.155344191959287e-08,-0.00010271084124940027,0.001235143495724308,-2.918974289162929e-06,1.7648031897216244e-05,-2.761828504486298e-05,0.00037430978621590724,-1.093161493292112e-08,0.00013470422785691896,0.00436233838944404,0.035552408778836836,5.65827260493733e-05,0.0001372560744456172,5.353838790060977e-06,1.6410052173250577e-05,0.0008819848768107823,-0.0001510200423080862,-1.1721380736505693e-05,7.125508075396159e-06,0.0017957126696343353,5.877272141971539e-05,0.00097875820448273,0.017012706273593484,2.486147736677864e-05,0.00020903772875820328,0.0002923186853870648,7.956932255762558e-05,0.0018044637549839253,5.127954931933862e-05,0.010709683259278038,0.0003502044628774779,7.753457740534498e-05,3.638133553080922e-05,-1.5696916352025645e-05,0.00032768710291531744,0.00012944628455843963,0.00014192850360587262,6.206751348351182e-08
2024-03-01,2.2969506760508658e-09,-9.140565062521939e-05,0.0007931412250284742,7.759698064534614e-07,1.7674818174706954e-05,-3.149287668355724e-05,0.0003766451540218922,3.3295319663266423e-08,0.00013530837910608978,0.00319182997584041,0.10867464482421964,2.2761647180608035e-05,0.00015252619347148942,8.180655721966037e-06,1.3580086093892595e-05,0.0009315066273877597,-0.00012319653905166372,-9.073174429316588e-06,6.962262727459868e-06,0.001636052173565382,5.97726010914312e-05,0.0010486350297581881,0.02359653956448373,2.1715220510835318e-05,0.0002238236788008611,0.0003638948309064426,9.062647085969684e-05,0.0018903130750516502,4.651288841573732e-05,0.012036553520245604,0.0003717192684536611,7.249645364032319e-05,3.985028832085675e-05,-1.3285865834331057e-05,0.0003411307929590802,0.00010622448693653656,0.00012285734049336514,-2.6724336827776737e-06
