,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Blogs,Skill: Ecology,Skill: Risk Awareness,Skill: Hydraulics,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Tire Balancing And Rotation,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,1.021019688141018e-05,0.0007480717897260948,0.0007023682596553175,0.0025175216465518906,5.60440330993817e-05,0.00041497203102209017,0.000674981041398399,0.0003305387865712887,4.258027323400176e-05,9.191038377619289e-05,4.187071569049526e-05,0.0004767049290786964,0.0013353786649791513,0.0013326366596321075,1.5636615137840324e-05,0.00017419800123617552,9.931340059788364e-07,0.0015065816954456894,0.0022777229336013293,0.00012850675494203938,0.0006393714268024674,0.049409485650878805,1.2302835404260973e-05,0.004420617610570204,0.0001659544831741134,0.0009841117876438928,0.0009818924394529335,3.7543749023443804e-05,0.0028129307699013037,0.0015158948658403194,4.2496291203980045e-05
2023-02-01,1.0125952178472842e-05,0.000721926350659032,0.0006963866974169883,0.0025083891639313028,5.4207811663021155e-05,0.0003995791676236036,0.0007456094552878593,0.00032863815615779624,4.4433509601878856e-05,7.175128482474837e-05,2.6122122754662207e-05,0.0004898158002898877,0.0013236105452789186,0.00139770209931054,1.254410641291972e-05,0.00016428242842308043,5.139018483007208e-06,0.0014740563842673957,0.0023029753794076985,0.0001277692575695929,0.0006479554397874739,0.04958357403312595,1.18731843247711e-05,0.004550167351314926,0.0001476410466326941,0.0009958088309076144,0.0009889034988586883,3.742829154976197e-05,0.00279211642043541,0.0015477283803289259,4.099868483881343e-05
2023-03-01,1.0055954527377505e-05,0.0006906997607304558,0.0006889463243587823,0.0025493018889819726,5.2699763145045195e-05,0.0003636597989312555,0.0008207812613107066,0.00033693263698212695,4.615715345788366e-05,5.366360282795963e-05,-4.334351066911154e-06,0.0005021648351830148,0.0012952883396117954,0.0014661888926713984,8.318706293703335e-06,0.00016512912478736132,2.1695080175585366e-05,0.001403513539637034,0.0023375193070007375,0.00013731402907041232,0.0006555885402679399,0.04958006580243805,1.052784440775369e-05,0.004638455353521892,0.00010565557974361227,0.000997292265482541,0.000995987540682292,3.853467901116099e-05,0.0027720788909513564,0.0016100582766136562,3.699270868320494e-05
2023-04-01,9.997020600625748e-06,0.0006559198300000384,0.000680235889900058,0.0026394195613131197,5.1811042580620456e-05,0.00031593305402166937,0.0009004964191175864,0.0003416879119311448,4.77273938983447e-05,4.535323499013812e-05,-5.388975643615213e-05,0.0005091128855921903,0.001262829553502655,0.0015380653905505616,3.7008615793881665e-06,0.0001691455396100776,5.7334783807191816e-05,0.001303914073937454,0.0023644222261439956,0.0001651820735773302,0.0006623434220468787,0.049305954905518576,8.299511255153951e-06,0.004668668435187843,6.514303305621118e-05,0.0010015406971989253,0.0010031435939094997,4.063993523466973e-05,0.0027527993492507947,0.0017004716764038468,3.415556324067194e-05
2023-05-01,9.946677264129564e-06,0.0006073939423738733,0.0006704792174575347,0.0027689822879116087,5.1648051467655805e-05,0.0002657668476263725,0.0009809469806509956,0.00033803241083638547,4.9126807204214634e-05,4.394605090589414e-05,-0.00012646803961830923,0.0005079328979766234,0.0012359634381687362,0.001613441194515074,5.791717726962e-07,0.00017012318566832346,0.0001237051636514263,0.0012291659124769156,0.00236236877323008,0.00019609653491022667,0.0006682873428976863,0.04884000990238581,6.020799912302046e-06,0.004638440417600288,3.908214182166191e-05,0.0010205313387782917,0.001010370790087329,4.288896176291545e-05,0.0027342594525380784,0.001818755061490813,3.356616836212375e-05
2023-06-01,9.903003320053691e-06,0.0005412851894296326,0.0006599223207125669,0.002944537496328518,5.2143369715334253e-05,0.00021995965345723864,0.0010547843993799584,0.00033235699704160413,5.034393774350399e-05,4.547472638775778e-05,-0.00022129384139478174,0.0005007327947295575,0.0012241643364198638,0.0016925788855303068,-1.6739785663717178e-06,0.00015456796159572312,0.00021964421606248554,0.0011924053940555982,0.002323112476770868,0.00020307274496620772,0.0006734825304179934,0.04834330233786612,4.145635532918679e-06,0.004560069388724962,3.039913643596633e-05,0.0010538138042151656,0.0010176683561238843,4.452784221353886e-05,0.0027164413348655008,0.001968881661115464,3.398745139390954e-05
2023-07-01,9.8645065047551e-06,0.0004706226381533678,0.0006488200569158555,0.0031487138084042095,5.309859907854782e-05,0.00018392881125419008,0.001118122548141374,0.00033362229107130654,5.13727998495381e-05,5.193032411093664e-05,-0.0003307539145908742,0.0004894665927303987,0.0012349667991119564,0.0017759017299275321,-3.137025555078893e-06,0.0001340484096450243,0.00033565383067912867,0.0011932058884432891,0.002259038249453172,0.00017155790633931642,0.0006779865575860585,0.048036840500294144,2.7735322984556375e-06,0.00444529836012968,2.5725165732356592e-05,0.0010938848876420044,0.0010250356076122028,4.5326532807317525e-05,0.002699327594901362,0.002160628821982222,3.612188015118669e-05
2023-08-01,9.830027888577623e-06,0.00041591733098232637,0.0006374237180298649,0.00333657726680624,5.424630393334767e-05,0.00016018055236072934,0.001171669311903006,0.00034451104122515874,5.221232161714053e-05,6.283562568300427e-05,-0.00044517148578530376,0.0004718920964900626,0.0012524280102299604,0.0018639976425609142,-3.300895144395041e-06,0.00012424919442673743,0.0004638324680150749,0.001214970814721913,0.002198034794968617,0.00011490171414813829,0.0006818526902814243,0.04800572247960734,1.453511761782951e-06,0.004286988949935153,1.3864706807355958e-05,0.001129354758847065,0.0010324719426401262,4.559574621850888e-05,0.00268290128401257,0.002406841485208526,3.8346758303609956e-05
2023-09-01,9.7986675735759e-06,0.00038862842116582565,0.0006259705384995432,0.00348774498248698,5.531637388781682e-05,0.0001460185334097394,0.0012150380063489063,0.00036126224399915226,5.2865750205803366e-05,7.909780297894715e-05,-0.0005594665219423474,0.00044550285045228473,0.0012465070688895267,0.0019576198339310126,-3.265410821716235e-06,0.0001302948142717562,0.0005962433109844335,0.0012085598335937853,0.0021668291757599113,6.650807052484324e-05,0.0006851302088627174,0.04827583628527093,1.9478884987295673e-07,0.004070808649950782,1.6700738305343266e-06,0.0011501063372915325,0.0010399768360509595,4.592305135943981e-05,0.0026671458946536846,0.002716192701076989,3.7846649500162003e-05
2023-10-01,9.769726944899097e-06,0.00038724543452845015,0.0006146756770808075,0.0036240678092406466,5.6093298111761e-05,0.00013479098035153062,0.0012461940851642298,0.000377891743696061,5.334003662364084e-05,9.668332935515152e-05,-0.0006748396023348211,0.00041430027558589345,0.0012045632815950455,0.0020576846902677234,-4.257872857924946e-06,0.00014695426505835485,0.0007304084607256646,0.0011733964480577525,0.0021737865904260605,5.306440719533098e-05,0.0006878647057392403,0.04875006645377898,-5.247422649782664e-07,0.003807799450370384,-7.09814612297378e-06,0.0011538650833294412,0.001047549834122235,4.683684046882868e-05,0.0026520453490545414,0.0030905275605286977,3.56779297828972e-05
2023-11-01,9.742663788357733e-06,0.00040759950157650486,0.0006037268543630444,0.0037575885732995893,5.6454418361270206e-05,0.00012146451766697121,0.001268171015875258,0.00038798785233956184,5.36452161570991e-05,0.00011218410836779169,-0.0007956346630804685,0.00038828392919549996,0.0011433153400023832,0.0021652675306250663,-6.1290763435191225e-06,0.00016278942927835265,0.000866326170053221,0.0010738077561782686,0.0022054155299313432,7.320609537063213e-05,0.0006900983607284302,0.04937252999028796,-3.2560748481192803e-07,0.003539525116224236,-7.325803657854622e-06,0.0011456626194776642,0.0010551905496322652,4.8571310085419886e-05,0.002637583988198767,0.003532251790533658,3.75168130241164e-05
2023-12-01,9.717057408089311e-06,0.0004508449010729037,0.0005932815259780763,0.003850998448286458,5.6384224867480845e-05,0.0001076816398410809,0.0012910587726771968,0.00038481122881500464,5.379379867330428e-05,0.0001280095078393797,-0.0009261804801180536,0.0003747402496042595,0.0010907946153007717,0.0022815969517023566,-8.033996587592641e-06,0.00016607896048813098,0.0010011946091824536,0.0009177012713433824,0.0022385144853156137,0.00010298025781558132,0.0006918701958574827,0.04996501601506215,6.172823226209842e-07,0.0033062520245392864,8.983329824073413e-06,0.0011324135094286458,0.0010628986572863736,5.1009764961555206e-05,0.002623746561085719,0.0040537850723160905,4.42814341478465e-05
2024-01-01,9.692581516665448e-06,0.0005178682571113555,0.0005834662573293261,0.0038787775824760404,5.596504372762536e-05,0.0001014762343028427,0.0013243924318712182,0.0003640800547266284,5.380018101362991e-05,0.00014924062411548558,-0.0010699427402149117,0.00037153018396924155,0.0010677979905635172,0.0024080485093281785,-9.02879284288057e-06,0.0001622716016497636,0.0011342122982424757,0.0007382143465337941,0.002256135898704821,0.00012204103560663898,0.0006932163111436432,0.050268691695601456,1.964624999833752e-06,0.003118783873809798,1.665708275893073e-06,0.0011192811610059607,0.0010706738894767295,5.378693313330956e-05,0.0026105182142685587,0.004678548707195329,4.866974539935042e-05
2024-02-01,9.66898316620053e-06,0.000598759852885001,0.0005743778395484736,0.0038529372827592755,5.534899427967948e-05,0.00011217490696968146,0.0013710640437912369,0.0003285487069772467,5.3680091671728044e-05,0.00017311836800531586,-0.001229828013434991,0.00037077143808962403,0.0010787645371351457,0.002546138496393939,-8.547404955444331e-06,0.00015218593629648326,0.0012564426195906277,0.0005621060696164103,0.002255324427051502,0.00013266694668199926,0.000694170102773118,0.050212019009763166,3.7489321235465467e-06,0.0029612107044434516,-5.917487187741461e-06,0.0011071094298458985,0.0010785160323516008,5.647118695380407e-05,0.0025978844816613687,0.00543557566612889,4.783019414777923e-05
2024-03-01,9.646066374706582e-06,0.0006729022592129165,0.0005660856392596718,0.0037763297562997335,5.471910470384904e-05,0.00014500878838896378,0.001431635383635387,0.0002885868852125609,5.345007595375591e-05,0.00019461481579801073,-0.0014088619202272772,0.0003686886759152081,0.0011206107148347762,0.002697518562561048,-6.915631195579518e-06,0.0001430524285843115,0.0013547648385133588,0.0004638599440726179,0.0022444709453968044,0.000152060368749871,0.0006947624649925598,0.04993850978682777,6.291314411638187e-06,0.0028100100079488204,3.4802117362642374e-05,0.0010914411544883996,0.0010864249221715974,5.87354697365339e-05,0.002585831274608388,0.006358148364924817,4.6012509650231854e-05
2024-04-01,9.623679401712297e-06,0.0007210126372804263,0.0005586346914111508,0.0036239530364876116,5.424858450875299e-05,0.00019882954080270218,0.001511557967950042,0.00025643486245505945,5.312702789314479e-05,0.0002079843872651768,-0.001611912237322436,0.000370020138710451,0.0011746166485913237,0.002863971884188542,-4.997224889093306e-06,0.0001417980415759103,0.001414641901295932,0.0004634504470519841,0.0022358859887977554,0.0001873635090965034,0.0006950219769289905,0.04958802398276316,9.632381989650244e-06,0.002646973548397001,0.00010944374871994977,0.001066114067373983,0.001094400441932104,6.045174901597517e-05,0.002574344872208638,0.007488639872037024,4.6820715504725214e-05
