,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.45906204984243665,0.5956612748076557,0.21658263032085817,0.0479745764695506,0.589554294205693,0.4477456791982619,0.1040295178733614,0.07861288957446236,0.05304126537368945,0.5980725107550489,0.032894223978675835,0.12070741496789869,0.14321572210558417,0.055044334401431694,0.04983983810103303,0.1555611003196966,0.14239238700651538,0.033445339766142154,0.34503926827185216,0.4357264549548236,0.7406279915084478,0.24517812655434457,0.004675610391527585,0.06038007497185113,0.0021887951621377723,0.011592255792585115,0.010504508141980777,0.05934033694484221,0.0025360434933161674
2023-02-01,0.46745683843851277,0.5941409719153434,0.21486844556866558,0.04929112680279712,0.5922607183213681,0.4464938906769575,0.10539675744379465,0.08014173293703561,0.05331349358723651,0.5958541741720577,0.03213917842740839,0.11869336467768733,0.14651099914439925,0.05534438413655536,0.0492752689084011,0.15768256977167128,0.13988390608938603,0.033194954861069124,0.3442320230374774,0.4328663641435081,0.7432556398681868,0.24521426947048397,0.005077070765501943,0.06273881326739417,0.0020690768524003218,0.012294620383334558,0.010537623190176516,0.06257646536047864,0.002745787985379368
2023-03-01,0.47708487791070736,0.595192378638939,0.2131680044072704,0.05038041145800541,0.5949434447429156,0.44806858899842567,0.10667625586292837,0.08208941514875479,0.053591064408565224,0.5912004187487054,0.03114108971012024,0.11738824683205795,0.1508341780220455,0.057131571263537476,0.04833768474990273,0.1587532279934019,0.13820412177438193,0.03308958207674595,0.34382619201983794,0.42976892370093633,0.747827047616774,0.24630317201433272,0.005583100008131884,0.06581531121006648,0.0019726776625654642,0.013156649718304759,0.01058555143761382,0.0657740727084307,0.0031499742746282366
2023-04-01,0.4869652932687709,0.5981198200243203,0.21172113881468954,0.05131436871827379,0.5986453132912071,0.4516253336286392,0.10639057903358716,0.08402137104140257,0.05396842973228246,0.5879707693383165,0.03072941938067689,0.11769696613850206,0.15407057328060428,0.060367113215488974,0.04808781209375107,0.16000344232973437,0.13870202360635406,0.033006803970046655,0.3401121769020611,0.4280138298238384,0.7541954340573312,0.2488487448253896,0.005691133984516062,0.06868085140412535,0.0018503069256878887,0.013925321543964697,0.010646492194871198,0.06878828433080757,0.003639000085885056
2023-05-01,0.49702464874649743,0.5997758249631113,0.20965614306223085,0.05279244247685955,0.6031719984141344,0.45572598898115263,0.10435772068157549,0.08611276342104249,0.053531246053267596,0.5871013324791515,0.030480951030909944,0.11858231676629921,0.15700553319360117,0.06419012925152934,0.04883710512169476,0.16227344082342415,0.14092046165994124,0.032879271045027886,0.3342327081297196,0.4269277912461596,0.7608745577834988,0.2514220974817464,0.005578364733927173,0.07136637617618344,0.0016868899550853507,0.014717263256417853,0.010718679624514829,0.07156245199711833,0.004131404935301168
2023-06-01,0.5075593109285959,0.600534024151954,0.20690795299035492,0.05454216773359068,0.6074925237158109,0.4601957507532105,0.10228938139286642,0.088312515308245,0.05205350276544554,0.587534014793688,0.029520711815774182,0.11863762522360313,0.16085843062969718,0.06704895615163226,0.049651780875084164,0.16550788754881623,0.14364074339550084,0.032376595182761155,0.32923347099183226,0.42462234322748127,0.7681800035527757,0.2536054536278865,0.005751391931135955,0.07446672775162505,0.0014806658424376873,0.015469412419585014,0.010800396857013499,0.07416083397528815,0.004570145837890685
2023-07-01,0.5185161515767068,0.6032866697071954,0.20358240760134125,0.055613025290959295,0.6110121255849467,0.46582479335872873,0.10101422865864965,0.08921458784298023,0.050349308915760616,0.5886415568123049,0.02790216328990317,0.11872434463554771,0.16501447944925896,0.06807131650048127,0.05037662843793252,0.16861740304479944,0.14576794173890806,0.031579345629187315,0.32331921809805314,0.4214053950110288,0.7766844741988721,0.2560026268940875,0.006086702690262009,0.07842159664849875,0.0012288314053623501,0.016015731724020203,0.010889988358529109,0.07679147930199534,0.004943549635706056
2023-08-01,0.5294982104274155,0.6083942573712151,0.19933885283271338,0.05608949408174521,0.6140671165318147,0.47379821755526524,0.10020483944453612,0.08780877092963205,0.04887569883869862,0.5892071580862179,0.026184987371154683,0.11947538478322556,0.16755884361834855,0.06781241492484391,0.051519716269405984,0.17102686675913584,0.14684077218082786,0.030696462937803072,0.31560744916641903,0.4175834237294016,0.7860638172183109,0.25863668818481794,0.006035723914155893,0.08209922423835841,0.0009225137077825164,0.01630254181637465,0.010985870587004863,0.07981855345745836,0.0053041603188005056
2023-09-01,0.538913920674476,0.6135935412015274,0.19474114984362084,0.05644852955730314,0.6160881017243065,0.48284673588138594,0.0988009340453891,0.08508849457948395,0.047378529478124695,0.589668674047799,0.024568385122455478,0.1194890836236446,0.1684091053591913,0.06717511696559168,0.05225416848218483,0.17282774255594044,0.14698740976453054,0.02998443926084932,0.3084812634775918,0.41369997099231204,0.7949569826794395,0.2594418799550207,0.005724064483360652,0.08403021650435658,0.0006302028771633002,0.01650910361624979,0.011086540986419095,0.08376492024026994,0.005606931109305029
2023-10-01,0.544439326766882,0.6171746194817009,0.19104101468134677,0.05649577792860317,0.615955999030649,0.49155385309006394,0.09589035925867995,0.08261363101508198,0.04583408456270484,0.5898451991722666,0.022877459793368915,0.11940941533213591,0.16934912308615632,0.06676882118910578,0.05209674257529776,0.17309774969792208,0.1469058239053887,0.029284195103940498,0.3029795023736477,0.4113626945713237,0.80164117950089,0.2570153440207949,0.005785355563871697,0.08573066149787048,0.0004206331298987646,0.017010350663557692,0.01119058538082183,0.08930735452695202,0.005838379729106825
2023-11-01,0.5465255182256384,0.6217175498376004,0.1878939562901506,0.05627833285025091,0.6141977739906328,0.500569511592214,0.09276118638419038,0.0811224601976824,0.045162483477316454,0.5902917840949984,0.021355642983102045,0.12066633093555929,0.17028269651704742,0.0673610079473623,0.05142959974049324,0.17284730569872775,0.14786661081840874,0.02830671991559522,0.29947300299214447,0.4104842565251596,0.8078487964308534,0.2530971093524539,0.006110658228309352,0.08848574686569911,0.00023277628235307893,0.017666389785078805,0.011296683839861587,0.09726823271817787,0.005944872528576388
2023-12-01,0.5476686318123077,0.6304248755181192,0.18498373714340235,0.056246892659981965,0.6129425164085114,0.5096799940730795,0.09066226611548245,0.08074319118697179,0.04609766832676017,0.5924089792116285,0.020356341282146966,0.12270542066794715,0.17070085438811264,0.0688041735956239,0.051135065786023934,0.17209237578723263,0.15036856719593855,0.027293951871607255,0.2977838295153186,0.4108996569732447,0.8161266045472293,0.24959618992167698,0.0060528404909424354,0.0905749326620436,1.2875356843380231e-06,0.017981113831919807,0.011403615095992107,0.10860884811960927,0.005817333444412397
2024-01-01,0.5497226791714553,0.6423214752608483,0.18286916680182055,0.05618323543481943,0.6108828260600492,0.5180253308160077,0.08966208514987609,0.08052397454910536,0.04808152911112408,0.5963323966186646,0.01963175081102146,0.12464905253290667,0.17054525275539437,0.06975861022949073,0.05110826595943243,0.16803452986625303,0.15453097815657307,0.026525737699543916,0.2970373158127895,0.41181820971403826,0.8252663048478728,0.24633699393483363,0.005481241303541015,0.09062301596893371,-0.000220225281493713,0.01790189582926613,0.011510259600484525,0.12443054424182878,0.005440770979438101
2024-02-01,0.5509248942497451,0.6541255783850375,0.18180582645505539,0.05585749589019917,0.60663789584077,0.5267937881362927,0.08951555999988269,0.07954988581883678,0.05030542514836646,0.6028742190107846,0.018791424262836243,0.12639855751036094,0.16993136120876184,0.0686357775525546,0.05083814188989109,0.1623636193528721,0.159203339522437,0.026313402780778733,0.2958305328705338,0.4121238479506819,0.8339478504026595,0.24151486033857567,0.0049984632378413385,0.09046042456294248,-0.00040178144531406203,0.017692583940321492,0.011615601310831291,0.1459905884063317,0.004838963344014721
2024-03-01,0.5483442411302659,0.6638234383130687,0.18130864624601525,0.055322757569670464,0.6022846030312481,0.5359744072661827,0.08977305629162616,0.0771119965272104,0.05248627963356319,0.6107974169609287,0.01733278833816926,0.12847651500734864,0.1693375768906318,0.06529860725053292,0.050348558533697435,0.15825354409779271,0.16195964093470328,0.026350872993973512,0.2938175691048052,0.41295029632833524,0.8433010519666233,0.2356132700099095,0.004951938217423605,0.09206278692055743,-0.0005747651891667132,0.017311695190833025,0.011718728306193225,0.17474010196185139,0.004153405773930557
2024-04-01,0.5434042604695437,0.6755730678286065,0.18177789884015788,0.05407901260494381,0.5983587395737066,0.5449944146410851,0.09105553209017442,0.07328895119055977,0.05491887418838397,0.6167862153508379,0.015156078576816962,0.13102687324067414,0.1679662862446827,0.061355087493097774,0.049506154585675165,0.15427449088044723,0.1613635574134095,0.026803453527698546,0.2932537241565105,0.4154115352377318,0.8542111288250752,0.23035955942880834,0.004775844870774331,0.09371652101854869,-0.000733636083529967,0.016764295149967412,0.01181883233029632,0.21239146229754274,0.0034679980694248477
2024-05-01,0.538242877468789,0.6915347024595786,0.18370771930978372,0.05177054567439026,0.5942117728339888,0.5522646874188578,0.09358220301443589,0.06938457689136959,0.0571979042425403,0.6204615152107438,0.013129053018734939,0.13350514952839737,0.16498206277578836,0.05791369986238083,0.047996855589243735,0.14785509105337136,0.15938385449081646,0.027195682305863476,0.2927885601546451,0.41816618166405567,0.8639955996207838,0.22601823125621862,0.004014617662848353,0.0933146799157111,-0.0008042375327302707,0.016125089283182,0.01191520736272113,0.2610225059558223,0.0027190362997638953
2024-06-01,0.5314064491164294,0.7061813114438635,0.18733021550145626,0.04961182096458738,0.5902924240352473,0.5566394516599543,0.095951183687939,0.06666064106495513,0.05822384067599963,0.6236002093316081,0.012021002636219611,0.1353865709830161,0.1616448735560997,0.05552435441066918,0.04650118976125655,0.14024190958534585,0.15878353373764348,0.0274580202327814,0.2912044908753019,0.4216085167518008,0.8697159162061437,0.2222150415647701,0.003273843034405301,0.09235548304906212,-0.0007601550895487523,0.01572078064557444,0.01200724731993954,0.323224773576257,0.001886999137363815
