,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.1269998284043642,0.07890799895139594,0.0034294383861662348,0.0022329180707184385,0.010809950961430056,0.34578188284660716,0.21276111056716973,0.9158679413663195,0.055091613570908096,0.03007530493986661,0.011591668590833461,0.02126548580495256,0.0027764527145484426,0.15506339276229977,0.12387268407769936,0.024340850756109467,0.1035696928105029,0.01871213261042498,0.010446184057486697,0.07304393652900587,0.29829551281222033,0.45719192190649893,0.18023770959514834,0.023564456128761905,0.028156424476361415,0.01243789563020805,0.04953084896173128,0.0008684044056159281,0.00782279270688475,0.06662291879322582,0.0003354855163085519
2023-02-01,0.12468130856050516,0.07998832084498186,0.0034748496757978265,0.002189708867064483,0.010685977577053436,0.34379900101109917,0.21169417222976122,0.9152177264059147,0.05552783669182465,0.030559754723331636,0.01149695374245422,0.020301143673125206,0.0026145455670291795,0.15432612807906013,0.12505091560861858,0.024607951173532927,0.10370349590741705,0.01805259448367172,0.010505052560225315,0.07337012355908161,0.2973225602930927,0.45462468355488206,0.17526604591157852,0.023618124621706104,0.028153991799587698,0.011369758134879775,0.050186100947747836,0.000856266748780978,0.007982321087418726,0.06674233315500189,0.0003415790135501417
2023-03-01,0.12186106571199098,0.08186222645216698,0.003497781513700671,0.002136560476250162,0.01042573439121938,0.341776082303204,0.2103294624690988,0.913805786061154,0.055613462756100004,0.03074181914849171,0.011389228741421922,0.01984633239934971,0.00251371016488227,0.15325453585041438,0.12516662925831626,0.024811732649673734,0.10349195998207497,0.01734993171952201,0.010565708770888813,0.07331175072507701,0.2971710024596225,0.4515017630329089,0.16948841207843962,0.023574905962591902,0.028004770251937282,0.010534467574606228,0.0504033336953078,0.0008469543251173356,0.0080678927531594,0.06607204325844211,0.0003459802464932927
2023-04-01,0.11891758046087507,0.0834660200491303,0.0035048142241588193,0.0020610237647308255,0.009985214402834706,0.33970610319133615,0.20887958803663104,0.917349756101015,0.05536906653105991,0.0306113091700301,0.011277990914471417,0.021295787809800786,0.0023547390391585833,0.1514996840466043,0.12495182561057419,0.02483531313149428,0.10284777898606248,0.01665304798286974,0.010654497270455456,0.07288213865967871,0.2961283451419716,0.4480745945029043,0.1658925335671032,0.023612302737443254,0.02772661573437639,0.010172408488408098,0.05025137407659587,0.0008565113937520155,0.008185385772990921,0.0676359032419713,0.0003435064985252373
2023-05-01,0.1161132949902648,0.08459350152794406,0.003511764892005393,0.0019781788962656573,0.009663253402832677,0.3378474722672733,0.2075232577160331,0.9233238834508238,0.05503085254394698,0.03027405065439434,0.011165321619391787,0.020914431002144424,0.0021004265564381003,0.14932989021775475,0.12461724480067597,0.024726726374085628,0.10216305783317504,0.01608764864149819,0.010726993519210595,0.07242373491832925,0.2938664178407431,0.4445068142459556,0.16135146462584668,0.0237473090427419,0.027260971935810816,0.008881128214918339,0.04980432593683527,0.0008782843595666566,0.008312379113701768,0.07187937032069651,0.0003349408425655859
2023-06-01,0.11360967532922105,0.08576046365058995,0.0034877264734971434,0.0019155259325913125,0.009446313105522894,0.33616902631976353,0.20607957088438705,0.9221558882827443,0.054814535939506054,0.030023917451395713,0.011038508350857483,0.019175204139982607,0.001941342167457105,0.14714479120258905,0.12398121933090897,0.024625400142777677,0.10175799194668783,0.015851846794573715,0.010739169527766785,0.07214814519703715,0.29064824884999674,0.44003411635691614,0.15660108081817417,0.023719963393002887,0.026938742767696682,0.00763731133211717,0.0493932316174943,0.000881157705358879,0.008318252089336106,0.07518335638341554,0.00032643280371110655
2023-07-01,0.11148583188590272,0.08736831661513854,0.0034297508915420096,0.0018702291988472446,0.009218965133761832,0.33407448358273584,0.20430564105062798,0.9215442310136879,0.0545914867929297,0.029968873783381304,0.010919548086749302,0.02004296358349782,0.0016966283812294178,0.1450187451190674,0.12323435468858022,0.024639890581284154,0.10135419690736973,0.015903287806287553,0.010748411819143815,0.07202420454577098,0.2872949353710283,0.4343622720790817,0.15414968707666865,0.023344212012376103,0.02689450924328983,0.007307432295497605,0.04917548743410405,0.0008562339864429214,0.008066508103954295,0.07814780171012944,0.0003209362343762754
2023-08-01,0.10979927318237845,0.08889736711412735,0.003410611736435769,0.0018219239289501063,0.00927726561929627,0.3311687750754475,0.2020340613488114,0.9232695084989186,0.05416725216735904,0.029808548868021527,0.01079782432118285,0.02009231792126373,0.0015150332271362521,0.14275579453323578,0.12273585818612047,0.024566150286167064,0.10047332612449306,0.015919382963558576,0.010822838787653485,0.0716899798635122,0.28368385243772354,0.428394038035778,0.1513621635542214,0.02280172548989743,0.026929915839167075,0.006667155894986843,0.04894590920659735,0.0008092506884895313,0.00786978498708159,0.08233358165575169,0.0003155327337927607
2023-09-01,0.10867127204389745,0.0897624404861494,0.0034549554723355544,0.001772161708636947,0.00928762553846314,0.3281564752413021,0.19961755040481666,0.9202153558994024,0.05359703159543226,0.02937945896007506,0.010655629129887196,0.019355906219759373,0.0016635656607717267,0.14066154041320755,0.12227284071835216,0.024311960571977403,0.09918543040166466,0.015757771276919554,0.010931088756068186,0.07093772969343226,0.279996034642052,0.4231328218357504,0.1508914486499618,0.022319201430606915,0.02686972776622064,0.006562199579766866,0.048574552966869855,0.000752267237948787,0.007945912373957798,0.08537094122304406,0.0003085094528357863
2023-10-01,0.10828698256258656,0.09039860646868242,0.003598820691053819,0.0017219885079877211,0.009332501980617192,0.3263862814763254,0.19804234478273658,0.9206270188278749,0.053154529094725095,0.028907558357669175,0.010504846631136948,0.0197553616778146,0.0015725586069198752,0.13936842602624458,0.12147852164366851,0.02401212735690267,0.09823832027217548,0.015719131266020023,0.011004380368749601,0.0700510844864605,0.27786667458331576,0.4193339732218516,0.1529815048557162,0.021910152834650774,0.02662066631866114,0.006959067508286903,0.04804711377248414,0.0006945248890151791,0.00804792229685794,0.0869709324122735,0.0003037635400921216
2023-11-01,0.10840164038648452,0.09172583398136866,0.0037287573974189004,0.001681364467800739,0.009878415170483778,0.32592502172364013,0.19757126085714163,0.9212640897054319,0.052872760176339156,0.028480008201448706,0.010379254164948112,0.018349262893176715,0.0015976918635562764,0.13898079945178238,0.12041192658599963,0.023834732575756256,0.09792532462387331,0.01582497443822225,0.011052457235842769,0.06924114762941078,0.27777324282247395,0.4174437910329879,0.1532301712830625,0.021461200703689877,0.02625810787899368,0.006581842533842218,0.04725774203405025,0.0006493650580294628,0.00805615336153806,0.08858573982364545,0.000305211676749289
2023-12-01,0.10834108317037397,0.09371886517063173,0.0037531908004241068,0.0016549369849924423,0.010094363904590453,0.32566220223339426,0.19777402830908872,0.9144573062807522,0.05253789951541092,0.02807233406631771,0.01031175728378031,0.017110164892062702,0.0018929017310333513,0.1390245725043841,0.11870731672747074,0.023765857232683957,0.09774450071337845,0.016032823332111687,0.011185226272065491,0.06845512348557932,0.2787657467288901,0.4165938263462974,0.15417624785674017,0.02106017583750834,0.025973513550163405,0.006480408751102245,0.04634020590980162,0.0006318239260211193,0.007937310438716393,0.08667600829227604,0.0003083724448984779
2024-01-01,0.1076786944513632,0.09554981466666787,0.0037030665272149484,0.0016356557968181399,0.010194179591202803,0.3250700615983198,0.19804893887282457,0.9114300990170603,0.05213570167901542,0.02765953714664621,0.010279992607659796,0.016854723365956833,0.0016950740500755776,0.13906336062105604,0.11626990083369267,0.02370910840443359,0.09742454505314971,0.016185510844491026,0.011377001544444076,0.06771664218303271,0.27956424458753687,0.41568743830616756,0.15296393323469482,0.02096639739504609,0.025794384876342107,0.006264100005962506,0.04546636739731395,0.0006385810473942008,0.007811501923685625,0.081559878907325,0.0003074113987139766
2024-02-01,0.10693862052165336,0.0967017949871636,0.003588148296167139,0.0016356863092859427,0.01064188329829338,0.32467434445985077,0.19833906357770403,0.9109016510764034,0.05190563258473208,0.027288394333657894,0.010253814110932215,0.017512249749485048,0.00207091462335856,0.13923102893870276,0.11381888299778602,0.023748657383060583,0.0973249071527394,0.016307874550281,0.011531879419633132,0.06723272990576311,0.27954603491639674,0.41502530482704836,0.15471544000254017,0.02106098505827223,0.02560954350899576,0.006874545860105569,0.044743974176699425,0.0006589941286584725,0.007758786951396364,0.07979916850437649,0.00030204668561205827
2024-03-01,0.10682273321108851,0.0971877084078058,0.0034889725289393068,0.0016526060902035298,0.01015236577488346,0.32447880846901006,0.19856979588560136,0.9175674219292739,0.051908128254264704,0.027060892954542122,0.010231238615062085,0.019976486726856722,0.0024449519342576677,0.13945840714954966,0.11192155174498836,0.023819297279290642,0.09751155379428067,0.016530108644557687,0.011628635708785251,0.06722838159237715,0.27868902851783317,0.41489831984039094,0.16397486594180852,0.021036124076225356,0.025232958620498354,0.007842907376544481,0.04422340101636134,0.0006853446869915182,0.007686293638060019,0.08294664652053156,0.0002950258787486948
2024-04-01,0.1071907614887401,0.09716065339972864,0.003396246988880633,0.0016850533427573095,0.010001115615409999,0.3235536222771818,0.19834152206857142,0.9222100103708759,0.05188635959471573,0.026988809053348918,0.010228756134767002,0.014625023096082775,0.0016824573061230614,0.1392245160938506,0.11061596189993173,0.02379804109861418,0.0974848289222423,0.016807986226579592,0.011693605867110522,0.06760540784824223,0.2775694784779583,0.41466637051539884,0.15929313135462106,0.020840660065908952,0.024733792877414923,0.005105706051681586,0.04402093685044669,0.0007119109751243839,0.007607291410589168,0.08275902934843536,0.00028619537345689317
2024-05-01,0.10761691814244588,0.09650306126846173,0.00333496109537939,0.0017291197613178864,0.010283079758661239,0.3218173161469623,0.19757501100479144,0.9072074200641689,0.051759502215967784,0.026954100126522912,0.010241858803633748,0.013144337581992543,0.0022214836353625683,0.13853215900782942,0.10984078048276541,0.023662565827419574,0.09717708613694863,0.017112656115076272,0.011720003170709042,0.06798531393633428,0.2766755642330226,0.4136657933983614,0.15480263238373154,0.020702438598433764,0.02430755278023302,0.00505802407459954,0.044080337373711,0.0007246598176889583,0.007543893981240996,0.07816085144288121,0.00027731202592350113
2024-06-01,0.10810649171228139,0.09528555141644021,0.0033266877750407634,0.001759827320703236,0.009247601403519512,0.320206446057236,0.1963637316734946,0.9165215098383601,0.05173304721580728,0.026844868871129145,0.010258777860715208,0.022824721979115385,0.0022285396261049447,0.13814758377634495,0.10953932906322683,0.0234923541169468,0.0969104007436255,0.017203445185374963,0.011664745838251616,0.06807911602609017,0.2764715363085612,0.4122747955071614,0.16552208572238647,0.02066249110393758,0.02377796886107715,0.007620760110368741,0.04409080429937777,0.0007053179168956269,0.007499497687776295,0.07914355558210859,0.00027465307516840907
2024-07-01,0.10907826341384168,0.09387567737401156,0.0033547521321848463,0.0017831463201097894,0.00984140621095013,0.3196205647518219,0.19527841583842717,0.9293779857570794,0.051940733362357105,0.026734182418322493,0.010254022346907117,0.01643535378803331,0.0011821940658269276,0.13852373052813174,0.10989919896287448,0.023366545455779392,0.09691943360044075,0.017101136795163632,0.01156332726298084,0.06794469420053938,0.2772721691016051,0.41164159821083723,0.15855277680121643,0.020497754365690377,0.023111616570226187,0.004228238344569927,0.04394412240430065,0.0006585540525558958,0.0074883451515089985,0.08208496853266528,0.0002805634697204306
2024-08-01,0.11039903264402441,0.09250604680205926,0.003380343567549084,0.0018182994975975404,0.01028304668245572,0.32017399089581594,0.19498698882522908,0.9057185626233213,0.05223477096450471,0.02676198366207975,0.010208711046497993,0.014375487193792343,0.0029182157866410484,0.13940818811787914,0.11105780265342882,0.023334844914539122,0.09720330372249461,0.017010704950715383,0.011526621923556067,0.06780425699895179,0.279189720743637,0.4128555532169845,0.16127670676737973,0.02022138271380091,0.022602178028716884,0.006259617087947146,0.043760844339947085,0.0006173568695065589,0.0075107717010936955,0.08090721266231632,0.00029138023248194336
2024-09-01,0.11140051673493788,0.09119959309729139,0.0033653512771853245,0.0018649757629816462,0.00880607597851231,0.32169252202910303,0.195974704781642,0.9247300942628556,0.05251764885494186,0.02695134613228959,0.010192683063851696,0.026260039048934983,0.002063598159001082,0.1407036545948885,0.11211445062071292,0.02344985963440424,0.09775991394691888,0.016981703002180194,0.01158608480894796,0.0678395486753283,0.2821942737738268,0.416210959625313,0.1766764008238993,0.0201346378176337,0.022421140724100102,0.009493649769988026,0.04371214987936598,0.000604256564885,0.0074909625302781455,0.08451035832677942,0.0003016130288797904
2024-10-01,0.11179796834228214,0.09023997221666742,0.0033236091242732843,0.0019285907030091665,0.011217009686865079,0.32389744101185713,0.1977585400862962,0.9270681194867358,0.05284810588149633,0.027170947398316218,0.010243944883873795,0.012087737220905403,0.0008275774839719763,0.14238397750437481,0.1122426635231239,0.023670896558892623,0.09858825155976518,0.01683702757945777,0.011617202582656345,0.06800510539798585,0.2856055740066053,0.4207257929881423,0.15630924028144075,0.020391428196476317,0.022775451361458705,0.0033601649301678027,0.0437711439425465,0.0006115014147441223,0.007428187191786405,0.08172508869185674,0.00031022623662026123
2024-11-01,0.11186570453007247,0.08970313700530397,0.003289532704062428,0.001999585838466629,0.011374650202770932,0.3259476002808372,0.19922170601519898,0.8799509681108104,0.053185431299128894,0.02734680445495196,0.01031184041717769,0.014478477517704102,0.004375145923519707,0.14391106408917761,0.11190341317533337,0.023938250665739867,0.09950092516668567,0.01651987027761042,0.01155134486508149,0.06805574506884694,0.2885573500608826,0.4250692425911422,0.16281130749079722,0.020712995352813048,0.02349733392829815,0.008810705317607399,0.043901973873939876,0.0006297031232449185,0.007415470285249577,0.06749015326001978,0.00031803419964163257
2024-12-01,0.11204778930342739,0.08882985510593278,0.003283005677379951,0.002063083928120543,0.008944721621806845,0.3270709045947762,0.20010872884034336,0.9222214364858408,0.053379667655661774,0.027457518899732327,0.010376213079623635,0.032671856727347924,0.0015274215024740406,0.1445535427405815,0.11198515993140871,0.024108793883777242,0.1001802277942561,0.01613980869967359,0.011470415062128045,0.06806396050628083,0.29031441742751474,0.4284325891265761,0.18080666636479562,0.020885273737007798,0.024108091559280752,0.012552057303578362,0.04414300803061687,0.0006657898372921115,0.007426275990267788,0.07143179247114602,0.00032136636958315397
2025-01-01,0.11232562596520049,0.087173110970074,0.0032826376574487475,0.0021288175592992188,0.013578718607804786,0.32709438578091465,0.20069740293119886,0.9241970054333289,0.05340112114357193,0.027617381302962513,0.010448599719641006,0.010204839506084327,0.0013390241245073266,0.14421308865720608,0.11277435343805889,0.024155965612970554,0.10043765754967107,0.015882175722966477,0.011419839637797281,0.0683260168521267,0.29090055449327923,0.4309185778689324,0.1576261844943109,0.021068146314789225,0.02460363981964435,0.004570285287219273,0.04458087046380867,0.000719492159849141,0.0074368137033574665,0.07682791950509528,0.0003165703020279662
2025-02-01,0.11245449716511013,0.08521596091770427,0.0033099776205700385,0.002190500414015731,0.01105031741990881,0.32624288425273995,0.20082231893209224,0.875871897682716,0.05341653058025739,0.027847308488995016,0.01053257331391756,0.016810465230892233,0.006611787407431709,0.14348359226316865,0.11378415815871763,0.024194229465420873,0.10049653236794533,0.015785097006894247,0.011308651339104626,0.06881125950185994,0.29058345500475236,0.43254732767282056,0.1780542014485327,0.021349283657883446,0.02502388247731266,0.012446090640220293,0.04522144326239924,0.0007614094141691213,0.007483857329932626,0.06365595859632109,0.0003084547255595955
2025-03-01,0.11258532802337261,0.08360759665565137,0.003338841549396553,0.0022324777137767956,0.007583552464571841,0.32466496499627095,0.19996122846064895,0.9327474284689395,0.053540608318755484,0.028064077975571703,0.01059430010591584,0.026429045529425075,-0.001250316196339305,0.1428095998045699,0.11473371712778617,0.02425391960392631,0.10049821449174472,0.015633404259736847,0.01110635305392605,0.06913751178568106,0.29012057330326657,0.4328690531085145,0.16734320033377761,0.02147473602977562,0.025324232910102676,0.008829802869855735,0.04597595906876942,0.0007615007931898422,0.007523022334239313,0.06598250403211267,0.00030610942321830897
2025-04-01,0.11301952448104446,0.08224773128672488,0.003377751955257285,0.0022631941554835657,0.015428421715695667,0.3224797633225407,0.1983012184358539,0.8907222522406238,0.05363241888508952,0.028289857909286995,0.010606171819505194,0.004025681676467514,0.002483983732363429,0.1420638999856682,0.11619564158621602,0.024241260079150447,0.10027088910237655,0.015410461030031838,0.01095189463997084,0.06909093348626634,0.290312503429431,0.432285435194535,0.1372851059062656,0.02126236833587903,0.025511407210203535,0.0029567501994752603,0.04671279879796313,0.0007309923866139225,0.007479776333973554,0.06844588521598474,0.0003107554662022704
