,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.8814369794780177,0.05957800724283343,0.04890899721535688,0.08988529649200436,0.16366167259334236,0.6707759626873993,0.8187651714936144,0.12481639875844053,0.25838477810336624,0.09205795191084908,0.134502116234602,0.1371366556911129,0.016163956117272216,0.29177258996733824,0.16098234381601134,0.12157231636022624,0.16754732869181876,0.24436421101177558,0.034293058775092006,0.1767489365523787,0.3130467857655651,0.8141241038581347,0.337115143866087,0.01813594578101799,0.21117764892642388,0.0032725312286960018,0.05517895623471181,0.003948306113687464,0.0003806580946277855,0.018413938300040407,0.007608733198354263
2023-02-01,0.8816125680002136,0.05967463037572969,0.04933939163063943,0.08978104358840035,0.16470017732710382,0.669681030979562,0.8198714333412411,0.1250701584045373,0.25992863371120056,0.09314751191607218,0.13493829136808183,0.13821029643498192,0.01659123487058078,0.2919005896665769,0.16105653290772187,0.12008955189886968,0.167787938499721,0.2451737837129272,0.034103216010098775,0.17739936432454137,0.3127380867468494,0.8141883914771697,0.33686046035732026,0.018167338512134385,0.20945210643776935,0.0034187655697283797,0.055221721053949055,0.0038708971447269005,0.00039123978948103506,0.018132735753947707,0.007586919875282538
2023-03-01,0.8818829080214333,0.05990748851488662,0.048903214920699115,0.08953994100692754,0.16503791438649423,0.6692667628127301,0.8213308782878994,0.1255347919158562,0.261228473836261,0.09418187244958794,0.13559011544542765,0.1389983727198103,0.017025531803799697,0.2918973846883973,0.1609134016167739,0.11847245983567413,0.16825471971009254,0.2457385247077212,0.03402639641716211,0.17778137729901805,0.3119931136224041,0.8145993106953024,0.3367480264013318,0.01809520120771877,0.2078623849698007,0.00354627307469927,0.05517415832838059,0.00382491844309326,0.0003913834775162669,0.017978662498656692,0.007524019588083325
2023-04-01,0.8822155671775989,0.060552747451406104,0.048076458467411716,0.08915683720096498,0.16509497173018944,0.6702798244323775,0.8233877944520155,0.1265560808864184,0.26256215335894073,0.09531961771801405,0.13660085371334568,0.13941925768372154,0.017334980558299143,0.29169379808397466,0.16116041148565283,0.11715697522912935,0.16912688765278422,0.2458886328857882,0.03403939399523986,0.17826057864836836,0.31192136769617274,0.8154427088282852,0.3369899387614887,0.018124632095809133,0.20664608141204682,0.0036315327644769373,0.05527615211735408,0.003799254650184247,0.0003870511977286913,0.017963063469242757,0.007466743840474957
2023-05-01,0.8827978635477607,0.061458150105709534,0.04775761490849108,0.08910130886487933,0.1653510598199404,0.6718485530035966,0.8252347425154691,0.12796828302998586,0.2633746523025077,0.09617003548890765,0.1377273216891413,0.13963865026850192,0.017469023482059528,0.29117291604515827,0.16199078254128071,0.11640605757158828,0.16977819885069387,0.2460708436274658,0.03418818227966921,0.17880183994338644,0.3118684825729941,0.8159541335873883,0.33715996645948665,0.01827287584920604,0.20549321807059037,0.003689193097649762,0.05536646864916528,0.003761735926298221,0.0003836556051743257,0.01787043353768096,0.007368836450611923
2023-06-01,0.8834124744431645,0.06220821352803569,0.04807542313974708,0.08951301007040097,0.16549441714322694,0.6731910624595717,0.8265309779250583,0.12936091579656298,0.26344966750871923,0.09665475071687361,0.13846892980028458,0.13977099713187432,0.017639564736032926,0.2907789330991327,0.16244260966985383,0.11611547491270884,0.17021033139505598,0.24668251823356002,0.03437710491627786,0.17891730752846874,0.3112381455621381,0.8161593378725049,0.33695335024620193,0.018403611365280594,0.20394404200632316,0.0037399517268420605,0.0554442121077869,0.003689979644068784,0.00038763383479463887,0.01772218838627812,0.007199919133448593
2023-07-01,0.8837820845494625,0.06295339895238662,0.04861328539786815,0.08991197762321826,0.16597784649068095,0.6743282160238495,0.8275906251732391,0.13085707136503755,0.2632221316267072,0.0971175691371394,0.1391789078337916,0.1397079077336421,0.018093217858311333,0.29115219869565945,0.16254066232791128,0.11593788994705619,0.17059135512548873,0.2479495568339049,0.03452924212795158,0.17865132159343008,0.31073685646965066,0.8163424515845948,0.33657834348233273,0.018408147547888637,0.2024511300064385,0.003791750763407449,0.05569383357488743,0.003640990929767274,0.00038766093279319486,0.01767386393712895,0.0070093930591470285
2023-08-01,0.8840458605800625,0.06378633281530643,0.049134932518828014,0.08987075885257277,0.1668968131639744,0.6751425129339303,0.8284889116623495,0.13246576559094203,0.2628197998548478,0.09762676321171385,0.14010160861843185,0.1392063264984963,0.018629387687596366,0.2916245557372441,0.1628514243536006,0.11587936615237424,0.1708203844682405,0.24951209992707524,0.034650456342465094,0.1786242219395682,0.3108199128719587,0.8167135388705539,0.336528662192352,0.01834491160246803,0.20102207296059255,0.0038136203948326746,0.05586083294852441,0.0036585141682907,0.0003823303778911903,0.017707024590350263,0.00678965773908034
2023-09-01,0.8841032007470242,0.06443546144180327,0.04968379336441078,0.08933012138823189,0.16782927907027065,0.6753841479190811,0.8290062490532247,0.1339608092328492,0.2623415852999188,0.09810450674761942,0.1412491372336136,0.13859875782372494,0.018937358678706644,0.291752181172637,0.16336965129612532,0.11601230607790013,0.17074965422318444,0.25046249157769934,0.03472233451618766,0.17867021341228212,0.3113310882824496,0.8174222972250944,0.3366708314684004,0.018371594652749183,0.19964921265345248,0.0038188719358155055,0.05597369598832325,0.003739082307429916,0.000390148013571658,0.017854038509758127,0.006573291455534213
2023-10-01,0.8838751759383422,0.06488256396531805,0.05000736499457689,0.08873932320361863,0.16890880215957144,0.6751785620892171,0.8286774806311012,0.13537847214209864,0.2616820682036469,0.09860806016285101,0.14234875112947898,0.13835545252979722,0.019020321517141746,0.29216701382921517,0.16359256323290466,0.11624152332778773,0.17038895357659492,0.2505318846573923,0.03494218025235229,0.17851148683798113,0.3118631296653981,0.8182196318573591,0.3367038167562366,0.018341933361967717,0.19864224791513452,0.0038270372230859067,0.05607686249447183,0.0038149885117382022,0.0004038800207469759,0.018011990998095487,0.00644234842619998
