,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,0.0007128175686304322,0.00041786031879535506,0.001065721595534827,0.0005905001968809283,0.0029495838204436817,8.196983973843185e-05,0.026137641605429467,0.0007067863627024554,4.873744181377784e-05,0.0030566627773301576,2.126331248439352e-05,0.0002781344678649471,6.373814425571624e-05,0.00017883200446687842,0.000668056150688021,0.07351663408391751,0.007407684390464834,2.2938531491105727e-05,0.00033928796787121885,0.0003144236249949644,4.249479450427761e-05,0.0001345335588413617,5.0920928781594664e-05,0.001288997906617453,0.000132223055828571,0.00013007289639190803,0.0012426930086939661,0.015569873139345236,0.0018690160968360646,0.01741424057606474,0.0002057936770815936,0.008957328527687205,0.0028128874697402476,0.005130620243558829,-3.7950977965494074e-20,0.004030453776245167,0.015948979489814073,0.00017860631721281623
2023-02-01,0.0006144498742626425,0.00041111717391989825,0.0010693493830521736,0.0005899899391718608,0.0029011843408421386,8.565767270159766e-05,0.02633105717444025,0.0005997041226101008,2.6592861425671767e-05,0.0030991204570053397,2.5717650343770662e-05,0.0002704210754138714,5.830758937404711e-05,0.00017246359968655902,0.0007259133125568369,0.07434536129413175,0.0074499322002157,2.4701942121977403e-05,0.00034547706757450715,0.00032619850713850793,4.5886019700792e-05,0.00015934622095137307,5.2795939162862535e-05,0.0012837392903189446,9.365402742684902e-05,0.00011644870047690376,0.0012733885469227873,0.015437281868260433,0.001872762410395322,0.017466078501341263,0.00018435253096873045,0.008919996440480006,0.0027363848357160664,0.005206631715364501,-7.899977632242742e-20,0.0040079532761166485,0.016106995198629227,0.0002066219668789874
2023-03-01,0.0005967921093585681,0.0003894425142891959,0.0010560681837007103,0.0005932036110448727,0.0028214605481193516,8.926316684447575e-05,0.02674156015099381,0.0005267075151024741,5.1924993688528284e-06,0.0031074247154701754,3.279419140231892e-05,0.0002729508413337058,3.359693650119226e-05,0.00014002228514277968,0.000772653037953915,0.0749204503283175,0.007493274212939532,2.2039286964697675e-05,0.0003505811861057122,0.00033846463877547535,5.143211508470867e-05,0.00017994338740598688,6.521370172012432e-05,0.0012855650148093699,5.9623152378457666e-05,0.00011304949428774289,0.001262790605351165,0.015364895389748908,0.001895347245695713,0.017531853073334228,0.00016416432429355968,0.008949434541248717,0.0026830742634113454,0.005292909464764428,3.4978263108248747e-07,0.003998494606505744,0.01620687125133,0.00023211531759430282
2023-04-01,0.0006596508893717679,0.0003648222600234302,0.0010534311137677934,0.0005953731981456651,0.00270149541721878,8.751392208094738e-05,0.027467913097080555,0.0005483865695228851,1.5471890836831766e-06,0.0027040110801299674,4.155491365649177e-05,0.00030178681393616853,1.4639135272092511e-06,9.406783599997317e-05,0.0007917980098356135,0.07525246580619356,0.007446538153086206,1.3706515166249877e-05,0.00033357525804734176,0.00035451409201554254,6.294263557303479e-05,0.00019717208352377656,8.229694073526562e-05,0.0012867786044628352,2.3668523678645686e-05,0.00012026046529226258,0.0011959841910406481,0.015409165830668883,0.0019449202630279917,0.017443881066220898,0.00013956115793369757,0.00899000495041034,0.002645850502009846,0.0053088225722878616,1.3290256692094399e-06,0.004041908276699137,0.016182044277323566,0.00023718653812128767
2023-05-01,0.0007589158365372555,0.0003500047408590746,0.0010726049515085113,0.0006085431595381333,0.002626964430047879,8.491145628580952e-05,0.028360244513069593,0.0006219178121507525,6.8897468757057396e-06,0.0019748015525788277,5.1994593012240506e-05,0.0003336898580010065,-1.8467321935841576e-05,6.023679537110895e-05,0.0007723985195092985,0.07538508860230167,0.007328716125753263,4.133399071244172e-06,0.0002913509749078201,0.0003657079296869852,7.732135988744165e-05,0.00021203201382887266,9.852656469149557e-05,0.0012970851859048578,-1.0108890171381477e-05,0.00011815507856868638,0.0011047221859919896,0.01555278522881015,0.0019940780932596294,0.01734773271433412,0.00011399430530833053,0.009047808009233549,0.002620927613229354,0.005273939750279536,2.87555733367531e-06,0.004168851819464428,0.01616141664999521,0.0002317403009563817
2023-06-01,0.0008633397922429627,0.0003442939829278038,0.0011287252623010226,0.0006207097877850203,0.002645632262813014,8.847564463670851e-05,0.029162255041449286,0.0006315841366626536,9.494968032987362e-06,0.0012504928942300938,6.45758565232989e-05,0.00037122464803027286,-1.1987937542885617e-05,4.720280195818675e-05,0.0007242533468029166,0.07519052365584974,0.007148729153470029,-2.9821840572352254e-07,0.00024431640167022086,0.00036720538952063564,0.00010233363199390899,0.00022099724878039023,0.00012375406998847837,0.0013276872420577247,-3.2503272364860304e-05,0.0001136064259551727,0.0009812911469633588,0.01562763927417915,0.0020291606356874453,0.01734835524049276,9.011069639782451e-05,0.00921455323128796,0.002632117883925202,0.005326643571679467,4.536009430252064e-06,0.004351084260084794,0.01615567733447109,0.0002191075153207073
2023-07-01,0.0008754901354222263,0.0003246975701412315,0.00120803965049676,0.000624899306053812,0.0026962240483181955,9.53103431980518e-05,0.02978062672777974,0.0005469440548812716,2.016211173257595e-05,0.0008446710322213787,8.038773583622262e-05,0.00042759808245466404,1.924355991803943e-05,4.695998824010136e-05,0.0006667028348817822,0.07469437510556144,0.006899262062809717,-7.139201164803809e-07,0.00020173477896611575,0.0003700372682514371,0.00013696221261598777,0.00022580204499122547,0.0001563635386455794,0.0013455311490793683,-4.641070518103193e-05,0.00012535552597311972,0.0008431617532536305,0.01568481497689836,0.0020388895223736802,0.017403449902982156,6.926016853541175e-05,0.009464184252996144,0.002713375657629382,0.005536487480006935,5.974698733918425e-06,0.004558145854288836,0.016148824417441636,0.00020959330118877975
2023-08-01,0.0007737335959829265,0.0003111829890898815,0.0013076114654982157,0.0006360799370705227,0.0027185088885525142,9.204560159621443e-05,0.03039762536359703,0.00043656798369191884,4.746418578301951e-05,0.0006065380907953159,9.734769280087173e-05,0.00048045902342281813,5.3782291394297276e-05,5.708888994306719e-05,0.00060145699310714,0.07422557596270855,0.0067025717934773394,-3.622937314240113e-07,0.00015194936311988634,0.0003908829234057339,0.00017188932092030096,0.00023020428013547799,0.00019642494063774684,0.0013465714683312162,-4.5702929549374326e-05,0.0001553653730631962,0.0006891911594519796,0.015709568571265795,0.0020230753366746405,0.01749285668099318,4.859002925428733e-05,0.009670172180216265,0.0028389449273584165,0.005779539068081876,7.209681026042886e-06,0.00478078034184116,0.016220351405360912,0.00022165127937946608
2023-09-01,0.0006335187143014213,0.0003036159470912544,0.0014069264474684084,0.0006559850574583293,0.0027466151975931246,8.338515354857696e-05,0.031036776908244596,0.00035598573812019524,8.078137523484231e-05,0.0002382446215995486,0.00010774577111824313,0.0004848772331376728,7.053524449973728e-05,8.484499762068213e-05,0.0005313847164244743,0.07401374013604295,0.00657687027678586,5.275026624826861e-07,0.00011067183755697317,0.00042066807903877923,0.00020581382379801776,0.00022501648665984,0.0002379758032971723,0.001312316245525941,-2.757127120084238e-05,0.00018984185114929438,0.0005267269578530973,0.015744724905320463,0.001974350866153541,0.01767557076768685,2.002799327301355e-05,0.009678928633389466,0.002957762106682767,0.0058997541050797575,8.282710294691824e-06,0.005019791609299804,0.016246298356434968,0.00025140027738877063
2023-10-01,0.00050175389816516,0.0003029770232192327,0.0014757518383878348,0.0006639597763702498,0.0028170310060698736,7.518708270639831e-05,0.031486070212704664,0.0003096295160921799,0.00010264119995324891,-2.1423068908218773e-05,0.00010904641639040238,0.0004529859524992826,6.055889539953303e-05,0.00012740340074688674,0.00045922838144677857,0.07365506776187261,0.0065712628405405,9.148398464677325e-07,8.303243144270993e-05,0.0004361772822334966,0.0002337132284696412,0.00019774402366471295,0.0002740377246980187,0.00122688363660889,-1.0383124548568831e-05,0.00022268355093312838,0.0003112869467213496,0.01592216150819364,0.0018982857455828706,0.017936692487125698,-1.6974737932790073e-05,0.009519811933977915,0.0030299256526297646,0.005812468709661893,9.200472926492191e-06,0.005217115447914731,0.016224244602779474,0.00028085652912197986
