,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Analysis,Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.05992170064553602,0.03456474496307106,0.6746941670664923,0.6963001629295701,0.11741776099985418,0.46909993955234713,0.10843426196409339,0.29803178840395245,0.00796955247314101,0.5516267522251994,0.07994919931975189,0.022356687867079825,0.19950455389750305,0.7873249975897253,0.4702677864552374,0.01930879625321584,0.5386435736590175,0.003807893180901226,0.06051880361359347,0.005529137895136311,0.002537714782433852,0.06074594973820306,0.028102714425919564
2023-02-01,0.060064834606700444,0.03446545529662738,0.6744695246542202,0.6970138135460655,0.11805857135875128,0.4708721145831214,0.11054644877279705,0.29771878027875953,0.008129032661741295,0.5522386160412467,0.08124750064232268,0.02276459764983553,0.20078682098250386,0.7885762926655515,0.4717781020630676,0.02055077151451315,0.5353619463353818,0.0036851569215175534,0.06118939395849541,0.00575885791235684,0.002653504628355099,0.06163209753064979,0.028225397887913475
2023-03-01,0.06079369174926218,0.03470792655492581,0.6742268441385383,0.6977153841501328,0.11880194660822746,0.47275320088601025,0.11265180711012646,0.2957828196395304,0.008275570278227402,0.5536875145302266,0.08263524457867998,0.02307725251003486,0.20234479431832508,0.7898634000099345,0.4736477349089617,0.022047714881282265,0.5319455737934327,0.003616412294710089,0.06159510255437359,0.005990939572114308,0.002786098855163099,0.06283616434505518,0.028173941350122463
2023-04-01,0.06179917241949317,0.035309655406732796,0.6739705648369798,0.6984109223658438,0.11962604376341113,0.4745189288026964,0.11471573155859517,0.2920780802898199,0.008404055584531191,0.5548966795621781,0.08394926421464584,0.023188921249362768,0.20443358257928668,0.7903882251479375,0.47602596754383375,0.023844868711489497,0.5298099861797694,0.0035951353989246825,0.061651499743276654,0.0061416425326960645,0.00298491458790326,0.06421316311764243,0.02784383292999572
2023-05-01,0.0627021428223101,0.03626460440356856,0.6737051486555374,0.6991047815650222,0.1205095997265625,0.4755477498562937,0.11669863967304675,0.28646867772826357,0.008537681733672232,0.5559468982386688,0.0853154961764659,0.02344030670636471,0.20686923753842829,0.789949896719527,0.4798266665298219,0.0260018392786064,0.528934152184529,0.0036222537602644614,0.06131471221943145,0.0061563740351772665,0.003266943849752831,0.06560007788278588,0.027607618841095895
2023-06-01,0.06342971376942058,0.037542679406788584,0.6734350627526876,0.699800022253792,0.1214325851813476,0.47507485356417223,0.11855583266551227,0.2800651346946095,0.008690153254451445,0.5568463867989272,0.08682243965568322,0.023929088469716808,0.20927723853970548,0.7900049587555058,0.4844675104263322,0.02859806078587098,0.5288044802271004,0.003680865443089225,0.060910542109786206,0.0060536536133975576,0.003501814503011699,0.06657377461859806,0.02770194834064776
2023-07-01,0.06396029059429292,0.039090808551354134,0.6731647622995007,0.7004987255594973,0.12237671335127805,0.47249840706006696,0.12023742091621474,0.27304229216127845,0.008872908875709039,0.5564726234953747,0.08822465398587313,0.024353436782728194,0.21149910512068643,0.7916285728129516,0.4884545544370094,0.03173976832274002,0.5283510600146818,0.003734535900541,0.06038452075081471,0.005906358136391522,0.003592282333997743,0.06708003321794889,0.027939218020914938
2023-08-01,0.06473842091824156,0.04083561325689091,0.6728986734015887,0.7012022372319651,0.12332580844145888,0.46756417719113175,0.12168832624212286,0.2653663198294339,0.009062240784370755,0.555304062581931,0.08962065211613009,0.02465165730630689,0.21367639686339152,0.7945960998209999,0.49103567552648447,0.03556884410204035,0.5267395933551906,0.0037801165897835987,0.05996546183275856,0.005784254823990606,0.0035768277177942046,0.06731322441773117,0.027916319827935385
2023-09-01,0.06592283151919916,0.04268755406752402,0.6726411762475797,0.7019113568204632,0.12426604274315253,0.46041978097731484,0.1228483734993416,0.25852839547096385,0.009169534989747069,0.555243596914316,0.09136461102453465,0.02507626843701087,0.21598639578166717,0.7970610339059564,0.49175531739043243,0.040273999943581655,0.5240662687596326,0.003780197715741172,0.0601399556993285,0.005715279609563903,0.003538525556258604,0.06727050892379025,0.027483018521572186
2023-10-01,0.06717470553034151,0.044546330021382925,0.6723965885474993,0.7026264836860759,0.12518605457807383,0.45159241280187146,0.12365248463087074,0.25453209520169273,0.009196849499367301,0.5561288644335848,0.09330277011083812,0.02582688088317022,0.21842339917066977,0.7973104132673301,0.491144472381046,0.046104888213924757,0.5210559714358731,0.0037274040145284636,0.06089420965385768,0.005688292096067249,0.003535682117203243,0.0668128315580967,0.026891089179516808
