,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Tire Balancing And Rotation,Skill: Risk Mitigation,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,-9.435210087279015e-14,1.3901021005243787e-05,0.002255179750009467,7.374034478137732e-06,1.20105651277102e-05,7.578035570817823e-05,0.0002929271808527151,0.0,0.00014984982170702368,0.00889944469222137,9.769814898899588e-06,5.379525500402024e-05,5.745023988897512e-05,1.7443680445472475e-05,1.0167392505602415e-05,0.0007805613272317412,8.93597973587832e-05,-1.5073734014745567e-06,4.5131908464924864e-08,0.0019443871985712208,6.0225262277134446e-05,0.0004584646778684013,0.000999380078650382,2.7512580964814535e-05,0.00029706905001797854,3.0527892135748544e-05,4.4265080178278056e-05,0.0008364322138488379,2.478052954442701e-05,0.0029173876194659738,0.00020483380589524444,3.8058139705945794e-05,3.123385098907347e-05,1.3911342133112141e-06,0.00031363226143350776,0.00017966791297967884,0.00013220340649073228,3.5935134774778e-06
2023-02-01,-9.317770244010421e-07,1.680215962629457e-05,0.0024747122683496177,9.841084761784886e-06,5.05619499069493e-06,6.640810674786172e-05,0.00029068988701051214,0.0,0.00017010487233545745,0.009264527277095733,1.4133805637026145e-05,5.158207841066889e-05,5.79844935625807e-05,1.5072590525997846e-05,1.4394296305585805e-05,0.0008050043168593174,7.753565863872545e-05,-3.253894859372838e-06,-2.974078657014291e-07,0.001981823624492193,6.703811874109814e-05,0.0004549792933319307,0.0011685210205036312,2.7758763609555126e-05,0.00029336344709637,3.725740989319827e-05,3.747654490695279e-05,0.0008949707539765721,2.7612475259491713e-05,0.0029601958838166584,0.00020812227130752417,3.423030900607358e-05,3.045425595016849e-05,1.554131311958397e-07,0.0003235148843621829,0.00020072821079142816,0.00013924834212247097,8.225457812466502e-06
2023-03-01,-2.2138629937418196e-06,1.5434426781558195e-05,0.0026641482078369584,6.122604608606948e-06,1.395643401570841e-06,6.111975543999224e-05,0.00030283047894291156,0.0,0.00018804040038881395,0.00943040066285307,1.8092697647974406e-05,4.868363232557723e-05,6.228268421292204e-05,1.4546004586291812e-05,1.8459276086264084e-05,0.0008442703726201068,8.148068165107124e-05,-4.267728890022407e-06,-7.920355467623464e-07,0.0019946777581329525,7.40840197103487e-05,0.00047641956962349156,0.0012686366681415283,2.7224411600144913e-05,0.0002960612466671801,4.94950820015186e-05,3.479754124748608e-05,0.0009431202685093278,3.144246303690829e-05,0.0030378498361322316,0.00020857308853989315,3.408176122297184e-05,2.9034231702105826e-05,-2.5011963094005254e-06,0.0003225199664568976,0.0002198290570147847,0.0001425436415232597,9.437598657099909e-06
2023-04-01,-1.6179086099738054e-06,2.0127211023565598e-05,0.0027822009031272803,-4.172533804240687e-06,2.538352604910007e-06,6.273802428008479e-05,0.0003188601808753075,0.0,0.00020419070067065703,0.009403606221617034,2.9176274620841346e-05,4.564442212045136e-05,6.901977228913115e-05,1.607737520457244e-05,2.2743628925667878e-05,0.0008726506925804391,5.919678266138486e-05,-5.2091830765903295e-06,-9.332550806679112e-07,0.0019872931431767103,7.803857525757343e-05,0.0005156490015297537,0.0012915392879793732,2.5368234019402308e-05,0.00029659163186150937,6.776481529291087e-05,3.703437071611934e-05,0.0009973411418108926,3.433258169333758e-05,0.0031758638052588693,0.00021659513658147474,3.9043569046680855e-05,2.7737076207299544e-05,-5.7266802547175465e-06,0.0003082246923129223,0.00022187390501554204,0.00014663236858873202,1.3337752277961224e-05
2023-05-01,-5.534728544342433e-07,2.4422422110396215e-05,0.0028645921420494286,-3.393786996156717e-05,5.030121164876483e-06,6.443222256862484e-05,0.00032999891478348683,0.0,0.00022188563774283595,0.009097544144646042,6.0456076925558885e-05,4.2854380815522325e-05,7.156020686519029e-05,1.772215494884013e-05,2.7213089682595424e-05,0.0008811703928417525,5.1545748773983255e-05,-6.621445673153084e-06,2.196783723606825e-07,0.0019510965179178994,8.154209747032817e-05,0.000559204119558597,0.0011321260623171755,2.428802640407071e-05,0.0002946763409884058,9.254780231097034e-05,3.796374015567943e-05,0.0010640005567066524,3.5618622486692194e-05,0.003335373909098101,0.00022905143368739651,4.293331083479855e-05,2.3393831253740626e-05,-5.609309017076271e-06,0.0002844822743489452,0.00020236561847322227,0.00015122660526216758,1.7096424300109784e-05
2023-06-01,-6.985022730923168e-07,2.12563138640381e-05,0.0029990787918204344,-6.924526647857416e-05,5.9655599905864145e-06,7.065970805733817e-05,0.00033268233219357045,0.0,0.00024288608208213435,0.008478246507665226,0.00010038559151630478,4.102544329404693e-05,7.293613396777144e-05,1.6963352566743775e-05,3.2205897479890766e-05,0.0008858288311641852,7.094182651770422e-05,-8.886072128669317e-06,3.278246060961147e-06,0.0018911333693913057,8.317794471649319e-05,0.0006080811442162155,0.0006300901526728159,2.5107641342744315e-05,0.00028919090828869907,0.0001144297829101727,3.849399519400045e-05,0.0011161915903445344,3.576143181617677e-05,0.0034543101847633274,0.00023496826327562862,4.1165270198261914e-05,1.7904426017008823e-05,-3.763688934511394e-06,0.0002577669555272915,0.00016861517839013767,0.00015053755818873618,1.7243531179721597e-05
2023-07-01,-1.0126918263859023e-06,2.5117659227253755e-05,0.003148598526160363,-0.00010264802105868623,8.048700241788018e-06,6.972313601260577e-05,0.0003328321667369067,0.0,0.00026492277351911726,0.007716751940217895,0.00013379912842675045,4.0682344876243375e-05,7.730869572507873e-05,1.7057848606234354e-05,3.789584520506658e-05,0.0008947486424322311,0.00010251738613994692,-1.1144614985297949e-05,6.971180407628495e-06,0.0018165496450546414,8.045098230015511e-05,0.000667119317434208,-0.0001947582408787679,2.6225198998464256e-05,0.00028205805790910017,0.00012846539598427794,4.275426882871187e-05,0.0011286955649798854,3.530449829775184e-05,0.0035059183222391674,0.0002362716760800395,3.7750348040333766e-05,1.5554709409993315e-05,-2.884476141998089e-06,0.0002364151856661805,0.00014349957352384832,0.00014409219167196456,1.950187421102374e-05
2023-08-01,-9.547462117046693e-07,2.6614005054882483e-05,0.003245613818903926,-0.0001377653545947555,9.625772385641303e-06,6.659669632701686e-05,0.00032839143696298493,0.0,0.00028685319583635023,0.0068277781440351185,0.00015630590631207164,4.143808029918656e-05,7.928259907527752e-05,1.851367364403795e-05,4.427850649611034e-05,0.0009021959486070405,0.0001247385627131255,-1.3336195110714708e-05,9.547774492980469e-06,0.0017352248930804408,7.477592795477831e-05,0.0007245628584892734,-0.0004481088296909794,2.4892918022507335e-05,0.00027409829296372865,0.00013985367285844017,4.86365531963926e-05,0.0011204390446247932,3.4434056684136066e-05,0.003510534532985349,0.00023868341411930423,3.787291984907038e-05,1.661210333530625e-05,-2.7245193957751674e-06,0.00023520871813177056,0.0001320311935980931,0.0001375072064282718,1.728505649297575e-05
2023-09-01,-7.688992295439128e-07,1.9324280254276878e-05,0.0032505009462073385,-0.00015733153191537302,7.876089104500027e-06,6.587976553762895e-05,0.0003189581064510121,0.0,0.0003063884627192563,0.005934549843218535,0.00018510318266440416,4.1008812836663894e-05,7.761758736488329e-05,1.798483299782614e-05,5.1582959767827146e-05,0.0009070620678023191,0.00015656290766490465,-1.5362475445685873e-05,9.727743835262131e-06,0.0016621351268211616,7.130056155791232e-05,0.0007707109501718072,0.0006507963359261447,2.2952319587452293e-05,0.0002629554461116328,0.00015093844166588609,5.134095332346963e-05,0.0011213187384302424,3.358999148896472e-05,0.003500426760732712,0.00024725756158870563,4.04022510165345e-05,2.0892814814710362e-05,-1.0446419688763813e-06,0.0002577012930594386,0.00012137353731385777,0.000132701335695053,1.1648534359616759e-05
2023-10-01,-8.367960518795455e-07,2.092457923502498e-05,0.0031663959278662524,-0.00017033221999460563,7.604014205185168e-06,6.527062855147891e-05,0.000311092405861739,0.0,0.0003274788253314801,0.005136977672873038,0.00032901754009172354,3.858494067845083e-05,7.772695254396278e-05,1.677556748942762e-05,6.0334848566808626e-05,0.0009100348972481571,0.00019523636268310512,-1.662242031037757e-05,8.702946723781883e-06,0.0015890096253771261,7.246672002299258e-05,0.0008008152162698943,0.0027211113540154797,2.3609791928388965e-05,0.00025361805648673244,0.0001597198309957076,5.1658465130673315e-05,0.0011250205149099604,3.331453509109038e-05,0.0034474207548003443,0.0002576430275065646,3.899039553442183e-05,2.572382112509195e-05,2.0328429953319235e-06,0.0002806157679759594,0.00010560330615648632,0.00012580716369016515,1.3764143772503138e-05
