,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Account Management,Skill: Team Effectiveness,Skill: Tire Balancing And Rotation,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,7.5901555343662296e-06,0.0007498739123431551,0.0006901544680429298,0.00017763818709808514,0.0025282265765710684,5.529825379117319e-05,0.0031227576433357565,0.0004089729036360078,0.0010698539959515278,0.0006534298641134263,0.0012721728048770298,0.0005697603973636911,0.00034804955333351173,4.399898693933184e-05,8.962176892717457e-05,0.0059300361229781195,4.1677961136567525e-05,0.00045726530990444964,0.001337298563221782,0.0013254275502273861,1.8807759838222952e-05,0.00018192735608110223,9.259670800184197e-07,0.0015099736203918208,0.0022555459068168623,0.00013480942615530387,0.049486873995315074,0.0007345453768614382,1.0449127372797212e-05,0.004457997734337916,0.00016108583845335755,0.0009889324959665429,0.001015960713539676,7.513220040983095e-05,4.081358197035098e-05,0.0028100482279115983,0.0014951071277849017,4.2616952912223175e-05
2023-02-01,3.7438421462085436e-06,0.000743779586952305,0.0006896656222525222,0.00018103253685793042,0.002531341196505282,5.29036377046911e-05,0.0030711087612486808,0.00041650818439628546,0.0011038416526510065,0.0006989956540212421,0.0013081372574223352,0.000586140485576007,0.00035196953514507245,4.715220369051542e-05,6.715990394317723e-05,0.0059931882584940204,2.7203511071991426e-05,0.00045852276718021893,0.001332220962289867,0.001370199740699421,1.6428574108464523e-05,0.00017471740707486922,-3.7658902285550085e-07,0.0014914573095305382,0.0022292877434824214,0.00013883580680126221,0.04983368318171412,0.0007287607457689999,9.719257751293077e-06,0.0046427593433869385,0.0001526731643226315,0.0009990976721440175,0.0010361319759224785,8.056352360184311e-05,4.110553798855794e-05,0.0027991143003736458,0.001453079574453057,4.2502991931221203e-05
2023-03-01,-1.3116619848965207e-08,0.0007378277659979119,0.0006965750609982837,0.00018912460964356522,0.002580104727792851,5.104978342138868e-05,0.00299971531895879,0.00041573125285071673,0.0011312925991882666,0.0007497668932286365,0.0013237634898411546,0.0005787408883888213,0.0003527618287282384,5.024148413057807e-05,4.695831986500438e-05,0.006038426406425888,1.254084612153678e-05,0.00047896910118022185,0.0013052045252319026,0.0014080266884304651,1.2670870017855562e-05,0.00016827665317067632,-1.1605812039186916e-06,0.0014480476436468008,0.002219878711004679,0.00013866339806735813,0.05022520792500433,0.0007054531778605713,9.71020978319724e-06,0.004774035395704267,0.0001419716760576541,0.0010007356068816127,0.0010498830036702739,8.697440975174927e-05,4.0736710148283587e-05,0.002815219424123337,0.001407580844350098,4.0426069821449e-05
2023-04-01,-7.309389883350859e-07,0.0007310756784602973,0.0006931313397439857,0.00019989500226346178,0.0026975649929608546,5.003474234813129e-05,0.002945243125653267,0.0004100781677538515,0.0011614962770750414,0.0007968089390895414,0.0013517767985527795,0.0005586804614248273,0.00035023438123551147,5.3814677129319544e-05,3.6110301028922145e-05,0.006055331615369696,4.057541695339211e-06,0.0004905688070436101,0.0012602335006516698,0.001454668690623264,8.61099132763218e-06,0.00015801363450714646,-2.677403744954334e-06,0.0013884176317863059,0.002218261649793161,0.00013718409669538165,0.0506512236458415,0.0006831609705901633,9.03102741320016e-06,0.004857126706049443,0.0001261570926420141,0.001008331436382368,0.0010519177161646194,9.427282571164764e-05,4.072224937738271e-05,0.0028594805223678948,0.0013589643929058544,3.729596070584814e-05
2023-05-01,3.065774399267136e-06,0.0007307808607046191,0.0006752871801719393,0.00020133218840268018,0.0028534939524670136,4.99555720062311e-05,0.002956440911083236,0.00039946718989111973,0.0011965916287990513,0.0008428870481686427,0.0014071028408476109,0.0005390136334541002,0.00035485189045792766,5.552475563196285e-05,3.211865628439309e-05,0.006039255712605222,3.58929330619576e-06,0.00048726987693595855,0.0012174451695312464,0.0014926680564464815,4.4554211253853475e-06,0.0001464997233098754,-5.185205621525195e-06,0.0013561502446102895,0.0022367274628277167,0.00013776429990579328,0.0509745703905563,0.0006741183412845287,8.120068433504225e-06,0.0049120367082981665,0.00010564672285214615,0.0010268225733905466,0.0010309529581280506,0.00010208744258381563,4.1069334880649655e-05,0.0028868682301404617,0.0013162547784704064,3.628955395135216e-05
2023-06-01,8.37471087881199e-06,0.0007395144743586143,0.0006617720963122026,0.00019432127746497413,0.003020308577975447,5.0722936852530754e-05,0.0030011368586429204,0.00039000262992781913,0.0012201808382688991,0.0009045974496712345,0.0014842382237676948,0.0005233416631901487,0.0003606725967704068,5.5434171056086963e-05,3.304994086020905e-05,0.005994858224268292,1.1220881557947563e-05,0.0004667781913632043,0.0011925166390323071,0.0015084139892063374,1.7179017499425092e-06,0.00013386477759608516,-7.916399529559926e-06,0.0013672269998017067,0.0022700745568130813,0.000142615822994032,0.05118169045868643,0.0006766444980445125,8.124390423968924e-06,0.004969891873954531,8.724561023190115e-05,0.0010283267007397466,0.000982678948356358,0.0001038255790453737,4.0592894131593466e-05,0.002886419702348976,0.0012932527120890196,3.7718856922423896e-05
2023-07-01,1.2480997071261617e-05,0.0007544279204336022,0.0006618094081280464,0.00018312709221154265,0.0031940802869182884,5.2107583402788096e-05,0.0030372373389118707,0.00038088293603988555,0.0012230986748681455,0.0009837073603926817,0.0015544399690400421,0.0005126677064325241,0.0003479194217437709,5.777723285382323e-05,3.735405579419555e-05,0.005910697866279707,2.2769068998534274e-05,0.00042931326578315716,0.0011950331479094235,0.0015042733421923031,3.3627672471477587e-07,0.00012352334534501146,-1.0574574490411003e-05,0.0014167059914912076,0.002285105815128215,0.00014905284213008777,0.051363961694468885,0.0006831463304420951,8.324690929383189e-06,0.004984095013421751,7.241126370711361e-05,0.0009999700852565347,0.0009093428242263721,9.797903559185934e-05,3.865333631990382e-05,0.0028726606321614794,0.0012764838922991336,4.0488832138748874e-05
2023-08-01,1.4250773135814315e-05,0.0007626874973914437,0.0006682957836002582,0.00017363054852807144,0.003341575313477923,5.380482701078757e-05,0.0030896672027121426,0.0003724232572550411,0.0012291911785258704,0.0010619082351006966,0.001617359637956698,0.0005059694616800315,0.00031653603795789233,6.354881870155083e-05,4.379243317502635e-05,0.005771653170580017,3.598340642394003e-05,0.0003946125506131032,0.0012101345730806624,0.0014860639017872448,1.7819286098782984e-06,0.00012055172560658075,-1.2438008074640445e-05,0.0014646395530855177,0.0023025316976313416,0.00014974874376703278,0.051427410215735866,0.0006844801595429472,7.184818844702872e-06,0.004909662191998541,5.050641309232851e-05,0.0009647430674112609,0.000832386677939709,8.865651126561428e-05,3.590520014238116e-05,0.0028651166225823776,0.0012608598571463882,4.081223200681554e-05
2023-09-01,1.4320412031700844e-05,0.0007532844302624294,0.0006665505988028497,0.00017031377949996626,0.0034542247768137866,5.550215977445723e-05,0.003159405903841781,0.0003722431835129818,0.001241808241290344,0.0011265667068428222,0.0016168263301850681,0.0005022510251316379,0.0002846094458107427,6.827045740038053e-05,5.162090059894497e-05,0.0055819434675213365,5.2435231445592274e-05,0.0003655885288601404,0.0012132665518052618,0.0014543631393419665,5.024900112429665e-06,0.0001241512475773981,-1.3412406558190066e-05,0.0014527209226329048,0.0022926488676170494,0.00014005284544067232,0.05142523075860097,0.0006780696694636172,7.000576285210061e-06,0.004717239298518881,2.8118298600902513e-05,0.0009289136342782629,0.0007868559906029919,8.213355416865329e-05,3.328512828600842e-05,0.002864055491718016,0.0012295526571276033,3.890041023886213e-05
2023-10-01,1.3636621251526815e-05,0.0007262084795958536,0.0006496877905393162,0.00016789076128972792,0.003548761324268274,5.693700752247207e-05,0.003230374972403041,0.00038008165027235576,0.0012493777889031974,0.0011860918752293755,0.0015726206978251606,0.0004958356541029263,0.00026748454534215085,7.074424591359876e-05,6.0767767319440066e-05,0.0053375361643338975,6.242523725582443e-05,0.0003404558069307038,0.0011894583420190268,0.0014126459203137737,8.982873365118429e-06,0.00013810021351549318,-1.3313195989167232e-05,0.0013814973321849013,0.0022591233695785987,0.00012200991995745669,0.051287092033401836,0.0006648861515708252,9.038555131551107e-06,0.0044415719403303865,7.965093552208646e-06,0.0008950085963384579,0.0007686465760082862,8.055931922158866e-05,3.0741414874488695e-05,0.002855921729049311,0.0011673739372098006,3.809131131698993e-05
