,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.1325823004206842,0.04525643446571369,0.004373281895538129,0.028727991012807323,0.0105067119059648,0.4783517161991019,0.20252819740814898,0.2646506569010829,0.03972896197800081,0.04304653197726588,0.010564526280761967,0.07466662276677342,0.0011044419983529848,0.0838537816333538,0.673087505720391,0.07203883433578954,0.042820835925167944,0.0030521831956740624,0.03400186158341665,0.1468791399511466,0.5046575195326972,0.13916476792413257,0.026228272630200205,0.01686748262317622,0.05214590512387415,0.0011121761647911454,0.02495983288812683,0.04575644506093494,0.0010067901236965333
2023-02-01,0.13208854665928565,0.0432684956604181,0.00438143317006702,0.02838153924403257,0.010516955792434437,0.4811696640323112,0.2099319596878587,0.2649091297958447,0.041670644539372706,0.042984513811067666,0.010246407571807887,0.07885502569754924,0.001190237581822023,0.08232380250698422,0.6661414839391584,0.07229121991314602,0.0439442575018914,0.0031115671888260034,0.033690716925491096,0.1456152539710609,0.5082591620831551,0.13321277028567535,0.026493994089672252,0.016392947529768248,0.056630792090051035,0.0011402142145237864,0.02368869769327444,0.04431240811135856,0.0010378436620377255
2023-03-01,0.13227661386142645,0.0395881315141821,0.004479519606249014,0.027791600416714607,0.010491229671164884,0.48658776519530167,0.21743427774683183,0.26669393571281086,0.04362109518437279,0.042630010424017845,0.009952241800070696,0.0830495039256258,0.001273622638063067,0.08170835795670417,0.6584345178030094,0.07196419981605913,0.045272950736527345,0.0030790913608582495,0.03359777958137294,0.14605086635236147,0.5148864186760455,0.12559002902468147,0.026825561230158324,0.01642804338177285,0.05962513709600717,0.0011640143537040314,0.02218584736421086,0.041419493745338334,0.0010642666211054775
2023-04-01,0.13345596644839927,0.03445529825916066,0.004670812115851892,0.027173106202908404,0.010423586564321932,0.4921226620025039,0.22422961930483165,0.26914302369778054,0.0455629817522743,0.04237123361854495,0.009695880274498272,0.08764461820474825,0.00135237618618015,0.08055803867148109,0.6499290798085361,0.07168037672276698,0.046273644782577006,0.002957484017653366,0.033545254749942244,0.14949968524277552,0.522878124585209,0.11858424838205017,0.02712319725380679,0.01664082364380062,0.06065634668171642,0.0011179346606823783,0.02042728783545869,0.03874246955840719,0.001085823287701984
2023-05-01,0.13547074889905047,0.029119732590417,0.004927782443148026,0.026692162625819797,0.010446568896099639,0.4971241475007128,0.22982930198844118,0.27149846793453597,0.0474790639055247,0.04231941302956246,0.009488417071720597,0.09295648401436185,0.001424614211839695,0.077718924843459,0.6405862127139632,0.07155498440712602,0.04658226716080893,0.00279854686720144,0.033623273413243476,0.15566619060484005,0.5311252041262287,0.11391785291247386,0.02715413239546299,0.016651372957036586,0.06021421921507607,0.0010072567807377186,0.018387468218710942,0.038251399338558145,0.0011023342432140495
2023-06-01,0.13806583132402103,0.02500645445005085,0.005213791406410977,0.02619074012766942,0.010550888472159391,0.5035062678925456,0.23402007074442754,0.27405011696017967,0.04935244166360519,0.042537094651848906,0.009337769085959798,0.09908172132839213,0.0014888405472812069,0.07355004612331803,0.6303654447270967,0.07134788664801672,0.04679560408385263,0.0026757827956409613,0.03395090908484242,0.16282355765739684,0.5409385110878606,0.11189986760520865,0.02691939402429939,0.016892578477755868,0.05896073413526828,0.0008619443831317107,0.016039227482643165,0.039727546718723625,0.0011136786917957725
2023-07-01,0.14098166508697965,0.022798731777692743,0.005509189676867903,0.025626982946813547,0.010616792330965965,0.5126263938156811,0.23680288021850837,0.2769596031836401,0.051166799486099646,0.04292169467145127,0.009248444865914045,0.10616754137883186,0.0015439789214874025,0.06911873794596846,0.6192247024927646,0.07108917279001492,0.04780733690892011,0.0025544674383296377,0.03455331085922071,0.16893339469728283,0.5530388688173384,0.11228494905493785,0.026277613967056343,0.01772380061859233,0.05739799202749471,0.0007059586989543775,0.013353739407779976,0.04062880787692597,0.001119796108399315
2023-08-01,0.14374200484439226,0.022158838909773004,0.005821932638586444,0.02509206298374065,0.01051019202605596,0.523056731348036,0.23853367115204635,0.27937772816719597,0.05290664238057612,0.04308207776474805,0.00922150354604827,0.11453845263589815,0.0015893862250533747,0.06478105077127784,0.6071202216530631,0.07068455100327402,0.04944014507667114,0.0024170972917034956,0.03553565051999923,0.17264082299864142,0.5659975819854017,0.11492766826264905,0.02540064381500848,0.01860641708769308,0.056158418747049105,0.0005542636176033722,0.010300455747930103,0.03870013387694052,0.0011206871846345969
2023-09-01,0.14552255937718891,0.022205141597605973,0.006168814802966341,0.024624316521257395,0.010365983469057587,0.5349312398583981,0.23983147419291925,0.2815828597016564,0.05455752061935949,0.042881011659431964,0.009254695240931688,0.12446663439512644,0.0016248477719815239,0.06000755540763236,0.5940064547535975,0.07005563774289644,0.050951298348855575,0.002280556295747655,0.037073985304283935,0.1737002458726593,0.5804817041534456,0.11937031393855291,0.02465535693893026,0.01901677504767346,0.05610054196469541,0.00043500928024557293,0.006847047526929538,0.03441312629451306,0.001116414058608274
2023-10-01,0.14534244230543014,0.022328654596279095,0.006545455475191867,0.024133201034609753,0.010477707735082704,0.5473389173731595,0.24112390276213408,0.2836007322599501,0.0561062398071574,0.04218437061789733,0.009342765341879264,0.13589545433118583,0.0016505559962107703,0.0543642556178625,0.5798359762679896,0.06892994579449492,0.05175402106651501,0.0021314044995703815,0.03916223637147462,0.17289601214293543,0.595772932170228,0.12467882338505826,0.02440645215448531,0.018964721295359,0.057759645468459145,0.00041170759844777775,0.0029593443965529025,0.030584599533238645,0.001107099823256472
