,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.12729335785776447,0.07833190545018381,0.003416307317021835,0.0022343361146108702,0.010898870424014231,0.34388940326498324,0.2131119992299319,0.9150701483809052,0.055008095342555414,0.030584163269384734,0.011608348507626107,0.02094716999759456,0.0028937853965823558,0.15490244603597741,0.12355401215732709,0.024212810039078395,0.10344183510367211,0.010173068089045442,0.0731998835213406,0.29817826202794473,0.4580160841643445,0.1814792034792093,0.023644668666817727,0.028204358260191742,0.012693201758388523,0.0008907938258109708,0.007858088546152494,0.06586661646061465,0.0003357973683998407
2023-02-01,0.12632301543471702,0.07781684864684557,0.0034077206281230136,0.0022178502929109892,0.010768021735904357,0.3373184446570936,0.21380372243437168,0.914307125412388,0.05556313485631645,0.031950308335100104,0.011589959559575733,0.020930251021625823,0.0029765412068418215,0.15486508819396974,0.12399772743263944,0.0243805009527304,0.1037476569484619,0.009721445777051762,0.07433869075917277,0.2954925412580959,0.4592657913297111,0.18125006379352898,0.024016529792422803,0.028563593701223335,0.01251466424559332,0.0009332604269518623,0.008159511508611394,0.06579454444111542,0.00033440574741889606
2023-03-01,0.12600128963068985,0.07827681007607137,0.003391970583260929,0.0022024495424174074,0.010582114480954722,0.3308759736694049,0.2159843804078722,0.9139716732389083,0.056474724720936585,0.03347082277162618,0.011668388400959696,0.02091573404005499,0.0030081310546138367,0.15608118890025185,0.12473260419419788,0.024545563950712355,0.1046546020697533,0.009021606219580654,0.07625991739362119,0.2930447297939965,0.4643566833252267,0.181342620767012,0.024601574605642586,0.0286827073590041,0.012296743661458168,0.000987159151943712,0.008452398138204744,0.06547826231031183,0.00032494014506128483
2023-04-01,0.1257857489453268,0.08034852892945746,0.0033720997979752414,0.0021868781986440385,0.010466252038232518,0.3270269732083587,0.21866732142104783,0.91341872507209,0.057694744030598474,0.035144954375802485,0.0118384728491892,0.02096978255984879,0.002988385218692012,0.15748697737551481,0.12789340289073026,0.024634259240582608,0.10577241335236838,0.008205188065790712,0.0785382772750986,0.2909016209048864,0.47208456546816224,0.1817914175642447,0.025314255608931205,0.028629852843056608,0.012183715965183688,0.0010456736143471305,0.008735960815797543,0.06449675743079694,0.0003042445308770286
2023-05-01,0.12459350291928181,0.08389181096260181,0.003350071345457314,0.0021764445017136303,0.010430826835039233,0.3273707853586942,0.22115551121887783,0.9120285491456908,0.058936251938341,0.036973331901305785,0.012140234546806662,0.021256207879527415,0.0029420399046819557,0.15852411983260536,0.1329001707131344,0.02470634545485409,0.10687230593001475,0.00748017803300411,0.08078168633409138,0.2891172553461881,0.4794800237084603,0.1823053175880067,0.026030840592072092,0.02877308635908768,0.012232323886586353,0.0011161598157898656,0.009009562814838256,0.06285631908676644,0.00027424122793183925
2023-06-01,0.12147981130089902,0.08798512777818954,0.0033272040427892685,0.002184900828910476,0.010424668852630773,0.3323382951995136,0.22265710659138274,0.9100006107530174,0.0601565820531618,0.038957936593705826,0.012507018563871704,0.021731300093195086,0.002898229132959766,0.15876511657762227,0.1382837594966008,0.02489958543197087,0.10810398177400295,0.0070004458432498355,0.08263173132961177,0.28773273122362203,0.4844296974038884,0.1822109343559654,0.02660210582086036,0.02920390723468817,0.012443539959723155,0.0011916564221430967,0.00927271750177318,0.06103576584849903,0.00024000940380063064
2023-07-01,0.11673541976250804,0.09146994788271959,0.003304418669927716,0.0022234857807429927,0.010374558235222014,0.34191034285280125,0.22248922584051395,0.9082197168577946,0.061511839320261635,0.04110206017593955,0.012820374146927644,0.021975246108000435,0.0028608978774538156,0.15846012123026776,0.14294789647721245,0.02540101254723269,0.10936063517081218,0.0067852651432877414,0.08411989001640087,0.2867763326186144,0.4857196987527732,0.18100926695779695,0.02670697034857704,0.029602939006603265,0.012659192674112283,0.0012606375972929527,0.009525085836872116,0.059288778985293784,0.0002048015418497773
2023-08-01,0.11147915204402767,0.09340328136499562,0.0032823770972504615,0.002287200418914298,0.010279122940404943,0.3562194387761037,0.2204972046503685,0.9072815350863093,0.06313001489924605,0.04341025430854288,0.012933997280185185,0.02165318609965084,0.0028384391457300833,0.15736670260847302,0.1467845692669091,0.025751961688246422,0.11025377363411568,0.006719894415736297,0.08536072581921036,0.2862639471215361,0.4826805080181894,0.17875329731026088,0.026312939930233224,0.02974792614899042,0.012653127845274495,0.0013103725598152187,0.009766472296946053,0.05753749526726536,0.00016870470643706552
2023-09-01,0.10680594691161968,0.09323275009143756,0.003261561164225989,0.0023565108776308196,0.010195381640427869,0.3749980967490843,0.21766475994978057,0.9074648245748806,0.06481984640400884,0.04588827571361945,0.012817283177580062,0.02111078697274906,0.0028247243081256125,0.15532830320486296,0.14989664595741703,0.025728095028795007,0.11071825946763891,0.006634797205361413,0.08632999657996401,0.286199738175436,0.4770756765141009,0.17610706223983433,0.0256920444518665,0.02983056593458037,0.012399212793041467,0.001351334534065325,0.009996819353140767,0.05557732699578333,0.0001320384566482146
2023-10-01,0.10367981672317925,0.09075985877881423,0.0032423180298774175,0.0024130650914854553,0.010171588056326415,0.39678120666669936,0.21602649794718615,0.9083831785492978,0.06633833658998334,0.048543030392050206,0.012636603495133887,0.02103567781520067,0.00282396463607184,0.15307549449347396,0.15108830188586406,0.025174358591309884,0.11084254130570398,0.006414764381215209,0.08723616831559058,0.2865770350440474,0.47283451692772915,0.17385015199665507,0.025315135460801066,0.030204023833524524,0.01209275480469384,0.0014063338452303658,0.010216200646512439,0.05384977336242191,9.782874281293833e-05
2023-11-01,0.1021282307607262,0.08605361387827057,0.0032248871859291233,0.0024517493302541864,0.010154751965124047,0.41923724964444364,0.21615437124677506,0.9097032724671386,0.06750291805877828,0.051382519683491695,0.01256245950336111,0.021388525400811903,0.0028465816025063156,0.15155879093349972,0.1497222890148522,0.024299755221492747,0.11081020792661717,0.006066313040480074,0.08816372165551373,0.28737940125893635,0.47261038369811625,0.17241674166941184,0.025300628668865892,0.03099310055769868,0.011826249652088392,0.0014825723619052082,0.010424813011440763,0.053557689231476184,7.020783401819747e-05
2023-12-01,0.10112259629965917,0.07940071915284647,0.003209417713545781,0.0024781312940151,0.01001913600257933,0.4402096220488173,0.21780564357183202,0.9109574047731372,0.06836478156366897,0.05441579031898495,0.012635061503549034,0.021478714690337516,0.002870024675573112,0.15087001794988414,0.14750914014148553,0.023391148194096448,0.11116902248014478,0.005706229026998796,0.08928844000392962,0.28858184152238925,0.4756923173758819,0.17156402170719065,0.02556395948411752,0.032041510677199,0.011506834375230748,0.001565269956570602,0.010622967502144033,0.05503786249931857,5.147849944811718e-05
2024-01-01,0.09867418456218269,0.07128625880195122,0.0031959805734822926,0.002499013708106639,0.00975433508299504,0.458096184977716,0.2192346342262444,0.912194125920197,0.06913739386318411,0.057652890094922256,0.0127399753590661,0.021191660088458127,0.002855352383769354,0.15005482030810274,0.14649364481123128,0.02276123403591876,0.11182294132816503,0.005487678090450289,0.09033468075788433,0.2901521071745415,0.47979632261227134,0.17041069061283737,0.025987015250882747,0.03312285562742315,0.011116009313969862,0.0016318714569815971,0.010811079580685385,0.0571208201321905,4.1445157297070965e-05
2024-02-01,0.09345072162317691,0.06239308929105705,0.0031845785451968312,0.002518909411863977,0.009420765470772743,0.4713832412067559,0.219092772074646,0.9131710406382605,0.06970010969571788,0.061104830351372694,0.01283769666386317,0.021058725185168232,0.002786310429775362,0.14807462602692895,0.14592808328212978,0.022526636647445003,0.11193520144645497,0.0055119711957891775,0.09073583730762326,0.29205206138716566,0.48196952837806006,0.16811281866083175,0.026323286405220837,0.03407887469193803,0.010732106799886043,0.0016876453169646698,0.010989658625976517,0.05861352200025801,3.868025522560316e-05
2024-03-01,0.08591774568718415,0.05361812420505707,0.0031751551851018503,0.0025427996140212376,0.009070012877702139,0.4783806890410259,0.21655229705877937,0.9132684307347124,0.0698159705657085,0.06478355606276176,0.012786650579059198,0.021044875543310138,0.002688957056203617,0.1441970636284211,0.14346289893288017,0.022441818110939753,0.11113624095649641,0.005775180758040791,0.09008539429342466,0.2942390671201739,0.4803166813561237,0.16459437481783326,0.026414279346358288,0.034804856946317846,0.01031366271415362,0.0017488127122129344,0.011159296922491072,0.0595822752667521,4.1038077457315704e-05
2024-04-01,0.07790079534901229,0.04607472962072187,0.0031676034637458327,0.0025757971033198803,0.008740748184294864,0.4777194412350297,0.21165280743270037,0.9123498818113709,0.06964277793874406,0.0687019240391831,0.012474541341865566,0.02057436364513315,0.0025827509411511258,0.13884511399058452,0.13844312065080136,0.022385304229212262,0.1100548419945547,0.006176796734429047,0.08858563952205317,0.29666736345737804,0.47449695718443474,0.16039273109499438,0.0259825482863617,0.03525092548131409,0.00971303876588164,0.0018148303756412192,0.011320658284807309,0.06051504382816876,4.483095807221026e-05
2024-05-01,0.07154345380107996,0.04101886536691077,0.0031617743405905523,0.0026164845542158183,0.008523024015109092,0.46897278962137534,0.20570894401138107,0.9109901112014491,0.06955274144713765,0.07287368948621521,0.01189327119689092,0.019688447777747357,0.0024938560220411207,0.132494267120507,0.1328613073429656,0.021883639650479063,0.10922265191399794,0.006583440120833974,0.08696907348987247,0.299289399105506,0.4647602051728551,0.1561375950249198,0.025082733969270993,0.035499398451692574,0.00894778581589478,0.001854980610261503,0.011474466469836617,0.06128027005113486,4.496497348113065e-05
2024-06-01,0.06798353600971771,0.03965125483649584,0.0031574853135825066,0.002652099909193706,0.008450774769635285,0.4526713189786668,0.200200290555967,0.9104010330296898,0.06949543936408747,0.07731350097379551,0.011157394794404741,0.019076448363830916,0.0024381482175897095,0.12624834245910596,0.12824689881520684,0.02090067015176742,0.10836523732822007,0.006909885657624369,0.0855797977776481,0.3020570954713695,0.45247010174404917,0.1523207360459947,0.024011555993128014,0.03577215183042978,0.008198579743409495,0.0018446039536295807,0.011621493522801146,0.061703580477275574,3.762862977983836e-05
2024-07-01,0.06721901592043836,0.04281317705514279,0.0031545288642944916,0.0026636450653337177,0.008443310438196846,0.4299394394626315,0.19721731718595745,0.9108372499398718,0.06891900815286141,0.08203690371421744,0.01051799011264998,0.019027402558699755,0.0024006634946614376,0.1213687958176692,0.12327052484573331,0.01958430620020432,0.10706210420635648,0.007169778250435931,0.08421916797071838,0.30492301570245506,0.44067931474442223,0.1491589725092956,0.02320968287780454,0.036273788764801355,0.007567566903352436,0.0017937974723384225,0.011762548195850389,0.06199612804318037,2.372250639860946e-05
