,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Ecology,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Tire Balancing And Rotation,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Instructional Strategies
2023-01-01,0.00020086433822623042,8.37156220979531e-05,0.02896826167193042,9.134297330304177e-05,0.00019732567934681566,-1.2952572887485842e-06,4.3408889012238285e-05,0.00011272139271741205,3.3461525299232705e-05,3.5363169514038806e-05,0.004738094934604935,0.000544986661549726,2.0909591781493586e-05,1.0345713261930726e-05,0.0066936403422755844,0.0012821063180775871,0.003432287358927171,0.0007849708878446588,0.00046861573978258873,5.79403448614934e-05,0.0009347678085077256,0.0020599599773205445,0.0011703118456903804,0.00024017552178456773,0.0024486353818329544,6.923566551698696e-05,3.378539679716677e-05,0.0007895768885704998,0.00018161077647425113,0.0018736763876521893,0.0002424154572968694,0.00011780632846332524
2023-02-01,0.0002678586595142765,8.13145194443832e-05,0.03365682011421314,8.370496436498835e-05,0.00013987807467063772,-3.155055951454763e-06,4.0013053145934036e-05,0.00015766455605722727,2.955627572018787e-05,3.506343693392592e-05,0.0048913270685432275,0.0006300807816266948,-9.621335504303584e-06,-3.673633269719731e-07,0.006424308699348871,0.0013671145531061139,0.0034054601304103734,0.0007792588489348013,0.00047988256659353863,4.622679213501694e-05,0.000946603859742773,0.00209717403949637,0.0011568054169963573,0.00023496141503593867,0.0020604345994958253,7.369044591426853e-05,8.67017223925111e-06,0.0006997080599774252,0.00020452473387543756,0.0018006247217351118,0.00022580272456340612,0.00015204502716301138
2023-03-01,0.000335092727833257,7.478213342445264e-05,0.040344768993201434,7.720112917419412e-05,9.287949020924077e-05,-3.073184423887058e-06,3.464923560814221e-05,0.00020043270256574704,1.818004827805933e-05,3.0328868219239543e-05,0.0051405801227088314,0.0007272312480969167,-0.00010589154734783219,-6.770933488965825e-06,0.006055703979581229,0.001414978733806988,0.003380543821007987,0.0007801816500734071,0.0004951686442964151,4.199056349704888e-05,0.000958509786987732,0.002126049803406381,0.001147528877366697,0.0002418084029577088,0.001624017886790834,7.833046370627787e-05,-2.9819031265696446e-05,0.0006128540323368783,0.00022896956392687957,0.00185268412328721,0.00021729493426527613,0.0001946569430169815
2023-04-01,0.0003624575671496913,6.620067689616711e-05,0.048906966479439276,7.502600879140744e-05,6.947249567542098e-05,1.4512211315030659e-07,3.8015019575052524e-05,0.0002508752116411921,-2.4083382443079165e-06,3.6696220033927164e-05,0.005484477739960669,0.0008272908631081809,-0.00028964836682212925,-6.705589352902306e-06,0.005713421699121516,0.0013997253224777137,0.0033563635601050416,0.0007846188897991215,0.0005028975112824561,4.537705095486097e-05,0.0009704681688945738,0.0021128407680006105,0.0011337277918196727,0.00026029806016789926,0.0012525487658305078,8.31534686857151e-05,-7.536029670078845e-05,0.0005476188898479741,0.0002554463996963792,0.0019459887047300491,0.00020905085348225258,0.00022669881025038543
2023-05-01,0.0003827246860563154,6.226681787972439e-05,0.061794767211926616,8.254971861032032e-05,3.43394724409303e-05,3.303326951404111e-06,4.765546813923378e-05,0.00025610773520037247,-2.1047552341961438e-05,7.258912201794454e-05,0.005892840586999091,0.0009283577698064043,-0.0005123311957199346,-8.02681963932318e-06,0.005468523037792138,0.0013140217194175829,0.0033274540958555766,0.0007899868978063464,0.0005244888378193741,4.896808592479173e-05,0.0009824656172797083,0.0020518900240374368,0.001114919500974682,0.0002799901163959749,0.0010101428270258717,8.815761604865759e-05,-0.00012319189583445542,0.0004996160639502004,0.0002843751700074974,0.0020288381889741786,0.00019051062506488594,0.00024451422105839244
2023-06-01,0.00043405744662326,5.4603355762005086e-05,0.08012982670917689,9.341130953041775e-05,-3.2627678879809516e-05,1.7874883790626124e-06,5.161465035911219e-05,0.00023776575252966887,-2.6542055054017867e-05,0.00013902848184775532,0.006300620633795862,0.0010251524698656536,-0.0006953285433725918,-1.419736210778249e-05,0.0053416981274305945,0.0012136799311724612,0.003255431332366771,0.0007949768079002856,0.0005270120815392853,4.804371123608343e-05,0.0009944918654224335,0.0019681018853986267,0.0011195048084714366,0.0002865959450825331,0.0008866337909958512,9.33413730271222e-05,-0.000167326339779578,0.0004513881381165393,0.0003161262225030415,0.002129658094903126,0.0001636049989348966,0.0002608008022443421
2023-07-01,0.00047475068363281314,5.004131348010169e-05,0.10556193220813956,9.013839598466777e-05,-0.00010817085867850668,-5.6776776110089515e-06,6.79063509671374e-05,0.00023042565829377735,-2.564981178714842e-05,0.00019875486288243704,0.006535833365067633,0.0011042542342447324,-0.0008028907203198118,-1.8359511196522733e-05,0.005296516505790123,0.0011352389543750295,0.0031580088568887677,0.0007993444141891748,0.0004970028576900105,4.5061497542853916e-05,0.001006539060774097,0.0018971805686130018,0.0011407824910415747,0.0002722989063155028,0.000810848835547712,9.870344709855151e-05,-0.00020380909216012952,0.0003974709431034198,0.0003510424402571725,0.002242445496659531,0.00013907053964452675,0.000270505439472871
2023-08-01,0.000463337743243861,5.9980209991526655e-05,0.14285538450987526,8.060600931162164e-05,-0.0001602841494258781,-1.5660186752567677e-05,0.0001291988151306191,0.00021480048855593295,-2.295257462449161e-05,0.00021836681448713052,0.006584391481511043,0.0011522996329489156,-0.0008464673761117915,-1.5106611491135993e-05,0.005242074295833808,0.0010822581724788886,0.003120758781779552,0.0008033871974729613,0.00046602024201905273,4.462497006546491e-05,0.0010186012163789066,0.0018637461698880512,0.001140093288935353,0.0002424724710770054,0.0006998480052264019,0.00010424273078565524,-0.0002316209446714309,0.0003351426878556303,0.0003894548874802577,0.002341635508011868,0.00011394152931458115,0.0002703821864386219
2023-09-01,0.0004409712514828194,7.514057983932455e-05,0.194748483001205,7.225704921086975e-05,-0.0001823617310800619,-2.21183370614839e-05,0.0002481448221494223,0.00020244022318334983,-1.730696507940744e-05,0.00019763410099773673,0.006633254582804445,0.0011669822295135846,-0.0008553388934215105,-8.33203125585859e-06,0.005119593122437411,0.0010491091397475936,0.0031777133746490713,0.0008074867690758363,0.00045567534421664944,4.868516513562704e-05,0.0010306737855136688,0.0018679931945898584,0.001115940575260026,0.00021329120798988476,0.0005170027125828657,0.0001099582592124672,-0.00025842319778285924,0.0002616721259230038,0.0004316940651401042,0.002394621211501531,6.958576115371888e-05,0.00025646310992073697
2023-10-01,0.00046808133419617244,8.917763256104219e-05,0.26539481923250235,6.525127572159939e-05,-0.00019673132361057766,-2.1003108599523182e-05,0.0003949900335167016,0.00019822592586751545,-2.114236076146349e-05,0.00018058413015777276,0.006825833291729111,0.0011601893454703297,-0.0008876908179935396,-3.2030937593207474e-06,0.004927736413846633,0.0010174785399806562,0.0032430395533025965,0.0008118573279343876,0.00046032953168348976,5.77679556761539e-05,0.0010427533319814306,0.001894349206286593,0.0010813999624188742,0.00020148763413049625,0.00030331081676345287,0.0001158491774685736,-0.00030502709098364356,0.0001868680990322097,0.0004780982040001695,0.002409684250136541,1.990428573572198e-05,0.00023509873328928383
2023-11-01,0.0005139648876451274,0.00010476742778025846,0.3657941661673755,5.774143452276675e-05,-0.0002333508121022459,-1.2981167090390852e-05,0.0005222162283319989,0.00019657199993831456,-4.2876328535643e-05,0.00023527705337542568,0.007212078521912896,0.0011527066712392277,-0.001001911816005876,1.7489967297633766e-06,0.004597783595787207,0.0009624964666456513,0.0032174649398801314,0.0008164902379405205,0.0004845435806708074,7.27687932925134e-05,0.0010548372746517136,0.0019310575024542214,0.0010532291689789785,0.0002133788039976462,0.00016094306226830074,0.00012191471551478123,-0.0003632925863733771,0.00012893936124988082,0.0005290195755891837,0.002441636054473069,-1.3222125291574224e-05,0.00021647662262552417
2023-12-01,0.0005025412738651722,0.00012367515311029233,0.5075335420937535,5.031628617391418e-05,-0.00028488337236373315,-2.9957377855542163e-06,0.0006065981794309436,0.0002030562207202375,-7.392134445634219e-05,0.00035587384997375147,0.007831046714380868,0.0011663266705678786,-0.0011787389189752808,9.613071242507456e-06,0.004209173497941428,0.0008995761091261695,0.0031040032993056264,0.0008212204160922319,0.0005242408363919343,9.225037728117027e-05,0.0010669236896228723,0.001973869875626968,0.0010298987149942233,0.0002408060596806932,0.0001965624964478819,0.00012815416888735083,-0.0004092789802615104,9.778432258847764e-05,0.0005848294958956748,0.00254809208079927,-3.3301323218234904e-05,0.00019516296648397247
2024-01-01,0.0004204785449887466,0.00013843015813200628,0.7077799535168835,4.728872648094908e-05,-0.0002936352083899897,3.8637934156456616e-06,0.0006520036726209502,0.0001811474297428374,-9.95258564645846e-05,0.0004801020203082377,0.008667106782996656,0.0012177673931236313,-0.0013434087088381504,1.8251832865770937e-05,0.003928940046503375,0.0008186357829038921,0.0029706445852662033,0.0008258343064557807,0.0005810715716527932,0.00010972540534344883,0.0010790111570970046,0.002017479989372479,0.001025532925655726,0.00026662955950606973,0.00045696172072608025,0.00013456688386071107,-0.0004151800219634685,8.745016418171037e-05,0.0006459224875823391,0.002695116815311695,-5.1088189590720316e-05,0.0001649581547370379
2024-02-01,0.0002993816688416841,0.00014874234239011956,0.9956453614888052,4.1917967253202174e-05,-0.00024290903725073738,4.411995793252204e-06,0.0006837442551663221,0.0001394445679975021,-0.00011029397628155624,0.0005453193071758058,0.009465707045898063,0.001315078412666145,-0.0013874674055485176,2.3952621872998504e-05,0.003882883913841571,0.0007518670399039367,0.0028481387181083315,0.0008301621801213618,0.0006211784194527601,0.00011725333517958596,0.0010910986429432,0.002056777068290723,0.0010348195991582133,0.0002758165338308465,0.0008957309276897548,0.00014115224603827067,-0.00038156331195778504,0.00010395223134105887,0.0007127199237491446,0.002809958369497524,-6.841654336217989e-05,0.0001307412871533439
