,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services
2023-01-01,0.14261227714212169,0.21810011861334716,0.08007909719092576,0.28836161327704535,0.23657426113078794,0.03216340053076909,0.07454103788001347,0.01991434136593697,0.15099187200537495,0.020969077431911818,0.02329469470798433,0.1740653087091678,0.021306377740637532,0.015360035583616571,0.022866277085029252,0.0815102312016406,0.02520768569982667,0.6113569321689649,0.3315037453622126,0.4201250030965329,0.12132851083916524,0.002881921967671306,0.11481220560541339,0.0006125332395446905,0.005858919727672649,0.0004736447377770615,0.03901817086298832
2023-02-01,0.1457784932617032,0.22337349209205362,0.08169178780046377,0.2891048588269456,0.2392801533632101,0.034372109481073394,0.07599792142827375,0.020248763972834406,0.1585557610836871,0.021310170157716444,0.02299071328879519,0.17704501522662136,0.022235743603413145,0.016212061569969315,0.02293335182265297,0.08262162880983157,0.02488797730097947,0.610387250294971,0.3323701667547122,0.4273636051889363,0.12574360037999124,0.0031132196621157567,0.11057612237585074,0.0006177592775818285,0.005874244338382774,0.0005005616603005847,0.039100870921911744
2023-03-01,0.1479177874231306,0.22684267659727403,0.08210341530749861,0.2919592650282865,0.24332678915678252,0.0370447939491588,0.07785972601592493,0.020247116478331467,0.16799324709232916,0.021846287725267654,0.02245410937971617,0.18070581459612253,0.02279928924044506,0.01712415352257245,0.022667739525293235,0.08498284815332871,0.024517455295512733,0.6109903395473892,0.3353621977659223,0.4318617750633967,0.1336828753877117,0.0032860146809934035,0.10731506815319651,0.0006373860143020764,0.005754776727460949,0.00056289943369133,0.038978935176104415
2023-04-01,0.1491549317901413,0.2293643146008103,0.08107003338578884,0.2973806953277286,0.2479360428561287,0.03993287955475472,0.0798722360893544,0.019820005712371167,0.17963389508845132,0.022652512335411157,0.021706791372769423,0.18337087772949673,0.023160203672456435,0.01810879342902732,0.022229921529793237,0.08754611958792653,0.024124813859991094,0.6144866891489679,0.34271705681277553,0.4341948444271441,0.14200548050417755,0.003399680449964054,0.10659197969643874,0.0006588115006087507,0.005530129134749956,0.0006495042819694716,0.03840713614445398
2023-05-01,0.14996399976479677,0.230091054412783,0.07896938650335568,0.30572395799523044,0.24995920616010803,0.042710920728421364,0.08128707762779638,0.01888501384028398,0.19385421616441403,0.023839030448218158,0.020769338937170298,0.18443855537564546,0.023536257627680857,0.01917918587903421,0.021647326337760456,0.08860246892618147,0.02374105054415885,0.6191783400850742,0.357232572631217,0.43501335951416886,0.14597867836859313,0.0034740775370993597,0.1079623424746969,0.0006745105080961386,0.005262007481637473,0.0007382663078226636,0.0375211707629862
2023-06-01,0.15184065868564312,0.22921147871007477,0.0766801800527838,0.3172164421868635,0.24904426563499182,0.045139827279779283,0.08169684840319785,0.017372505728919473,0.21108845173637897,0.025497329394241697,0.019736486234879252,0.18429103413056674,0.02408212465846276,0.020349443924723137,0.021213730447204555,0.08889493368622065,0.02339836741105556,0.6232244833079901,0.3791666638997565,0.4358487008425933,0.1471702663535918,0.0035469030806931524,0.10996045017916514,0.0007075876016140409,0.004959107007303579,0.0008168826350353187,0.03674938095813766
2023-07-01,0.15454061584459222,0.22659631792128154,0.07527879730418144,0.331938891360428,0.24531698599656165,0.04711811697070846,0.08119489906220838,0.015231327804386224,0.23184091933027923,0.027536978499566434,0.018749795972768112,0.18236266685889765,0.024646820514418438,0.0216347829528773,0.020792749412406844,0.08871112563937775,0.02312904604222775,0.6282669143001374,0.405376323738041,0.43634447434133017,0.1457909383863613,0.003630779383004083,0.11045066490199144,0.0007703407955097245,0.004547378819275998,0.0008872256278702254,0.03651861280127035
2023-08-01,0.15589566338411026,0.22081436900656948,0.07564419263223933,0.3498146088966976,0.23871072617756559,0.04862037726261635,0.07967960773984827,0.012434245882630809,0.25670023252342306,0.02967187402933808,0.017947498111006807,0.17958565689878261,0.024773043000254104,0.0230517253889877,0.020119942886012127,0.08717069784161674,0.02296434458768387,0.6336297600439285,0.4320730822091905,0.43205686371187557,0.14146545153095333,0.0036587120291748203,0.10746817196396855,0.0008458776340147614,0.003900703441072589,0.0009601608457168503,0.03701623100883139
2023-09-01,0.15529544733472955,0.21189497329286147,0.07820895379793229,0.3706078206792134,0.23237848385959214,0.049652126651739674,0.07647188533549908,0.008983029409020887,0.28635575296662585,0.03156100833882014,0.017436615460457928,0.17700963087540225,0.0243667791126435,0.02461831912742503,0.019201252267135455,0.08542765333071209,0.022933464255207654,0.6388943006462025,0.45790005189539507,0.4211652953295255,0.13844804102707156,0.0035934869109435436,0.10059822156156982,0.0009130654833513626,0.0029049787396118742,0.0010481730852588166,0.038047464476216195
2023-10-01,0.15341191597496712,0.20029348804994535,0.08303602681868069,0.39393128936401944,0.22798011342631866,0.050304272860150163,0.07093348413059147,0.0049131360419694785,0.3216166885332018,0.03298242235230457,0.0173031967300457,0.17257294962269956,0.023652724512379222,0.026354372700048753,0.018106595371276117,0.0843973706931966,0.0230626299491146,0.6445222251262901,0.4843352211096126,0.40659565504439393,0.13708526270984464,0.0034611571797938004,0.09115105024602596,0.0009573524729413968,0.0015222799872949785,0.0011538725440412327,0.03905488602657593
