,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.1320468469155997,0.04545721743582916,0.004456109200805042,0.02877700410608382,0.010491701467219066,0.482109388817314,0.19473680885351044,0.26469371785308893,0.038158245252047286,0.04306993511104519,0.01051798102093455,0.07422737403740944,0.0011098283365003946,0.09107614192470175,0.673276867027335,0.017755215504892813,0.0715597873182924,0.04243924947230219,0.003034730135684104,0.033718521898463354,0.14723372945920127,0.5004372943301265,0.14037935555365993,0.04163964499074107,0.026053787693662286,0.0171365617128012,0.050917768164827015,0.001096409082524574,0.024830402585009934,0.04507279989208685,0.0009578682688210218
2023-02-01,0.13067548536787255,0.04497391568192831,0.004619207639748348,0.028392071847664242,0.010441394391408296,0.49004357272198135,0.19247252712722454,0.2644165599704669,0.03824137723989086,0.04239001591484912,0.010183604990461687,0.07683167042722673,0.001219662304463619,0.09841820530475404,0.6631238795566713,0.01752591779127013,0.06903603312209,0.04336443289796299,0.003118219987575264,0.0326627383773604,0.14587481985191864,0.49378417803496166,0.1375185726156767,0.041957748256648886,0.02611967769911305,0.017001030408482925,0.053742702107449955,0.0011217178966473904,0.023740534303042765,0.044581164341810725,0.0009372564875377723
2023-03-01,0.12882552720576135,0.04500139066858046,0.00488486550622811,0.027557576639545292,0.010346280704529224,0.48943462781294444,0.19598914763523076,0.26346433863716123,0.03807567315823597,0.040995919696073094,0.00984691927808737,0.07729834270522497,0.0013591100257454897,0.09797918031312342,0.6508674269958585,0.017318304086818417,0.06562659682321982,0.04429537141128871,0.0031523272907494626,0.03152059936590066,0.14336257959184986,0.4871325831209666,0.13468189203391112,0.04202720301706833,0.026180119084465985,0.016950318809068367,0.05492949650377931,0.001164447836099257,0.022681359130195953,0.04444771257063393,0.0009289545186142324
2023-04-01,0.12669644782530493,0.04600511511408989,0.0052524489996700775,0.026746482359305775,0.01028807077052793,0.4847616902307771,0.19207802548711764,0.26197771872925585,0.037692904895379555,0.04113016329242623,0.009503777027316331,0.0761686667760971,0.001499169722645023,0.09651010506058882,0.6391491748812652,0.017595664047215402,0.06565524411256021,0.0432002702754155,0.0030956042604626324,0.030681211962576244,0.1401888451835121,0.47929152218625803,0.13269516388298475,0.04185894817609499,0.026115837820414406,0.016622869471094787,0.05410725976433982,0.0012102609757794673,0.021412399972475026,0.044811561616629955,0.0009361469657951432
2023-05-01,0.12492044001699952,0.0474473240515505,0.005740505131505264,0.026526063686336886,0.010295542303416555,0.4975650044219749,0.18168236674634833,0.2606023500308483,0.03674703427282896,0.0414778761673492,0.009244990048038925,0.07641614133336552,0.0015904909474496538,0.10142409180101344,0.63020095374964,0.01823524507264911,0.06375903934071075,0.042415326013481275,0.002961527738132783,0.030409761513234317,0.13759693391467342,0.46995042253839175,0.13185047870662212,0.04132100187146697,0.02587316944603209,0.016142947778752144,0.054658148136250036,0.001252256809780792,0.020084472113586077,0.04543411528822498,0.0009299898469213939
2023-06-01,0.12390889422632924,0.04882344497858569,0.006366026352721742,0.026664783967715946,0.010257371034117172,0.5087693755958114,0.1896540167689147,0.2600144101157012,0.03544362688204295,0.03994418426937979,0.009243245642494223,0.07689849636416554,0.0016390405952612396,0.0949349156749436,0.6266713258190624,0.01893444859254515,0.05777380849874297,0.04454137537443387,0.0027888099861147165,0.03075534964938484,0.13634976888978884,0.4637128238268927,0.13247566571397074,0.04027162564408704,0.025401996147218157,0.015999932102498372,0.05643430545797072,0.0012503928488598755,0.019064865278077544,0.0457665660007004,0.0009245401608954009
2023-07-01,0.12352148846609848,0.049923372839140306,0.007129659536624389,0.02667692221939045,0.010048211573932282,0.4915609837939356,0.20216525795354048,0.2606730555399569,0.034305331873483114,0.04004492277658615,0.00945122661801059,0.07373647170269938,0.0016769423567407843,0.07670732883152785,0.6297558682107756,0.01935956902629319,0.05987702442576805,0.044039221499658956,0.002613597896587871,0.031445457225898275,0.13634133069856322,0.46617784594635964,0.1343091869564306,0.03898292914509956,0.02470078892471155,0.016346514968767184,0.054469715944539206,0.0012309321001403584,0.0186721596827717,0.04549522657535472,0.0009362420270782525
2023-08-01,0.12339968447845512,0.05081570715312243,0.008034407434833397,0.026306556937701737,0.009740784145798959,0.4975057466315346,0.18062779210304658,0.2618743035072356,0.03293138575764643,0.042626777778630956,0.009723116393705116,0.07256458664953087,0.001711471039035824,0.08758213672705481,0.6364382811552387,0.018993891282472475,0.06667968168170052,0.03926364589686239,0.0024430862146679203,0.03228986261279939,0.13709788255972358,0.47407052119719817,0.1361574853926244,0.03743608359495167,0.023842769932668307,0.01690585605506549,0.05329354741340913,0.0012122040755463237,0.018627984371682275,0.04526542813210145,0.0009417973574688849
2023-09-01,0.12334620134959645,0.05148358886649697,0.00909382644223292,0.025831903070032115,0.009597077799957748,0.5414311055271659,0.17861599740970852,0.26309635390728536,0.03118638520407393,0.040827360323100234,0.009972043574948602,0.07601507569758639,0.001701370654313191,0.10218340617278487,0.6426094742254919,0.017774283586148305,0.05793274736334415,0.04185813354251797,0.002290480237596842,0.03322826993895113,0.1386164370201337,0.4808394392048695,0.13762360471174198,0.03550652652132376,0.02307705345152561,0.017241623044933166,0.0584816373026242,0.00119422188200472,0.01888276608007659,0.04538496435680839,0.0009389632962737877
2023-10-01,0.12322565581520462,0.051763223180689516,0.010307687404990187,0.025357968387107823,0.00962095821754829,0.5114694706270884,0.22428941449519704,0.26465848623896826,0.029013640938840755,0.03675234371134277,0.010165553114136085,0.07202707483279017,0.001619800173548621,0.0678753158552488,0.6472347847099963,0.01653271120677944,0.05219177703286555,0.047758059859232996,0.002162302128914868,0.03381758113058203,0.14071737666373346,0.4853106177161063,0.13877206347634866,0.03330101638313941,0.02259815999805428,0.017376269821334764,0.05747043951467223,0.0011665676101407815,0.01945494608942183,0.04559761267207558,0.0009322526743648541
