,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Medical Ventilators,Skill: Information Systems,Skill: Team Foundation Server,Skill: Equipment Calibration,Skill: Human Capital,Skill: Logo Design,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,2.7467065658369027e-05,0.00011602358496720915,1.6857474943205446e-05,0.0004275814318861876,0.0015076259979320552,7.65655221709047e-05,0.0010416315810714608,4.950121541551907e-20,0.0035967726680076802,8.134167362903885e-05,0.00019273619977196033,7.946110873380126e-05,9.423786914426522e-07,0.0025573291472665363,5.841033640449164e-08,-9.11374463694897e-07,0.0005433897992396716,3.142488416045408e-05,8.695869332875052e-05,0.0005671577474198214,0.000493341389241263,0.0001241469217484268,0.007565099293808767,0.0001785400992689025,0.0002914098320430276,8.134167362903885e-05,6.037580943520283e-05,0.00038851718935890877,0.012128319207533213
2023-02-01,1.8682478480333163e-05,0.00010628010525200833,1.5503122606674095e-05,0.00046205630838490363,0.0017935609968948811,4.1826359937807704e-05,0.001064810451479582,3.0927139649622333e-19,0.003758248700407159,3.5376688093962595e-05,0.00022972240034228866,4.2074071910436025e-05,1.6019303931421562e-06,0.0025620549493203634,5.550936017081585e-07,-1.6680267729002504e-07,0.0005954667120938856,1.8945559979001726e-05,8.988523717676416e-05,0.0005638542981814355,0.00039209293425310047,0.00015216877299896353,0.00754670445132916,0.00019116566963790443,0.00022450677210853278,3.5376688093962595e-05,2.7092799910285014e-05,0.0003893930462917298,0.012442534205367298
2023-03-01,2.1104466175299623e-05,0.00011202400393547809,1.5190146454596858e-05,0.0004968531818663976,0.0021991988626078275,2.3973182322614216e-05,0.0010944764969686707,7.415232804241432e-19,0.003566152959574652,-0.0002333801156191275,0.00019977562010146908,7.095202036390936e-06,1.915565998695501e-06,0.0025400091661075936,6.068747193837851e-07,3.5078582487533537e-06,0.0006466513166316579,1.93137093830455e-06,9.666140436384502e-05,0.0005455144106422495,0.00030690273963609506,0.00017484304217348155,0.0074830804525151,0.00020204803549492075,0.0001639146616078457,-0.0002333801156191275,-6.420321701302542e-06,0.0004024942810691505,0.012798579516153655
2023-04-01,4.383194794840926e-05,0.00013964713565602115,1.251134787552031e-05,0.0005233340739068683,0.0030831061702575164,1.8532062882868995e-05,0.00113176103021086,7.912446715208798e-19,0.0031903746160494885,-0.0008727231800169886,-5.7923269196604035e-05,-8.429600411785214e-06,3.747544628033228e-06,0.0025391542760866176,2.2479269371020275e-06,5.260028494358344e-06,0.0006816942241827576,-4.276038006446502e-06,0.00010047912412519791,0.00052710733597751,0.00025887144770912296,0.0001944923103425802,0.007487421653956499,0.00021697061744339397,0.00016256127416884277,-0.0008727231800169886,-4.0510687162276235e-05,0.000419876502748562,0.013239144266078553
2023-05-01,6.0729706929022354e-05,0.00017697747056466773,1.7265333994387335e-06,0.0005508108738530803,0.004589724335426969,6.838978840658665e-06,0.0011363416489917125,8.342945566447313e-19,0.00280351711472744,-0.001991342450879438,-0.0006918703203635803,-6.3944857278756e-06,8.819319776949916e-06,0.002610439591360393,4.1732405082041655e-06,6.3919864604357844e-06,0.0007234652893168704,6.965325677092738e-06,9.672818957889102e-05,0.0004979231380203748,0.00028647140782930695,0.00020462024325966518,0.007659943468633239,0.0002436067595750956,0.00021982346542962817,-0.001991342450879438,-6.545734077662703e-05,0.00039161638797198815,0.013750278225273417
2023-06-01,7.677775187583664e-05,0.0002008677573968117,-7.92197390790472e-06,0.000550491347766095,0.0062581837294607805,-1.0050473131485738e-05,0.001112915710652942,8.465829680944329e-19,0.0025460312467072274,-0.0037215150704728943,-0.0017990317129677807,5.300004285332431e-07,1.2547956923036184e-05,0.0027633362409076496,5.368503767164238e-06,3.8186652429589144e-06,0.0007836726598102685,2.363734555084161e-05,9.479088042563666e-05,0.0004701235808184835,0.00038051248216904206,0.00021183693450026832,0.008043865001810951,0.0002814468913140548,0.00028008848379801007,-0.0037215150704728943,-8.242220300769195e-05,0.00032485415183173015,0.014200369806047511
2023-07-01,9.896739391476871e-05,0.00020166870484098073,-8.328811483477305e-06,0.0005228553972558004,0.007547201211865035,-3.158157713087611e-06,0.0010849914081804738,8.878232998170415e-19,0.0025824321054777437,-0.005722309733283203,-0.0034595687399058077,6.660196165789322e-06,1.9727650455293122e-05,0.0029462203756994315,6.925922959641841e-06,-9.550022958212381e-06,0.0008453183762472179,2.9498768976527153e-05,9.239160329027661e-05,0.00043441645211522695,0.00048291073993211105,0.00021719786394264944,0.008472711506544196,0.00030972048891308475,0.00030739582232334323,-0.005722309733283203,-9.291778567648773e-05,0.0002881703689384907,0.014496847298004167
2023-08-01,0.000132358330076756,0.0001836441383435243,5.320201683961696e-06,0.0005309413913553849,0.008799329392273451,2.6375860944563407e-05,0.0010932266147846655,9.494134108227505e-19,0.0028374419927760922,-0.0057977712817696295,-0.005758775227322331,1.2913793990029093e-05,2.8425651064460777e-05,0.003097290769398875,1.0311471283603451e-05,-2.530428545080374e-05,0.0008878417693837438,2.138334397899221e-05,8.056231500434888e-05,0.00039226067392297056,0.000563864329071601,0.0002168921678479662,0.00856696311124644,0.00031735685201797817,0.0003204094274289439,-0.0057977712817696295,-9.69072562457595e-05,0.0003158954835142349,0.014743897513027853
2023-09-01,0.00019040573823751514,0.00016112866022636215,1.9561405962113956e-05,0.0005589689847177162,0.011331367039292098,5.131556082052487e-05,0.0011237876276939712,9.982119254873023e-19,0.003146555222269134,0.0013535821640071322,-0.008792182002170362,2.3263012443105107e-05,3.2865239863445896e-05,0.003202140815629505,1.3402685762843033e-05,-3.685287106782797e-05,0.0009052054970202129,7.429096100964871e-06,6.063403910111266e-05,0.00035348444261203637,0.0006176442739685974,0.0002172234765139863,0.008193405128481983,0.0003107379134492201,0.0003136887496985517,0.0013535821640071322,-0.00010473881359072364,0.00039530855722286147,0.014991155287494867
2023-10-01,0.0002653670163560677,0.0001526568402820546,2.4235237291070898e-05,0.0005778126432914917,0.016266374209281197,5.888793079971309e-05,0.0011397098613958848,1.0645943035806453e-18,0.0031808508509242736,0.02472487227063153,-0.012368958880195255,3.4489278392634664e-05,3.434696305600141e-05,0.0032810942987314814,1.2745901837371615e-05,-4.21077128667667e-05,0.0008926636921354856,-4.860418996353883e-06,4.850036651221894e-05,0.00033918009197838337,0.0006579644959110609,0.00020418302272883317,0.007574490480755878,0.000301653654838695,0.0002811711041452639,0.02472487227063153,-0.00011877899824655166,0.0004600124997536884,0.015062754441441032
