,Skill cat: Information Technology
2023-01-01,0.3512944128277691
2023-02-01,0.35348062560396665
2023-03-01,0.3570957612641973
2023-04-01,0.36197799341089154
2023-05-01,0.3680944019990535
2023-06-01,0.37553223149937254
2023-07-01,0.38388114152966724
2023-08-01,0.3921769864029866
2023-09-01,0.39978679403687933
2023-10-01,0.40720170057702354
2023-11-01,0.4157244309145791
2023-12-01,0.42640293961723674
2024-01-01,0.43938527732461974
2024-02-01,0.45419834751909516
2024-03-01,0.4703740164948542
2024-04-01,0.48773874085005353
2024-05-01,0.5063848078560671
2024-06-01,0.5266900085959239
2024-07-01,0.5493643677228011
2024-08-01,0.5751623316059173
2024-09-01,0.6042429014886286
2024-10-01,0.6357316021809114
2024-11-01,0.6679985752961373
2024-12-01,0.6994984859218505
2025-01-01,0.7295122664691915
2025-02-01,0.7583136686345879
2025-03-01,0.7868217038389542
2025-04-01,0.8160756682432846
2025-05-01,0.8467715693306102
2025-06-01,0.8789740301618798
2025-07-01,0.912141577193359
