,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.35109469938975035,0.12786968689987066,0.07078697860263033,0.048040138116946574,0.08887387880905537,0.5102055715333356,0.5241343205082049,0.2462283177844935,0.24041807109075355,0.09137772865973778,0.12224007975314544,0.1490906982184009,0.015440526739422688,0.3642510646576395,0.123760608628843,0.041476600310427526,0.13226782665796502,0.15462227609484852,0.018254797812649343,0.22120868834145596,0.3321299733473006,0.6648531584138662,0.29551735454119327,0.0313040518761356,0.2659780360569598,0.007937402922926204,0.05734606924578548,0.008354045740737679,0.007939114386090396,0.11023828551097889,0.015215648999791307
2023-02-01,0.3528332859353271,0.12789944281806126,0.07044209312762904,0.048789079803313797,0.09024203248556775,0.5143272959189052,0.5288807472449759,0.24905790375590486,0.24306422890832424,0.09240014237941786,0.12294420351781053,0.15011966845751076,0.015816092925458988,0.36610998811649603,0.12560922827328191,0.042226290989539894,0.1339436160260683,0.15627788558023048,0.01860185042262796,0.22130935023606405,0.33391182913262485,0.6707671049557766,0.2973040646485413,0.03252285323526118,0.2673529516799081,0.007980204766427919,0.05867385575313931,0.00851953182748047,0.008013145545744641,0.1095169335329374,0.015431615300539898
2023-03-01,0.3547656999594417,0.12819943820605417,0.07015234859511682,0.04981539031824068,0.09152027404208915,0.519995625593399,0.5355517032875496,0.2516790032660232,0.24566440985595528,0.09327434861823809,0.12407301084076179,0.15131775148285453,0.016162133442613948,0.36855072328261546,0.1280520475383808,0.04314232322413839,0.13584766123236477,0.15863094989685322,0.01881161844604824,0.2228965752949163,0.33670082391372663,0.6787184737420333,0.3003269004107002,0.0337052918198322,0.26921550189644056,0.008087508997382226,0.060068235954079834,0.008721609405958921,0.008009400036838346,0.1087779981651601,0.015633420234078096
2023-04-01,0.3557275385101379,0.12890571702907774,0.06992407327073012,0.05115855168499518,0.09259955868543696,0.5269819631308406,0.5439266896700766,0.2542201986272645,0.2476454110772363,0.09397752388937741,0.1252674769359392,0.1523671908048661,0.016440478358536372,0.3700995913138125,0.13094223203124364,0.04409889458306426,0.1380215699414369,0.16143831935953673,0.018871902888370234,0.22530374063065803,0.3401354877576187,0.6878744485158632,0.30430933543169497,0.034776239963554126,0.27062153004568723,0.0082400490570157,0.06147598778360521,0.008944160615016686,0.007956728463781218,0.10861107867775785,0.01578338776364182
2023-05-01,0.35591853789916567,0.12981717653690386,0.06980692118003964,0.05270203005860588,0.09346243774308972,0.5354378584738573,0.5540036438508635,0.2568173980565616,0.24926165718379034,0.09445933777761546,0.12635781521050168,0.1531706829400033,0.01663382306354448,0.370130340356237,0.13334800636078564,0.04506726649638078,0.14042863316646256,0.16469176471499292,0.018874123805658387,0.22786981843794013,0.34425961236452013,0.6982599726641336,0.3092256339189424,0.03571992606852369,0.271765398037609,0.008402838396865946,0.06285786335816343,0.009166763034995959,0.00791106190469612,0.10924903893368723,0.01593445750187638
2023-06-01,0.3568778916244502,0.13071177778553328,0.06961341508128291,0.05404644626755621,0.09402461766866799,0.5449314052409291,0.5645942601526772,0.2595231550594308,0.250965325502356,0.09490357686294176,0.12720995191617981,0.1541971170371108,0.01668830680907419,0.3690699998698156,0.1350956368925818,0.045967233099611524,0.14288148631934547,0.16800094384277203,0.018880571664114373,0.2304055709277279,0.34888580840933714,0.7093869538158482,0.3145816635583282,0.03654881667737528,0.2733646664687964,0.008590893827497571,0.0642851859965577,0.009347495968439135,0.007838227067581301,0.11038767928673851,0.016083357278136173
2023-07-01,0.3599306811347844,0.13176758803609304,0.06919753809514637,0.054963152425336295,0.09426644209454878,0.5544206934920514,0.574164101331317,0.2621797376344299,0.25298865138903115,0.09553477526929449,0.12774434223588865,0.15580836569036727,0.016636939223908777,0.36698669382307786,0.1370547948817925,0.046662159010175536,0.14551829397198324,0.17073573740257267,0.018906508986648182,0.2326795563914883,0.35379985502921835,0.7196277937339928,0.3197276600193389,0.0372424410532862,0.27547761571731016,0.008770341869643341,0.06582262252525191,0.009463943549955335,0.007752442359215508,0.11185352257063205,0.016193389057006236
2023-08-01,0.3650370544349439,0.13274864197812383,0.06873484795220611,0.05563343200173351,0.09430851643399009,0.5632157956354853,0.5822619765434247,0.2648789693747641,0.255167022440103,0.0961681861117642,0.12811151437640594,0.15750891498531852,0.016602395627538707,0.36432530372168787,0.13964113607633766,0.04718584086755093,0.14846441519599693,0.1730729497227677,0.018962476298448428,0.23441558990860495,0.3588115651828859,0.7278919612190344,0.32463143998905986,0.037847666160126824,0.2772272097491576,0.00887845527070032,0.06749827082097648,0.009540637524929512,0.007728187062656039,0.11317628353669823,0.01625858716396929
2023-09-01,0.37089391585159137,0.13334453250618597,0.06848182008547526,0.05634514178814358,0.09417121886919902,0.5717532712946071,0.5890481001174801,0.2680930627520145,0.2573279284771764,0.09655216405852006,0.1285283114221662,0.15903299742954913,0.016635154275723214,0.36234477348888544,0.14282985313563387,0.0477244170708437,0.15147002780307137,0.1751752001178069,0.018993259263610014,0.23401921123217903,0.3634430991854759,0.7347412916660192,0.3297107483000676,0.038520127665380974,0.2785521462637031,0.008965822893375039,0.0693233175705658,0.00959328722419499,0.0077514560013498685,0.11414346696556885,0.016333111657680623
2023-10-01,0.3761858586877339,0.13362724236756282,0.06854732069684705,0.057280996552519656,0.09397576656912499,0.5807542043778394,0.5952647661475637,0.2715019914851519,0.2594579309252933,0.09674391316998691,0.12894639635171418,0.16050888307386288,0.01677087571290058,0.36162497985253544,0.14662657287932318,0.048377194714955864,0.1541335042037521,0.17705398221492666,0.018962596969009878,0.23126881965442064,0.36726672151484335,0.7412531947651713,0.335294097268628,0.0393182501165711,0.28053463792684363,0.009088910302571907,0.07134665265004596,0.009628454898021752,0.007762856059777324,0.11488570463606315,0.016457508065107852
