,,Skill subcat: Microsoft Development Tools,Skill subcat: Software Development,Skill subcat: Application Programming Interface (API),Skill subcat: Basic Electrical Systems,Skill subcat: Identity and Access Management,Skill subcat: Interior Design,Skill subcat: Animation and Game Design,Skill subcat: Digital Design,Skill subcat: Drafting and Engineering Design,Skill subcat: Photo/Video Production and Technology,Skill subcat: People Management,Skill subcat: Art and Illustration,Skill subcat: Graphic and Visual Design Software,Skill subcat: Oncology,Skill subcat: Graphic and Visual Design,Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),Skill subcat: Wireless Technologies,Skill subcat: Health Information Management and Medical Records,Skill subcat: Medical Billing and Coding,Skill subcat: Financial Regulation,Skill subcat: System Design and Implementation,Skill subcat: Compensation and Benefits,Skill subcat: Mental and Behavioral Health Specialties,Skill subcat: Financial Advisement,Skill subcat: Networking Hardware,Skill subcat: Telecommunications,Skill subcat: Lean Manufacturing,Skill subcat: Computer Hardware,Skill subcat: Network Protocols,Skill subcat: Web Analytics and SEO,Skill subcat: Network Security,Skill subcat: Mental Health Therapies,Skill subcat: Machinery,Skill subcat: Electrical Power,Skill subcat: Insurance and Warranty Claims Processing,Skill subcat: Databases,Skill subcat: Instructional and Curriculum Design,Skill subcat: Special Education,Skill subcat: Payroll,Skill subcat: Human Resources Software,Skill subcat: Accounting and Finance Software,Skill subcat: Safety and Surveillance Technology,Skill subcat: Engineering Software,Skill subcat: Networking Software
"Cook, IL",2022-08-01,0.0096692186949581,0.08228505811701446,0.02122680098202305,0.01224977795820289,0.01215501209994589,0.0013468917010617941,0.003161830498415906,0.00302900612686662,0.019775658040085298,0.0071727727115187,0.08217708336909832,0.002655412213167411,0.0119689366217575,0.007742358075216694,0.01069541349262779,0.0089558631698861,0.003616863753912606,0.0331596462730715,0.00924222903156858,0.0066733404106653765,0.0430958350084818,0.0064702513290473,0.02524420394779726,0.0015659017096208,0.0065149112618222,0.019909254601878028,0.0110673546610468,0.007969781521648917,0.013051333606882766,0.009096064952637931,0.011673825500442676,0.009963034847339,0.039895235543973,0.00438368015783926,0.004508087996446625,0.0352505318282877,0.0129993422019295,0.005558828365869574,0.006517153006118087,0.0109734903507365,0.014060776340201735,0.0064052145804448,0.0088593327931924,0.002810405228082
"Cook, IL",2022-09-01,0.0095623615220035,0.0817990659485709,0.020744765684261476,0.012504344534154391,0.01200407251933938,0.0013268613630300972,0.0031393714788919,0.0030492013092899,0.01992542820792221,0.007235661051451988,0.07875458484026338,0.0025620305185545117,0.011958351001645488,0.0080398213034137,0.0101779471926175,0.008920841050405175,0.0035354576685364876,0.033750001314129495,0.008652818683360116,0.006629203148088929,0.0424169974971567,0.006254164602450209,0.0248327523505845,0.0016101891127022852,0.00644791840909633,0.01994198727063814,0.010959033498869272,0.0079253156645471,0.011969019983604133,0.0090598573797369,0.011613424162670251,0.0102403742870629,0.0404228750579831,0.004497384878745261,0.004055724522511575,0.0346585889205504,0.0127870749854296,0.005606578526215726,0.006448114624167,0.0106144216872833,0.014095013037080335,0.006664329595637971,0.008736742511413,0.0028473150343086553
"Cook, IL",2022-10-01,0.0094404203062555,0.08028414200575786,0.02052393720491065,0.012629577008414779,0.0119170176361183,0.0012929362814062,0.0030789603343935,0.002992260495814,0.0192369369100045,0.0066272447537038415,0.07864408000389918,0.002441308253216,0.01078645196022621,0.0084086817854305,0.0095848390968139,0.008910323378164,0.003493469436441806,0.0336484567913999,0.0089018460482964,0.006825438474795648,0.0417768640214622,0.0062249814375831694,0.0250968928761429,0.0017095394906179427,0.006485120911127641,0.02032762767578457,0.010780848527926273,0.007909921795028524,0.0121388889688864,0.008762148052560415,0.0113503462229429,0.010169053623248096,0.0405874424660736,0.0046623479580565,0.004274795843406325,0.03325911624948978,0.01274995628824515,0.005761247812488025,0.006340201057456581,0.0103313880708074,0.014788702964601266,0.006538101603533986,0.0086045879056615,0.0027181144042758222
"Cook, IL",2022-11-01,0.009140734181968167,0.07905104431902046,0.020700542709568826,0.012466371236058621,0.01188080769473598,0.0012254435393003,0.0030049254820087,0.0028971482443656,0.0190436063926038,0.00652904508151877,0.07800285166386518,0.0023021571174926883,0.0106834135719405,0.008625693629178295,0.008910746683197782,0.008904994898283825,0.0034212676849156,0.033677460297054394,0.00921196313604488,0.006681300200844952,0.04138024380371455,0.006115123676230169,0.0252943682364658,0.001883360938430315,0.006498402403036212,0.0206123083506129,0.0106033400521932,0.007605629975144383,0.011512337386037734,0.008510530596666916,0.011343783303245576,0.0102637611979344,0.0410513827290487,0.0047125618849026,0.0039893312143897,0.03275154060747358,0.0126882021299555,0.0058990548104939,0.0061525984970439,0.009949060181905268,0.013943673384393316,0.0063764743598613,0.00842991239643,0.002797452743909355
"Cook, IL",2022-12-01,0.008850025925609968,0.07723907383376406,0.020308128343945426,0.012633200280035391,0.01180511784871109,0.0011761577691789,0.002997239674103794,0.0028474866382018,0.018950197706239593,0.006270829341535241,0.07524554715679066,0.0022410074411932,0.010458438391914345,0.008838867555858188,0.0087749331903043,0.008806956842770212,0.003325702719098987,0.0331582845542262,0.00926584615709978,0.006608643500238653,0.04013830650342895,0.00609837080739103,0.026536317573633717,0.0017846258526528851,0.0063652575229399,0.02074216791008327,0.010441746281928774,0.0071318757277212584,0.0115943530050532,0.008313793415472715,0.011138287112267,0.0102692465155574,0.0415929404360656,0.00487909380715124,0.003964378208116363,0.0328235032208657,0.012516705266336,0.0058735554605773,0.005941925229788793,0.009633456596636234,0.013606357063022916,0.005999755691350643,0.008282855911147444,0.0027450510079752776
"Cook, IL",2023-01-01,0.008620544079757,0.07526658578729097,0.019682645711282,0.01265947674377968,0.01169762350463552,0.0011469044600318,0.0028987541053467,0.00297265326815106,0.018965210342825195,0.00622671284852897,0.08002004579621662,0.0021676153520758,0.009818878221127956,0.009198391337223688,0.00863779097163941,0.008736548893351187,0.003231238370719394,0.032804693801822805,0.009622134037519062,0.006677106263039,0.0389140586833146,0.006105773574689439,0.024512524167550283,0.002020086299035715,0.0062151933117574,0.0209366816648916,0.010303095114475773,0.006843395396531117,0.0112289732498036,0.0082723344217161,0.010865472636146649,0.010297928505034,0.0424014541125413,0.004855981890980941,0.0038820156619730627,0.03147300556863439,0.0123727715976505,0.0058608513881749,0.0057528955953631,0.009267193428593367,0.0135264709543762,0.0063134461943553,0.007946606879481944,0.0027050361487191
"Cook, IL",2023-02-01,0.0082579132838268,0.074020976641201,0.019396187395880025,0.0125456316780559,0.0116320175801224,0.0010666534685697942,0.0027554813925474114,0.0028076139037621,0.018701598772558194,0.0061548930668622,0.07583461271512398,0.0021025074425619,0.009958352862937444,0.009493252997098894,0.00833794739397461,0.008786175829116788,0.003163595096916406,0.033157317223585205,0.008773123163913618,0.006593439433367876,0.0382967958084054,0.0063344184770098,0.0260467242361988,0.0021125018500648303,0.0060411790175125,0.0208965692209957,0.0101958486103452,0.006692611166083417,0.010500156655404234,0.0081365831145644,0.010830092645864224,0.010468920836783503,0.0428564877191931,0.0046640521292671,0.0037816007361932626,0.03150387596924101,0.01234793722924505,0.005946095205689674,0.005560574532135893,0.008958805976792834,0.013599388511852563,0.0062319439426125,0.007521065977895472,0.002624161772280844
"Cook, IL",2023-03-01,0.0078590576761967,0.07168244990006446,0.0188601788106606,0.01245538290165532,0.0115606067385913,0.001057005600152597,0.0028411400439218,0.0027805317407263,0.01841485142257559,0.00593904760872207,0.07578391424431768,0.001995912869054477,0.009902594635138089,0.0095062528554041,0.0080384735638466,0.0092779064153624,0.0031165020925568057,0.0336329340832832,0.009297096141218382,0.006568864676888924,0.03756376246270945,0.00646516230133413,0.026959039388551962,0.001972185349034815,0.005949534583650941,0.020613585616067673,0.010113630879933373,0.006606018925398418,0.0106269454090747,0.008139911178244485,0.0107331664451108,0.0103165977644048,0.0435480345660714,0.00477252200364554,0.0036315767006945,0.030196923822357,0.012369491124521301,0.006060625554233675,0.0054654041726102075,0.0088625057703515,0.0128921875487327,0.0061901091851097,0.0071220001709475286,0.002717320912199955
"Cook, IL",2023-04-01,0.0075339061564438665,0.06974852163177626,0.018197505563922148,0.0125833931749649,0.01144536190200832,0.0010474725930841,0.0027976930350757058,0.0027768699182553,0.018494688904298395,0.0059566739094572,0.07966698771529251,0.0020437257483281,0.009636290024587789,0.009592329706349694,0.0079207566856863,0.010257945205989613,0.0030890679305502,0.034259470061265104,0.008821177183344317,0.006618914811679048,0.03638936538060875,0.006526236298434,0.0266594577327533,0.001924724836282215,0.0058351912505134,0.020881725421190527,0.0100790467769509,0.006601574595432718,0.010614375236790681,0.007857624553906515,0.010664454510092375,0.010442839544712099,0.0441337496626978,0.00472023854864834,0.0037157133744766626,0.0292181084020251,0.0121749846414497,0.006155510707414674,0.005408135065303087,0.0087912091348091,0.012902505557994784,0.005935100598343828,0.0068724933862752,0.0024701384320528
"Cook, IL",2023-05-01,0.0073588730211709,0.07054373647182617,0.018105763233464973,0.0125914987758697,0.01116412418702439,0.0010193846510242,0.0027762868208852055,0.00265566512018624,0.018706697767617103,0.005918596727637429,0.0781209856835108,0.002062678159250211,0.009442395978902889,0.0101729973514266,0.007677870259634491,0.011387876021849888,0.0030642784111116,0.0353476792111626,0.0090561627987725,0.006663774865512771,0.03571004881087905,0.00650375601769284,0.027992135925433818,0.001895377262337615,0.0058260977238231,0.020857543037695273,0.010104559055922627,0.006541474450457776,0.0102504136944767,0.0079761088249779,0.010616197923834376,0.0104912340033919,0.0449234529453254,0.0045213467124871,0.0037075353286416626,0.02800511139007689,0.0121594201675205,0.0061758198167836745,0.005381456067010893,0.008687013674760966,0.013107141990601747,0.0061346711121677,0.0065822126146,0.0021804061114944
