date,Skill: AWS Certified Security Specialty
2022-08-01,2.4151239813363645e-05
2022-09-01,2.6072114451380912e-05
2022-10-01,2.789336122077657e-05
2022-11-01,3.141010529361665e-05
2022-12-01,3.5185903470846824e-05
2023-01-01,3.394116538402159e-05
2023-02-01,3.858640593534801e-05
2023-03-01,4.4126953071099706e-05
2023-04-01,4.462725337361917e-05
2023-05-01,4.629164868674707e-05
2023-06-01,4.8215972128673457e-05
2023-07-01,4.826338044949807e-05
2023-08-01,4.736653863801621e-05
2023-09-01,4.550818084680941e-05
2023-10-01,4.7331925088656135e-05
2023-11-01,3.611003194237128e-05
2023-12-01,4.4516697016661055e-05
2024-01-01,4.474703200685326e-05
2024-02-01,4.7454668674618006e-05
2024-03-01,5.0591634135344066e-05
2024-04-01,4.751898995891679e-05
2024-05-01,4.816838372789789e-05
2024-06-01,5.263490675133653e-05
2024-07-01,5.048420644016005e-05
2024-08-01,5.036300535721239e-05
2024-09-01,5.4903033742448315e-05
