,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Air Transportation,0.0020905466611304,0.0117683754523118,462.9329242499858,177.89583333333334
Skill subcat: Nuclear Energy,0.0004161035478662,0.0015686817853508,276.9931290889201,41.875
Skill subcat: Theatre and Performance Art,0.0005695405973897,0.0020891907375333,266.8203367957282,42.541666666666664
Skill subcat: Military Technology and Weapons,0.0003276383149725,0.0011092838380798,238.56963224002254,60.1875
Skill subcat: Obstetrics and Gynecology (OBGYN),0.0043279592021108,0.0132075898121966,205.16899987770435,547.6666666666666
Skill subcat: Hospitality Services,0.0103586515928337,0.0296135138489981,185.881937273431,848.7708333333334
Skill subcat: Marine and Naval Engineering,1.2983755719667455e-05,3.627422493002373e-05,179.38160354539386,1.625
Skill subcat: Electronics Manufacturing,0.0004762597333098,0.0013013493581845,173.2436246794753,44.0625
Skill subcat: Software Development,0.0853120292727866,0.2281884393452938,167.47510437907593,8211.375
Skill subcat: Java,0.0263050849384886,0.0699041858613901,165.74400358277865,2527.1041666666665
Skill subcat: Rehabilitation,0.013104008362881,0.0330158963129497,151.95264989659196,1337.25
Skill subcat: Government Assistance,0.0063379153741495,0.0152280075463821,140.26839500717665,203.1875
Skill subcat: Speech Language Pathology,0.0041499995146817,0.0097322633357886,134.512396961932,566.125
Skill subcat: Real Estate Sales,0.0118235264305415,0.0266074342919146,125.03805821573334,1120.7083333333333
Skill subcat: Anesthesiology,0.0049965501833506,0.0103217580752297,106.5776925372159,540.7291666666666
Skill subcat: Radio Frequency (RF),0.001954731331085,0.0040118409032055,105.23745843776257,234.3125
Skill subcat: Oil and Gas,0.0044420910587012,0.0088666264377561,99.60478793851127,447.6875
Skill subcat: Pediatrics,0.0098984657086643,0.0196599011053906,98.61564088848583,1152.3125
Skill subcat: Office Management,0.0177709461963029,0.0343131410130255,93.08561645504318,1856.2916666666667
Skill subcat: Streaming Media Systems,0.0009777744745889,0.0018592911501913,90.15541911881358,68.77083333333333
Skill subcat: Application Programming Interface (API),0.0254760821379012,0.0447205965238963,75.53953658111625,2106.3125
Skill subcat: Accounts Payable and Receivable,0.0218939401931145,0.0379668798123505,73.41273191333022,2282.0
Skill subcat: Audio Production and Technology,0.0015875683804853,0.0027529194636671,73.40478038656617,161.66666666666666
Skill subcat: Military Operations,0.0022541879188133,0.0037938712271229,68.30323663167151,140.14583333333334
"Skill subcat: Extraction, Transformation, and Loading (ETL)",0.0119832288441837,0.0200578281359796,67.38250096688311,1189.875
Skill subcat: Surgery,0.0144271342266134,0.0235408625768835,63.17074622802231,1466.8333333333333
Skill subcat: Cannabis,0.0013571459229152,0.0021853104953928,61.02251485961596,87.35416666666667
Skill subcat: Customer Relationship Management (CRM),0.0510594554353049,0.0818381018402156,60.28001306028208,5502.083333333333
Skill subcat: Online Advertising,0.0055169162560125,0.0087640385013974,58.85755909102461,538.625
Skill subcat: Billing and Invoicing,0.0552773433270419,0.0862029283427916,55.946221642350125,5699.666666666667
Skill subcat: Cardiology,0.0065781140166494,0.0101128943466888,53.735467659769455,750.0416666666666
Skill subcat: Data Storage,0.008928583065304,0.0137154317630609,53.61263554077621,866.875
Skill subcat: Business Management,0.2626917805877895,0.4024380225115039,53.19779766653654,27062.666666666668
Skill subcat: Engineering Software,0.008108070213185,0.012305031959112,51.762770123796884,812.1041666666666
Skill subcat: Performance Management,0.0323857948259751,0.0489141561127478,51.03583646962427,2999.3125
Skill subcat: Underwriting,0.0082160427557835,0.0123008840607496,49.71786815606171,889.125
Skill subcat: Supply Chain Management,0.0323240113298538,0.0483731279541613,49.650757947497894,3156.7708333333335
Skill subcat: Payroll,0.0068006284486177,0.0100860477432289,48.31052482037886,648.1666666666666
Skill subcat: General Shipping and Receiving,0.0452552816217525,0.0669480612817527,47.93424962264139,4938.229166666667
Skill subcat: Business Operations,0.2361285339305295,0.3470926758839286,46.993110110972644,23246.416666666668
Skill subcat: Environmental Engineering and Restoration,0.0012533182682927,0.0018389781499296,46.728743724026295,100.29166666666667
Skill subcat: Travel and Tourism,0.0048325740933324,0.0070608854412242,46.110236591431594,484.4583333333333
Skill subcat: Physical Therapy,0.0163037673439977,0.0238066278457313,46.01918282706489,1649.25
"Skill subcat: Water Supply, Testing, and Treatment",0.0032622114011948,0.0047559753563922,45.78991890747186,290.1041666666667
Skill subcat: Inventory and Warehousing,0.1017775676312369,0.1454427743954314,42.90258431249154,11629.583333333334
Skill subcat: Construction Inspection,0.0066986029906604,0.0095421034049763,42.44915571620653,612.5625
Skill subcat: Mortgage Lending,0.0059381624713241,0.0084064358027535,41.566281544988115,803.9375
Skill subcat: Graphic and Visual Design,0.010288695123172,0.0144772623027271,40.71038289512232,1017.4791666666666
Skill subcat: Pharmacy,0.0281711550360727,0.0393660366916096,39.738809577392345,2565.5
Skill subcat: Cloud Computing,0.0211935269662514,0.0295389903311783,39.37741640745417,1738.0833333333333
Skill subcat: General Networking,0.0187098565508651,0.0258452709108515,38.1371943744618,1891.2083333333333
Skill subcat: Office and Productivity Equipment and Technology,0.1954407755704102,0.2687823719235137,37.526251182257084,20305.5
Skill subcat: Nephrology,0.0040759921983168,0.0056014978755982,37.426609351984645,260.2708333333333
