,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Administration,0.4607033687178258,0.4826686576905301,0.021965288972704278,4.767772598198148,Low,50842.25868832071,13-1000,43-6000,11-9000,99-9000,43-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,15042.75,0.017544415208628247,25.0,0.025625131989333003
Analysis,0.1931559664092302,0.20491811658041975,0.011762150171189562,6.089457338464847,Medium,81203.63152908119,15-1200,15-2000,13-1000,13-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,6057.361111111111,0.02437424589118379,42.0,0.06314295024526391
Architecture and Construction,0.0366153807274431,0.0316449781508621,-0.004970402576581004,-13.574630327019117,Low,54265.61869496211,53-7000,49-9000,11-9000,47-2000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Specialty Trade Contractors,Construction of Buildings,1117.638888888889,0.0,5.0,0.056190876278837884
Business,0.7090914027657064,0.7918601914500837,0.08276878868437731,11.672513354632402,Low,73672.41533484089,15-1200,13-1000,11-9000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,22720.777777777777,0.07565731822466544,21.0,0.07404552448072979
Customer and Client Support,0.5174612928620276,0.524875236773253,0.007413943911225407,1.4327533312143237,Medium,45388.9319965193,43-4000,41-2000,41-4000,41-1000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,General Merchandise Stores,17251.98611111111,0.12016206477006165,41.0,0.20465317092162735
Design,0.034910521176116,0.03952354595278069,0.004613024776664691,13.213852504214943,High,78574.39353574193,15-1200,27-1000,13-1000,11-2000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1145.8055555555557,0.016649450378171806,21.0,0.0571343684820451
"Economics, Policy, and Social Studies",0.0656127836660405,0.07134609814311199,0.005733314477071497,8.738105833541878,Medium,69938.06315166828,11-9000,13-1000,15-1200,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Hospitals,1808.4583333333333,0.012158642373655808,41.0,0.07649526442288594
Education and Training,0.0841533781964398,0.08756357214453707,0.003410193948097273,4.052355379170678,Medium,58097.36122371827,25-2000,11-9000,15-1200,29-1000,25-1000,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services,2384.208333333333,0.013763104900125911,21.0,0.07498550911996767
Energy and Utilities,0.0113397436750633,0.010459771234548193,-0.0008799724405151067,-7.760073470180926,High,62494.206079508425,17-2000,49-9000,17-3000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Utilities,Specialty Trade Contractors,291.68055555555554,0.0029605467126076045,40.0,0.17615929361159546
Engineering,0.0419840866774223,0.05692110714954567,0.01493702047212337,35.57781448692564,High,69192.14329997853,17-2000,15-1200,17-3000,49-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Machinery Manufacturing,1171.5972222222222,0.01643285714490208,21.0,0.10269322601835883
