,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Administration,0.292125794119325,0.35835789584798783,0.06623210172866284,22.672459283622498,High,50842.25868832071,13-1000,43-6000,11-9000,99-9000,43-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,2244.8194444444443,0.15954474325478796,21.0,0.0637262436943359
Analysis,0.1285023188103798,0.12400578171460333,-0.004496537095776465,-3.4991875145939053,Medium,81203.63152908119,15-1200,15-2000,13-1000,13-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1081.736111111111,0.02617627390945087,28.0,0.08869472768333117
Business,0.5958146441374786,0.6069902478785898,0.01117560374111115,1.8756846363333906,Medium,73672.41533484089,15-1200,13-1000,11-9000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,4631.194444444444,0.09099223432866745,14.0,0.04228710850216446
Customer and Client Support,0.4850554200743622,0.43107033464964695,-0.05398508542471525,-11.12967368067735,High,45388.9319965193,43-4000,41-2000,41-4000,41-1000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,General Merchandise Stores,4036.180555555556,0.14373620852689492,18.0,0.1277334008793417
Education and Training,0.0651544904003199,0.08216303316547652,0.01700854276515662,26.10494328273207,High,58097.36122371827,25-2000,11-9000,15-1200,29-1000,25-1000,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services,484.5,0.06870198379411906,13.0,0.12494619055358126
Finance,0.2722937224602935,0.2461265847364881,-0.026167137723805384,-9.609893862911635,Low,68705.62601175455,13-2000,11-3000,43-3000,11-9000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,2028.513888888889,0.014284263010654878,15.0,0.10512593921160716
Health Care,0.0808960469641582,0.0817120272526644,0.000815980288506199,1.0086775795951157,Low,65914.18215770835,29-1000,29-2000,31-1100,11-9000,31-9000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,Nursing and Residential Care Facilities,598.5972222222222,0.0,5.0,0.021278341975793005
Hospitality and Food Services,0.7552429450455239,0.6974370922858225,-0.057805852759701404,-7.653941442143101,Low,37541.91346214684,35-3000,11-9000,35-2000,35-1000,35-9000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Accommodation,6369.527777777777,0.056798893139139266,17.0,0.07316981534346806
Human Resources,0.1281805955459527,0.10017168551607988,-0.028008910029872824,-21.85113114085325,Medium,66115.96241603534,13-1000,11-3000,11-9000,15-1200,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,917.7222222222222,0.01551150076500057,15.0,0.16140316434949464
Information Technology,0.1602308898568442,0.1788210946139734,0.01859020475712922,11.602135377103846,High,96553.37672018258,15-1200,13-1000,99-9000,11-9000,15-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,1313.8194444444443,0.05384763396040224,27.0,0.21670560793260388
"Law, Regulation, and Compliance",0.5337634476233025,0.5322814997130053,-0.00148194791029721,-0.27764132536536634,Medium,55585.60643210358,11-9000,15-1200,13-1000,11-3000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,4367.819444444444,0.1036601027578274,22.0,0.0937576546384274
"Maintenance, Repair, and Facility Services",0.1092714245644718,0.09830706887185382,-0.010964355692617972,-10.034055780199733,Medium,46385.46776038221,49-9000,49-3000,37-2000,17-3000,53-7000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,Motor Vehicle and Parts Dealers,865.5833333333334,0.010702345918759347,15.0,0.10506703901339935
Manufacturing and Production,0.070785143209633,0.06591752977480343,-0.004867613434829568,-6.876603216601453,High,53296.38250923692,51-9000,15-1200,17-2000,49-9000,51-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Food Manufacturing,742.6944444444445,0.024996946365938362,24.0,0.07677790948593656
Marketing and Public Relations,0.1582062214077149,0.13724600182942778,-0.020960219578287115,-13.2486696109569,Medium,65721.65938149072,11-2000,13-1000,41-4000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1248.8472222222222,0.03272310936706782,27.0,0.06098518156963919
Media and Communications,0.49802118218444,0.49985292906253076,0.0018317468780907342,0.3678050138462493,Medium,56258.748334609874,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,4112.972222222223,0.08163001978287805,27.0,0.1253544188589678
