,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Information Technology,0.1489676611692471,0.10936440168950011,-0.03960325947974698,-26.585138793816736,Low,96553.37672018258,15-1200,13-1000,99-9000,11-9000,15-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,444.9166666666667,1.3877787807814457e-17,5.0,0.04264299571757639
"Maintenance, Repair, and Facility Services",0.0438073652119954,0.022962967309124303,-0.020844397902871098,-47.58194838242281,Low,46385.46776038221,49-9000,49-3000,37-2000,17-3000,53-7000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,Motor Vehicle and Parts Dealers,205.11111111111111,3.469446951953614e-18,5.0,0.10031023151857965
Media and Communications,0.5423575825128518,0.5900171103893412,0.047659527876489416,8.787473322613696,Low,56258.748334609874,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1700.1666666666667,0.0,5.0,0.0633328736636113
Business,0.2304093220056049,0.20352483583830372,-0.026884486167301186,-11.668141693784072,Low,73672.41533484089,15-1200,13-1000,11-9000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,682.1666666666666,2.7755575615628914e-17,5.0,0.0358067514585675
Health Care,0.2923667905773904,0.2835973121436931,-0.008769478433697298,-2.999478297921114,Low,65914.18215770835,29-1000,29-2000,31-1100,11-9000,31-9000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,Nursing and Residential Care Facilities,944.4444444444443,0.0,5.0,0.10581826103048053
Marketing and Public Relations,0.0886766508070072,0.080272397884886,-0.008404252922121214,-9.477413553215873,Low,65721.65938149072,11-2000,13-1000,41-4000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,237.0,0.0,5.0,0.07266219797936681
Customer and Client Support,0.1234149248984947,0.0663134869051489,-0.0571014379933458,-46.26785458915129,Low,45388.9319965193,43-4000,41-2000,41-4000,41-1000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,General Merchandise Stores,363.8611111111111,0.0,5.0,0.12785518363125478
Education and Training,0.7142971580774572,0.681302937269723,-0.032994220807734176,-4.619116908786068,Low,58097.36122371827,25-2000,11-9000,15-1200,29-1000,25-1000,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services,2388.375,1.1102230246251565e-16,5.0,0.018260021661307548
Science and Research,0.0746975974751503,0.0483541754956881,-0.026343421979462198,-35.266759400429024,Low,67784.93299736021,11-9000,29-2000,15-1200,15-2000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Chemical Manufacturing,214.25,0.0,5.0,0.051672961540148554
"Law, Regulation, and Compliance",0.1380023551651932,0.1379905742222748,-1.1780942918426796e-05,-0.008536769466234566,Low,55585.60643210358,11-9000,15-1200,13-1000,11-3000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,507.18055555555554,0.0,5.0,0.025994290708641603
Physical and Inherent Abilities,0.5701131118562025,0.38975058494145476,-0.18036252691474775,-31.636270621370993,Low,55895.16663692128,15-1200,11-9000,13-1000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1785.736111111111,5.551115123125783e-17,5.0,0.07122345835162605
Administration,0.1561367979903327,0.1268451509014749,-0.029291647088857786,-18.760245801038778,Low,50842.25868832071,13-1000,43-6000,11-9000,99-9000,43-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,489.0,0.0,5.0,0.03607914484204564
Hospitality and Food Services,0.0381821611060211,0.0214263940520688,-0.016755767053952302,-43.88375767266358,Low,37541.91346214684,35-3000,11-9000,35-2000,35-1000,35-9000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Accommodation,214.79166666666663,0.0,5.0,0.0256959395871346
