,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Administration,0.280488540618326,0.3322901278366844,0.05180158721835837,18.468343520973725,High,50842.25868832071,13-1000,43-6000,11-9000,99-9000,43-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,448.2638888888889,0.1739306144662637,21.0,0.2717519071016498
Analysis,0.1246798516034007,0.17058932250822775,0.045909470904827054,36.821884462023895,High,81203.63152908119,15-1200,15-2000,13-1000,13-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,242.04166666666663,0.05515730167854563,26.0,0.16468381395663773
Architecture and Construction,0.2508227916348065,0.20888175263753866,-0.04194103899726781,-16.721382743532022,High,54265.61869496211,53-7000,49-9000,11-9000,47-2000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Specialty Trade Contractors,Construction of Buildings,390.8611111111111,0.06455922547253592,13.0,0.0641931785079988
Business,0.5409667925630737,0.652501535690114,0.11153474312704037,20.617669080683182,Low,73672.41533484089,15-1200,13-1000,11-9000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,907.5277777777778,0.0630162570799215,13.0,0.07258548952022253
Customer and Client Support,0.1426503880936465,0.13923116173805453,-0.00341922635559197,-2.396927482137189,Low,45388.9319965193,43-4000,41-2000,41-4000,41-1000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,General Merchandise Stores,260.18055555555554,0.007291048408951024,13.0,0.059350191362355365
Energy and Utilities,0.1760208900958474,0.260049986270254,0.0840290961744066,47.738138427007634,High,62494.206079508425,17-2000,49-9000,17-3000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Utilities,Specialty Trade Contractors,230.40277777777777,0.17627667327439514,25.0,0.07503070989005796
Engineering,0.622382817523839,0.604340925104016,-0.018041892419822902,-2.8988416633355802,Medium,69192.14329997853,17-2000,15-1200,17-3000,49-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Machinery Manufacturing,1051.5972222222222,0.10280541169832645,26.0,0.100598970480485
Information Technology,0.4737852853831744,0.5048567299582438,0.03107144457506944,6.558127813095836,Medium,96553.37672018258,15-1200,13-1000,99-9000,11-9000,15-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,804.0138888888889,0.09078647402208884,14.0,0.10704877715654759
"Law, Regulation, and Compliance",0.4882431149586584,0.506175961634581,0.017932846675922598,3.672933857437201,Medium,55585.60643210358,11-9000,15-1200,13-1000,11-3000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,775.9166666666666,0.07129582582973029,24.0,0.07251739225347485
"Maintenance, Repair, and Facility Services",0.6219517635726364,0.6060648326765042,-0.015886930896132134,-2.554367046870948,Medium,46385.46776038221,49-9000,49-3000,37-2000,17-3000,53-7000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,Motor Vehicle and Parts Dealers,1088.6805555555557,0.11249953140692306,21.0,0.08944264549026508
Manufacturing and Production,0.615339987366394,0.5848368755403066,-0.030503111826087337,-4.9571151643562485,Low,53296.38250923692,51-9000,15-1200,17-2000,49-9000,51-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Food Manufacturing,1086.6527777777778,0.0,5.0,0.024454125718799048
Media and Communications,0.4837055167365311,0.3461818110644667,-0.1375237056720644,-28.431287408072297,High,56258.748334609874,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,840.0416666666666,0.22351849086797698,22.0,0.2347645696670146
Physical and Inherent Abilities,0.7964289929997179,0.6876280093532249,-0.10880098364649304,-13.66110282307761,Medium,55895.16663692128,15-1200,11-9000,13-1000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1373.25,0.11376471626174048,19.0,0.18103768389195693
Science and Research,0.170269217236517,0.1311700585773981,-0.03909915865911889,-22.96313995782759,High,67784.93299736021,11-9000,29-2000,15-1200,15-2000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Chemical Manufacturing,270.0,0.06743838214477069,20.0,0.12523030096123267
"Transportation, Supply Chain, and Logistics",0.3469323060682833,0.42093618079377626,0.07400387472549297,21.330926359716845,High,45867.89654164763,53-7000,53-3000,13-1000,11-3000,43-5000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Nonstore Retailers,Truck Transportation,585.3472222222222,0.16573125897476979,24.0,0.13096404923424443
