,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Information Technology,0.8761413948139958,0.8695887486876502,-0.0065526461263455404,-0.7478982462341781,Low,96553.37672018258,15-1200,13-1000,99-9000,11-9000,15-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,7804.208333333333,1.1102230246251565e-16,5.0,0.12596577955215277
"Maintenance, Repair, and Facility Services",0.0703099889354633,0.0635260631307172,-0.006783925804746099,-9.648594612883505,Low,46385.46776038221,49-9000,49-3000,37-2000,17-3000,53-7000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,Motor Vehicle and Parts Dealers,510.1111111111111,0.0,5.0,0.027915355549368102
Architecture and Construction,0.0560942121634588,0.05064259625186401,-0.005451615911594793,-9.718678097677454,Low,54265.61869496211,53-7000,49-9000,11-9000,47-2000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Specialty Trade Contractors,Construction of Buildings,403.6666666666667,6.938893903907228e-18,5.0,0.14571578127349424
Design,0.0793693298509977,0.0712698801999332,-0.008099449651064503,-10.204760032962138,Low,78574.39353574193,15-1200,27-1000,13-1000,11-2000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,714.0555555555555,0.0,5.0,0.11256412100062745
Engineering,0.1943901234415506,0.1718396020607638,-0.02255052138078681,-11.60065181375705,Low,69192.14329997853,17-2000,15-1200,17-3000,49-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Machinery Manufacturing,1350.0,0.0,5.0,0.0763804973840103
Media and Communications,0.6666526534454315,0.627226567764464,-0.039426085680967504,-5.914037164211889,Low,56258.748334609874,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,5775.111111111111,0.0,5.0,0.08577531599030894
Business,0.8208306751500372,0.8174784932932393,-0.0033521818567978645,-0.4083889599015204,Low,73672.41533484089,15-1200,13-1000,11-9000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,7161.75,1.1102230246251565e-16,5.0,0.054194109655994596
Health Care,0.1310124802260426,0.1291526720321531,-0.0018598081938894784,-1.419565670904524,Low,65914.18215770835,29-1000,29-2000,31-1100,11-9000,31-9000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,Nursing and Residential Care Facilities,1064.3194444444443,0.0,5.0,0.05333214056494996
Finance,0.275054604401194,0.2565095908076359,-0.01854501359355809,-6.742302545318739,Low,68705.62601175455,13-2000,11-3000,43-3000,11-9000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,2250.847222222222,0.0,5.0,0.158449566120545
Human Resources,0.090316432752477,0.0727589688802964,-0.0175574638721806,-19.43994391397071,Low,66115.96241603534,13-1000,11-3000,11-9000,15-1200,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,717.0694444444445,0.0,5.0,0.0512235613231686
