,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Account Management,0.0754080841593857,0.056531841259015635,-0.018876242900370065,-25.032121039532633,Low,71335.87309493963,41-4000,11-2000,13-1000,15-1200,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Publishing Industries (except Internet),2550.2916666666665,0.0027865467928674496,13.0,0.24297308425942812
Accounting and Finance Software,0.0436695929065453,0.03823904866038616,-0.005430544246159137,-12.435527525481454,Medium,53160.02097356756,43-3000,13-2000,11-3000,43-6000,15-1200,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,Ambulatory Health Care Services,1490.6527777777778,0.009141244576895729,25.0,0.09616768488920678
Accounts Payable and Receivable,0.086471083681756,0.07878468248413746,-0.007686401197618542,-8.888984467810305,Medium,50626.64032320371,43-3000,13-2000,11-3000,11-9000,99-9000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Real Estate,Ambulatory Health Care Services,2914.833333333333,0.010750553137463967,17.0,0.07155665412752427
Administrative Support and Clerical Tasks,0.1718706840422252,0.16973595288856744,-0.002134731153657754,-1.2420565878083625,Low,44410.32071448647,43-6000,43-4000,43-9000,99-9000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,5666.944444444444,0.012467045484176131,27.0,0.12210712793278408
Advertising,0.0129859159076595,0.012658070995555252,-0.0003278449121042488,-2.52461909067866,High,60797.10695258391,13-1000,11-2000,41-4000,27-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,489.625,0.003769474505468317,17.0,0.1430755118613707
Agile Software Development,0.0172979314696659,0.01763668780881248,0.00033875633914658143,1.9583632860416482,High,116728.60424053326,15-1200,13-1000,11-2000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,546.625,0.00520725734892724,17.0,0.05863095917667985
Artificial Intelligence and Machine Learning (AI/ML),0.0080678929109691,0.009057795587966575,0.0009899026769974745,12.26965563278119,Medium,88084.79243249715,15-1200,15-2000,99-9000,13-2000,11-9000,Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,237.25,0.0018244183917886245,28.0,0.04622433869697994
Auditing,0.1427831570307383,0.14486701365937946,0.002083856628641162,1.459455493194166,High,68294.44356490234,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,3863.8611111111113,0.05487895915615949,28.0,0.07978033367061228
Banking Services,0.0337965188511077,0.0365493227797305,0.002752803928622795,8.145229219466104,Medium,49703.2670182795,41-3000,43-3000,13-2000,99-9000,41-1000,Credit Intermediation and Related Activities,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",General Merchandise Stores,1138.888888888889,0.004073783842652161,26.0,0.17571668639973004
Basic Technical Knowledge,0.1367503757125566,0.12340845944877708,-0.013341916263779521,-9.7564019069488,Medium,45842.807952922056,43-4000,11-9000,99-9000,43-6000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,4552.805555555556,0.01570743866872094,11.0,0.08916981584801048
