,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Basic Technical Knowledge,0.0522838418258837,0.13990644550853037,0.08762260368264668,167.59021644669602,High,45842.807952922056,43-4000,11-9000,99-9000,43-6000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,212.94444444444449,0.07093607210959565,5.0,0.12451706263729492
Business Management,0.1426205958840835,0.3060163913782115,0.16339579549412803,114.56675978757642,Medium,65654.77461368566,15-1200,11-9000,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,379.19444444444446,0.07079892951589276,10.0,0.029939257109416275
Childhood Education and Development,0.4241200346504065,0.3986833414706286,-0.02543669317977787,-5.997522187496948,Low,43397.54667829396,25-2000,21-1000,29-1000,25-9000,11-9000,Unclassified Industry,Social Assistance,Educational Services,Administrative and Support Services,Ambulatory Health Care Services,1434.013888888889,0.03539144402055603,10.0,0.04798554645480432
Communication,0.4047414687757568,0.4518724550243093,0.0471309862485525,11.644713943227048,High,57385.66709576459,15-1200,13-1000,11-9000,41-4000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1201.25,0.11305498490693684,22.0,0.055487891233883126
Critical Thinking and Problem Solving,0.2175192468809694,0.3425481391838543,0.1250288923028849,57.47946174680488,High,63615.96770882311,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,583.8333333333334,0.15734367555705495,12.0,0.059554761571221394
Customer Service,0.1128333137756934,0.1761754441382135,0.06334213036252011,56.13779144024864,High,45914.83154164073,43-4000,41-2000,41-4000,11-9000,15-1200,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Credit Intermediation and Related Activities,340.18055555555554,0.21798242903004184,17.0,0.1361122854046807
Home Health Care and Assisted Living,0.0828167322906058,0.058076377700854505,-0.02474035458975129,-29.87361841679145,Low,38848.17733330085,31-1100,29-1000,29-2000,11-9000,21-1000,Ambulatory Health Care Services,Unclassified Industry,Nursing and Residential Care Facilities,Hospitals,Administrative and Support Services,271.55555555555554,6.938893903907228e-18,5.0,0.17934599972458568
Initiative and Leadership,0.3512035588781816,0.31738602217093453,-0.033817536707247076,-9.629041577843754,Medium,63962.55268980127,11-9000,15-1200,13-1000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1096.736111111111,0.04012897067908605,7.0,0.061652995951494934
Instructional and Curriculum Design,0.1373118850931076,0.13385755082230466,-0.003454334270802939,-2.5156848356285,Medium,60045.056243872,25-2000,11-9000,25-9000,25-1000,13-1000,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services,480.9861111111111,0.024350370977570843,22.0,0.2451921140743755
Language Competency,0.2157591386135257,0.2155470719969814,-0.0002120666165442986,-0.0982885906511514,High,45771.45767990084,43-4000,11-9000,13-1000,29-1000,41-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Ambulatory Health Care Services,672.7361111111111,0.17240060961789383,13.0,0.07300574966479129
Mental and Behavioral Health Specialties,0.1271239294608811,0.16289569180614766,0.03577176234526655,28.13928305785602,High,66650.22199219819,29-1000,21-1000,11-9000,19-3000,29-2000,Unclassified Industry,Ambulatory Health Care Services,Educational Services,Hospitals,Administrative and Support Services,351.0138888888889,0.12260282215442107,11.0,0.09273262127994043
Office and Productivity Equipment and Technology,0.0917529594305869,0.09670316817574963,0.004950208745162735,5.395148860465558,High,55247.42092383605,13-1000,15-1200,11-9000,99-9000,43-6000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,280.30555555555554,0.024666960367970503,18.0,0.06552942072269055
Personal Attributes,0.2491905953519793,0.26034030050190277,0.011149705149923472,4.4743683581535745,Medium,48721.030892132105,15-1200,13-1000,99-9000,11-9000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services,914.2361111111112,0.0330519894133081,12.0,0.05396304724104954
Physical Abilities,0.1543322786487662,0.18673015977753177,0.03239788112876557,20.99229105694577,High,40033.32548686719,53-7000,41-2000,99-9000,11-9000,29-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Food Services and Drinking Places,415.2916666666667,0.1001701350902474,16.0,0.11282605667871519
