,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Communications,0.3093995790298643,0.2859679338315525,-0.023431645198311812,-7.573263438748929,High,59723.06652249859,15-1200,11-9000,13-1000,99-9000,41-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,520.9861111111111,0.12811641466412677,29.0,0.2391981051630837
Computer Literacy,0.1057075274842882,0.1015293131065087,-0.004178214377779502,-3.952617639647781,Medium,48057.5076519774,11-9000,43-4000,29-1000,29-2000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,205.97222222222223,0.023682357799367473,34.0,0.04703659159897134
Customer Service,0.1264145329775538,0.12434211901494718,-0.0020724139626066285,-1.6393795189470872,Low,46959.829871999726,43-4000,41-2000,11-9000,41-1000,41-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,238.19444444444449,0.004331772693822038,18.0,0.12250179980179379
Hydraulics,0.1080897391580929,0.10201960696609924,-0.006070132191993663,-5.615826478325977,Medium,61732.38440739072,49-9000,17-3000,49-3000,17-2000,49-1000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Food Manufacturing,"Merchant Wholesalers, Durable Goods",212.88888888888889,0.014756676125206427,30.0,0.03167174735475351
Lifting Ability,0.1220410693494538,0.12513752090059108,0.0030964515511372748,2.537220927056006,Low,39439.769756469184,53-7000,41-2000,29-1000,51-9000,53-3000,Unclassified Industry,Administrative and Support Services,Hospitals,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,232.125,0.006314887133125218,34.0,0.05792179786234238
Machinery,0.1803057669856456,0.1806984362191562,0.0003926692335106119,0.21777963072133621,Medium,46987.91618403168,49-9000,51-9000,53-7000,17-3000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,"Merchant Wholesalers, Durable Goods",306.52777777777777,0.02668299968124438,22.0,0.06662808233604965
Management,0.1987995211535868,0.21808493577532861,0.019285414621741825,9.70093615408785,High,66583.6776337706,11-9000,15-1200,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Insurance Carriers and Related Activities,312.3333333333333,0.06844471810008579,25.0,0.10982971257738706
Operations,0.2563714336180509,0.41537355463125275,0.15900212101320182,62.02021760742949,High,65456.50548486178,11-9000,15-1200,13-1000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services,416.31944444444446,0.209299121359701,26.0,0.032342565792067415
Preventive Maintenance,0.1854387121027464,0.1745713865434757,-0.010867325559270696,-5.860332740689773,Low,57455.02787979967,49-9000,17-3000,49-3000,49-1000,47-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,"Merchant Wholesalers, Nondurable Goods",304.2638888888889,0.008024359483745356,33.0,0.10859271250064231
Problem Solving,0.1602609149991193,0.13974559294337904,-0.020515322055740248,-12.801201126209088,Medium,67790.77347976794,15-1200,13-1000,11-9000,99-9000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,260.1111111111111,0.03175067447514101,34.0,0.07052916352783588
Programmable Logic Controllers,0.1334685317651269,0.3120948344655251,0.1786263027003982,133.83402090219911,High,70589.48718344657,17-3000,49-9000,17-2000,15-1200,47-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Chemical Manufacturing,Food Manufacturing,203.58333333333331,0.3239767101516063,22.0,0.11359705359680118
Troubleshooting (Problem Solving),0.4821243199862597,0.4864725189248934,0.004348198938633696,0.9018833438557129,Medium,65568.73791217501,15-1200,49-9000,17-3000,99-9000,17-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Computer and Electronic Product Manufacturing,789.6805555555555,0.06819369569812267,22.0,0.07441511286260288
Valid Driver's License,0.1352439361625876,0.10646019435642934,-0.028783741806158253,-21.282833539801004,Low,46969.10002349624,53-3000,11-9000,41-4000,49-9000,31-1100,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",Motor Vehicle and Parts Dealers,218.11111111111111,0.005522669705997696,10.0,0.09371331947432172
