,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Accountability,0.0472234039339985,0.04642343303737004,-0.000799970896628463,-1.6940136245717003,Medium,72167.4399266149,11-9000,29-1000,15-1200,41-1000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Hospitals,Administrative and Support Services,General Merchandise Stores,975.8888888888888,0.005524031546001645,30.0,0.117825972378653
Activities Of Daily Living (ADLs),0.0573899933621907,0.0672552617551866,0.009865268392995903,17.189875473126076,High,45793.99414105682,31-1100,29-2000,29-1000,99-9000,21-1000,Ambulatory Health Care Services,Unclassified Industry,Nursing and Residential Care Facilities,Administrative and Support Services,Hospitals,1468.5277777777778,0.020252106131710336,29.0,0.10131535699060427
Acute Care,0.0387147027619048,0.04118103828070403,0.002466335518799233,6.370539724835761,High,101061.26104530926,29-1000,29-2000,11-9000,31-1100,21-1000,Hospitals,Administrative and Support Services,Unclassified Industry,Ambulatory Health Care Services,Insurance Carriers and Related Activities,788.625,0.010325962844653192,25.0,0.10902071204449292
Adaptability,0.014157892393609,0.011809249989843902,-0.0023486424037650975,-16.588926787049857,High,53372.21697330719,29-1000,15-1200,11-9000,13-1000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Social Assistance,Accommodation,362.7916666666667,0.007542973894790433,30.0,0.04229379167186424
Administrative Functions,0.0137043718545513,0.014719151434403938,0.0010147795798526385,7.40478725054169,Medium,47667.69638245422,43-6000,11-9000,43-4000,99-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,347.93055555555554,0.0036521583921423476,30.0,0.08362163794904894
Advanced Cardiovascular Life Support (ACLS) Certification,0.0833956896040885,0.08004524249564737,-0.0033504471084411236,-4.017530311634796,High,113943.20199554188,29-1000,29-2000,11-9000,15-1200,21-1000,Administrative and Support Services,Hospitals,Unclassified Industry,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",1953.513888888889,0.04321737768743948,33.0,0.059228771105214295
Advocacy,0.0461483286403975,0.034005392659884656,-0.012142935980512845,-26.312840222523498,High,70398.31017335037,29-1000,15-1200,11-9000,21-1000,11-2000,Unclassified Industry,Hospitals,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,845.8194444444445,0.010654034542031014,10.0,0.04313307746007376
Ambulatory Care,0.0187178627204646,0.016923922826325457,-0.0017939398941391425,-9.584106481226586,Low,85758.419340055,29-1000,31-9000,29-2000,11-9000,21-1000,Hospitals,Unclassified Industry,Ambulatory Health Care Services,Educational Services,Administrative and Support Services,346.7083333333333,0.000842365993006434,10.0,0.22150869616597116
American Medical Technologists (AMT) Certification,0.0140192909800099,0.012312293943482273,-0.0017069970365276264,-12.176058254027486,High,54281.23391089109,31-9000,29-2000,29-1000,11-9000,19-1000,Hospitals,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,Educational Services,357.68055555555554,0.0031153356603423597,27.0,0.12916414850491023
American Red Cross (ARC) Certification,0.044158532663939,0.08548340575670843,0.04132487309276943,93.58298521208877,High,55444.289312457455,29-1000,29-2000,31-9000,31-1100,99-9000,Ambulatory Health Care Services,Unclassified Industry,Hospitals,Social Assistance,Educational Services,434.02777777777777,0.07380486257170704,23.0,0.07328304368853458
