,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Administrative Support and Clerical Tasks,0.0871471168509219,0.08625031006242405,-0.0008968067884978503,-1.0290722411757713,Medium,44410.32071448647,43-6000,43-4000,43-9000,99-9000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,2135.833333333333,0.011633494584871562,17.0,0.0881282594637281
Alternative Therapy,0.0161236591375849,0.025141175686516356,0.009017516548931456,55.92723383683583,High,65687.41365243404,29-1000,31-9000,29-2000,11-9000,21-1000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Personal and Laundry Services,Nursing and Residential Care Facilities,263.31944444444446,0.023676576204025322,23.0,0.08281606125491159
Anesthesiology,0.0361061656993523,0.033199134765754285,-0.0029070309335980163,-8.051342138636905,High,100305.47693118904,29-1000,29-2000,31-9000,11-9000,31-1100,Administrative and Support Services,Unclassified Industry,Hospitals,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",930.8333333333334,0.015585888492172033,27.0,0.09243084480843575
Auditing,0.0132962906288875,0.013849006965045553,0.0005527163361580528,4.156921291696363,Medium,68294.44356490234,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,324.05555555555554,0.002202619220988308,13.0,0.08236775764980742
Basic Technical Knowledge,0.090434665882096,0.05399931167980448,-0.03643535420229153,-40.289145591353254,High,45842.807952922056,43-4000,11-9000,99-9000,43-6000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,2212.305555555556,0.029548611290015698,24.0,0.04952634120733318
Billing and Invoicing,0.0218637653220704,0.02003294861803266,-0.0018308167040377368,-8.37374842378873,High,50159.78436447887,43-3000,43-4000,11-9000,13-1000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Hospitals,587.4583333333334,0.013187672058538566,25.0,0.2230604299247714
Blood Collection,0.0613264853614074,0.05248454694324445,-0.00884193841816295,-14.417813716302025,Medium,52367.46369344711,31-9000,29-2000,29-1000,31-1100,11-9000,Ambulatory Health Care Services,Hospitals,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",1351.0972222222222,0.00908853218865755,28.0,0.22025005508579593
Business Management,0.1109386752821893,0.10190644022436676,-0.009032235057822538,-8.141646756505503,Low,65654.77461368566,15-1200,11-9000,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,2414.4861111111118,0.007149983467285892,28.0,0.19624669224907848
Business Operations,0.0898512766878605,0.1078421785130455,0.017990901825185007,20.0229785133545,High,63133.79024481096,15-1200,11-9000,13-1000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Food Services and Drinking Places,1696.8333333333333,0.06412910168040174,19.0,0.21893852536587902
Cardiology,0.0556405596986401,0.0488173221078923,-0.006823237590747801,-12.263064260503056,High,102638.55279886986,29-1000,29-2000,11-9000,31-9000,41-4000,Administrative and Support Services,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Educational Services,1316.0555555555557,0.016137911142882305,24.0,0.051974489439883
Cash Register Operation,0.0101970227571159,0.009791130346559561,-0.00040589241055633864,-3.9804992126068397,High,32217.63996099712,41-2000,43-4000,35-3000,41-1000,99-9000,Unclassified Industry,General Merchandise Stores,Food Services and Drinking Places,Food and Beverage Stores,Administrative and Support Services,231.625,0.00530840046219287,17.0,0.060764352755283774
Childhood Education and Development,0.0107419104841476,0.01005538808974471,-0.0006865223944028907,-6.391064191197904,Medium,43397.54667829396,25-2000,21-1000,29-1000,25-9000,11-9000,Unclassified Industry,Social Assistance,Educational Services,Administrative and Support Services,Ambulatory Health Care Services,270.6388888888889,0.002421896598598965,27.0,0.1409013094376289
Cleaning and Janitorial Services,0.0426823514285049,0.04913483442998586,0.006452483001480963,15.11744968477006,High,35771.780443829586,37-2000,31-1100,53-7000,41-2000,51-9000,Unclassified Industry,Administrative and Support Services,Accommodation,Nursing and Residential Care Facilities,Ambulatory Health Care Services,1511.1527777777778,0.03423505122077055,28.0,0.06930760311869849
Clinical Informatics,0.025138097710682,0.022387088909111404,-0.0027510088015705973,-10.943583851221979,High,66871.35994983278,29-1000,29-2000,11-9000,43-6000,15-1200,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,Hospitals,Insurance Carriers and Related Activities,696.9444444444445,0.013632079866641925,29.0,0.05801504498054634
Coaching and Athletic Training,0.0068454106816866,0.005347732276347915,-0.001497678405338685,-21.87857639199641,High,51730.81660377359,39-9000,27-2000,11-9000,25-2000,29-9000,Unclassified Industry,Educational Services,"Amusement, Gambling, and Recreation Industries",Ambulatory Health Care Services,Social Assistance,205.93055555555557,0.0027767065560624265,15.0,0.034449488751546076
Communication,0.3079396601523333,0.27425523564330706,-0.033684424509026256,-10.938644438447149,Medium,57385.66709576459,15-1200,13-1000,11-9000,41-4000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,6767.611111111111,0.0366568036146963,29.0,0.19932133433923577
Community and Social Work,0.0206404869612326,0.022103026460568154,0.0014625394993355544,7.085780011307518,High,54946.152026058095,21-1000,11-9000,29-1000,99-9000,29-2000,Unclassified Industry,Social Assistance,Ambulatory Health Care Services,Educational Services,Hospitals,468.34722222222223,0.01019479389683091,18.0,0.0845600458485607
Computer Science,0.0111334431845892,0.015424917456735831,0.004291474272146632,38.54579577041222,High,94892.53697004564,15-1200,13-1000,99-9000,15-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,292.59722222222223,0.019005056636836538,22.0,0.08499474763553627
Critical Thinking and Problem Solving,0.1772972591511496,0.1379223266717432,-0.039374932479406405,-22.208427060814547,High,63615.96770882311,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,3730.0,0.043748069171488185,25.0,0.17893383011393046
Customer Service,0.1368704103802168,0.12972031164406286,-0.007150098736153937,-5.223991596351208,Medium,45914.83154164073,43-4000,41-2000,41-4000,11-9000,15-1200,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Credit Intermediation and Related Activities,3333.9861111111118,0.029156079528557102,28.0,0.03959053305570493
Data Analysis,0.0156552617352979,0.019351134461387722,0.003695872726089823,23.60786289351358,High,81801.21541135233,15-1200,13-1000,15-2000,13-2000,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,228.08333333333331,0.011752118978893701,15.0,0.23668140114742148
Data Collection,0.0246208012663336,0.0129900741113764,-0.011630727154957199,-47.23943396131878,Low,59885.42604362837,15-1200,15-2000,11-9000,13-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,353.8888888888889,0.0,5.0,0.3372531465727132
Dictation,0.0296852746309063,0.0320157343136285,0.0023304596827222017,7.850557933851435,Low,48840.16084070796,43-6000,29-2000,29-1000,43-9000,31-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Health and Personal Care Stores,Hospitals,469.1388888888889,0.0,5.0,0.37546972994520256
Document Management,0.0149556975751762,0.0104008988248255,-0.0045547987503507005,-30.45527450294834,Low,48925.082866763245,11-9000,15-1200,43-4000,13-1000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Ambulatory Health Care Services,365.7638888888889,0.0,5.0,0.08911839615230395
Emergency Services,0.0130460947273963,0.020172832448427155,0.007126737721030854,54.62736450981747,High,43763.24746075716,33-9000,11-9000,29-2000,29-1000,15-1200,Educational Services,Administrative and Support Services,Unclassified Industry,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",232.48611111111111,0.023822434006746513,25.0,0.23390911530871403
Emergency and Intensive Care,0.3745719897888457,0.37786277409787455,0.003290784309028849,0.8785452192738531,Medium,93164.68724939856,29-1000,29-2000,31-1100,11-9000,31-9000,Unclassified Industry,Administrative and Support Services,Hospitals,Ambulatory Health Care Services,Educational Services,8115.986111111111,0.07002742087193004,17.0,0.1203883559326871
