,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Ability To Meet Deadlines,0.021507202770556,0.037286126843113776,0.015778924072557775,73.36576606865674,High,62681.91914375716,13-1000,15-1200,11-9000,99-9000,13-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,307.44444444444446,0.035078237753461444,27.0,0.13071624328885847
Accountability,0.0145069468937484,0.011906285947324558,-0.0026006609464238415,-17.927003975899066,High,72167.4399266149,11-9000,29-1000,15-1200,41-1000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Hospitals,Administrative and Support Services,General Merchandise Stores,218.75,0.0059040566723395855,22.0,0.12702985214878584
Accounting,0.0114921207346037,0.008955914289043704,-0.002536206445559996,-22.06908980622936,High,69565.45384831692,13-2000,11-3000,43-3000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Insurance Carriers and Related Activities,216.98611111111111,0.002648421637293779,32.0,0.1567260054901443
Arithmetic,0.0293559482125331,0.02514437463388039,-0.004211573578652709,-14.34657653761168,High,39379.29127814779,53-7000,41-2000,43-4000,51-9000,35-3000,Unclassified Industry,General Merchandise Stores,Food and Beverage Stores,Motor Vehicle and Parts Dealers,Accommodation,509.7361111111111,0.01621408196062725,28.0,0.12457800898946028
Auditing,0.0300456415928895,0.0370319425541348,0.0069863009612452995,23.252294146045642,High,68859.41998154458,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,449.7361111111111,0.013657140070510054,25.0,0.05088827763734822
Automotive Service Excellence (ASE) Certification,0.0316525840843374,0.03023411357600652,-0.0014184705083308824,-4.481373478232957,High,60094.13038032339,49-3000,41-2000,41-1000,49-9000,49-1000,Motor Vehicle and Parts Dealers,Unclassified Industry,Repair and Maintenance,Administrative and Support Services,Truck Transportation,429.19444444444446,0.025732657737112877,27.0,0.12350779161650678
Automotive Services,0.0243640048361658,0.025448985846837257,0.0010849810106714555,4.453212917857065,High,57041.69241266375,49-3000,49-1000,43-4000,49-9000,41-4000,Motor Vehicle and Parts Dealers,Unclassified Industry,Repair and Maintenance,Transportation Equipment Manufacturing,Plastics and Rubber Products Manufacturing,462.9583333333333,0.012433746790010209,30.0,0.11331834933005547
Bill Of Lading,0.0233789617790299,0.038919124707042584,0.015540162928012684,66.47071446068944,High,43137.27696817421,53-7000,43-5000,53-3000,43-4000,99-9000,Unclassified Industry,Administrative and Support Services,Truck Transportation,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",399.72222222222223,0.030852279041528114,33.0,0.060230562139397745
Brakes,0.0258534609869238,0.035826454370991745,0.009972993384067944,38.57508048578911,High,59138.09158372621,49-3000,53-3000,49-9000,17-3000,41-2000,Motor Vehicle and Parts Dealers,Truck Transportation,Unclassified Industry,Administrative and Support Services,Plastics and Rubber Products Manufacturing,467.125,0.013982643887341058,32.0,0.06074074695520589
CDL Class A License,0.1323825444522293,0.11297971225081659,-0.019402832201412715,-14.65663942455366,High,74838.08435918333,53-3000,49-3000,53-7000,49-9000,99-9000,Truck Transportation,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods","Merchant Wholesalers, Durable Goods",Administrative and Support Services,3015.3194444444443,0.06098311108608154,33.0,0.09437351726432411
CDL Class B License,0.0154315999137404,0.012844630991675876,-0.002586968922064524,-16.76410052441205,High,50332.83337713535,53-3000,49-3000,49-9000,53-7000,17-3000,Unclassified Industry,Waste Management and Remediation Services,"Merchant Wholesalers, Nondurable Goods",Administrative and Support Services,Truck Transportation,265.875,0.00695207237735212,31.0,0.16571036502197034
Changing Oil,0.0210528101873286,0.02717501225062047,0.006122202063291872,29.080213087071588,High,45248.82842369163,49-3000,49-9000,43-4000,53-3000,17-3000,Unclassified Industry,Repair and Maintenance,Motor Vehicle and Parts Dealers,Plastics and Rubber Products Manufacturing,Administrative and Support Services,312.7916666666667,0.020255133409460335,27.0,0.10759058645925385
Cleanliness,0.0440688710610675,0.08180272013976864,0.037733849078701136,85.62472368854709,High,36533.524088390455,35-3000,41-2000,11-9000,37-2000,35-9000,Unclassified Industry,Food Services and Drinking Places,Food and Beverage Stores,Accommodation,Administrative and Support Services,699.0555555555555,0.04489323373702241,30.0,0.13612904099791426
Clerical Works,0.0105360951599997,0.010902088998723027,0.0003659938387233271,3.473714247692288,High,42967.92940552017,43-6000,43-4000,29-2000,43-9000,31-9000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Educational Services,Administrative and Support Services,205.68055555555557,0.007407420753961838,19.0,0.24269332373986513
Commercial Driver's License (CDL),0.1243020394035437,0.10880327264040063,-0.015498766763143074,-12.468634334169439,High,73913.88755959609,53-3000,49-3000,53-7000,49-9000,99-9000,Truck Transportation,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods","Merchant Wholesalers, Durable Goods",Administrative and Support Services,2203.6111111111118,0.05244363931304523,33.0,0.09774629367479126
Commercial Driving,0.0153957215228168,0.010920820125841097,-0.004474901396975702,-29.065876453687473,Medium,61700.16315034822,53-3000,49-3000,99-9000,53-7000,41-4000,Unclassified Industry,Truck Transportation,"Merchant Wholesalers, Nondurable Goods",Motor Vehicle and Parts Dealers,Specialty Trade Contractors,339.2638888888889,0.002510930655007435,26.0,0.08673174223816683
Communications,0.2248723987407159,0.2370309744592223,0.012158575718506398,5.406877761163375,High,59723.06652249859,15-1200,11-9000,13-1000,99-9000,41-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,3415.5,0.10580162543044216,31.0,0.06172961062809347
Computer Literacy,0.065852003666037,0.07139994830879305,0.005547944642756056,8.42486839260351,High,48057.5076519774,11-9000,43-4000,29-1000,29-2000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,1116.4166666666667,0.032130144212462165,34.0,0.08283321958836602
Coordinating,0.0297586969563799,0.03913624007620785,0.009377543119827948,31.51194131105098,High,70309.27493652521,11-9000,13-1000,29-1000,15-1200,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,469.68055555555554,0.018981760203837593,29.0,0.06926503731695702
Customer Service,0.1928338896561117,0.16301267106810766,-0.029821218588004045,-15.464718697105267,Medium,46959.829871999726,43-4000,41-2000,11-9000,41-1000,41-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,3635.8333333333335,0.03012738907335518,26.0,0.07878331398130586
Cycle Counting,0.0424600717695645,0.0741328984317774,0.0316728266622129,74.5943785354505,High,41610.57434560126,53-7000,43-5000,41-2000,41-1000,11-3000,Administrative and Support Services,Unclassified Industry,Motor Vehicle and Parts Dealers,"Merchant Wholesalers, Durable Goods","Professional, Scientific, and Technical Services",538.3333333333334,0.0474423596263087,30.0,0.045065534709875434
Data Entry,0.0209411564909505,0.028135814032872748,0.007194657541922247,34.356543512920794,High,40688.16089131773,43-4000,43-9000,43-3000,43-6000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,430.81944444444446,0.021862893214134527,32.0,0.17587412398309418
Decision Making,0.0155839193536424,0.0446979017257038,0.0291139823720614,186.82066886631213,High,72143.83615499122,11-9000,15-1200,29-1000,13-1000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Hospitals,Insurance Carriers and Related Activities,278.8888888888889,0.05411546322907054,28.0,0.09773965946790904
Detail Oriented,0.1027111230809181,0.14480626110064826,0.042095138019730166,40.98401103701951,High,50619.4088918623,13-1000,15-1200,99-9000,11-9000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Educational Services,1905.9166666666667,0.14595938011363782,30.0,0.07783340279215635
Diesel Engines,0.0270759605953584,0.0587595763614089,0.0316836157660505,117.01751320867997,High,58460.7665615142,49-3000,49-9000,17-3000,99-9000,49-1000,Truck Transportation,Unclassified Industry,Administrative and Support Services,Rental and Leasing Services,Transit and Ground Passenger Transportation,354.8333333333333,0.06645590948406001,28.0,0.0995828896906257
Dollies,0.0178496086409058,0.017457491471907213,-0.0003921171689985868,-2.196783004530279,Medium,41954.735581061694,53-7000,53-3000,41-1000,41-2000,49-9000,General Merchandise Stores,Nonstore Retailers,Unclassified Industry,Administrative and Support Services,Truck Transportation,421.18055555555554,0.004180458414432723,10.0,0.28062304948467914
Dry Van Truck Operation,0.0144647718407906,0.009359567325655032,-0.005105204515135568,-35.294054903368135,High,81189.53209812108,53-3000,49-3000,41-4000,43-5000,11-3000,Truck Transportation,Unclassified Industry,Support Activities for Transportation,Administrative and Support Services,Rental and Leasing Services,338.9583333333333,0.004663144977584521,26.0,0.1292879689897988
Electrical Systems,0.0131035061835848,0.015314938411152645,0.002211432227567846,16.876645048927294,High,60679.12777853539,49-3000,49-9000,17-3000,17-2000,47-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Motor Vehicle and Parts Dealers,Plastics and Rubber Products Manufacturing,231.01388888888889,0.010318381153518262,21.0,0.09033968982932315
Energetic,0.0106143867932689,0.010794812108638899,0.0001804253153699989,1.6998185470725014,High,50977.56174108655,41-4000,11-9000,41-2000,13-1000,35-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Administrative and Support Services,Ambulatory Health Care Services,268.84722222222223,0.003336378730573987,22.0,0.06783421182704871
English Language,0.0889058965383126,0.09728162301786322,0.008375726479550621,9.420889733608652,High,44822.64599550315,53-7000,43-4000,99-9000,11-9000,25-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Nonstore Retailers,Health and Personal Care Stores,2244.4861111111118,0.07267540573468538,33.0,0.10205895441149404
Enthusiasm,0.0110416641878282,0.017848375340174784,0.006806711152346583,61.64569974741646,High,48244.47571671685,35-3000,41-2000,11-9000,99-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Educational Services,Administrative and Support Services,236.45833333333331,0.022045971539825276,29.0,0.05722546077090006
Fine Motor Skills,0.0165271117694382,0.016601208914828552,7.40971453903512e-05,0.4483369291866896,High,45751.06148642789,29-2000,29-1000,27-3000,49-3000,49-9000,Unclassified Industry,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",Accommodation,Hospitals,213.79166666666663,0.010802593774724442,32.0,0.18040820394701193
Finished Good,0.0190053132088176,0.030976527969864144,0.011971214761046543,62.988779135154914,High,43645.77411297554,53-7000,51-9000,11-3000,13-1000,43-5000,Administrative and Support Services,Unclassified Industry,Chemical Manufacturing,Food Manufacturing,Miscellaneous Manufacturing,330.7361111111111,0.025578579126107146,31.0,0.17559163447440218
Flatbed Truck Operation,0.0260217410847322,0.013049440203783255,-0.012972300880948947,-49.85177909006333,High,71200.64702481077,53-3000,53-7000,35-2000,99-9000,41-1000,Truck Transportation,Unclassified Industry,Food and Beverage Stores,Support Activities for Transportation,Administrative and Support Services,622.875,0.011454342598040604,27.0,0.07602734437561771
Food Safety And Sanitation,0.0184146394166273,0.04166071378762799,0.023246074371000694,126.2369240312732,High,38043.069797231,35-3000,35-2000,11-9000,35-1000,53-7000,Food Services and Drinking Places,Unclassified Industry,Food and Beverage Stores,Administrative and Support Services,Food Manufacturing,288.9166666666667,0.03489245643625307,34.0,0.09612460607855462
Forklift Certification,0.0306346391641478,0.030668396831437923,3.375766729012131e-05,0.11019443418033933,High,37907.53585441753,53-7000,43-5000,51-9000,53-3000,53-1000,Unclassified Industry,Administrative and Support Services,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",Truck Transportation,490.55555555555554,0.01481286013656148,30.0,0.13470035797785201
Forklift Truck,0.1679014838773013,0.1676061705150032,-0.0002953133622980997,-0.17588490314588773,Medium,38048.00137412826,53-7000,51-9000,43-5000,53-3000,49-9000,Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",Truck Transportation,3241.777777777778,0.03287969216916666,30.0,0.09173951258060778
General Mathematics,0.0509859229043823,0.04392454535369129,-0.007061377550691014,-13.849661138690658,Medium,37208.949152980735,53-7000,41-2000,51-9000,35-3000,43-4000,Unclassified Industry,General Merchandise Stores,Administrative and Support Services,Food Services and Drinking Places,Food and Beverage Stores,1089.7222222222222,0.007137859404097474,33.0,0.14598819071260472
Good Driving Record,0.090805320034332,0.15214674610308007,0.06134142606874807,67.55267868177313,High,49451.86983830141,53-3000,49-9000,41-4000,33-9000,99-9000,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,Rental and Leasing Services,Truck Transportation,1688.0972222222222,0.13170095518232147,24.0,0.11434239281731218
Good Manufacturing Practices,0.0245188189478923,0.031068972306771483,0.006550153358879183,26.714799651645745,High,49009.33984065996,51-9000,53-7000,19-4000,11-3000,17-3000,Administrative and Support Services,Food Manufacturing,Chemical Manufacturing,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods",359.2916666666667,0.017941934818680203,32.0,0.17668977577911457
HVAC,0.02266476653973,0.036545761529038163,0.013880994989308164,61.244817876132096,High,59412.12257274801,49-9000,49-3000,49-1000,17-2000,11-9000,Unclassified Industry,Administrative and Support Services,Real Estate,Specialty Trade Contractors,"Professional, Scientific, and Technical Services",292.7638888888889,0.030147716983752904,34.0,0.053441358042474546
Hand Tools,0.0240326540817232,0.023445197418677684,-0.0005874566630455179,-2.4444102638346457,Medium,43449.1476893955,49-9000,51-9000,53-7000,51-2000,17-3000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Durable Goods",Building Material and Garden Equipment and Supplies Dealers,415.1388888888889,0.005161896460612973,34.0,0.06378146655678803
Hand Trucks,0.0274720955009938,0.028588768879632315,0.001116673378638515,4.064755011492005,High,38853.25836475023,53-7000,53-3000,43-5000,27-1000,43-4000,Unclassified Industry,Nonstore Retailers,Food and Beverage Stores,Administrative and Support Services,Truck Transportation,529.1944444444445,0.01042011649025994,30.0,0.15213347578405495
Hazmat Endorsement,0.0176449542574786,0.010306629267992915,-0.007338324989485683,-41.58880143526257,High,81802.22623966943,53-3000,53-7000,49-3000,99-9000,49-9000,Truck Transportation,Unclassified Industry,Waste Management and Remediation Services,"Merchant Wholesalers, Nondurable Goods","Professional, Scientific, and Technical Services",237.06944444444449,0.003175449974944321,15.0,0.13636127205132262
Housekeeping,0.0431631747667117,0.04900502929897895,0.005841854532267252,13.534348582654781,High,36838.84312385736,37-2000,31-1100,53-7000,41-2000,51-9000,Unclassified Industry,Accommodation,Administrative and Support Services,Nursing and Residential Care Facilities,Ambulatory Health Care Services,694.1388888888889,0.015523822548006449,32.0,0.11035714364424097
Interpersonal Communications,0.0305279458764007,0.03380531786525674,0.0032773719888560433,10.735645307172732,High,62524.03998373543,15-1200,11-9000,13-1000,29-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,475.0416666666667,0.012828023731987164,32.0,0.06494637930834073
Inventory Control,0.0300110390153686,0.042062138546889116,0.012051099531520518,40.155555845131424,High,43722.26615244493,53-7000,41-1000,41-2000,43-5000,99-9000,Health and Personal Care Stores,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,General Merchandise Stores,519.0833333333334,0.027881792592297026,33.0,0.11783565339803789
Inventory Management,0.0329709409847366,0.029878497107184248,-0.003092443877552354,-9.379301242824566,High,47277.21926029309,41-1000,29-2000,11-9000,41-2000,99-9000,Unclassified Industry,Health and Personal Care Stores,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Durable Goods",552.7222222222222,0.00797985137452392,18.0,0.1162471574879937
Inventory Management System,0.0098487762066275,0.010486532758606828,0.0006377565519793283,6.475490341126497,High,42632.99324090121,41-2000,53-7000,43-5000,53-3000,41-1000,Motor Vehicle and Parts Dealers,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Durable Goods",216.70833333333331,0.0032832890424566445,30.0,0.04897870926967875
Inventory Staging,0.0339010231445604,0.0430652093594933,0.009164186214932903,27.032181818982494,High,40623.492034184426,53-7000,15-1200,51-9000,41-1000,43-5000,Administrative and Support Services,Unclassified Industry,General Merchandise Stores,"Merchant Wholesalers, Durable Goods","Professional, Scientific, and Technical Services",485.06944444444446,0.057911806193059086,30.0,0.07419585776983142
Invoicing,0.0330569717159128,0.04968854529002744,0.01663157357411464,50.31184863829683,High,52420.01635293465,43-3000,13-1000,11-9000,43-4000,13-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,"Merchant Wholesalers, Durable Goods",514.6527777777778,0.022743666132497786,34.0,0.06379279870328598
Leadership,0.0420081530529513,0.04993777853347181,0.007929625480520508,18.87639637602065,High,80406.06884916697,11-9000,15-1200,11-3000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,715.3611111111111,0.03363187012471498,34.0,0.07790468715630394
Lifting Ability,0.1706170978141111,0.14613042499288784,-0.02448667282122327,-14.351828236992828,Medium,39439.769756469184,53-7000,41-2000,29-1000,51-9000,53-3000,Unclassified Industry,Administrative and Support Services,Hospitals,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,3362.75,0.030791901940782983,34.0,0.10006587698630216
Loading And Unloading,0.1650063153555486,0.2475871170442583,0.08258080168870968,50.04705517529319,High,39670.22837896264,53-7000,53-3000,41-2000,43-5000,51-9000,Administrative and Support Services,Unclassified Industry,Food and Beverage Stores,Truck Transportation,General Merchandise Stores,3334.6111111111118,0.255489156564367,33.0,0.08719798126233815
Logistics,0.0153906460736797,0.03873565089966062,0.023345004825980918,151.68307239489027,High,55657.91799400726,43-5000,13-1000,11-3000,53-7000,11-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Support Activities for Transportation,Truck Transportation,240.80555555555557,0.03457564882140617,28.0,0.07093306724747837
Machinery,0.0362126784269917,0.049862746726190864,0.013650068299199167,37.69416925820342,High,46987.91618403168,49-9000,51-9000,53-7000,17-3000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,"Merchant Wholesalers, Durable Goods",577.3611111111111,0.05911694708670908,34.0,0.11947881519063352
Management,0.1184908749989534,0.17242161596941877,0.053930740970465366,45.51467863744084,High,66583.6776337706,11-9000,15-1200,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Insurance Carriers and Related Activities,2106.4444444444443,0.11311852097861848,34.0,0.08072836742859718
Material Handling,0.0265900001013137,0.03387080961214296,0.0072808095108292635,27.381758116163184,Medium,41352.17777282851,53-7000,51-9000,17-2000,43-5000,17-3000,Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods","Professional, Scientific, and Technical Services","Merchant Wholesalers, Durable Goods",485.93055555555554,0.007479302816513933,22.0,0.07631949975004938
Material Handling Equipment,0.0308016461250952,0.03557743844827031,0.004775792323175113,15.504990557255006,High,41279.56864206734,53-7000,49-9000,17-3000,51-9000,43-5000,Unclassified Industry,Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods","Merchant Wholesalers, Durable Goods",Warehousing and Storage,479.9583333333333,0.02909014975136714,30.0,0.17318377530824708
Mathematics,0.0401366312174187,0.051657697637846264,0.011521066420427564,28.704617380612635,High,61955.5982233136,15-1200,99-9000,15-2000,53-7000,41-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Health and Personal Care Stores,611.8888888888889,0.043153027561020706,29.0,0.15100882723663217
Mechanical Aptitude,0.0155214860079023,0.015247405563775594,-0.00027408044412670536,-1.76581317012537,High,45279.90252762222,51-9000,49-9000,49-3000,17-3000,51-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Fabricated Metal Product Manufacturing,"Merchant Wholesalers, Durable Goods",247.25,0.010179514172258828,34.0,0.17200288850303058
Mechanics,0.0184587076246827,0.020491164966910735,0.0020324573422280355,11.010832305021532,Medium,52831.99102438153,49-3000,49-9000,53-7000,49-1000,17-3000,Unclassified Industry,Administrative and Support Services,Hospitals,Motor Vehicle and Parts Dealers,Truck Transportation,364.97222222222223,0.004826147658579038,18.0,0.09771428252501865
Merchandising,0.0523303101264498,0.05192825867155928,-0.0004020514548905216,-0.7682955708059314,High,36972.03547054035,41-2000,41-1000,53-7000,27-1000,99-9000,General Merchandise Stores,Clothing and Clothing Accessories Stores,Unclassified Industry,Food and Beverage Stores,Health and Personal Care Stores,1144.6805555555557,0.0370925193088171,27.0,0.13871757012594904
