,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Administrative Support and Clerical Tasks,0.0529525387406912,0.043962618277802144,-0.008989920462889059,-16.977317191367796,Medium,44410.32071448647,43-6000,43-4000,43-9000,99-9000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,1000.3472222222222,0.009304284303442876,22.0,0.07451158639785749
Auditing,0.0312915718688538,0.038757997588649534,0.007466425719795736,23.860820258848918,High,68294.44356490234,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,468.15277777777777,0.016918271243911015,29.0,0.08674430143656774
Automotive Technologies,0.0276688513811836,0.024283357879139815,-0.003385493502043785,-12.235757297630771,High,62954.10076506811,49-3000,53-3000,17-3000,17-2000,15-1200,Unclassified Industry,Truck Transportation,Transportation Equipment Manufacturing,Administrative and Support Services,Motor Vehicle and Parts Dealers,490.0138888888889,0.010102666775560714,16.0,0.12498519524085966
Basic Electrical Systems,0.0222516223320813,0.02620298420974009,0.00395136187765879,17.757635010557905,High,55478.38780120482,49-9000,17-3000,47-2000,17-2000,49-3000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",Utilities,366.52777777777777,0.02868874317093639,13.0,0.031190129203095125
Basic Technical Knowledge,0.0903603980748195,0.08864379822347251,-0.0017165998513469921,-1.8997258621256035,Medium,45842.807952922056,43-4000,11-9000,99-9000,43-6000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,1718.0,0.012349057153929827,13.0,0.08862166897339557
Billing and Invoicing,0.0402517792252936,0.1036291847965963,0.0633774055713027,157.4524326404864,High,50159.78436447887,43-3000,43-4000,11-9000,13-1000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Hospitals,663.9305555555555,0.09410638242537946,29.0,0.05368475249669069
Business Analysis,0.0174842497218476,0.017739733407212743,0.0002554836853651439,1.4612218964471893,High,94109.79303633218,15-1200,13-1000,11-9000,11-3000,11-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,227.88888888888889,0.007938482511808051,12.0,0.06652930729354194
Business Management,0.1210884110232863,0.11990895833290593,-0.0011794526903803615,-0.9740425862500938,High,65654.77461368566,15-1200,11-9000,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,2155.9861111111118,0.03954124237065185,27.0,0.11755184563250116
Business Operations,0.1520680321436871,0.1435504627169564,-0.008517569426730709,-5.601157131225692,High,63133.79024481096,15-1200,11-9000,13-1000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Food Services and Drinking Places,2732.4861111111118,0.05203985410875492,19.0,0.07096926704015248
Business Solutions,0.0228241133024247,0.027391488079868794,0.004567374777444094,20.011181669690025,High,86278.7545339167,15-1200,13-1000,11-3000,13-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,367.97222222222223,0.012995831486619154,29.0,0.05894676376659265
