,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model,Normalized RMSE
Skill cat: Administration,0.2979274098916702,0.6573819283796116,120.65171130734268,93349.64583333331,predicted job posting shares 14_58_13_10_05_2023 VAR top grid search runs #0 lvl category,0.0298770962296294
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0115643857316575,26.879981009395635,2382.75,predicted job posting shares 15_56_27_10_05_2023 VAR top grid search runs #15 lvl category,0.0078710113669545
Skill cat: Analysis,0.15862969765762,0.1709066409386988,7.739372552784457,47999.25,predicted job posting shares 15_44_03_10_05_2023 VAR top grid search runs #13 lvl category,0.0575968717127241
Skill cat: Architecture and Construction,0.0712326180296085,0.0777803803840449,9.192084378696808,22095.9375,predicted job posting shares 15_31_22_10_05_2023 VAR top grid search runs #11 lvl category,0.0160878272932827
Skill cat: Business,0.5336737912362421,0.5167296443713147,-3.1750007482429865,164215.91666666666,predicted job posting shares 13_29_08_09_05_2023 ARIMA top grid search runs #0 lvl category,0.0212450026694707
Skill cat: Customer and Client Support,0.36293667006475,0.3688999355340921,1.643059509053807,105940.1875,predicted job posting shares 15_07_31_10_05_2023 VAR top grid search runs #3 lvl category,0.0060736227150437
Skill cat: Design,0.0494627083818093,0.0329710952525462,-33.34150851983705,14479.458333333334,predicted job posting shares 13_29_08_09_05_2023 ARIMA top grid search runs #0 lvl category,0.0502102860086916
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.061105292431248,-1.3199944141933542,16240.583333333334,predicted job posting shares 15_04_23_10_05_2023 VAR top grid search runs #2 lvl category,0.010603707234007
Skill cat: Education and Training,0.1308780307497347,0.1256129461364865,-4.022894127522528,36544.125,predicted job posting shares 15_04_23_10_05_2023 VAR top grid search runs #2 lvl category,0.0206153610743707
Skill cat: Energy and Utilities,0.0160792392820165,0.0163501076561476,1.684584509131902,4726.333333333333,predicted job posting shares 15_07_31_10_05_2023 VAR top grid search runs #3 lvl category,0.0218775468599006
Skill cat: Engineering,0.0923176389338343,0.0781586304016383,-15.33727324021362,26350.416666666668,predicted job posting shares 15_17_54_10_05_2023 VAR top grid search runs #5 lvl category,0.0145391553745139
Skill cat: Environment,0.0195210151756944,0.0199945911330055,2.425980170850701,5110.729166666667,predicted job posting shares 15_26_57_10_05_2023 VAR top grid search runs #10 lvl category,0.0542487900646479
Skill cat: Finance,0.2474089649969461,0.2067277628742752,-16.442897339299346,76336.79166666667,predicted job posting shares 15_04_23_10_05_2023 VAR top grid search runs #2 lvl category,0.0082582918988237
Skill cat: Health Care,0.2593042004777219,0.3685562938320647,42.13278965518692,75751.4375,predicted job posting shares 15_04_23_10_05_2023 VAR top grid search runs #2 lvl category,0.0488811226390181
Skill cat: Hospitality and Food Services,0.1143774289812188,0.2175550974278479,90.20806759310112,30992.45833333333,predicted job posting shares 15_24_43_10_05_2023 VAR top grid search runs #8 lvl category,0.0215084104622011
Skill cat: Human Resources,0.095887122440244,0.1813720569227238,89.15163194698353,24659.77083333333,predicted job posting shares 14_58_13_10_05_2023 VAR top grid search runs #0 lvl category,0.0050527233908837
Skill cat: Information Technology,0.3484055324070972,0.3554155156032392,2.012018336135696,108767.22916666669,predicted job posting shares 15_17_54_10_05_2023 VAR top grid search runs #5 lvl category,0.0347481415513682
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3643906047107207,8.42672031980981,99668.64583333331,predicted job posting shares 15_37_31_10_05_2023 VAR top grid search runs #12 lvl category,0.006940949283546
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.1321102390229196,3.6451227399359394,37639.47916666666,predicted job posting shares 13_29_08_09_05_2023 ARIMA top grid search runs #0 lvl category,0.0088785921400605
Skill cat: Manufacturing and Production,0.1236541742138638,0.1346972358934841,8.930601615211934,36398.97916666666,predicted job posting shares 15_21_05_10_05_2023 VAR top grid search runs #7 lvl category,0.0101504102733071
