,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model,Normalized RMSE
Skill subcat: Account Management,0.0166103570131202,0.0153759985123868,-7.431258098536973,6093.4375,predicted job posting shares 22_40_25_10_05_2023 VAR top grid search runs #8 lvl subcategory,0.0034182350202432
Skill subcat: Accounting and Finance Software,0.011871633618425,0.0160324573256508,35.04845113117477,3937.8958333333335,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0194480045067692
Skill subcat: Accounts Payable and Receivable,0.0212898815509278,0.0203567590323219,-4.382938986174089,6768.791666666667,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.0072500352767589
Skill subcat: Administrative Support and Clerical Tasks,0.1020550205478047,0.1022526838702218,0.1936830950168729,31653.33333333333,predicted job posting shares 13_36_26_09_05_2023 ARIMA top grid search runs #0 lvl subcategory,0.0026243440154255
Skill subcat: Advertising,0.00691390604265,0.0144580512967442,109.11553046217908,2221.0625,predicted job posting shares 01_17_54_11_05_2023 VAR top grid search runs #12 lvl subcategory,0.0312537125579597
Skill subcat: Aerospace Engineering,0.0008853290540734,0.0006193416553712,-30.043902600777823,252.16666666666663,predicted job posting shares 16_47_58_10_05_2023 VAR top grid search runs #2 lvl subcategory,0.0246748118838005
Skill subcat: Agile Software Development,0.0492969225527692,0.0590708770356045,19.826703122031414,12606.625,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0080407346649726
Skill subcat: Agricultural Management and Operations,0.0003212786790495,0.0032265933261798,904.2973706582852,60.79166666666666,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.0145974265975096
Skill subcat: Agricultural Research and Agronomy,0.0004826842745798,0.0004821471450458,-0.1112796836954351,141.54166666666666,predicted job posting shares 16_11_33_10_05_2023 VAR top grid search runs #1 lvl subcategory,0.0219434059657258
Skill subcat: Agriculture and Crop Farming,0.002579827415618,0.0026736442673149,3.636555341994697,667.3125,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0113315542964347
Skill subcat: Air Quality and Emissions,0.0008456904969357,0.0016065271949019,89.96632937499453,158.20833333333334,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0058722943264243
Skill subcat: Air Transportation,0.0020854818901942,0.0035968377788486,72.47034346165732,532.1666666666666,predicted job posting shares 05_29_01_11_05_2023 VAR top grid search runs #17 lvl subcategory,0.0140523294881003
Skill subcat: Alternative Therapy,0.0038675658483498,0.0055605558905917,43.77404570795503,1137.8958333333333,predicted job posting shares 06_01_09_11_05_2023 VAR top grid search runs #19 lvl subcategory,0.0527524439896936
Skill subcat: Anesthesiology,0.0058232792438097,0.0076365103819654,31.13762988582788,1743.2291666666667,predicted job posting shares 01_17_54_11_05_2023 VAR top grid search runs #12 lvl subcategory,0.0109836827490197
Skill subcat: Animal Care,0.0017471258879018,0.0017148550887875,-1.847079213796973,509.1041666666667,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0185268647487621
Skill subcat: Animal Health and Veterinary Medicine,0.0020549857126283,0.0024391621610452,18.694847660305296,580.6666666666666,predicted job posting shares 19_11_14_10_05_2023 VAR top grid search runs #5 lvl subcategory,0.0146278650543521
Skill subcat: Animation and Game Design,0.0030708709747106,0.0029515418211958,-3.885840678345189,960.125,predicted job posting shares 16_11_33_10_05_2023 VAR top grid search runs #1 lvl subcategory,0.0277318758698629
Skill subcat: Appliance Repair and Maintenance,0.002829297584093,0.0029328670843827,3.6606082326579297,798.6458333333334,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0137046174524502
Skill subcat: Application Programming Interface (API),0.0235500419123319,0.0336967344559968,43.085666604914266,6129.333333333333,predicted job posting shares 02_29_39_11_05_2023 VAR top grid search runs #13 lvl subcategory,0.0450053013063123
Skill subcat: Architectural Design,0.0076270800785684,0.0052546688883013,-31.10510399560929,2008.375,predicted job posting shares 16_11_33_10_05_2023 VAR top grid search runs #1 lvl subcategory,0.0053448164511855
Skill subcat: Art and Illustration,0.0024320260291233,0.0027445787014593,12.851534835285849,776.5208333333334,predicted job posting shares 22_58_01_10_05_2023 VAR top grid search runs #9 lvl subcategory,0.0128047446286657
Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),0.0176700717907416,0.0101931073273791,-42.31428458191169,4487.9375,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0192530153203584
Skill subcat: Audio Production and Technology,0.0016279861942555,0.0017385383944463,6.790733274083877,502.3958333333333,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0147897697807538
Skill subcat: Auditing,0.0635809078405867,0.0793206671424014,24.75548059376286,19210.416666666668,predicted job posting shares 00_10_54_11_05_2023 VAR top grid search runs #11 lvl subcategory,0.0329596163114573
Skill subcat: Augmented and Virtual Reality (AR/VR),0.0008574638906544,0.0007602978565202,-11.33179311609784,189.83333333333331,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0057179080946288
Skill subcat: Automation Engineering,0.0085373310915868,0.0082164074692308,-3.759062626401553,2546.083333333333,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.0159356853101291
Skill subcat: Automotive Technologies,0.0042430413814967,0.0048581967386876,14.497981562789022,1141.8333333333333,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0146836077962099
Skill subcat: Backup Software,0.0022634805476243,0.0020162228663991,-10.92378202607999,733.875,predicted job posting shares 02_29_39_11_05_2023 VAR top grid search runs #13 lvl subcategory,0.0258606986141234
Skill subcat: Banking Services,0.017923961558947,0.0199003939639446,11.02676101205449,5449.666666666667,predicted job posting shares 00_10_54_11_05_2023 VAR top grid search runs #11 lvl subcategory,0.0176615671597245
Skill subcat: Basic Electrical Systems,0.0131255297393558,0.0140479081172544,7.027361152006893,3873.0833333333335,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0175779451443407
Skill subcat: Basic Technical Knowledge,0.0981805546648946,0.101614173535168,3.4972494115488204,33130.041666666664,predicted job posting shares 03_40_54_11_05_2023 VAR top grid search runs #14 lvl subcategory,0.0238852276792064
Skill subcat: Beauty and Body Treatments and Alterations,0.0047038731294945,0.005085533341114,8.113743740799286,1102.5625,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0439500430439879
Skill subcat: Billing and Invoicing,0.0558208069985184,0.0533152196303709,-4.488626200287656,17241.791666666668,predicted job posting shares 22_40_25_10_05_2023 VAR top grid search runs #8 lvl subcategory,0.0230747738257054
Skill subcat: Bioinformatics,0.0003421102681421,0.0005693292914412,66.41689667283578,105.58333333333331,predicted job posting shares 05_17_04_11_05_2023 VAR top grid search runs #16 lvl subcategory,0.0588839950333948
Skill subcat: Biology,0.0088732248696875,0.0093466857497954,5.335837725980841,2474.4166666666665,predicted job posting shares 16_11_33_10_05_2023 VAR top grid search runs #1 lvl subcategory,0.0068380066423718
Skill subcat: Biotechnology,0.0046014768273771,0.0010718935796605,-76.70544436335904,840.1875,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0111659643264309
Skill subcat: Blockchain,0.0008100360638407,0.0002444996247775,-69.81620501953569,198.125,predicted job posting shares 16_47_58_10_05_2023 VAR top grid search runs #2 lvl subcategory,0.0207589555750171
Skill subcat: Blood Collection,0.0077284942830257,0.008182173388045,5.870213374107393,2277.020833333333,predicted job posting shares 05_17_04_11_05_2023 VAR top grid search runs #16 lvl subcategory,0.0163018321954656
Skill subcat: Brand Management,0.0167981215446928,0.0162719451056886,-3.1323528503128437,5395.833333333333,predicted job posting shares 05_42_30_11_05_2023 VAR top grid search runs #18 lvl subcategory,0.0192015789724572
Skill subcat: Budget Management,0.0347536389406952,0.024812169896103,-28.60554850545769,10114.770833333334,predicted job posting shares 05_17_04_11_05_2023 VAR top grid search runs #16 lvl subcategory,0.030515248151355
Skill subcat: Business Analysis,0.059236223814672,0.0461415079017714,-22.105926187781773,16219.979166666666,predicted job posting shares 22_58_01_10_05_2023 VAR top grid search runs #9 lvl subcategory,0.0071271617350878
Skill subcat: Business Communications,0.0190254140296924,0.0164631416174603,-13.467630235185618,5444.583333333333,predicted job posting shares 22_58_01_10_05_2023 VAR top grid search runs #9 lvl subcategory,0.0131374537106207
Skill subcat: Business Consulting,0.0376427537990453,0.0407122942443118,8.1543992813415,10623.375,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0185305760424803
Skill subcat: Business Continuity,0.0097148466534815,0.0101571889365585,4.553260579964766,2752.0,predicted job posting shares 17_12_47_10_05_2023 VAR top grid search runs #3 lvl subcategory,0.0098486219994545
