,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
.NET Framework,0.0025597217750323,0.0017387297278880233,-0.0008209920471442768,-32.07348764042596,High,114503.625955776,15-1200,13-1000,99-9000,11-9000,17-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1135.1833333333334,0.0005071199550336214,29.0,0.07733546191622175
3D Modeling,0.0017449648765115,0.0034490450311427494,0.0017040801546312494,97.65698883509984,High,76939.67018633541,17-2000,17-3000,27-1000,99-9000,15-1200,Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Computer and Electronic Product Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",433.6333333333333,0.0036992608535722166,23.0,0.5044575730715206
A/B Testing,0.0008465071805967,0.0007571895144273716,-8.931766616932836e-05,-10.551318195123715,Medium,104892.4018789144,11-2000,13-1000,15-1200,15-2000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Other Information Services,Credit Intermediation and Related Activities,348.78333333333336,0.0001300607175389146,19.0,0.192251916957196
ASP.NET,0.0015319030011912,0.0009052993253617974,-0.0006266036758294025,-40.90361304483108,High,106553.150447645,15-1200,99-9000,11-2000,15-2000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,819.45,0.0002706283574140495,11.0,0.15651001491269195
ASP.NET MVC Framework,0.0004403243653418,0.0004056348913396578,-3.4689474002142244e-05,-7.8781636294904285,High,114599.04226020892,15-1200,99-9000,13-1000,11-9000,11-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods",Insurance Carriers and Related Activities,277.56666666666666,0.00029748658501562694,9.0,0.2878626048839416
AWS CloudFormation,0.00080797686969,0.0013160795696162734,0.0005081026999262734,62.88579772354367,High,138971.89078498294,15-1200,17-2000,99-9000,11-9000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,363.51666666666665,0.0004502432652774968,32.0,0.1414025612992203
AWS Kinesis,0.0005137389202565,0.0009954487825635577,0.00048170986230705766,93.76549903335125,High,140289.43656207368,15-1200,15-2000,11-9000,17-2000,99-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Unclassified Industry,Machinery Manufacturing,248.65,0.0008216271977339648,21.0,0.38624906438340606
Ability To Distinguish Colors,0.000682951410779,0.0006443523131651446,-3.859909761385542e-05,-5.651807288871084,Low,47602.81726457399,51-9000,49-9000,53-7000,29-2000,29-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Social Assistance,Transportation Equipment Manufacturing,213.81666666666663,2.97566254787736e-05,19.0,1.5870158423513232
Ability To Meet Deadlines,0.0290644389376096,0.02569675440934463,-0.0033676845282649692,-11.586958673085412,Medium,62681.91914375716,13-1000,15-1200,11-9000,99-9000,13-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,9173.233333333334,0.005371316855363893,27.0,0.09109518743363448
Academic Advising,0.001161632259611,0.001865782364307909,0.0007041501046969091,60.61729939668776,High,53241.18884540117,21-1000,25-1000,11-9000,99-9000,27-2000,Educational Services,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,"Professional, Scientific, and Technical Services",276.45,0.0012887478117334407,30.0,0.38267819139283404
