,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model,Normalized RMSE
Skill subcat: Microsoft Development Tools,0.0077856105712317,0.0017496408916232,-77.52724881863179,2579.833333333333,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0227790167236394
Skill subcat: Software Development,0.0821970441565781,0.0749875323302256,-8.771011050736819,24107.125,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0410186824012351
Skill subcat: Application Programming Interface (API),0.0235500419123319,0.0180935586202659,-23.169739197825937,6129.333333333333,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0221077455287024
Skill subcat: Basic Electrical Systems,0.0131255297393558,0.0132001833302985,0.5687663082950296,3873.0833333333335,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0808884463449091
Skill subcat: Identity and Access Management,0.0119721121811973,0.0140143798882545,17.05854135133035,3420.125,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0402798696134971
Skill subcat: Interior Design,0.00150581837745,0.0013425004082762,-10.845794660201175,428.9791666666667,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0580141031784814
Skill subcat: Animation and Game Design,0.0030708709747106,0.0029957461305429,-2.446369280454048,960.125,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0115772787356176
Skill subcat: Digital Design,0.0030368767718004,0.0029667671401403,-2.3086096976709376,966.3125,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0327213273052959
Skill subcat: Drafting and Engineering Design,0.0213133914977306,0.0194448226343361,-8.767111811339175,6286.0625,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.1194700028980111
Skill subcat: Photo/Video Production and Technology,0.0075347703238691,0.0069155330627803,-8.218395975881874,2175.8125,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0704921903159788
Skill subcat: People Management,0.0785046292945843,0.0760808058327038,-3.0874911246128347,24228.291666666668,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0950358586571363
Skill subcat: Art and Illustration,0.0024320260291233,0.0024091987997761,-0.9386095820458336,776.5208333333334,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0432189061014609
Skill subcat: Graphic and Visual Design Software,0.0104118378565203,0.010742133042426,3.17230435641923,3439.125,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0420836469325004
Skill subcat: Oncology,0.0082036638115204,0.0083703591931079,2.0319626135021607,2552.25,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0151893256809544
Skill subcat: Graphic and Visual Design,0.0094140366517862,0.0092580191791558,-1.6572855874827856,3013.770833333333,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0073428532831891
Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),0.0176700717907416,0.0137190167704484,-22.36015261898026,4487.9375,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0143757517504764
Skill subcat: Wireless Technologies,0.0042163391388702,0.0037409164966797,-11.275721106198624,1130.6875,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0733331064178519
Skill subcat: Health Information Management and Medical Records,0.0395758600867259,0.0466840158859157,17.960837196243105,11312.958333333334,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0190081643157845
Skill subcat: Medical Billing and Coding,0.007301548809298,0.0079809249967352,9.304549009821905,2621.5416666666665,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0253996517213015
Skill subcat: Financial Regulation,0.0066022816728114,0.0067989879285866,2.9793678234790937,2146.270833333333,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0097283871209345
Skill subcat: System Design and Implementation,0.0453083348271939,0.03781105647544,-16.547238781448353,12631.125,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0338950885648708
Skill subcat: Compensation and Benefits,0.015822634359298,0.0196821227204817,24.392198375713036,2562.375,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0130626920067816
Skill subcat: Mental and Behavioral Health Specialties,0.0285639936239332,0.0254832310368802,-10.785475685275644,8086.208333333333,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.3231312048536589
Skill subcat: Financial Advisement,0.0018567546226282,0.0049875073444113,168.61424140964735,523.4583333333334,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0515629020898204
Skill subcat: Networking Hardware,0.0063672805474762,0.0059403036295483,-6.705797156953311,1911.875,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0237503559996786
Skill subcat: Telecommunications,0.017163761128332,0.0177762842738553,3.5687000124478216,5467.354166666667,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0268137363609464
Skill subcat: Lean Manufacturing,0.0122365534772197,0.0100028604574882,-18.25426598992826,3550.1875,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0908226974568991
Skill subcat: Computer Hardware,0.0078627886994155,0.0002234508934704,-97.15812160274623,2391.458333333333,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0143843611906612
Skill subcat: Network Protocols,0.0122163542011053,0.0112907962122424,-7.576384685859535,3722.2291666666665,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0151736523714618
Skill subcat: Web Analytics and SEO,0.0090918976541559,0.0088465691243048,-2.6983204077199496,2893.0416666666665,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0548608379346162
Skill subcat: Network Security,0.0118227613249639,0.0108350655309192,-8.354188728813874,3521.833333333333,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.0261668966584602
Skill subcat: Mental Health Therapies,0.010814908786965,0.0112623150901621,4.136940144482313,3212.270833333333,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0118222182000606
Skill subcat: Machinery,0.0492183231146832,0.0529235769270457,7.528200023655652,14052.270833333334,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.0485474675392992
Skill subcat: Electrical Power,0.0045066861221349,0.003970211495057,-11.90397140024834,1349.9583333333333,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.016413739190051
Skill subcat: Insurance and Warranty Claims Processing,0.0045369930040847,0.0035222808757752,-22.3653007045844,1285.2291666666667,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.1247946959418132
Skill subcat: Databases,0.0324307888402229,0.0309660316608872,-4.5165635241009205,9957.625,predicted job posting shares 15_52_07_17_04_2023 ARIMA for presentation lvl subcategory,0.023609091645089
Skill subcat: Instructional and Curriculum Design,0.0169119337617925,0.0143083402030481,-15.395008018695346,4114.9375,predicted job posting shares 16_10_03_17_04_2023 VAR for presentation lvl subcategory,0.1035826088796725
