,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Child Care,0.0,3.8714690795123546e-08,inf,0.2361111111111111
Skill subcat: Mainframe Technologies,0.0,3.178234965469628e-59,inf,0.2916666666666667
Skill subcat: Malware Protection,0.0,6.489162828765662e-58,inf,0.875
Skill subcat: Clean Energy,0.0,1.7385649587707437e-58,inf,0.5277777777777778
Skill subcat: Bioinformatics,0.0,5.0918434269373466e-127,inf,0.2638888888888889
Skill subcat: Microsoft Windows,0.0,7.198529627601017e-58,inf,0.6527777777777778
Skill subcat: Air Quality and Emissions,0.0,1.0499869880208057e-56,inf,1.3055555555555556
Skill subcat: Signal Processing,0.0,7.928072802220612e-63,inf,0.25
Skill subcat: Hardware Description Languages (HDL),0.0,9.622519134551264e-62,inf,0.1527777777777778
Skill subcat: Electronics Manufacturing,0.0,3.0683897270514404e-60,inf,0.2777777777777778
Skill subcat: Sea and Waterway Transportation,0.0,7.251631956691424e-59,inf,0.3055555555555556
Skill subcat: Poison Control,0.0,6.99713745206184e-159,inf,0.041666666666666664
Skill subcat: Digital Design,6.253897136552025e-05,0.0003918981032284,526.6462250200458,11.930555555555555
Skill subcat: Regulation and Legal Compliance,0.127101731724618,0.2095173881092429,64.8422765499284,927.0
Skill subcat: Medical Equipment and Technology,0.0004806011985853,0.0004963216631898,3.270999874901453,4.888888888888889
Skill subcat: Occupational Health and Safety,0.3969689610799291,0.3981419152695976,0.2954775573580259,3320.222222222222
Skill subcat: Basic Technical Knowledge,0.0856103985749224,0.082592581024313,-3.525059573187656,835.4027777777778
Skill subcat: Production and Assembly,0.0036839768170386,0.0035499128547125,-3.63910982572003,36.59722222222222
Skill subcat: Social Media,0.0031936577607405,0.0029469362518903,-7.725358423909317,32.22222222222222
Skill subcat: General Finance,0.026580575134528,0.0243534800497732,-8.37865649438795,176.69444444444446
Skill subcat: Procurement,0.0559520485877293,0.0508584415844781,-9.103521911739731,390.31944444444446
Skill subcat: Cash Register Operation,0.1267073812141523,0.1137764247716845,-10.205369504569555,1071.375
Skill subcat: Mental and Behavioral Health Specialties,0.0030307697420168,0.0027146191084252,-10.4313643233491,35.375
Skill subcat: Initiative and Leadership,0.4964291006083612,0.4415013692615431,-11.064567181800095,3971.472222222222
Skill subcat: Food and Beverage,0.6606218469888937,0.586911252344769,-11.157759159812326,5607.527777777777
Skill subcat: Communication,0.4308349550833455,0.3798957464105973,-11.823369499555568,3606.9305555555557
Skill subcat: Medical Support,0.0028138359716809,0.0024304733926687,-13.624197816448802,20.819444444444443
Skill subcat: Customer Service,0.4602129394498702,0.3953102079594447,-14.102761119235144,3768.1666666666665
Skill subcat: Online Advertising,0.0011542163167758,0.000980746902791,-15.029194394805593,9.944444444444445
Skill subcat: Marketing Strategy and Techniques,0.1311705438253667,0.1114051645171601,-15.068458765041903,990.9444444444445
Skill subcat: Quality Assurance and Control,0.0717817302966748,0.0608350724628146,-15.249921935034887,531.1944444444445
Skill subcat: Business Operations,0.3544725872857365,0.2976018412353092,-16.043764197930603,2603.972222222222
Skill subcat: Personal Attributes,0.4181849580093595,0.3444997517612766,-17.62024310937404,3273.3611111111113
Skill subcat: Prospecting and Qualification,0.0101133857802415,0.0082726253512507,-18.201228243335574,97.75
Skill subcat: Scheduling,0.1092430235569761,0.0888389426174994,-18.67769700536975,848.8194444444445
Skill subcat: Auditing,0.0653973572247224,0.0527124663962186,-19.396641342730717,500.1666666666667
Skill subcat: Critical Thinking and Problem Solving,0.2013594994452113,0.1621398809916253,-19.477411575636854,1521.8472222222222
Skill subcat: Inventory and Warehousing,0.1148089905990057,0.0919129422557821,-19.942731160482737,880.1111111111111
Skill subcat: Client Support,0.0052980615687487,0.0042209048454646,-20.331147709529223,67.63888888888889
Skill subcat: Accounts Payable and Receivable,0.0075683497371607,0.0060250664231289,-20.39127904534139,63.65277777777778
Skill subcat: Mathematics and Mathematical Modeling,0.0857416866284467,0.0674720021129147,-21.30782030764325,657.9583333333334
Skill subcat: Heavy Equipment Operation,0.0097890018798466,0.0076989490770654,-21.351030763250325,80.45833333333333
Skill subcat: Physical Abilities,0.155325495851467,0.1213366494803592,-21.882335662144143,1303.138888888889
Skill subcat: Hospitality Services,0.0922723454584502,0.071819672798463,-22.165549773736853,737.6111111111111
Skill subcat: Business Management,0.3771920399288631,0.2916725674752959,-22.672660979191342,2933.3611111111113
Skill subcat: Travel and Tourism,0.0048048245084164,0.0037122088643839,-22.739969839036025,38.52777777777778
Skill subcat: General Sales Practices,0.2798375279840833,0.2158782790521637,-22.855851176457467,2087.1805555555557
Skill subcat: Administrative Support and Clerical Tasks,0.0694924484129946,0.0529632992791347,-23.785532833189198,529.5694444444445
Skill subcat: Business Intelligence Software,0.0018087095323605,0.0013662504218122,-24.462695785699655,14.875
Skill subcat: People Management,0.0889720274107467,0.0671386544984837,-24.539592440068187,696.4444444444445
Skill subcat: Hematology,0.0030142334566039,0.0022697441974673,-24.69912400134417,26.72222222222222
Skill subcat: Health Care Procedure and Regulation,0.006929449894265,0.0052140954340847,-24.754554637879316,46.388888888888886
Skill subcat: Business Analysis,0.0193953912997621,0.0145739207579512,-24.858846451167178,128.73611111111111
Skill subcat: General Accounting,0.0962933939138191,0.0709294243536989,-26.340300750870316,725.5416666666666
Skill subcat: Customer Relationship Management (CRM),0.0279307139797578,0.0205045793943129,-26.587700517884482,225.79166666666666
Skill subcat: Supply Chain Management,0.0265896446121307,0.0191750702375477,-27.88519546891699,190.83333333333334
Skill subcat: Collaborative Software,0.0020268358237905,0.0014591998206743,-28.00601787542081,17.333333333333332
Skill subcat: Writing and Editing,0.1113324952938375,0.0799242420831247,-28.211218232213035,767.6805555555555
Skill subcat: Employee Training,0.0794049228478172,0.0568559280975871,-28.397477060013237,567.5694444444445
Skill subcat: Performance Management,0.0768047736094551,0.0545691691795339,-28.95081045741651,535.375
Skill subcat: Document Management,0.0321779124939869,0.0227384006158783,-29.335376805044667,234.68055555555554
Skill subcat: Property Management,0.0144668009958244,0.0100376168364536,-30.616196079901908,113.09722222222223
Skill subcat: Program Management,0.0046124053607644,0.0031938864909174,-30.75442765533325,43.05555555555556
Skill subcat: Social Skills,0.1268948847308672,0.0876362992832145,-30.937878647288812,973.8611111111111
"Skill subcat: Company, Product, and Service Knowledge",0.0295456821655968,0.0203926248850036,-30.97933982127204,188.81944444444446
Skill subcat: Office and Productivity Equipment and Technology,0.1441081002883681,0.0986013825454188,-31.578181692693125,1089.2083333333333
Skill subcat: Investment Management,0.0028752002763493,0.0019634705803982,-31.71012828048074,26.11111111111111
Skill subcat: Content Development and Management,0.0036181702756207,0.002466495615465,-31.830305718769107,26.61111111111111
Skill subcat: Material Handling,0.0244755155244795,0.0166612814256613,-31.926739565516787,136.19444444444446
Skill subcat: Business Intelligence,0.0068781761949759,0.0046764958948187,-32.009652526281556,64.30555555555556
Skill subcat: Office Management,0.0403981406111781,0.0274256883158104,-32.111508349417065,311.47222222222223
Skill subcat: Human Resources Management and Planning,0.0314548278262213,0.0211227474927047,-32.847359364350396,209.26388888888889
Skill subcat: Health Care Administration,0.0040154627149733,0.0026482991869356,-34.047471613661614,36.25
Skill subcat: Hotels and Accommodations,0.0294412670856539,0.019263229516639,-34.570650574935485,227.29166666666666
Skill subcat: Financial Management,0.0576309615957908,0.0376358115971578,-34.69515247528576,440.27777777777777
Skill subcat: General Shipping and Receiving,0.0342610824134107,0.022335454439052,-34.80808875346767,238.68055555555554
Skill subcat: Banking Services,0.0191577382416144,0.0124579535741989,-34.97168915724217,143.84722222222223
Skill subcat: Process Improvement and Optimization,0.0358379810690632,0.0232309918287327,-35.17773285285137,261.22222222222223
Skill subcat: Software Development,0.0086377257778381,0.0055397896248966,-35.86518295000643,73.68055555555556
Skill subcat: Construction Management,0.002723302316929,0.0017396987140362,-36.118046710362485,27.88888888888889
Skill subcat: Graphic and Visual Design Software,0.0023614430892921,0.0015018861284091,-36.39964751979999,22.65277777777778
Skill subcat: Cleaning and Janitorial Services,0.0737624118723011,0.0464307073539319,-37.05370231885364,586.8333333333334
Skill subcat: Promotions and Campaigns,0.0087449090176407,0.0055013097277139,-37.09128686626285,93.30555555555556
Skill subcat: General Medicine,0.0072671957003629,0.0045694376272425,-37.122408482623946,63.0
Skill subcat: Teaching,0.046694468448584,0.0290119258258241,-37.8686024496251,343.4166666666667
Skill subcat: Retail Sales,0.0471055808671801,0.0291623024287076,-38.09161909937116,438.02777777777777
Skill subcat: Dictation,0.0014726319004611,0.0009064589815911,-38.44632991399439,15.26388888888889
Skill subcat: Budget Management,0.0475938180246751,0.0291494241314258,-38.753759750240604,347.69444444444446
Skill subcat: Process Engineering,0.001421477330465,0.0008697035987751,-38.81692095007954,13.11111111111111
Skill subcat: Merchandising,0.074560798826844,0.0454575639631007,-39.03289036820956,449.77777777777777
Skill subcat: Financial Advisement,0.0043149326231268,0.0026184478778637,-39.316598738307725,25.97222222222222
Skill subcat: Video and Web Conferencing,0.0038637528725842,0.0023279519836407,-39.748942015442815,27.194444444444443
"Skill subcat: Elements, Compounds, and Materials",0.0004327185013742,0.0002605873321456,-39.77901769440334,3.111111111111111
Skill subcat: Industrial Design,0.000404926616917,0.0002425520163413,-40.09975975695932,4.541666666666667
Skill subcat: Software Quality Assurance,0.0031257116115683,0.0018604958822589,-40.477685933239,24.52777777777778
Skill subcat: General Science and Research,0.0304229236853648,0.0178539263740181,-41.31423212750956,230.06944444444446
Skill subcat: Project Management,0.0645553999254121,0.0376985831772774,-41.60274241839615,505.69444444444446
Skill subcat: Mental Health Diseases and Disorders,0.0022110385658786,0.001279147239689,-42.147221698021106,19.444444444444443
Skill subcat: Business Strategy,0.0353588737797524,0.0201976298722522,-42.878186680770376,251.47222222222223
Skill subcat: Obstetrics and Gynecology (OBGYN),0.0002552950080056,0.0001449521953693,-43.22168831200944,1.6805555555555556
Skill subcat: Clinical Informatics,0.0002827505523568,0.0001603371378663,-43.29378438703376,9.51388888888889
Skill subcat: Computer Science,0.0235278165303457,0.0133248071877679,-43.365729792299966,132.27777777777777
Skill subcat: Safety and Surveillance Technology,0.0117542134279739,0.006652755364833,-43.40110118300149,85.83333333333333
Skill subcat: Scripting,0.0009994240272803,0.000563372347435,-43.630297845841596,13.98611111111111
Skill subcat: Language Competency,0.0682431874686817,0.0383969522595395,-43.735113080465794,605.2638888888889
Skill subcat: Cloud Computing,0.0017853558028656,0.0010034001125201,-43.79831118763081,8.652777777777779
Skill subcat: Childhood Education and Development,0.0044851095289374,0.0024883083880401,-44.52067732157205,43.361111111111114
Skill subcat: Infectious Diseases,0.0081427218853837,0.0045014072028918,-44.71864241155173,59.236111111111114
Skill subcat: Firmware,0.0002845745029326,0.0001567815634402,-44.90667230390176,1.6388888888888888
Skill subcat: Payroll,0.0084054291436827,0.0046297309744583,-44.91975489510986,67.90277777777777
Skill subcat: Safety and Security,0.0238594717123005,0.0128715523821541,-46.05265138574587,150.19444444444446
Skill subcat: Hazardous Materials Management,0.002879623904822,0.0015480800375338,-46.24020050182586,24.458333333333332
Skill subcat: Scripting Languages,0.0019838058809281,0.0010649328401608,-46.318697287933034,15.38888888888889
Skill subcat: Equipment Repair and Maintenance,0.0112719016896019,0.0060067391528425,-46.71050796704878,88.26388888888889
"Skill subcat: Policy Analysis, Research, and Development",0.0142573111670895,0.0075885891657273,-46.774051033940914,92.93055555555556
Skill subcat: Instructional and Curriculum Design,0.0013087019056786,0.000692052433238,-47.11916974865635,13.208333333333334
Skill subcat: Plant Operations and Management,0.0118538591460403,0.006253967228143,-47.241087049426476,94.01388888888889
Skill subcat: Home Health Care and Assisted Living,0.0055842448822899,0.0029378351121322,-47.390646827660284,42.69444444444444
Skill subcat: Payment Processing and Collection,0.0052912200424667,0.0027276040081482,-48.4503765434668,44.93055555555556
