,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Property and Real Estate,0.0057632793907555,0.0259039987677982,349.46630228180703,35.416666666666664
Skill cat: Manufacturing and Production,0.6552020201751217,1.930951645237016,194.71088088539668,4354.152777777777
Skill cat: Personal Care and Services,0.0005274122885064,0.0014879854441569,182.12946049679383,7.888888888888889
"Skill cat: Performing Arts, Sports, and Recreation",0.0033546581942759,0.0075547882742024,125.20292192788047,22.319444444444443
Skill cat: Design,0.0382058107860874,0.0749330327669399,96.12993737127198,207.91666666666666
Skill cat: Information Technology,0.3489100939302356,0.5328782506946197,52.72652180741106,2246.5555555555557
Skill cat: Environment,0.0455265455461592,0.062015547013754,36.2184331575886,275.2361111111111
Skill cat: Social and Human Services,0.0093527664127408,0.0127001140203739,35.78991990084536,51.56944444444444
"Skill cat: Law, Regulation, and Compliance",0.50534152406163,0.6298146737304582,24.631490535032256,3244.527777777778
Skill cat: Science and Research,0.133320359099317,0.1644446195126649,23.34546698164973,843.6111111111111
Skill cat: Customer and Client Support,0.1647158563123585,0.2019893012275686,22.628935519435796,1096.6944444444443
Skill cat: Human Resources,0.1162682406061246,0.1421589789357615,22.26810880999351,721.5694444444445
Skill cat: Analysis,0.1726183936242949,0.2042368233971742,18.316952851326505,1113.9305555555557
Skill cat: Hospitality and Food Services,0.0862901151321396,0.1003943991338216,16.345190848434406,565.0138888888889
"Skill cat: Maintenance, Repair, and Facility Services",0.4828123353640801,0.5477239686209208,13.444485259037965,3055.7638888888887
Skill cat: Business,0.6069755944268599,0.6826543129395886,12.468164981853796,3857.1944444444443
Skill cat: Physical and Inherent Abilities,0.7452787115907493,0.8366360236125371,12.258140558824158,4888.25
"Skill cat: Economics, Policy, and Social Studies",0.0167769211768035,0.0182951416953728,9.049458494616145,91.75
Skill cat: Health Care,0.1006531803757548,0.1096872955987747,8.975489089658243,620.9166666666666
Skill cat: Administration,0.2963040795560432,0.3131512701462093,5.685777467326298,1924.861111111111
"Skill cat: Transportation, Supply Chain, and Logistics",0.3807362502681909,0.3814412654438643,0.1851715393994616,2503.5555555555557
Skill cat: Engineering,0.4648195499757996,0.4274758040836426,-8.034030817787519,2880.8333333333335
Skill cat: Media and Communications,0.5165780804766342,0.4649497716720764,-9.994289489968605,3339.027777777778
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0176161654107043,0.015807897551961,-10.264821069655282,104.29166666666667
Skill cat: Education and Training,0.0816499740731293,0.0711715354140134,-12.833364343423973,476.80555555555554
Skill cat: Energy and Utilities,0.0738263183256889,0.059386570174668,-19.559079307353706,414.7916666666667
Skill cat: Finance,0.1452041163740628,0.1163864697308227,-19.846301442999366,869.7777777777778
Skill cat: Public Safety and National Security,0.0421944039747849,0.0233567660209811,-44.644872730187274,239.75
Skill cat: Marketing and Public Relations,0.0540547901758414,0.0298432771701975,-44.7906890895022,287.6111111111111
Skill cat: Sales,0.1199084227493223,0.0584963456970357,-51.21581590700532,716.8055555555555
