,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Simulation and Simulation Software,0.0022819984404059,0.0201955249057028,784.9929319894984,575.7083333333334
"Skill subcat: Ear, Nose, and Throat",0.0025479836356202,0.0206473761051177,710.3417862058586,310.75
Skill subcat: Version Control,0.0167037139767823,0.1026422241053317,514.4874382308124,4451.145833333333
Skill subcat: Hardware Description Languages (HDL),0.000378794737309,0.002165199291301,471.60226318950913,90.27083333333333
Skill subcat: Events and Conferences,0.0094764609492489,0.0454013513099926,379.09606289878803,2356.125
Skill subcat: Mathematical Software,0.0023848019532706,0.0106012918391742,344.5355231546679,694.0208333333334
Skill subcat: Wireless Technologies,0.0042163391388702,0.0181806510105298,331.19517694682975,1130.6875
Skill subcat: Web Services,0.0268692555754936,0.1147618249500359,327.1120375017225,6944.208333333333
Skill subcat: Investment Management,0.01869986112632,0.0755123498979649,303.812356615213,5315.270833333333
Skill subcat: Application Programming Interface (API),0.0235500419123319,0.0932954838453984,296.1584620218639,6129.333333333333
Skill subcat: Procurement,0.0460213040681466,0.1782059759986215,287.2249594117126,13185.041666666666
Skill subcat: Ground Passenger Transportation,0.0006458413640133,0.0024478456244635,279.01654506184445,161.3125
Skill subcat: Computer Science,0.1076085409988996,0.3998675211351332,271.594594093811,31145.3125
Skill subcat: Program Management,0.0212217856272208,0.0757978872287684,257.17016729988933,5863.833333333333
Skill subcat: Natural Language Processing (NLP),0.0015254338982947,0.0054177895208182,255.1638341638277,405.2291666666667
Skill subcat: Software Development Tools,0.0276421329194761,0.0947349093988964,242.719245562082,7507.375
Skill subcat: Test Automation,0.01044569152838,0.0348139769490857,233.28551637293975,2468.6666666666665
Skill subcat: Power Generation,0.0010242703674288,0.0033318483524412,225.28992914293272,249.9375
Skill subcat: Government Assistance,0.0071912918266717,0.0231167939931611,221.45537339235057,661.0208333333334
Skill subcat: Nephrology,0.0042432997925052,0.0135495286549222,219.31584656955613,824.0416666666666
Skill subcat: IT Management,0.0290500221421267,0.0862479627693521,196.89465414995388,8124.208333333333
Skill subcat: Micro Manufacturing,0.0001785956905495,0.0005120265689864,186.6959260948604,36.979166666666664
Skill subcat: Student Support and Services,0.0088946524458304,0.0254692979272609,186.3439362287876,1662.4166666666667
Skill subcat: IT Automation,0.0197369318028435,0.0548425983160662,177.86790198142666,4894.8125
Skill subcat: Sports and Recreation,0.0031415214070687,0.0086581369888104,175.60331020914992,888.9375
Skill subcat: Commercial Lending,0.0019497361194828,0.0053501267125922,174.40260551830008,550.8333333333334
Skill subcat: Risk Management,0.0347046932722847,0.0943170874163509,171.7704106368601,9720.354166666666
Skill subcat: Wind Energy,0.0001231024365441,0.0003312442808074,169.0801986593788,23.270833333333332
Skill subcat: Software Development,0.0821970441565781,0.2207518103478525,168.56417114870922,24107.125
Skill subcat: Construction Inspection,0.0068459364313444,0.0181328094669869,164.86967340165606,1857.25
Skill subcat: System Design and Implementation,0.0453083348271939,0.1191822783937743,163.0471387843667,12631.125
Skill subcat: Architectural Design,0.0076270800785684,0.0199063956701217,160.99628514531247,2008.375
Skill subcat: Mining Engineering,0.0001079688943588,0.0002795559889084,158.9227115537419,34.916666666666664
Skill subcat: General Science and Research,0.1012340022302259,0.2615002807713811,158.31269633761826,29588.770833333332
Skill subcat: Distributed Computing,0.0050236384144488,0.0129262413120129,157.3083539379532,1494.8541666666667
Skill subcat: Compensation and Benefits,0.015822634359298,0.0403157984202888,154.7982687636187,2562.375
Skill subcat: Education Administration,0.0055529438296343,0.0138991133072327,150.30170903327965,1237.7083333333333
Skill subcat: Electronics Engineering,0.0049536667803236,0.0123297027760235,148.9005280895793,1469.7083333333333
Skill subcat: Public Relations,0.0185359924295142,0.0458617618455071,147.42005058484514,5791.833333333333
Skill subcat: Transportation Equipment Manufacturing,0.0002392322437119,0.0005800108033599,142.446751474851,61.958333333333336
Skill subcat: Network Security,0.0118227613249639,0.0286243946446915,142.1125983847001,3521.8333333333335
Skill subcat: Ecology,0.0009868733254807,0.0023883382221945,142.0106168166168,195.45833333333334
Skill subcat: Extensible Languages and XML,0.0068027038953128,0.0164571542640881,141.92077911001553,1846.8541666666667
Skill subcat: Audio Production and Technology,0.0016279861942555,0.0038467096325676,136.28637921753088,502.3958333333333
Skill subcat: Network Protocols,0.0122163542011053,0.0286871650972931,134.8259114384353,3722.2291666666665
Skill subcat: Library and Archiving,0.0041953950226206,0.0097715862924791,132.91218680941762,1093.4791666666667
Skill subcat: Higher Education,0.0043050331977261,0.0099401851243766,130.89682861509553,1060.2916666666667
Skill subcat: Electrical and Computer Engineering,0.0188037170820009,0.0433523363322643,130.55194961299205,4730.208333333333
Skill subcat: Integrated Development Environments (IDEs),0.0044361266187637,0.0100907094554082,127.46666906952197,1065.3958333333333
Skill subcat: Financial Management,0.0293289000151168,0.0659887513862069,124.9956573625153,8916.75
Skill subcat: Economics,0.0186460195797245,0.0416587470985425,123.41898183911498,5102.979166666667
Skill subcat: Software Quality Assurance,0.0376335343807099,0.0828283928226777,120.09198494291218,10424.395833333334
Skill subcat: Agricultural Management and Operations,0.0003212786790495,0.0006910339340423,115.08863771686235,60.791666666666664
Skill subcat: Chemical and Biomedical Engineering,0.0027698339895592,0.0059435436162305,114.5812217856556,693.3541666666666
Skill subcat: Manufacturing Design,0.0023628894475871,0.0049958491073515,111.42965924423956,532.8125
Skill subcat: Enterprise Information Management,0.0039688649308553,0.0083631293816704,110.71841766779717,1213.2708333333333
Skill subcat: Counseling Services,0.0108269479378055,0.0226842293359016,109.51637955783352,2764.3541666666665
Skill subcat: Advertising,0.00691390604265,0.0144580512967442,109.11553046217908,2221.0625
Skill subcat: Streaming Media Systems,0.000886809037898,0.0018534512409346,109.00229493914817,203.16666666666666
Skill subcat: Product Management,0.0361224585574832,0.0747616736693189,106.96729030873544,9243.041666666666
"Skill subcat: Extraction, Transformation, and Loading (ETL)",0.0115640611286347,0.0236935602663583,104.88961449441643,3456.7291666666665
Skill subcat: Internet of Things (IoT),0.0031756700071795,0.0062843030258484,97.88904425336878,942.125
Skill subcat: Physics,0.0040079499832878,0.0078651585904864,96.2389406874398,1205.25
Skill subcat: Green Architecture,0.0004516509673279,0.0008814877048457,95.17011334235383,95.60416666666667
Skill subcat: Photo/Video Production and Technology,0.0075347703238691,0.0146939139512867,95.01475585444766,2175.8125
Skill subcat: Environmental Engineering and Restoration,0.0011476631427765,0.0022340812315677,94.66349909633485,294.9375
