,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Engineering,0.0149356959196954,0.0159779590367396,6.978336480925468,145.15277777777777
Skill cat: Energy and Utilities,0.0031379649132254,0.0032510674047797,3.6043262012782122,34.97222222222222
Skill cat: Architecture and Construction,0.0232003728093147,0.0234844288493851,1.224359808374951,178.66666666666666
Skill cat: Health Care,0.0808960469641582,0.0817120272526644,1.0086775795951157,598.5972222222222
Skill cat: Science and Research,0.0344686612909813,0.0345202368964966,0.1496304282893558,265.22222222222223
Skill cat: Hospitality and Food Services,0.7552429450455239,0.7493792552833579,-0.7763978201494561,6369.527777777777
Skill cat: Customer and Client Support,0.4850554200743622,0.4753157090958391,-2.007958384843931,4036.1805555555557
Skill cat: Analysis,0.1285023188103798,0.1257758077062337,-2.1217602370034907,1081.736111111111
Skill cat: Physical and Inherent Abilities,0.7175941659288021,0.6970942116411084,-2.8567615598100673,5915.791666666667
"Skill cat: Maintenance, Repair, and Facility Services",0.1092714245644718,0.1058898315626451,-3.094672752098608,865.5833333333334
Skill cat: Finance,0.2722937224602935,0.2638367968176491,-3.1058099930590926,2028.513888888889
"Skill cat: Transportation, Supply Chain, and Logistics",0.2109889232656929,0.2009541282369101,-4.756076704626923,1582.138888888889
Skill cat: Social and Human Services,0.008800819892902,0.0083623744064243,-4.981870914450984,69.11111111111111
Skill cat: Marketing and Public Relations,0.1582062214077149,0.1485420625848597,-6.108583301505951,1248.8472222222222
Skill cat: Administration,0.292125794119325,0.2741497566394849,-6.153526269062504,2244.8194444444443
Skill cat: Education and Training,0.0651544904003199,0.0609579073642816,-6.440972848154909,484.5
Skill cat: Manufacturing and Production,0.070785143209633,0.0657383819683875,-7.129689949625903,742.6944444444445
Skill cat: Media and Communications,0.49802118218444,0.4615682007927091,-7.319564447407522,4112.972222222223
Skill cat: Environment,0.009223095325995,0.0085441890365292,-7.3609375753964565,64.34722222222223
Skill cat: Property and Real Estate,0.0156280607992125,0.0143844246082727,-7.957712776510752,129.05555555555554
Skill cat: Public Safety and National Security,0.0638952367146427,0.0583705026328834,-8.646550769399072,429.4166666666667
"Skill cat: Performing Arts, Sports, and Recreation",0.0061102040733192,0.0053663930649216,-12.173259673036503,40.31944444444444
Skill cat: Personal Care and Services,0.0008133331348628,0.0007044034660443,-13.392995336022457,10.75
Skill cat: Design,0.0108713604030889,0.009247338454108,-14.93853472578707,104.54166666666667
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0030588341221856,0.0025687525636262,-16.021841622756146,19.569444444444443
Skill cat: Human Resources,0.1281805955459527,0.1074623864398917,-16.163296026061555,917.7222222222222
"Skill cat: Economics, Policy, and Social Studies",0.0201636040283495,0.0168423258863135,-16.47164930121803,135.77777777777777
Skill cat: Information Technology,0.1602308898568442,0.1318128908415922,-17.73565574068871,1313.8194444444443
Skill cat: Sales,0.3399035352322745,0.2776247243116685,-18.32249578635524,2631.5555555555557
Skill cat: Business,0.5958146441374786,0.4567227737436755,-23.344822380986834,4631.194444444444
"Skill cat: Law, Regulation, and Compliance",0.5337634476233025,0.3746877684979364,-29.802655058843968,4367.819444444444
