,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Product Inspection,0.0,5.9420192873410636e-55,inf,0.4305555555555556
"Skill subcat: Water Supply, Testing, and Treatment",0.0,8.225165749429761e-60,inf,0.4583333333333333
Skill subcat: Optical Engineering,0.0,7.164521693801919e-85,inf,0.027777777777777776
Skill subcat: Basic Electrical Systems,0.0,2.802598338520343e-58,inf,0.8888888888888888
"Skill subcat: Engineering, Scientific, and Technical Instruments",0.0,5.068058631739255e-59,inf,0.18055555555555555
Skill subcat: Telecommunications Equipment and Installation,0.0,1.4201472001734165e-58,inf,0.4027777777777778
Skill subcat: Air Transportation,0.0,1.664412990280051e-05,inf,0.3472222222222222
Skill subcat: Malware Protection,0.0,8.91246270443114e-62,inf,0.08333333333333333
"Skill subcat: Welding, Brazing, and Soldering",0.0,5.507316993345164e-56,inf,0.2638888888888889
Skill subcat: Insurance and Warranty Claims Processing,0.0,1.3322504593822342e-95,inf,0.09722222222222222
Skill subcat: Marketing Software,0.0,2.0963437475763424e-60,inf,0.1388888888888889
Skill subcat: Digital Design,0.0002881552871451,0.00049619441475,72.19688025371622,6.486111111111111
Skill subcat: Audio Production and Technology,0.0236438503326087,0.0248745416719834,5.205122355547051,65.36111111111111
Skill subcat: Personal Attributes,0.2491905953519793,0.2610447607181405,4.757067717349963,914.2361111111111
Skill subcat: Physical Abilities,0.1543322786487662,0.1522014454276942,-1.3806789089931109,415.2916666666667
Skill subcat: Occupational Health and Safety,0.0319347398589818,0.0306924940127928,-3.8899513560296395,116.02777777777777
Skill subcat: Procurement,0.0072985015327544,0.0069864905678841,-4.275000333562305,18.208333333333332
Skill subcat: Communication,0.4047414687757568,0.3812641534210061,-5.800570775651867,1201.25
Skill subcat: Teaching,0.4670642983016696,0.4309391535774737,-7.734512112262379,1627.9722222222222
Skill subcat: Automation Engineering,0.0003216111172102,0.0002884485242163,-10.311395103989971,2.4444444444444446
Skill subcat: Childhood Education and Development,0.4241200346504065,0.3677741482256974,-13.285363062641894,1434.013888888889
Skill subcat: Labor Compliance,0.0004314887404752,0.0003689423595465,-14.4954839052851,1.2361111111111112
Skill subcat: Initiative and Leadership,0.3512035588781816,0.2951957986165606,-15.947378335379527,1096.736111111111
Skill subcat: Photo/Video Production and Technology,0.0145031617085612,0.0120877786988042,-16.65418243479421,52.65277777777778
Skill subcat: Payroll,0.0010184552981862,0.0008307901175843,-18.42645238687638,2.8194444444444446
Skill subcat: Billing and Invoicing,0.0064551010473021,0.0052417479593373,-18.79681013625525,18.52777777777778
Skill subcat: Art and Illustration,0.0020465991517866,0.0015837655985047,-22.61476327095438,6.291666666666667
Skill subcat: Physical Therapy,0.0425653402901396,0.0322808518590707,-24.161649738887046,126.33333333333333
Skill subcat: Instructional and Curriculum Design,0.1373118850931076,0.1017820113640242,-25.875308393728275,480.9861111111111
Skill subcat: Nursing and Patient Care,0.0256782193334717,0.0189804193401383,-26.08358432628068,97.69444444444444
Skill subcat: Critical Thinking and Problem Solving,0.2175192468809694,0.1566383744644736,-27.988728946735904,583.8333333333334
Skill subcat: Quality Assurance and Control,0.0196430975675623,0.0137887163270192,-29.803757886998206,65.75
Skill subcat: Home Health Care and Assisted Living,0.0828167322906058,0.0580763777008545,-29.873618416791466,271.55555555555554
Skill subcat: Health Information Management and Medical Records,0.0058759606131839,0.0040884570872063,-30.420617898067192,21.61111111111111
Skill subcat: Mental Health Therapies,0.0338954020852974,0.0234286365744997,-30.879602739209883,79.48611111111111
Skill subcat: General Science and Research,0.0663503582984946,0.0453009724568616,-31.72460010982425,188.41666666666666
Skill subcat: Data Analysis,0.0141096123727226,0.009551301832494,-32.30641933892493,42.84722222222222
Skill subcat: Advertising,0.0005110976141956,0.0003430567959219,-32.87841962208609,3.888888888888889
Skill subcat: Business Intelligence,0.0047004218595064,0.0031231098479648,-33.556818062011914,18.694444444444443
Skill subcat: Education Administration,0.0487464981476557,0.0321064859790108,-34.135810367836946,85.75
Skill subcat: Program Management,0.0500235354958548,0.0323919915155304,-35.24649708492804,131.95833333333334
Skill subcat: Writing and Editing,0.1959372063993448,0.1255274952303333,-35.93483466611625,491.5
Skill subcat: Mental and Behavioral Health Specialties,0.1271239294608811,0.0788212342708245,-37.9965403798507,351.0138888888889
Skill subcat: Physics,0.0013531007815807,0.0008049256273319,-40.5125147890624,4.805555555555555
Skill subcat: Business Operations,0.056066384032806,0.0329918128966693,-41.155804024449175,158.08333333333334
Skill subcat: Mathematics and Mathematical Modeling,0.0349499664107773,0.0203415625852777,-41.79804825504754,79.51388888888889
Skill subcat: Education Software and Technology,0.0347340070103047,0.0197729040737891,-43.07335727800429,128.43055555555554
Skill subcat: Special Education,0.1800917432777657,0.1022069546721523,-43.247284516251966,466.2083333333333
Skill subcat: Mergers and Acquisitions,0.0006649220621584,0.000374601215055,-43.662387462523206,2.0833333333333335
Skill subcat: Student Support and Services,0.0423773907089497,0.0228117656524867,-46.16996169216932,87.23611111111111
Skill subcat: Graphic and Visual Design Software,0.0055983778527728,0.0029864315406714,-46.65541306412069,29.75
"Skill subcat: Language Interpretation, Translation, and Studies",0.0130119480075264,0.0069382548368171,-46.67781616708076,29.02777777777778
Skill subcat: Community and Social Work,0.0343625542234296,0.0181287620370388,-47.24268190553201,88.16666666666667
Skill subcat: Financial Reporting,0.0020653972725575,0.0010397731129567,-49.657476226392525,6.319444444444445
Skill subcat: Databases,0.0047459777277421,0.0023590810314631,-50.293044620219206,16.680555555555557
Skill subcat: Web Design and Development,0.0261010952083,0.0128803508560331,-50.65206745831408,41.125
Skill subcat: Software Development Tools,0.0013794161076882,0.0006676341402012,-51.60023603609315,7.111111111111111
Skill subcat: Biology,0.001568537109314,0.0007247771982089,-53.79279241114789,4.791666666666667
Skill subcat: Software Development,0.0131014839699479,0.0059395372150882,-54.66515679664783,22.75
Skill subcat: Pulmonology,0.0001594929861847,7.138956899727352e-05,-55.23968125181303,4.069444444444445
Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),0.0022522491672063,0.001005585055204,-55.35196239182842,5.986111111111111
Skill subcat: Marketing Strategy and Techniques,0.0552175297449953,0.0245553307596453,-55.52982744239677,134.11111111111111
Skill subcat: Language Competency,0.2157591386135257,0.0957342056017699,-55.62913060509946,672.7361111111111
Skill subcat: Banking Services,0.0013137630974763,0.000577858810369,-56.014991479129705,3.9305555555555554
Skill subcat: Health Care Procedure and Regulation,0.0063650368156731,0.0027695129212597,-56.48865825190321,16.48611111111111
Skill subcat: Music,0.0024436036063131,0.0010454325509704,-57.21758847181664,10.097222222222221
Skill subcat: Document Management,0.0248175945904657,0.0105077022691881,-57.66027109966211,63.09722222222222
Skill subcat: Scripting Languages,0.0047876388294891,0.0019360420245976,-59.561652548377396,12.458333333333334
Skill subcat: Machinery,0.0020450375138674,0.0008225811253874,-59.77672195206802,6.458333333333333
Skill subcat: System Design and Implementation,0.0034958606811318,0.0013540022410537,-61.268415290069974,12.625
Skill subcat: Computer Hardware,0.0029648664953789,0.0010757918405764,-63.715336179448535,6.694444444444445
Skill subcat: Data Management,0.0081744722472697,0.0029426002221864,-64.00256636544044,27.305555555555557
"Skill subcat: Policy Analysis, Research, and Development",0.0704188658198548,0.0252730197576984,-64.11044190579311,115.70833333333333
Skill subcat: Systems Administration,0.0010691988895459,0.0003807947732872,-64.38503846099883,4.458333333333333
Skill subcat: Scripting,0.0009117223065495,0.0003218274093587,-64.70115877972906,7.986111111111111
Skill subcat: Computer Science,0.0157074170229488,0.0053687927201976,-65.82001539556947,57.361111111111114
Skill subcat: Project Management,0.033636866914643,0.0114516513611564,-65.95505939891447,129.66666666666666
Skill subcat: Data Science,0.0068629432844375,0.00229624604708,-66.54138098027128,19.541666666666668
Skill subcat: Lean Manufacturing,0.0015953309915971,0.0005280843335291,-66.8981335966883,7.847222222222222
Skill subcat: General Accounting,0.0094682070538864,0.0031204414978892,-67.04295248160678,30.930555555555557
Skill subcat: Coaching and Athletic Training,0.0062665118905388,0.0019690892456111,-68.57758702119378,30.944444444444443
Skill subcat: Business Solutions,0.0026131589457234,0.0008100729560251,-69.00024174377775,11.48611111111111
Skill subcat: General Medicine,0.0236462487206138,0.0072873068880959,-69.18197480624852,85.20833333333333
Skill subcat: Drafting and Engineering Design,0.0004638575435092,0.0001300730873131,-71.95839775956556,3.5555555555555554
Skill subcat: Account Management,0.0024914972601987,0.0006791296619667,-72.74210681200836,4.333333333333333
Skill subcat: Infectious Diseases,0.0065117524833312,0.0017710265912711,-72.80261195730982,23.444444444444443
Skill subcat: Networking Software,0.0001387563487011,3.5896538756182336e-05,-74.12980444339283,0.9027777777777778
Skill subcat: Signal Processing,7.316994176310334e-05,1.7781690923756896e-05,-75.69809337647513,0.6388888888888888
Skill subcat: People Management,0.0216239108089512,0.0051659779491991,-76.10988134921159,98.86111111111111
Skill subcat: Surgery,0.0010652577801991,0.0002338160854834,-78.05075073568585,3.611111111111111
