,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0087590350029035,3.1458281584306427,35815.23675139834,2370.0416666666665
Skill cat: Hospitality and Food Services,0.1078836595961085,0.7432154592681025,588.904568171426,30925.979166666668
"Skill cat: Law, Regulation, and Compliance",0.3423371812500747,0.5687376650206725,66.13376991183847,103402.64583333333
Skill cat: Human Resources,0.0908575162155995,0.1059093919159357,16.566461782445153,24874.520833333332
Skill cat: Sales,0.2650780508068857,0.3082419977118572,16.283485853914488,89651.27083333333
Skill cat: Public Safety and National Security,0.0411279255624667,0.0474419641638709,15.3521932240764,11785.8125
Skill cat: Business,0.5307028647865718,0.5707152223845142,7.539502846669924,166759.95833333334
Skill cat: Property and Real Estate,0.0145751216413234,0.0153177597129589,5.095244416554108,4716.583333333333
Skill cat: Finance,0.243382510163254,0.2320334648589697,-4.6630488348039805,76778.33333333333
"Skill cat: Transportation, Supply Chain, and Logistics",0.2131056412145703,0.1955979767224864,-8.215486174979238,71423.47916666667
Skill cat: Media and Communications,0.5487514224409799,0.4867137582576782,-11.305239794612836,175135.0625
Skill cat: Administration,0.2960546221612858,0.2477842869254286,-16.304536941010944,94490.25
Skill cat: Manufacturing and Production,0.1238759741352974,0.1014066883400818,-18.138534087872944,36830.645833333336
Skill cat: Design,0.045718080832257,0.0333742975589499,-26.999784436703173,13492.854166666666
Skill cat: Analysis,0.1582887131436771,0.1122132866198177,-29.108472492310415,48741.979166666664
Skill cat: Physical and Inherent Abilities,0.6668046987362147,0.4417596527424418,-33.749769073357996,208063.1875
Skill cat: Information Technology,0.3364102610515735,0.1315339770931258,-60.90072381205967,107251.25
Skill cat: Personal Care and Services,0.0067247720628271,0.0025549932204159,-62.00624799553758,1762.3125
Skill cat: Education and Training,0.1277221301708208,0.0477570994355034,-62.60859463302788,36268.8125
Skill cat: Social and Human Services,0.0297618444396161,0.0111053069705232,-62.686092950136896,8308.1875
Skill cat: Architecture and Construction,0.0729093296650632,0.0244544325684252,-66.45911753575851,22807.520833333332
Skill cat: Environment,0.0195760288691132,0.0064890077818868,-66.85227721478756,5106.1875
Skill cat: Health Care,0.2495136928397096,0.0742615956111812,-70.23746682355917,73994.20833333333
"Skill cat: Maintenance, Repair, and Facility Services",0.1275766799786311,0.0322648184684011,-74.70947004279668,37811.8125
Skill cat: Energy and Utilities,0.0163412680567086,0.0039036826745757,-76.11150700772504,4869.5625
"Skill cat: Performing Arts, Sports, and Recreation",0.0083972925613488,0.0018867690826153,-77.53122129744827,2382.6875
Skill cat: Science and Research,0.1358651082437245,0.0233747045772105,-82.79565307136892,39988.520833333336
"Skill cat: Economics, Policy, and Social Studies",0.0591149486024685,0.0058250562314362,-90.14622127034555,16164.0
Skill cat: Engineering,0.0925077673324286,0.0082374215010234,-91.09542718567398,26699.729166666668
