,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Wind Energy,0.0,1.6194878552740177e-36,inf,0.20833333333333334
Skill subcat: Injury Treatment,0.0,2.0909065662584616e-37,inf,0.18055555555555555
Skill subcat: Hardware Description Languages (HDL),0.0,3.0224973349123833e-30,inf,0.4305555555555556
Skill subcat: Online Advertising,0.0,3.684405970220379e-34,inf,0.2777777777777778
Skill subcat: Mobility Assistance,0.0,2.7908369520156737e-69,inf,0.013888888888888888
Skill subcat: Gastroenterology,0.0,1.1391534579324932e-46,inf,0.027777777777777776
Skill subcat: Content Management Systems,0.0,2.3435205818369847e-31,inf,0.7916666666666666
Skill subcat: Military Technology and Weapons,0.0,1.180487042956482e-06,inf,1.9861111111111112
Skill subcat: Dance,0.0,4.886978851444832e-68,inf,0.041666666666666664
Skill subcat: Agricultural Research and Agronomy,0.0,2.980220381908236e-36,inf,0.2638888888888889
Skill subcat: Hotels and Accommodations,0.0,4.637511996537424e-38,inf,0.06944444444444445
Skill subcat: Neurology,0.0,7.676891054573554e-35,inf,0.3333333333333333
Skill subcat: Urology,0.0,1.52647000726821e-67,inf,0.041666666666666664
Skill subcat: Obstetrics and Gynecology (OBGYN),0.0,1.3001435412269706e-40,inf,0.1388888888888889
Skill subcat: Natural Language Processing (NLP),0.0,8.38428414167058e-33,inf,0.5416666666666666
Skill subcat: Journalism,0.0,1.6757244064250222e-34,inf,0.2638888888888889
Skill subcat: Hepatology,0.0,7.072938094095559e-38,inf,0.125
Skill subcat: Religious Studies and Services,0.0,2.0399871477419135e-05,inf,0.041666666666666664
Skill subcat: Aquaculture,0.0,4.0025522536336556e-48,inf,0.027777777777777776
Skill subcat: Bioinformatics,0.0,5.319825436532525e-45,inf,0.08333333333333333
Skill subcat: Commercial Lending,0.0,5.161288966724037e-46,inf,0.06944444444444445
Skill subcat: Industry Specific Marketing,0.0,9.6242605419442e-38,inf,0.09722222222222222
Skill subcat: Cryptocurrency,0.0,1.8205261041314087e-36,inf,0.2222222222222222
Skill subcat: Search Engines,0.0,3.417359101421185e-05,inf,1.5833333333333333
Skill subcat: Nuclear Energy,0.0001285923820941,0.0007740016147683,501.90316266317325,3.0972222222222223
Skill subcat: Student Support and Services,0.000284883316113,0.0010271484307061,260.5505737298697,1.3055555555555556
Skill subcat: Image Analysis,0.0006965329194012,0.0024034457305268,245.0584550394273,4.222222222222222
Skill subcat: Appliance Repair and Maintenance,0.0063638379343505,0.0152185316929944,139.14078029624773,20.27777777777778
Skill subcat: Promotions and Campaigns,0.0006492683730742,0.0015282534190748,135.38085057781606,3.4444444444444446
Skill subcat: Financial Analysis,0.0020352722242953,0.0044771341738884,119.97716671235854,6.902777777777778
Skill subcat: Textiles,0.0012073928258276,0.0025739483970249,113.18234976761626,2.5555555555555554
Skill subcat: Clean Energy,0.0003237822294113,0.0006871529439685,112.22688632970363,1.5
Skill subcat: Accounts Payable and Receivable,0.0004482512865139,0.0009169268973454,104.55644521992167,2.25
Skill subcat: Medical Science and Research,0.0015649870383012,0.0028062922005689,79.31728071148386,4.986111111111111
Skill subcat: Log Management,0.0006723749005413,0.0011957880305783,77.84542962796839,3.7777777777777777
Skill subcat: Ecology,0.0011468161266392,0.0019851535942432,73.10129742078084,2.8472222222222223
Skill subcat: Earth and Space Science,0.0009361988272079,0.0015717938882402,67.89103367367866,3.4305555555555554
Skill subcat: Biology,0.0062797910999365,0.0101032881007015,60.88573552715252,13.055555555555555
Skill subcat: Surgery,0.0021635855483084,0.0033013594881849,52.587425570764644,4.319444444444445
"Skill subcat: Molecular, Cellular, and Microbiology",0.0010098654391164,0.0015207330975614,50.58769600947953,4.194444444444445
