,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Sales,0.0694867638177621,0.0920935231040811,32.53390724254782,117.81944444444444
Skill cat: Analysis,0.1246798516034007,0.1270323919644958,1.8868649030626097,242.04166666666666
Skill cat: Manufacturing and Production,0.615339987366394,0.5848368755403066,-4.9571151643562485,1086.6527777777778
Skill cat: Customer and Client Support,0.1426503880936465,0.1319608253323594,-7.4935392073869895,260.18055555555554
Skill cat: Business,0.5409667925630737,0.4983319871134812,-7.88122414087395,907.5277777777778
Skill cat: Architecture and Construction,0.2508227916348065,0.2306923177407293,-8.025775394202132,390.8611111111111
"Skill cat: Maintenance, Repair, and Facility Services",0.6219517635726364,0.5672189331867477,-8.800172873775699,1088.6805555555557
Skill cat: Physical and Inherent Abilities,0.7964289929997179,0.7186893217604314,-9.761029787035142,1373.25
Skill cat: Information Technology,0.4737852853831744,0.4221899579212805,-10.890023192713995,804.0138888888889
"Skill cat: Transportation, Supply Chain, and Logistics",0.3469323060682833,0.3084557809906426,-11.090499329303668,585.3472222222222
"Skill cat: Law, Regulation, and Compliance",0.4882431149586584,0.432373081599877,-11.443076542617952,775.9166666666666
Skill cat: Media and Communications,0.4837055167365311,0.4156081288146057,-14.078273984006948,840.0416666666666
Skill cat: Administration,0.280488540618326,0.2242724276425954,-20.04221379304994,448.2638888888889
Skill cat: Finance,0.0880172833722703,0.0702427755491258,-20.194338136939518,138.80555555555554
Skill cat: Public Safety and National Security,0.0535778771011149,0.0422901887347493,-21.06781563043809,84.27777777777777
Skill cat: Human Resources,0.0530089234635433,0.0416341113855109,-21.458296707073075,91.73611111111111
Skill cat: Science and Research,0.170269217236517,0.13334523701311,-21.68564630923085,270.0
Skill cat: Energy and Utilities,0.1760208900958474,0.1332512211042179,-24.298064262906777,230.40277777777777
Skill cat: Health Care,0.1294694274501741,0.0966716960121919,-25.33241405628699,194.68055555555554
Skill cat: Design,0.0626880342983095,0.0462033747685919,-26.296341421830398,91.58333333333333
Skill cat: Engineering,0.622382817523839,0.4476487730659916,-28.07501099613094,1051.5972222222222
Skill cat: Environment,0.0387334254396769,0.0271363108641818,-29.94084422911768,63.22222222222222
Skill cat: Marketing and Public Relations,0.0264710375137249,0.0159993274794557,-39.55912203607338,46.486111111111114
Skill cat: Education and Training,0.0761973242560718,0.0421818970431323,-44.64123582427368,109.15277777777777
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0140329656318663,0.0077332762199063,-44.89207468487315,22.23611111111111
"Skill cat: Performing Arts, Sports, and Recreation",0.0018706048380331,0.0009337599290635,-50.082459422839506,2.763888888888889
Skill cat: Personal Care and Services,0.0017051463937954,0.0007369037945154,-56.783546726732204,2.611111111111111
Skill cat: Social and Human Services,0.0071587395739141,0.0017179691061392,-76.00179349449519,9.11111111111111
"Skill cat: Economics, Policy, and Social Studies",0.0255714025322172,0.0057584536654584,-77.48088452245287,23.305555555555557
Skill cat: Hospitality and Food Services,0.046856429412598,0.0057668008148652,-87.69261574738191,91.30555555555556
Skill cat: Property and Real Estate,0.002556217668635,-1.095247888338938e-05,-100.42846425082563,6.180555555555555
