,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Organizational Skills,0.0697197039635594,49.13419903098203,70373.90656831123,38.84722222222222
Cable Television,0.0614710151314339,29.169229908274108,47352.0061949621,26.72222222222222
Sales,0.0940721016732755,0.953441640513684,913.5222064296058,53.458333333333336
Telecommunications,0.0652713490372394,0.3237896387585949,396.0670240994445,37.625
EPA 608 Technician Certification,0.0459189000765341,0.0733349113840338,59.70528749992877,61.041666666666664
Gas Tungsten Arc Welding,0.0698004636736252,0.0914910004131552,31.075061106973667,61.34722222222222
Customer Service,0.2059970101534876,0.2627360494118549,27.543622704082587,208.13888888888889
Carpentry,0.062576245018876,0.0734007308060334,17.29807498658991,58.888888888888886
Problem Solving,0.0892922786973105,0.1036990177456129,16.13436151309276,57.111111111111114
Troubleshooting (Problem Solving),0.2238955345629671,0.2577557710511317,15.123229926964854,162.19444444444446
Underground Utilities,0.0646422261048029,0.0736495623453814,13.934136838009149,31.01388888888889
Sewer Systems,0.0617912204263139,0.0691749855122829,11.949537547610264,24.51388888888889
Welding,0.1042001502794812,0.1161531698374558,11.471211438673292,83.93055555555556
Microsoft Office,0.0605552764992576,0.0645906745824531,6.66399084685044,44.875
Preventive Maintenance,0.0925932428184109,0.0985352166088273,6.417286628646861,90.98611111111111
Valid Driver's License,0.3376119392186086,0.353642341186124,4.748173895928324,302.06944444444446
Communications,0.3707354428476783,0.3861566713626768,4.159631568146162,290.43055555555554
HVAC,0.3964109649203704,0.411926694789939,3.914051638981607,355.2083333333333
Management,0.1798884738596147,0.1830838740100055,1.7763228970881668,137.56944444444446
Construction Management,0.0870944442724634,0.0859155072118071,-1.353630613874929,64.48611111111111
Good Driving Record,0.122417654833423,0.1206988756940549,-1.404028807533434,100.33333333333333
Refrigeration,0.0387307261315761,0.0381502715245318,-1.4986928080624575,49.40277777777778
Detail Oriented,0.0896561367359344,0.0873744394268792,-2.544942702333378,78.16666666666667
Operations,0.1516061017528825,0.142722730490038,-5.859507737574023,124.27777777777777
Boilers,0.072291903403122,0.0674838289636518,-6.650916925867732,67.19444444444444
Coordinating,0.0700402458306477,0.0647842523672565,-7.504247595160954,46.666666666666664
Construction,0.1752098035995192,0.1579385090680981,-9.857493231884723,141.76388888888889
Lifting Ability,0.1610834274241671,0.1423827583730549,-11.609306649447769,131.29166666666666
Professionalism,0.0657928957578655,0.0574534188645757,-12.675345563115476,54.708333333333336
Leadership,0.1006043324871016,0.0861166658776998,-14.400638870358048,72.22222222222223
Writing,0.0675033863071969,0.0569261329239129,-15.66921892651229,53.44444444444444
Subcontracting,0.0873195061974239,0.0718549274924378,-17.71033687481199,63.59722222222222
English Language,0.074897591295297,0.0615125450284944,-17.87113048005734,60.416666666666664
Time Management,0.075853366506982,0.0612651621141817,-19.232111987353285,56.06944444444444
Self-Motivation,0.0704458235027285,0.0559994421707246,-20.507079928513246,54.34722222222222
Power Tool Operation,0.102683450654158,0.0810566978584917,-21.061575802030717,70.16666666666667
Blueprinting,0.0760415548909648,0.059534064912624,-21.70851188144524,49.666666666666664
Scheduling,0.0725960308845909,0.0472671960231153,-34.89010976611375,53.375
