,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Search Engines,0.0,2.3668377745111863e-93,inf,0.1111111111111111
Skill subcat: Mathematical Software,0.0,4.737857027698346e-58,inf,0.7222222222222222
Skill subcat: Real Estate Development,0.0,7.590767369555604e-81,inf,0.16666666666666666
Skill subcat: Science Software,0.0,9.170149630403192e-63,inf,0.6805555555555556
Skill subcat: Telecommunications Equipment and Installation,0.0,3.827113252919199e-55,inf,2.5416666666666665
Skill subcat: Power Generation,0.0,5.314756196309723e-59,inf,0.8333333333333334
Skill subcat: Augmented and Virtual Reality (AR/VR),0.0,6.804679158669146e-71,inf,0.3333333333333333
Skill subcat: Extensible Languages and XML,0.0,1.829645271222376e-70,inf,0.4166666666666667
Skill subcat: Transportation Equipment Manufacturing,0.0,9.039519615763362e-198,inf,0.1388888888888889
Skill subcat: Agricultural Research and Agronomy,0.0,4.0280316972650815e-73,inf,0.3472222222222222
Skill subcat: Agricultural Management and Operations,0.0,1.7126451676701108e-76,inf,0.2777777777777778
Skill subcat: Bioinformatics,0.0,1.5983089391062432e-80,inf,0.25
Skill subcat: Electronics Manufacturing,0.0,6.241334818911645e-07,inf,0.8888888888888888
Skill subcat: Marketing Software,0.0,9.269545603107069e-66,inf,0.5555555555555556
Skill subcat: Online Advertising,0.0,6.451456615822527e-07,inf,0.4027777777777778
Skill subcat: Pricing Analysis,0.0,1.2509419691436025e-58,inf,1.3333333333333333
Skill subcat: Natural Gas,0.0,5.24862038578201e-57,inf,1.7916666666666667
Skill subcat: Alternative Therapy,0.0161236591375849,0.0197647402705287,22.582225919526493,263.31944444444446
Skill subcat: Rehabilitation,0.0472336094497642,0.0536616530788235,13.609045982174859,884.5
Skill subcat: Forestry,0.0001095276454681,0.0001187657566637,8.434501769957805,2.888888888888889
Skill subcat: Dictation,0.0296852746309063,0.0320157343136285,7.850557933851435,469.1388888888889
Skill subcat: Physical Abilities,0.1170649401617199,0.1175355272849742,0.40198809532914753,2345.9305555555557
Skill subcat: General Medical Tests and Procedures,0.2183854299179771,0.2101125795838541,-3.78818785540326,4523.263888888889
Skill subcat: Medical Equipment and Technology,0.0730265041086082,0.0689648510120904,-5.561888996462332,1694.4027777777778
"Skill subcat: Fire Prevention, Safety, and Control",0.0014125544314376,0.0013295108288762,-5.878966552593937,35.888888888888886
Skill subcat: Emergency and Intensive Care,0.3745719897888457,0.3476152857889713,-7.196668393456357,8115.986111111111
Skill subcat: Communication,0.3079396601523333,0.2819180624023998,-8.450226169977912,6767.611111111111
Skill subcat: Inventory and Warehousing,0.0424038432172238,0.0386883497218142,-8.762162137936635,970.9305555555555
Skill subcat: Nursing and Patient Care,0.5562718438702472,0.4987885489719823,-10.333669685369353,12478.916666666666
Skill subcat: Manufacturing Design,0.0002061467466615,0.0001809893072325,-12.203655811415441,5.263888888888889
Skill subcat: Food and Beverage,0.0335189616319882,0.0289779184884649,-13.547684422269333,1401.8055555555557
Skill subcat: Laboratory Research,0.0416422590747551,0.0359794051113457,-13.598815456297864,899.0694444444445
Skill subcat: Cardiology,0.0556405596986401,0.0474543211174649,-14.712717890534236,1316.0555555555557
Skill subcat: First Aid,0.1107880330212892,0.0925858585442351,-16.42972980083178,2342.847222222222
"Skill subcat: Policy Analysis, Research, and Development",0.0493812896044431,0.0406651406079456,-17.65071156771342,893.1666666666666
Skill subcat: Infectious Diseases,0.0757298220304394,0.0622596333110652,-17.787165423365042,1533.611111111111
Skill subcat: Pathology,0.0122226371219701,0.0096488756684839,-21.05733343633252,236.01388888888889
Skill subcat: People Management,0.0261888986501619,0.0206563009930483,-21.12573625572986,510.1666666666667
Skill subcat: Health Care Administration,0.1193874330236634,0.0936575251360606,-21.55160491850341,2667.5555555555557
Skill subcat: Social Skills,0.1371934198680831,0.1071307475906437,-21.912619647754127,2983.4305555555557
Skill subcat: Patient Education and Support,0.1523296191020045,0.1181173859466288,-22.459343991706664,3089.722222222222
Skill subcat: Business Management,0.1109386752821893,0.0857964756532544,-22.66315111928451,2414.4861111111113
Skill subcat: Scheduling,0.0745528379689533,0.057655067221169,-22.66549632197931,1508.625
Skill subcat: Medical Support,0.1298249614825509,0.1001130628697322,-22.88612164680836,2992.2916666666665
Skill subcat: Mental and Behavioral Health Specialties,0.0611752515419345,0.0461539544032292,-24.55453269106459,1370.4305555555557
Skill subcat: Personal Attributes,0.1768070538467266,0.1327658028038428,-24.909216054843046,4155.125
Skill subcat: Neurology,0.0148456365973487,0.011088251188131,-25.309695442017865,269.06944444444446
Skill subcat: General Finance,0.0030616990398563,0.0022759120315043,-25.665063682708684,76.22222222222223
Skill subcat: Public Health and Disease Prevention,0.0322500069978076,0.0238149684532148,-26.1551526024978,688.9583333333334
Skill subcat: Hepatology,0.0048388332064776,0.0034996179872052,-27.67640797123639,111.97222222222223
Skill subcat: Client Support,0.0019016413515386,0.0013679538013928,-28.06457430650624,55.083333333333336
Skill subcat: Financial Reporting,0.0024068711404899,0.0017277866601811,-28.214409524665196,51.18055555555556
Skill subcat: Initiative and Leadership,0.2903243619332512,0.2079740391153763,-28.364937158393943,6424.291666666667
Skill subcat: Childhood Education and Development,0.0107419104841476,0.0076888970057194,-28.42151294161027,270.6388888888889
Skill subcat: General Medicine,0.2336421384546148,0.1650678371544134,-29.350142809757763,5152.819444444444
Skill subcat: Geriatrics,0.0427836680729465,0.0301655469281588,-29.492845548618458,882.8194444444445
Skill subcat: Document Management,0.0149556975751762,0.0104008988248255,-30.45527450294834,365.7638888888889
Skill subcat: Customer Service,0.1368704103802168,0.0948986210800246,-30.665349204110214,3333.9861111111113
Skill subcat: Appliance Repair and Maintenance,0.0001572722464931,0.0001086144976577,-30.938547595258488,4.722222222222222
Skill subcat: Medical Science and Research,0.0294319159197304,0.0203096667774175,-30.99441153335716,605.0972222222222
Skill subcat: Data Management,0.0031995635819838,0.0021913543503887,-31.510835955008222,101.36111111111111
Skill subcat: Pulmonology,0.0395943246973598,0.0268406917795514,-32.21076004021059,840.0555555555555
Skill subcat: Law Enforcement and Criminal Justice,0.002908233299372,0.0019494655487135,-32.96736031684717,61.833333333333336
Skill subcat: Regulation and Legal Compliance,0.170300274261407,0.1141527627139104,-32.96971293264711,4142.0
Skill subcat: Home Health Care and Assisted Living,0.2213261326467891,0.1481746566053637,-33.05144095124397,5998.513888888889
Skill subcat: Dermatology,0.0064029830178179,0.004279007493258,-33.17165637718244,148.47222222222223
Skill subcat: Urban and Regional Planning,0.000126522439268,8.397233508416669e-05,-33.63048043493978,20.02777777777778
Skill subcat: Urology,0.0071767106927792,0.0047208978349592,-34.21919822253529,137.44444444444446
Skill subcat: Occupational Health and Safety,0.0531930580454781,0.0345303337215578,-35.084887031620475,1239.5833333333333
Skill subcat: Compensation and Benefits,0.0039873437964449,0.0025544657316297,-35.935653857907816,63.40277777777778
Skill subcat: Blood Collection,0.0613264853614074,0.0392295208268297,-36.03168256644178,1351.0972222222222
Skill subcat: Oral and Dental Care,0.028200104489203,0.0179323934137117,-36.41018805239714,630.6527777777778
Skill subcat: Writing and Editing,0.0636465706807551,0.0399884465229759,-37.17109013845539,1368.5
Skill subcat: Physical Therapy,0.0429552263119063,0.0264599293322418,-38.401140899337655,1000.1944444444445
Skill subcat: Mental Health Therapies,0.0165512515412003,0.0101406716455973,-38.73169276441377,374.9166666666667
Skill subcat: General Science and Research,0.0492683248661744,0.0300104189299944,-39.087803347261115,828.8194444444445
Skill subcat: Eye Care,0.0034453196047093,0.0020801081029556,-39.62510473303072,95.55555555555556
Skill subcat: Procurement,0.0080487430678282,0.0048492786717754,-39.751106093092304,164.36111111111111
Skill subcat: Business Solutions,0.0017936836220481,0.0010782258893136,-39.88762142554224,39.75
Skill subcat: Customer Relationship Management (CRM),0.0053589145824419,0.0031813933155586,-40.63362521242254,110.59722222222223
Skill subcat: General Networking,0.0008684641407856,0.0005139357719073,-40.8224533666524,45.68055555555556
Skill subcat: Retail Sales,0.0010088615843437,0.0005906058001373,-41.45819314534512,42.5
