,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill cat: Personal Care and Services,0.0082895144697206,0.0168031676758893,102.70388256473669,198.0
Skill cat: Hospitality and Food Services,0.0356091485385349,0.0514408220731489,44.459567791916044,1435.0972222222222
"Skill cat: Economics, Policy, and Social Studies",0.0575484206406934,0.0590258241725168,2.5672355824456887,1066.736111111111
Skill cat: Health Care,0.926998058057398,0.9188316874102066,-0.8809479778528019,21496.430555555555
Skill cat: Administration,0.1961942220218123,0.1917488582804652,-2.2657974814634856,4480.458333333333
Skill cat: Environment,0.010020358061488,0.0096947161761853,-3.249802884332695,234.97222222222223
Skill cat: Finance,0.0502811461692438,0.0485728357312852,-3.397516898697001,1188.5416666666667
Skill cat: Business,0.2408846710914786,0.231788579916951,-3.7761187265723715,5111.375
Skill cat: Science and Research,0.1209071621318908,0.1151735654594707,-4.742148083970115,2388.2083333333335
Skill cat: Engineering,0.0116690612146305,0.0106663814699954,-8.5926341990387,248.75
Skill cat: Education and Training,0.1124204598877083,0.1014510971018917,-9.757443437585474,2602.402777777778
"Skill cat: Transportation, Supply Chain, and Logistics",0.0689543905484812,0.0621703759319709,-9.838408493713702,1644.5833333333333
Skill cat: Sales,0.0252631273385196,0.0223825279821252,-11.402386243773737,712.6944444444445
Skill cat: Design,0.0025406870599606,0.0022447463277544,-11.648059175410184,50.0
Skill cat: Manufacturing and Production,0.0126572918649605,0.0109445466239319,-13.531687973238855,263.7916666666667
Skill cat: Architecture and Construction,0.00414894021909,0.0034557310174866,-16.708102912975782,80.44444444444444
Skill cat: Physical and Inherent Abilities,0.4698768002425206,0.3628099880046075,-22.786145683858404,10552.527777777777
"Skill cat: Law, Regulation, and Compliance",0.2713085293305629,0.2068476162564164,-23.759265229589285,6456.527777777777
Skill cat: Analysis,0.0269258450928297,0.0200219073721347,-25.640560943929312,559.1805555555555
Skill cat: Customer and Client Support,0.150354887553047,0.105151439768765,-30.06450173981453,3671.4583333333335
Skill cat: Media and Communications,0.3739651594093307,0.261070392594852,-30.188578795092408,8305.402777777777
Skill cat: Social and Human Services,0.0244502128191258,0.016934808083941,-30.737584129762634,545.625
Skill cat: Human Resources,0.0284588994056289,0.0162089340078462,-43.044410197253704,615.8611111111111
"Skill cat: Performing Arts, Sports, and Recreation",0.0111335869950034,0.0059898879019269,-46.19983744129292,322.625
Skill cat: Marketing and Public Relations,0.0211951224544301,0.010314873529548,-51.33373939346109,508.7638888888889
Skill cat: Public Safety and National Security,0.023065578637161,0.0099860609888214,-56.705785942292216,535.4305555555555
Skill cat: Information Technology,0.1475547458564389,0.0521070381725117,-64.68630143336195,3268.6805555555557
"Skill cat: Maintenance, Repair, and Facility Services",0.0589678925477871,0.0175274590814003,-70.27626675449493,1851.7916666666667
Skill cat: Energy and Utilities,0.0028733151276546,0.0006549270052349,-77.2065723341144,63.958333333333336
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0006292160413098,1.3225876194361665e-30,-100.0,16.97222222222222
Skill cat: Property and Real Estate,0.0001741668190472,3.4967154622627245e-33,-100.0,5.194444444444445
