,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Package Sorting,0.0001816063377243,0.0003338022850995,83.8054163100032,230.9375
Iterative And Incremental Development,0.0010981462080791,0.0016361131800996,48.988647236830396,281.0208333333333
Strategic Sourcing,0.0020682957808166,0.0029049959753649,40.45360447517597,536.375
Resource Management,0.0025205615501364,0.0032335705082633,28.28770271800406,705.6666666666666
Business Planning,0.007780481174413,0.0098614006681305,26.74538305626702,2106.3125
Project Risk Management,0.0022877076036907,0.0028349543392108,23.92118357421381,629.1041666666666
Structured Cabling,0.0002237292664214,0.0002755744027055,23.173157948164157,57.958333333333336
Electrophysiology,0.0004957462178048,0.0005918808935859,19.39191310561908,135.83333333333334
Information Technology,0.0217461826628967,0.0257671704621621,18.490545497559914,6159.708333333333
Security Software,0.0004417361194292,0.0005179985854139,17.26425859928419,158.41666666666666
Disabilities,0.0058293137539324,0.0068217269691981,17.02452908108142,1693.2708333333333
Android Applications,0.0003705371003865,0.0004299140370708,16.024559112263002,133.70833333333334
Smartphone Operation,0.0076349517752195,0.0085824148496321,12.409548904915804,3482.8333333333335
Brainstorming,0.0010770336657327,0.0012063587892164,12.007528417946055,310.9375
Threat Detection,0.0002036314412784,0.0002275274223873,11.734917240127944,60.895833333333336
Apache OpenOffice,0.000329960296486,0.0003596058163519,8.984571835344395,140.125
Real Estate Salesperson License,0.0006885425865767,0.0007374167199112,7.098200501655633,301.9583333333333
Electronic Engineering,0.0007665249521493,0.00082044132664,7.033870761743757,213.08333333333334
Android SDK,0.0001519161017687,0.0001620280172061,6.656249943008611,85.54166666666667
Human Resources Information System (HRIS),0.0049706809354935,0.0053002722764557,6.630708050656192,1313.125
Workforce Management,0.0008856498940442,0.0009404591281133,6.188589242507677,293.0416666666667
Tax Laws,0.0009765757665382,0.0010267172704427,5.134420249054856,395.6875
Traffic Flow,0.0003913186013849,0.0004112790678283,5.100822289755394,131.91666666666666
Business Partnering,0.0004881305500815,0.0005108374647782,4.651811834540722,124.875
Pricing Strategies,0.0028048180479406,0.0029052826353307,3.5818575634118095,837.2708333333334
Labor Law,0.0050729967928378,0.005244016140735,3.3711700377703644,1059.8958333333333
Electrical Diagnostics And Repairs,0.0009345376074279,0.0009659340436337,3.359569048506396,316.0416666666667
Cash Collection,0.000620029775598,0.0006399994278191,3.220756971201876,199.9375
Metal Inert Gas (MIG) Welding,0.000834860857061,0.0008597931481534,2.9864007734379077,320.9791666666667
CNOR Certification,0.0001241341704901,0.0001276659517745,2.8451322230261065,622.9375
Product Inspection,0.0019018165405258,0.0019494948665533,2.5069887137651126,656.0
Performance Improvement,0.0063798685495254,0.0065282449251613,2.325696438478145,1838.0416666666667
Beverage Products,0.0007946794546124,0.0008115993452638,2.129146607880097,161.16666666666666
Hard Disk Drives,0.0002898040394445,0.0002954062580775,1.933105778559315,85.52083333333333
Data Centers,0.0014667580808174,0.0014929496392812,1.7856767797184308,444.75
Gas Tungsten Arc Welding,0.000533658156089,0.0005428225632893,1.717280452989377,201.0
Accident Reporting,0.0008753600407644,0.0008896782914009,1.6356984520331428,265.0
Feasibility Studies,0.0012812088844071,0.0013020943788526,1.6301396828952892,322.0833333333333
Infographics,0.0008216507064903,0.0008285438708357,0.8389409624978407,248.1875
Regression Analysis,0.0002202190629889,0.0002215549733809,0.6066279521257139,72.5625
Web Platforms,0.0003194253605828,0.0003210711589981,0.5152372411185985,102.72916666666667
Customer Communications Management,0.0023414125919762,0.0023525954553667,0.4776118241109039,624.2708333333334
Overcoming Obstacles,0.0020409527075034,0.0020458453029192,0.2397211556060359,566.8958333333334
