,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Beauty and Body Treatments and Alterations,0.0,4.509284445263385e-37,inf,0.7916666666666666
Skill subcat: Funeral and Mortuary Services,0.0,2.695902238535476e-40,inf,0.3194444444444444
Skill subcat: Religious Studies and Services,0.0,2.185098650298678e-07,inf,1.0138888888888888
Skill subcat: Aquaculture,0.0,2.9883890020013715e-41,inf,0.16666666666666666
Skill subcat: Construction Painting,0.000325162476776,0.0007002129798078,115.34249177532472,7.527777777777778
Skill subcat: Commercial Lending,0.0005313654239732,0.0008100804566744,52.45260984750437,10.88888888888889
Skill subcat: Power Tools,0.0024187957256921,0.003142353016484,29.913947800815873,21.444444444444443
Skill subcat: Digital Design,0.0017794322877683,0.0022787659255111,28.061401446696593,26.416666666666668
Skill subcat: Coaching and Athletic Training,0.0008931754579443,0.001104966451159,23.712137557177215,12.76388888888889
"Skill subcat: Water Supply, Testing, and Treatment",0.0016996350943494,0.0020597166170554,21.185813584523263,16.34722222222222
Skill subcat: Student Support and Services,0.002348639691911,0.0027563215466024,17.35821190859994,16.319444444444443
Skill subcat: Online Advertising,0.003082650476965,0.0036120732910945,17.174273181004256,40.59722222222222
Skill subcat: Augmented and Virtual Reality (AR/VR),0.001515186428546,0.0017747404372263,17.130169845130713,16.25
Skill subcat: Blockchain,0.0020843100244869,0.0024115000262629,15.697760790482446,21.5
Skill subcat: Retail Sales,0.0050633855087824,0.0058519093917864,15.5730564389441,57.208333333333336
Skill subcat: Infectious Diseases,0.0041352931052251,0.0047696133171635,15.339183844959189,19.76388888888889
Skill subcat: Test Automation,0.0238700003030293,0.0275290542030703,15.329090295724205,220.93055555555554
Skill subcat: Recruitment,0.0113379387862407,0.0130569002229773,15.161145858563527,100.02777777777777
Skill subcat: Manufacturing Design,0.0017453761749513,0.0020058653748281,14.924530517558374,14.694444444444445
Skill subcat: Agriculture and Crop Farming,0.0011639070045361,0.001331660732642,14.41298380816616,12.472222222222221
Skill subcat: Employee Relations,0.0052758608671564,0.0060272581950029,14.242174817841443,44.583333333333336
Skill subcat: Hospitality Services,0.0020657773557969,0.0023464108929264,13.584887855508606,10.88888888888889
Skill subcat: Medical Imaging,0.0030179816144487,0.0034185727499169,13.27347832572455,21.98611111111111
Skill subcat: Streaming Media Systems,0.0018637919552882,0.0020963308004141,12.47665247540691,21.48611111111111
Skill subcat: Hematology,0.0005401656449434,0.0006069286902478,12.359735560634471,4.902777777777778
Skill subcat: Vehicle Repair and Maintenance,0.0087113712774884,0.0097823341418189,12.293849386238922,75.97222222222223
Skill subcat: Electronic Hardware,0.0062226347931704,0.0069824375310683,12.210305813412262,39.52777777777778
Skill subcat: Higher Education,0.0027582279721267,0.0030949991694132,12.2096940749548,26.11111111111111
Skill subcat: Financial Regulation,0.0099052082810776,0.0110756117101243,11.816040570116815,68.63888888888889
Skill subcat: Roofing,0.0006550464821128,0.0007268610867646,10.963283768835415,6.736111111111111
Skill subcat: Data Collection,0.0163608650140548,0.0180989959523709,10.623710524003211,130.56944444444446
Skill subcat: Geospatial Information and Technology,0.0074476485844288,0.0082015337844801,10.122459344114166,69.73611111111111
Skill subcat: Internet of Things (IoT),0.0111840428631284,0.012295038810658,9.933759742573377,121.59722222222223
Skill subcat: Other Programming Languages,0.0509751253396407,0.0559681356066991,9.794993604803553,534.6388888888889
"Skill subcat: Molecular, Cellular, and Microbiology",0.0016693587023231,0.0018326277121683,9.780343171182608,12.069444444444445
Skill subcat: Physical Therapy,0.0028728679015108,0.0031396613272504,9.286658310996389,22.51388888888889
Skill subcat: Architectural Design,0.0258851125682137,0.0279792952522251,8.090297766690055,217.5
Skill subcat: Wireless Technologies,0.0210685764998024,0.0227701839411972,8.076518322966713,179.52777777777777
Skill subcat: Java,0.0621073914333378,0.0669917344032537,7.8643505341203275,734.875
Skill subcat: Graphic and Visual Design Software,0.0079150913835545,0.0085335036201642,7.81307765940139,77.15277777777777
Skill subcat: Training Programs,0.0128689694618312,0.0138508765948121,7.630037011846169,140.41666666666666
Skill subcat: Version Control,0.0446824888511505,0.0480693171694967,7.57976649337652,402.8333333333333
Skill subcat: JavaScript and jQuery,0.008817074406076,0.0094706199740523,7.412272346549896,121.88888888888889
Skill subcat: Underwriting,0.0039143777558001,0.0041900182051687,7.041743709077952,38.31944444444444
Skill subcat: Cloud Computing,0.1216596930172527,0.1302235467352545,7.039187347601923,1097.6944444444443
Skill subcat: Advertising,0.0031568424975599,0.0033778360676538,7.000462337437435,34.19444444444444
Skill subcat: Application Programming Interface (API),0.0650274602386055,0.0695205904318187,6.909588928625743,628.9305555555555
Skill subcat: Roads and Drainage,0.0007610519832525,0.0008130940215505,6.8381713001506705,6.569444444444445
Skill subcat: Genetics,0.0014663349144148,0.00156248483472,6.557159579302003,10.708333333333334
Skill subcat: Metal Fabrication,0.0014089241464261,0.0014997251772652,6.444706840281464,10.152777777777779
Skill subcat: Medical Science and Research,0.0052960611844147,0.0056329368336414,6.360871551447718,45.875
Skill subcat: Web Analytics and SEO,0.0082789991722187,0.0087976498087453,6.264653803409013,100.41666666666667
Skill subcat: Cash Management,0.0038331223247002,0.0040622073411186,5.976459841685796,27.055555555555557
Skill subcat: Business Solutions,0.1635496886560607,0.1729533656349992,5.749737010330904,1585.111111111111
Skill subcat: Content Development and Management,0.0162298336983892,0.0171595012156266,5.728139514637601,165.23611111111111
Skill subcat: C and C++,0.0274156761961114,0.0289365086126808,5.547309523538627,262.69444444444446
Skill subcat: Integrated Development Environments (IDEs),0.0105012791017238,0.0110560084410731,5.282493056091054,106.86111111111111
Skill subcat: Health Care Administration,0.0179070033225971,0.0187901477510294,4.9318381893515735,159.40277777777777
Skill subcat: Financial Accounting,0.0113398512353727,0.0118582551264675,4.571522856293989,82.31944444444444
Skill subcat: Microsoft Development Tools,0.0236138247278866,0.0246620428135797,4.439001719425875,227.08333333333334
Skill subcat: Home Health Care and Assisted Living,0.003233900495431,0.0033732963282144,4.310455222117833,25.069444444444443
Skill subcat: Software Quality Assurance,0.1149027050514135,0.1196465189368451,4.128548482221508,1021.4722222222222
Skill subcat: Supplier Management,0.0319270753223531,0.0332433326810524,4.122699449948519,299.3888888888889
Skill subcat: HVAC,0.0093784836952981,0.0097332245695313,3.7824971046337494,62.916666666666664
Skill subcat: Education Administration,0.0042304287415302,0.0043892845332638,3.755075464907602,27.97222222222222
Skill subcat: Merchandising,0.0114547162479572,0.0118770030666698,3.686575988190975,92.15277777777777
