,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Operating Systems,0.0081493752684626,0.0099735235737653,22.383903614820664,62.333333333333336
Creativity,0.0053620048263452,0.0064272990388854,19.867460903915603,45.44444444444444
Aluminum,0.0098313253266355,0.0116947061214836,18.953505584844592,73.94444444444444
Transmission,0.0082241854345267,0.0097028007804313,17.978866815150976,64.375
Lean Six Sigma,0.0089385624639208,0.0101921607455479,14.02460727535402,61.013888888888886
Molding (Manufacturing Process),0.00967891955696,0.0110083666372753,13.735490542013135,87.94444444444444
Negotiation,0.0106760452925672,0.0121097986912583,13.429630161735057,76.02777777777777
Cost Reduction,0.0061818240724963,0.007010915442934,13.411759388728486,47.333333333333336
Coordinate Measuring Machine (CMM),0.0137022240490963,0.0152785951002338,11.504490406004306,103.84722222222223
Electrical/Electronic Troubleshooting,0.0113528466195302,0.0124867063172065,9.987448396649109,71.54166666666667
Press Brake,0.0049647086126374,0.0054221778238338,9.214422172369526,48.861111111111114
Field Service Management,0.0161015497685832,0.0174762912893579,8.537945356396992,104.25
Plastic Materials,0.0077910627895139,0.0084265658144167,8.15682073257235,59.875
Metal Inert Gas (MIG) Welding,0.0207176169590877,0.0223866446785747,8.05607962915295,145.41666666666666
Adaptability,0.0078727420844233,0.0084930527148519,7.879219511787677,56.55555555555556
Pneumatic Tools,0.0088309439526783,0.0094185209261141,6.653614569228427,60.56944444444444
Material Handling,0.0180439297105632,0.0190878246591861,5.785297135201042,103.11111111111111
Snow Removal,0.0054671064600015,0.0057792051422763,5.708662974796263,49.791666666666664
Loading And Unloading,0.0254555767971737,0.0268428497719875,5.449780163566469,167.48611111111111
Product Inspection,0.0151760878475409,0.0159175834344048,4.885946854768964,111.83333333333333
Instrumentation,0.0119968516658377,0.0125363606796947,4.49708831020482,81.25
Hoisting,0.01548511905605,0.016170551176979,4.426392321867247,101.48611111111111
Printed Circuit Board,0.0077662027752012,0.0080818389376499,4.064227674515265,51.013888888888886
Kaizen Methodology,0.0131373386689814,0.0135479429367019,3.1254752432467856,80.73611111111111
Process Control,0.0089255146014178,0.009192003755985,2.985700729511641,71.625
Inventory Control Systems,0.0113835940472226,0.0117205210127715,2.9597591424222047,83.125
Process Improvement,0.0533735040622973,0.0549217673690111,2.9008088075062033,348.52777777777777
Standard Operating Procedure,0.0386863201528927,0.0396463122710611,2.4814769519933693,232.58333333333334
Injection Molding,0.0127035618688622,0.0129735959645465,2.1256565557899343,108.09722222222223
General Mathematics,0.0568723765936304,0.0578872273753402,1.7844353313405705,370.0833333333333
Continuous Improvement Process,0.0636196983299902,0.0645971936018282,1.5364663736187538,410.4861111111111
Blueprint Reading,0.0337693863750261,0.0342049179879162,1.289723206851626,198.18055555555554
Computer Science,0.0109644989836394,0.0111058625897465,1.2892846843073587,60.56944444444444
Tooling,0.0708826655564257,0.0716835623340171,1.1298908855986158,454.47222222222223
Computer Literacy,0.1059265709205549,0.1070015495856386,1.0148338190706998,756.7083333333334
Network Switches,0.0188601827239843,0.0190326675211243,0.9145446768161649,121.55555555555556
Operational Excellence,0.0100455902941929,0.0101306025434799,0.8462643488073052,56.05555555555556
Calibration,0.017861934453438,0.0180093322898553,0.8252064567896223,127.15277777777777
Complex Problem Solving,0.0035219214340198,0.0035500070341227,0.7974510683744555,43.43055555555556
Supervision,0.0514057995989289,0.0517906575469679,0.7486663976471165,410.7638888888889
Data Collection,0.0124114067157278,0.0124878050609096,0.6155494452130678,77.97222222222223
CNC Milling,0.0149582269012552,0.0150451112127771,0.5808463268772075,85.43055555555556
SolidWorks (CAD),0.0089101711892496,0.0089466039195666,0.40888922943431194,58.125
Research,0.024287894246203,0.0243866158150868,0.40646409228842123,143.61111111111111
Performance Management,0.0191457047954543,0.0192162413269107,0.3684196127015731,116.40277777777777
Customer Service,0.1454646939692377,0.1455193551786782,0.03757695970684382,1001.3333333333334
Facility Repair And Maintenance,0.018833358433545,0.0188365422138364,0.01690500556571209,118.41666666666667
Consulting,0.0102850032874801,0.0102855473267377,0.005289636205199773,62.611111111111114
Troubleshooting (Problem Solving),0.2369989790589294,0.2369507456064836,-0.020351755369288217,1418.0833333333333
Relationship Building,0.0072453893981483,0.0072394265538432,-0.08229846565077227,46.583333333333336
Cycle Counting,0.0071081011836969,0.0070975619251833,-0.1482710817028404,43.68055555555556
Production Line,0.0361768745445241,0.0361034621610284,-0.2029262738143515,253.01388888888889
Business Metrics,0.0094950360749064,0.0094712527178855,-0.2504820080015819,56.888888888888886
Lifting Ability,0.1211432775510062,0.1208249785505458,-0.26274590459746056,852.4305555555555
Plant Safety,0.0160573017254412,0.0160069294318723,-0.31370335085058765,106.68055555555556
Teamwork,0.0625820545741707,0.0623343120735082,-0.39586827621466875,399.0138888888889
Housekeeping,0.0769689256716356,0.0766171237796144,-0.45707003047185685,479.4166666666667
Automation,0.042223339089279,0.0420218840582161,-0.47711771595546376,255.98611111111111
Finance,0.0145214618538526,0.0144346765640043,-0.5976346646207272,87.63888888888889
Microsoft Excel,0.0856091112778938,0.0850533845937403,-0.649144321040283,567.7777777777778
English Language,0.0859128571843062,0.085260025270045,-0.759876851564488,626.9861111111111
SAP Applications,0.0322610186213186,0.0320022382531364,-0.8021456830603417,222.04166666666666
Multitasking,0.0507341161999489,0.050233046999443,-0.9876375859808671,350.68055555555554
Good Manufacturing Practices,0.088768116247992,0.087696717584071,-1.2069633886651714,586.5833333333334
Sensors,0.0100432863012131,0.0099169727893319,-1.2576910394951402,64.625
Technical Drawing,0.0085078164559438,0.0083954847435126,-1.3203353999570742,47.25
Manufacturing Engineering,0.013616847287767,0.0134293262106528,-1.3771255060094962,81.125
Punctuality,0.0074973399605002,0.0073936720824152,-1.3827287895596942,56.19444444444444
Packaging And Labeling,0.1079203070968609,0.1063915106391156,-1.4165975791499275,721.7361111111111
Detail Oriented,0.1185386689016564,0.1168460837220169,-1.42787597947783,889.6388888888889
Management,0.2668356424404691,0.2622118873996272,-1.7328101293190057,1752.1527777777778
Production Part Approval Process,0.0067823640718621,0.006664751283842,-1.7340972376879422,48.791666666666664
Quality Assurance,0.0820388921263195,0.0805827766077558,-1.7749088034022253,547.25
Machining,0.0947719907937996,0.0928877412148836,-1.988192463969286,594.2638888888889
Electricity,0.0140317102695857,0.0137165906485241,-2.245767729003321,103.125
Calculations,0.0100778214303678,0.0098495138556002,-2.265445725001959,56.47222222222222
Production Schedule,0.0167764229928745,0.016394195877982,-2.2783588316463232,130.18055555555554
Scheduling,0.076969362498402,0.0751916788142771,-2.309599074777065,520.8194444444445
Professionalism,0.0348945900039882,0.0340061467406215,-2.546077381236336,235.09722222222223
Auditing,0.104310919185351,0.1015882172181104,-2.6101792492141764,674.7638888888889
Communications,0.3361312438279531,0.3273512379543488,-2.6120766917157905,2125.1111111111113
Forecasting,0.0099342164762467,0.0096746664756211,-2.6126871831935485,77.16666666666667
Automotive Services,0.0177837361597019,0.017304916806372,-2.692456461510643,96.41666666666667
Preventive Maintenance,0.0870046945107529,0.0846599715424794,-2.6949384529862654,547.4166666666666
Organizational Skills,0.0568005304144643,0.0552453513755642,-2.7379656977711386,381.3611111111111
Equipment Maintenance,0.0308010198171913,0.0299549829139443,-2.7467821139311495,174.25
Occupational Safety and Health Administration (OSHA),0.0248651608344113,0.0241621443426783,-2.8273152802618764,173.95833333333334
Bandsaws,0.0092797419527161,0.00901380927556,-2.8657335355997056,53.5
