,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill cat: Architecture and Construction,0.0729093296650632,0.2836434490908858,289.0358756470676,22807.520833333332
Skill cat: Energy and Utilities,0.0163412680567086,0.0466108599250707,185.23404526086023,4869.5625
"Skill cat: Transportation, Supply Chain, and Logistics",0.2131056412145703,0.5474405359937711,156.8869284143295,71423.47916666667
"Skill cat: Maintenance, Repair, and Facility Services",0.1275766799786311,0.3135086423952133,145.7413395988401,37811.8125
Skill cat: Engineering,0.0925077673324286,0.1317351190477061,42.40438705467097,26699.729166666668
"Skill cat: Law, Regulation, and Compliance",0.3423371812500747,0.3512591190582057,2.6061842816932135,103402.64583333333
Skill cat: Human Resources,0.0908575162155995,0.0873293617321943,-3.88317293974127,24874.520833333332
Skill cat: Environment,0.0195760288691132,0.018801547833388,-3.956272443729213,5106.1875
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0087590350029035,0.0075279453786341,-14.055082824321527,2370.0416666666665
Skill cat: Physical and Inherent Abilities,0.6668046987362147,0.5453392387028426,-18.21604740692197,208063.1875
Skill cat: Analysis,0.1582887131436771,0.1138419385802942,-28.07956024194789,48741.979166666664
Skill cat: Sales,0.2650780508068857,0.1880739535835257,-29.049593879599982,89651.27083333333
"Skill cat: Economics, Policy, and Social Studies",0.0591149486024685,0.040768314652514,-31.035523811972638,16164.0
Skill cat: Media and Communications,0.5487514224409799,0.3658886675985464,-33.32342247588452,175135.0625
Skill cat: Customer and Client Support,0.3238961712299685,0.195684303975637,-39.58424910287075,103861.4375
Skill cat: Business,0.5307028647865718,0.3128417982691814,-41.05142085581274,166759.95833333334
Skill cat: Public Safety and National Security,0.0411279255624667,0.0225089123038126,-45.270975873496994,11785.8125
Skill cat: Information Technology,0.3364102610515735,0.1809596996219543,-46.208626616709466,107251.25
Skill cat: Finance,0.243382510163254,0.1178754898054786,-51.56780586805062,76778.33333333333
Skill cat: Administration,0.2960546221612858,0.1263854069571635,-57.31010513042734,94490.25
Skill cat: Hospitality and Food Services,0.1078836595961085,0.0418728486006958,-61.187033553127435,30925.979166666668
Skill cat: Education and Training,0.1277221301708208,0.0330094734120029,-74.15524359963722,36268.8125
Skill cat: Design,0.045718080832257,0.0104520173149023,-77.13811007672977,13492.854166666666
Skill cat: Social and Human Services,0.0297618444396161,0.0060240515117468,-79.75914589578271,8308.1875
Skill cat: Science and Research,0.1358651082437245,0.024801747279885,-81.74531518762429,39988.520833333336
"Skill cat: Performing Arts, Sports, and Recreation",0.0083972925613488,0.001528619631441,-81.79627992864084,2382.6875
Skill cat: Marketing and Public Relations,0.1488467518103065,0.024423630345055,-83.59142537676536,48126.25
Skill cat: Health Care,0.2495136928397096,0.0316679291933266,-87.30813975260651,73994.20833333333
Skill cat: Personal Care and Services,0.0067247720628271,0.0004623409544196,-93.1248085422061,1762.3125
Skill cat: Property and Real Estate,0.0145751216413234,0.0008303204805794,-94.30316603173125,4716.583333333333
