,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Middle Management,0.0003691083888078,1.7743014712783667e+17,4.8069930813798725e+22,62.9375
Spock (Testing Framework),0.0015973222005321,12490616809308.145,7.819722786766044e+17,51.166666666666664
Audiology,0.002008715598549,225756281.23364103,11238837463835.488,138.14583333333334
Behavioral Medicine,0.000185858364055,4044.016501326012,2175859201.187699,16.875
Business Process Discovery,0.0002175163252046,1519.6558811925752,698639820.3660498,17.458333333333332
Visual Impairment Education,0.0018426509074231,1441.3334306144382,78220545.31095073,98.91666666666667
Use Case Diagrams,0.0016300495295266,773.3369718280217,47442444.40247681,58.520833333333336
Information Governance,0.0004646780131788,59.91136773538335,12892992.859190326,105.08333333333333
Mantoux Testing,0.0002114396004222,16.632485325005106,7866205.692875678,13.104166666666666
Business Proposals,0.0006518762642969,13.31455629318265,2042397.4834056043,190.25
Physical Design,0.0012704587261164,23.01012152620449,1811066.396293955,81.72916666666667
Phased Implementation,0.000143093300864,1.3585628823803724,949324.5182530171,8.4375
Technical Report,0.0002753025895418,1.3903531133998266,504927.25590553344,54.520833333333336
Student-Centred Learning,0.0009523716026963,4.6912215741411,492483.1010563084,202.89583333333334
Java Object Oriented Querying,0.000207714277776,1.0126760320041093,487433.183971197,17.416666666666668
Rapid Prototyping,0.0007009885585285,3.037752164563565,433252.60292127286,204.1875
School Counseling,0.0021019989176084,5.869916494298968,279154.02078596724,173.89583333333334
Labor Relations,0.001614224499284,4.022258327969441,249075.8940440775,413.9791666666667
Chemical Hazards,0.0002454165866443,0.5730967165289171,233419.96063719506,68.97916666666667
IntelliJ IDEA,0.0018151635104094,3.302571602124421,181843.4768925883,130.85416666666666
Lock Out / Tag Out,0.0017399034383585,3.1449306605939453,180653.1723462199,466.8541666666667
Document Processor,0.0002303750640567,0.3768596654355383,163485.26778001693,14.25
Java 8,0.0022205751269165,3.5705905093997257,160695.7535919022,209.95833333333334
Internet Information Services,0.0001709600596243,0.2540131400055397,148480.3997517059,67.97916666666667
Social Security,0.0036585905335498,5.014173922708547,136952.066273278,243.8125
Offensive Security Certified Professional,0.0003451359055223,0.4610270775486855,133478.41655188132,99.375
Garbage Disposal Unit,0.0004968432646878,0.644162169004783,129550.98146385326,125.83333333333333
Digital Communications,0.0008124585598712,0.9894250466453116,121681.60161204607,223.3125
Project Schedules,0.0051600560047372,5.621838918245213,108849.18413839058,1444.1041666666667
SAP HANA,0.0004183043766323,0.4284094398629537,102315.72017773466,141.58333333333334
Cancer,0.0003594181868861,0.3680424396606294,102299.503722738,104.75
Good Clinical Practices (GCP),0.0013081609975037,1.27057247298056,97026.61326894257,371.3541666666667
Salesforce Service Cloud,0.0003381954454952,0.2944066197374986,86952.2130498878,55.5
Object-Oriented Analysis And Design,0.0020584719271331,1.7756215140243603,86159.20473432569,170.33333333333334
HTML5,0.0032532984930641,2.72581641862418,83686.23801152922,1244.4791666666667
Design Strategies,0.0006399289654563,0.5321005589405715,83049.94126905294,173.72916666666666
Metadata Management,0.0005998874254212,0.4556122794663546,75849.62990705376,139.27083333333334
Stamping (Metalworking),0.001241895746292,0.8682589742543916,69813.99856604733,303.7916666666667
Project Planning,0.0079505594365235,5.142336828518464,64578.93070386284,2302.0
Bench Grinders,0.0002097906208826,0.1256577859885374,59796.760617747634,22.666666666666668
Dynatrace,0.0008581169787926,0.4340650037029041,50483.43028169054,177.0625
Tire-Pressure Monitoring Systems,0.0002412137763796,0.1213751512198009,50218.49881940071,15.166666666666666
Nursing Process,0.0055175131756606,2.6534528426083166,47991.46363824722,1573.6875
Marketing Materials,0.0045786608342786,2.0856294649574325,45451.08011808082,1427.3958333333333
Talent Analytics,0.0003849091729744,0.1566663454039142,40602.15947135506,85.45833333333333
Amazon S3,0.0023371429381015,0.7778628250950269,33182.6380626466,575.8125
AWS CloudFormation,0.0014394556471539,0.4489219683580694,31086.926060950926,361.9791666666667
Data Structures,0.0041473205785159,1.263025205934389,30354.004748925316,907.4583333333334
Biotechnology,0.0041763538174447,1.2490140557793918,29806.806520133403,716.8333333333334
DOT (Department Of Transportation) Inspections,0.0006677870111098,0.1916801404468281,28603.783879874136,146.33333333333334
Environmental Policy,0.0005584921219843,0.1540265103920963,27478.994282828255,110.0
Real Estate Finance,0.0003005518817529,0.0819723124355854,27173.930862618683,104.45833333333333
Apache Flume,4.101746311620465e-05,0.0107255696501868,26048.78843140711,51.479166666666664
Residual-Current Devices,0.0002350873452056,0.0579342934399519,24543.731200964638,17.041666666666668
Interactive Design,0.0002752371857866,0.0663631971397466,24011.275861976028,80.625
Electrical Power Transmission And Distribution,0.0002657484958806,0.0613366038622725,22980.69652813044,72.45833333333333
Sample Preparation,0.0004622142850172,0.0997146189682607,21473.244748277328,105.33333333333333
Educational Leadership,0.0007458683953542,0.1540782928713577,20557.570937589946,163.66666666666666
Health Care Industry,0.0011248170265628,0.2273818830339135,20115.01076746178,302.4791666666667
Process Safety,0.0004170162509524,0.0834059671865794,19900.65153242666,88.27083333333333
Atlassian Confluence,0.0033755063336713,0.5911792539395464,17413.794835531015,766.5625
Cost Estimation Models,0.0003863278116693,0.0640151756847745,16470.170138196532,67.60416666666667
Device Management,0.0002893233586446,0.0476416419841419,16366.572974726214,68.6875
Exhibitions,0.0003431680324449,0.0556381829795768,16113.101955675382,78.70833333333333
Workforce Development,0.0009041523147466,0.1333388288991842,14647.385669919351,178.5625
Defibrillation,0.000262254764491,0.0367671372392525,13919.62603448307,70.45833333333333
Critical Illness Insurance,0.0007020080281681,0.0965364393798246,13651.472277566088,51.416666666666664
Music Instruction,0.000455127548457,0.0595365442156653,12981.28774395432,282.1041666666667
LTE (Telecommunication),0.0006011564939392,0.0786057570062471,12975.75611321553,149.3125
Commodity Market,0.0003282703301091,0.0424605719378405,12834.635891013608,60.708333333333336
Business Process Improvement,0.0046610594364105,0.6008885548181491,12791.673299083603,626.4375
Employee Assistance Programs,0.008080052026613,1.034815025488633,12707.03418839751,601.625
AC Motors,0.0002565509629388,0.0327154392092233,12652.023549031674,87.125
Ear Piercing,0.0007894518168409,0.0944624367912377,11865.573424004791,141.29166666666666
End-User Training And Support,0.0024154230719982,0.2797210053440377,11480.62157254438,672.5
Protocol Independent Multicast,0.0006229528294107,0.0710402720485306,11303.796354169088,159.77083333333334
Mechanical Systems,0.0022992760456593,0.2456926111292487,10585.650885333265,620.9583333333334
Critical Care Registered Nurse (CCRN),0.0003470112827954,0.0364798354440468,10412.579058000123,768.7916666666666
Carbon Footprint Reduction,0.0001770187856719,0.0170077562566674,9507.88211946661,14.333333333333334
Hemodialysis,0.0017015351346836,0.1541658874553978,8960.399889072223,352.9166666666667
Clinical Practices,0.0031750777144341,0.2864799337473397,8922.769189081078,806.7083333333334
Pressure Ulcer,0.0002129930570761,0.019061355365276,8849.284839113603,53.770833333333336
Life Annuities,1.0402802072569069e-05,0.0008820649095074,8379.108833891,57.291666666666664
Partner Relationship Management,0.0007512974336963,0.0599459510575416,7878.990526110834,223.77083333333334
Preventive Action,0.0006425195885576,0.0511938113590827,7867.6654643336715,148.70833333333334
Cultural Responsiveness,0.0005419186582893,0.0430377020668209,7841.727306950462,113.60416666666667
Standard Cost Accounting,0.0006479860631919,0.0503752710739277,7674.128786934905,189.54166666666666
Medical Surveillance,0.0003536243636964,0.0274600049931922,7665.303472350016,145.29166666666666
Pediatric Home Health Care,0.0002549640351573,0.019669909358704,7614.778026072835,18.833333333333332
Recruitment Planning,0.0008175216214917,0.0595964130432031,7189.888300991947,220.0
Economics,0.0117394156965343,0.8537933531234561,7172.877758094145,3547.1875
Sensory Processing Disorder,9.471829948066532e-05,0.0065730012000892,6839.526190956305,50.9375
Laboratory Information Management Systems,0.0007118176248416,0.0448761228401312,6204.441091932422,158.20833333333334
Account Development,0.0007641073181879,0.0480140471335231,6183.6784821521715,290.625
Code Of Federal Regulations,0.0021942573628689,0.1360444190784112,6100.021081416757,320.5
Copy Editing,0.000747299073447,0.0443709420411681,5837.507969400016,198.27083333333334
Inventory Management Information System,0.0007209235183243,0.0420225946624899,5728.994837089845,74.25
Materials Management,0.0020636905275173,0.1174111043554534,5589.375552675697,545.3958333333334
Control Systems,0.0030044830663095,0.1580301522415574,5159.811713156724,929.7708333333334
Turnaround Time,0.0004904696864486,0.0257482687180944,5149.716634789977,195.52083333333334
Program Management,0.0138391071496244,0.7167244536918215,5078.979004518176,3752.9375
Powerapps,0.0003379545672621,0.0171995014007459,4989.293966371184,60.333333333333336
Hearing Disorders,0.0004741648619956,0.0237081194236118,4899.973917053306,64.125
Electronic Benefits Transfer (EBT),0.0003564949688153,0.0175235296269667,4815.505451647941,50.916666666666664
Organizational Awareness,0.0004096151156209,0.019962130661281,4773.387211558866,104.60416666666667
Valuation Models,0.0002796929813983,0.0133718768713968,4680.912557957408,77.45833333333333
Systems Development,0.0026410192513538,0.1255430852621933,4653.584632063522,313.5208333333333
Program Process Monitoring,0.0003982751345168,0.0189159534924232,4649.468860357711,110.35416666666667
Full Cycle Accounting,0.0001919405823207,0.0091138461585706,4648.264305743804,81.33333333333333
Registered Representative (Securities),2.025075675507194e-05,0.000940856982223,4546.033694456163,59.0625
Cyber Defense,0.0002631598521758,0.012041442380016,4475.714069018361,50.958333333333336
Cisco Adaptive Security Appliance (ASA),0.0002157603357214,0.0094939511195022,4300.230045878888,96.125
Radiology Certified Coder,0.0002336470212251,0.0102439086403923,4284.352339130882,53.958333333333336
Test Tools,0.0013316961282403,0.0563126092228818,4128.638052533287,343.7083333333333
Employee Retention,0.002264953660606,0.0952197411134408,4104.0480902361705,305.3333333333333
Continuous Quality Improvement (CQI),0.003345992367111,0.1398084793916525,4078.38608258291,744.1666666666666
Medigap,0.0004066517685606,0.0169518201800064,4068.633088701349,51.583333333333336
DevOps,0.0123987640679014,0.5032199187199502,3958.6296824754777,3099.3125
Medicaid Managed Care,0.0001710990422782,0.0061420933754701,3489.7882850117358,55.25
Elasticsearch,0.001529290382754,0.0545874425013605,3469.462223587486,427.7291666666667
Chassis,0.0003464640789871,0.0123571258556781,3466.6398351611497,114.3125
Instagram,0.0019995825942028,0.0700733703374781,3404.399895289905,526.8541666666666
Design Thinking,0.0020455740009168,0.0714604524860595,3393.4181043575954,516.9375
Master Of Laws,0.0004052192809282,0.0140084805826109,3357.012349097238,110.89583333333333
Java Message Service (JMS),0.0006414924906119,0.0213979472956218,3235.6504727297674,240.5625
Hemodynamics (Fluid Mechanics),0.0005726075514135,0.0189154657529719,3203.3909011989917,125.35416666666667
Automated Dispensing Machines,0.0004762369183618,0.0153744263748471,3128.3146858360647,120.6875
High-Performance Liquid Chromatography,0.0008954769390272,0.0278841028757061,3013.8828550959615,216.33333333333334
Procurement,0.016599024305035,0.5139828220012144,2996.4640605129266,4433.25
Customer Demand Planning,0.0018368045980702,0.0563687207520752,2968.846888302534,295.25
System Testing,0.0034579648505848,0.1046920653906894,2927.563029536989,687.2916666666666
Diversification (Investing),0.0002427285704859,0.0071738907033792,2855.519693877952,61.520833333333336
Tax Laws,0.0009765757665382,0.0288407642527905,2853.2541397198756,395.6875
Security Testing,0.0004191453544197,0.0123309378280234,2841.924012278601,123.625
Input/Output,0.0002664437778413,0.0077918358331906,2824.382733317794,59.979166666666664
AWS CLI (Command Line Interface),0.0002303688850955,0.0067197224304334,2816.940118735098,33.791666666666664
Fertilizers,0.0003547802811319,0.0102054452298664,2776.553679169172,108.33333333333333
Institutional Research,0.0003055318712064,0.0086324862005681,2725.3963052962426,58.875
Site Reliability Engineering,0.0007992358132741,0.0222125081952433,2679.218326597367,179.16666666666666
Coupa (Spend Management Software),0.0004250195123331,0.0117408916515132,2662.43591430963,95.95833333333333
Plant Design,0.0003713072086368,0.0101735040967751,2639.9155901458607,48.1875
Pathophysiology,0.0003300839521358,0.0089814822882711,2620.969083821447,61.4375
Knockout.js,0.000125869637278,0.0033965182630024,2598.4412893005588,93.0625
Inside Sales,0.0051492853353214,0.1382231504195298,2584.3171706060134,2150.6041666666665
Student Learning Outcomes,0.0004340463063297,0.0116406179658857,2581.883890297071,93.33333333333333
Workplace Safety,0.0031969926403199,0.0831299577844611,2500.254900059541,450.625
Psychology,0.0142225847018491,0.3649867300960853,2466.2475404251436,3867.2916666666665
Sustainable Business,0.0002749199362417,0.0070117132511725,2450.4564518042253,53.6875
Functional Design,0.0011778252421837,0.0299412451390334,2442.0787453597127,342.2291666666667
CompTIA Certification,0.0004676378789037,0.0118244289018328,2428.5438659402926,93.60416666666667
eClinicalWorks (ECW),0.0032148273084476,0.0776621707726014,2315.7493800220172,354.7291666666667
Google Applications,0.0004230951171485,0.0100498904090815,2275.3264932041607,130.02083333333334
Hazardous Waste Disposal,0.0003668660959734,0.008632122018746,2252.9353389395465,80.83333333333333
SQL Server Management Studio,0.0001650981196608,0.0036674027641957,2121.347385258239,59.4375
Application Lifecycle Management,0.0012538961912132,0.0271538769444146,2065.560206235416,349.2083333333333
Employability Development,0.0002630092984619,0.0056374913059515,2043.4570332379926,26.0625
Risk Control,0.0018612010482621,0.0384301227003985,1964.8023348301194,287.7291666666667
Commercial Roofing,0.0001495449623691,0.0030728279220795,1954.7853123231846,65.54166666666667
Procurement Cards,0.0006634378838124,0.013491078516346,1933.5104228327225,178.16666666666666
Marketing Mix,0.0004831825664436,0.009766565737449,1921.2992801736386,125.91666666666667
Professional Hair Care,0.0004624205238612,0.0092124487567698,1892.2231564996462,76.66666666666667
LAMP (Software Bundle),0.0002246715869883,0.0043875560077112,1852.8753352953731,98.8125
Facility Operations,0.0017275927512375,0.0335968393302636,1844.7198598279422,358.8958333333333
Trustworthiness,0.0089188248764679,0.1708595701067735,1815.7184099172334,2044.0
CNOR Certification,0.0001241341704901,0.0023644857122485,1804.7823036261182,622.9375
Certified Nurse Practitioner,0.0010713507379726,0.0202811254125996,1793.0425577508956,79.39583333333333
Economic Development,0.0004486376639643,0.0083775855728181,1767.338889648984,86.20833333333333
Virtual Teams,0.0047334283723867,0.0883877281121633,1767.3088754820692,931.8333333333334
Model Validation,0.0003038376544104,0.0055683565541744,1732.674941155615,64.1875
Easement,0.0003296264366587,0.0060315438564616,1729.8119281939598,74.10416666666667
Material Safety Data Sheet,0.0014859642867423,0.0265972925645029,1689.9011976130673,443.5625
Cloud Strategy,0.0004313073124988,0.007709233125678,1687.410716737952,123.875
Sales Order,0.0004209979311478,0.0075122412283045,1684.3891079994814,128.29166666666666
Maintainability,0.0006940706916763,0.012111371315996,1644.976622877557,112.0625
Cryptography,0.0007396478446781,0.0125912727787061,1602.333464405066,195.77083333333334
Data Architecture,0.002400732344188,0.0398112966778704,1558.2980095324112,674.7708333333334
Mechanical Failure,0.0009739307604807,0.0158144286778102,1523.773405617122,175.47916666666666
Agile Coaching,0.0003191472787323,0.0051621750322893,1517.4899102364966,103.27083333333333
Invasive Procedures,0.0007366031637491,0.0118911064797047,1514.3165092018287,110.77083333333333
Educational Administration,0.0002578868742141,0.0040987707287327,1489.3677183934005,57.416666666666664
Program Assessment Rating Tool,0.0002570921727281,0.0040403481854292,1471.5562798180797,54.375
Advising,0.0084509547797988,0.1320158383433672,1462.1411045641662,2152.25
Regulatory Process,0.000316810663757,0.0049120381316087,1450.464897032737,93.6875
Barber License,0.0014786553278724,0.0224155769800118,1415.9433410533213,271.2083333333333
Operability,0.0005488777629926,0.008208968621277,1395.591400263682,101.77083333333333
Machinery Design,0.0002579195765802,0.0037451779437664,1352.0719960168817,64.25
Catering Sales,0.0006795738698906,0.0098094138210042,1343.4654208501793,129.8125
Battery Testing,0.0007294523549117,0.0104164260692198,1327.9789487389762,126.16666666666667
Illness Prevention,0.0006511627399578,0.0092914290078779,1326.8981373965057,67.89583333333333
Chemical Process,0.000428327418722,0.0061014932753089,1324.4928082152476,95.625
Certified Loss Control Specialist,0.0009233094910081,0.0130313540536969,1311.3744286835863,108.625
Over-The-Road Driving,0.0004144885677865,0.0057928205115845,1297.582698726769,523.9375
Health Technology,0.0017248581612097,0.0239612056989053,1289.1696278435159,384.875
Oracle SQL Developer,0.0010005897795639,0.0138255145510153,1281.736535130416,308.0625
Fashion Knowledge,0.0001750700974865,0.0024103439780607,1276.7879338997718,89.3125
Motion Graphics,0.0004375884310765,0.0059884681810526,1268.5161114338705,127.95833333333333
Supply Inventory,0.0019074324704887,0.025881139544009,1256.857448136973,477.3125
Nuclear Safety,0.0002733798640568,0.0036974747855326,1252.5044349149202,59.895833333333336
Continuous Monitoring,0.0006628809019328,0.0089138688937853,1244.7165045477427,144.58333333333334
Force.Com,0.0003546122282083,0.0047117058708177,1228.6924409301625,167.60416666666666
Conversational AI,0.0002664892663167,0.0035291542598015,1224.3138489515738,18.9375
Microsoft Azure Certification,0.000365380982227,0.0047935115926382,1211.9214808120853,67.25
