,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
"Skill cat: Performing Arts, Sports, and Recreation",0.0016500400037713,0.0020245287419281,22.695736909461317,18.47222222222222
Skill cat: Human Resources,0.090316432752477,0.0926190449147371,2.549494141969367,717.0694444444445
"Skill cat: Agriculture, Horticulture, and Landscaping",0.005089563206327,0.005174916286272,1.6770217106036707,33.763888888888886
Skill cat: Design,0.0793693298509977,0.0803723169039289,1.2636960080350104,714.0555555555555
Skill cat: Information Technology,0.8761413948139958,0.8784299547019265,0.26120896712300784,7804.208333333333
Skill cat: Business,0.8208306751500372,0.8174784932932392,-0.40838895990153395,7161.75
Skill cat: Environment,0.0368519578862683,0.0365249640651241,-0.88731736358041,264.5833333333333
Skill cat: Public Safety and National Security,0.1287150174264936,0.1274972242623872,-0.9461158367180219,1073.1944444444443
Skill cat: Media and Communications,0.6666526534454315,0.6597158209662076,-1.0405467440011686,5775.111111111111
Skill cat: Health Care,0.1310124802260426,0.1291526720321531,-1.419565670904524,1064.3194444444443
Skill cat: Education and Training,0.1582407581816963,0.1558904679888909,-1.485262216771452,1290.1527777777778
Skill cat: Marketing and Public Relations,0.1255323119145445,0.1229168405885766,-2.083504466761011,1169.0833333333333
Skill cat: Physical and Inherent Abilities,0.8210586411147841,0.8019025306959479,-2.333098935884437,6989.097222222223
Skill cat: Manufacturing and Production,0.1309322538934643,0.1277420855997337,-2.436502999731704,1046.8472222222222
"Skill cat: Transportation, Supply Chain, and Logistics",0.1917538451351884,0.1857356597133417,-3.138495302456034,1496.5416666666667
Skill cat: Finance,0.275054604401194,0.2655187291135907,-3.466902620431795,2250.847222222222
Skill cat: Administration,0.3468211262493951,0.3339680188761481,-3.7059759052868353,2851.5416666666665
"Skill cat: Maintenance, Repair, and Facility Services",0.0703099889354633,0.0676227880002499,-3.8219333780296045,510.1111111111111
Skill cat: Analysis,0.2458989207596066,0.2342786220776165,-4.725640375359855,2061.7083333333335
Skill cat: Engineering,0.1943901234415506,0.1837827979557314,-5.456720381685756,1350.0
Skill cat: Customer and Client Support,0.2900190490448301,0.2713418259589514,-6.439998733666511,2453.75
"Skill cat: Economics, Policy, and Social Studies",0.055283718390419,0.0516270478677106,-6.6143715169168535,445.1666666666667
"Skill cat: Law, Regulation, and Compliance",0.3473931802363023,0.3237769395401551,-6.798130199355977,2732.0833333333335
Skill cat: Property and Real Estate,0.0070554291820788,0.0065405613657298,-7.297469835808065,60.791666666666664
Skill cat: Sales,0.1980963906946415,0.1822133626438001,-8.017828086188873,1844.0833333333333
Skill cat: Science and Research,0.1690419057607839,0.153337350894171,-9.290332356307477,1400.5277777777778
Skill cat: Energy and Utilities,0.0196784979866824,0.0177280998464078,-9.911316105500276,126.27777777777777
Skill cat: Social and Human Services,0.0239631707363286,0.0187909844339141,-21.583897887825728,169.61111111111111
Skill cat: Hospitality and Food Services,0.0221726384973101,0.0140268191411809,-36.738159768930615,167.95833333333334
Skill cat: Personal Care and Services,0.0001826658111202,0.0001100528960118,-39.75178204563872,2.7777777777777777
Skill cat: Architecture and Construction,0.0560942121634588,0.0111107102700543,-80.1927688409677,403.6666666666667
