,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Aquaculture,4.019430832641653e-05,0.0097325493798027,24113.750117964504,10.791666666666666
Skill subcat: Climate Change,0.0001420891785875,0.0212560931874647,14859.684754863283,19.666666666666668
Skill subcat: Environmental Regulations,0.003301686022784,0.1618858333284094,4803.126227366294,871.3125
Skill subcat: Robotics,0.0014637997571199,0.0668696010997751,4468.220535255753,372.9583333333333
Skill subcat: Logistics,0.0090108898509306,0.3081802279500638,3320.0865069750735,2617.6458333333335
Skill subcat: Digital Design,0.0032152057368805,0.1088335202734104,3284.9628664511,1012.875
Skill subcat: General Repairs and Maintenance,0.0157755443681628,0.4770067878286804,2923.7104767766054,4273.0
Skill subcat: Computer-Aided Manufacturing,0.0026672177828528,0.0768475688639887,2781.1883813174854,843.625
Skill subcat: Library and Archiving,0.0041145284049641,0.0841431502411171,1945.0253822430782,1107.7708333333333
Skill subcat: Electronics Manufacturing,0.0004513535789469,0.0080004060706586,1672.536309410724,132.6875
Skill subcat: Food Science and Processing,0.004630389502055,0.0808166558806074,1645.3532979188979,1622.7291666666667
Skill subcat: Government Assistance,0.0024364122165867,0.036248086960079,1387.7649485299692,508.8125
"Skill subcat: Welding, Brazing, and Soldering",0.0058693437659444,0.083401379383179,1320.9660007835544,1735.6041666666667
Skill subcat: Presentation Design,0.0017620292911211,0.024451783346994,1287.705838387989,577.75
Skill subcat: Product Inspection,0.0030393089843955,0.0411242480677079,1253.0788833530612,1048.0833333333333
"Skill subcat: Engineering, Scientific, and Technical Instruments",0.0094353444088937,0.1171658340184508,1141.7759113065442,2819.0625
Skill subcat: Occupational Health and Safety,0.1006565045555513,1.1803420502430677,1072.6435916435476,28043.520833333332
Skill subcat: Electromechanical Engineering,0.0020563878611489,0.0224776874390542,993.066530090095,627.8958333333334
Skill subcat: Metal Fabrication,0.0034174707910001,0.0363982153670611,965.0629542442822,1085.75
Skill subcat: Production and Assembly,0.0091191492763303,0.0906340850333698,893.887502956224,2864.8958333333335
Skill subcat: Manufacturing Processes,0.0196239363100185,0.1943353683157266,890.297589869947,5617.291666666667
Skill subcat: Plant Operations and Management,0.0148822657596852,0.1393666263712085,836.4610780486189,4606.3125
Skill subcat: Circuitry,0.0027216906073122,0.0245837479263746,803.2528480763739,908.9375
Skill subcat: Power Tools,0.0099729394939458,0.0878113031107799,780.4956970217946,2881.8333333333335
Skill subcat: Equipment Repair and Maintenance,0.0180551456864978,0.1565683413753692,767.1674219303358,4912.916666666667
Skill subcat: Manufacturing Standards,0.0140243142691874,0.1209200430244491,762.2171516087643,4303.770833333333
Skill subcat: Hand Tools,0.0120041703810321,0.0986555181469683,721.8437011095309,3781.9375
Skill subcat: Electronic Hardware,0.0033718680608846,0.026043157242357,672.3658450480608,1019.875
Skill subcat: Drafting and Engineering Design,0.0220619573141447,0.1664077695804561,654.2747327942939,6476.25
Skill subcat: Machinery,0.0498612416120834,0.3623160255600509,626.6486229501494,14250.104166666666
"Skill subcat: Elements, Compounds, and Materials",0.0038198268136782,0.0271156604935691,609.8662273502081,1025.9791666666667
Skill subcat: Telecommunications Equipment and Installation,0.0010632487334743,0.0074067999734548,596.6196845823782,359.6041666666667
Skill subcat: Construction Inspection,0.0069249207654878,0.0472757784586719,582.6905326380544,1886.3541666666667
Skill subcat: Transportation Equipment Manufacturing,0.0002312501313884,0.0015749730321808,581.0690323611224,62.229166666666664
Skill subcat: Automation Engineering,0.0092505420772514,0.0604052542255211,552.9915081848827,2649.2291666666665
Skill subcat: Oil and Gas,0.0042018542815101,0.0272454555562741,548.4150503782437,1358.1666666666667
Skill subcat: Manufacturing Design,0.0023349913449752,0.0150590136021026,544.9280265860061,543.8958333333334
