,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,0.2255609631538391,4.133769940250515,71411.58333333333
Skill cat: Architecture and Construction,0.0712326180296085,0.0738869309425354,3.726260505859292,22095.9375
Skill cat: Administration,0.2979274098916702,0.3083560168743133,3.500385206730406,93349.64583333333
Skill cat: Sales,0.2632694786212897,0.2719194442033767,3.2855937677948264,87691.125
Skill cat: Property and Real Estate,0.0158432707072756,0.0159741397947073,0.8260231731797738,4773.083333333333
Skill cat: Media and Communications,0.5200549014262643,0.5239892601966858,0.7565275819209458,160138.79166666666
Skill cat: Finance,0.2474089649969461,0.2480007261037826,0.23918337269783757,76336.79166666667
Skill cat: Business,0.5336737912362421,0.5336823165416718,0.0015974750061941098,164215.91666666666
Skill cat: Marketing and Public Relations,0.1522460395718468,0.1510864421725273,-0.7616601407698689,47948.125
Skill cat: Information Technology,0.3484055324070972,0.3435253351926803,-1.4007232263793672,108767.22916666667
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.122763991355896,-3.6873368314864123,37639.479166666664
Skill cat: Physical and Inherent Abilities,0.6800306258302887,0.6415862143039703,-5.653335315505736,204630.66666666666
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3120217770338058,-7.155954311740896,99668.64583333333
Skill cat: Health Care,0.2593042004777219,0.2373432144522667,-8.469197947814187,75751.4375
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.0076251712162047,-8.624333766345185,2380.7291666666665
Skill cat: Science and Research,0.137828604238614,0.1256729364395141,-8.819408617136949,39599.395833333336
Skill cat: Engineering,0.0923176389338343,0.0834501720964908,-9.60538737748586,26350.416666666668
Skill cat: Analysis,0.15862969765762,0.1433315500617027,-9.643936678828078,47999.25
Skill cat: Energy and Utilities,0.0160792392820165,0.014425880741328,-10.282566928011732,4726.333333333333
Skill cat: Education and Training,0.1308780307497347,0.1155133135616779,-11.739722167303421,36544.125
Skill cat: Customer and Client Support,0.36293667006475,0.3183772265911102,-12.277470740471102,105940.1875
Skill cat: Hospitality and Food Services,0.1143774289812188,0.1002924181520938,-12.314502043438843,30992.458333333332
Skill cat: Manufacturing and Production,0.1236541742138638,0.1080371029675006,-12.629635308026863,36398.979166666664
Skill cat: Public Safety and National Security,0.0424567898715632,0.0364230833947658,-14.211405278284284,11864.9375
Skill cat: Design,0.0494627083818093,0.0422551315277814,-14.571739174473914,14479.458333333334
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0076829593162983,-15.705532938136487,2382.75
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.0493737328797578,-20.265495139418057,16240.583333333334
Skill cat: Personal Care and Services,0.0072353641154025,0.005594142479822,-22.683331611282703,1868.4166666666667
Skill cat: Human Resources,0.095887122440244,0.0726038813591003,-24.28192700813773,24659.770833333332
Skill cat: Environment,0.0195210151756944,0.0139097608625888,-28.744684959274906,5110.729166666667
Skill cat: Social and Human Services,0.0356723944243313,0.025287389755249,-29.112160360054034,8481.6875
