,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill cat: Environment,0.0195210151756944,0.0200750382217586,2.838085217791416,5110.729166666667
Skill cat: Information Technology,0.3484055324070972,0.3522344048044198,1.098970033819304,108767.22916666667
Skill cat: Manufacturing and Production,0.1236541742138638,0.1239194828360952,0.2145569479705161,36398.979166666664
Skill cat: Public Safety and National Security,0.0424567898715632,0.0417970764725047,-1.5538466310199421,11864.9375
Skill cat: Administration,0.2979274098916702,0.291098937091221,-2.291992134235701,93349.64583333333
Skill cat: Media and Communications,0.5200549014262643,0.5068688025156595,-2.535520552626583,160138.79166666666
Skill cat: Physical and Inherent Abilities,0.6800306258302887,0.6601760967118147,-2.91965219863922,204630.66666666666
Skill cat: Sales,0.2632694786212897,0.25458542037129,-3.2985434906761855,87691.125
Skill cat: Analysis,0.15862969765762,0.1531590914306258,-3.4486645992364737,47999.25
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3235224663824232,-3.7338517345421782,99668.64583333333
Skill cat: Finance,0.2474089649969461,0.2374085494373517,-4.042058685997018,76336.79166666667
Skill cat: Business,0.5336737912362421,0.5120926210473211,-4.043887959895647,164215.91666666666
Skill cat: Marketing and Public Relations,0.1522460395718468,0.1460177650781532,-4.090927101426761,47948.125
Skill cat: Health Care,0.2593042004777219,0.2482141639515606,-4.276844148968619,75751.4375
Skill cat: Science and Research,0.137828604238614,0.1317335675832767,-4.422185575343531,39599.395833333336
Skill cat: Engineering,0.0923176389338343,0.0878101406852111,-4.882596977868763,26350.416666666668
Skill cat: Education and Training,0.1308780307497347,0.123947812017958,-5.295173446664,36544.125
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.1181713257508074,-7.290444310993041,37639.479166666664
Skill cat: Personal Care and Services,0.0072353641154025,0.0066158588173038,-8.562185512957251,1868.4166666666667
Skill cat: Social and Human Services,0.0356723944243313,0.0325128032313251,-8.857244499548148,8481.6875
Skill cat: Design,0.0494627083818093,0.0449269858657047,-9.169984144605973,14479.458333333334
Skill cat: Customer and Client Support,0.36293667006475,0.3239498738812182,-10.742038322161363,105940.1875
Skill cat: Hospitality and Food Services,0.1143774289812188,0.1008502895849989,-11.826755957629635,30992.458333333332
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.0543104062649427,-12.29317493861938,16240.583333333334
Skill cat: Energy and Utilities,0.0160792392820165,0.0140442912787243,-12.65574799653704,4726.333333333333
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.0071823017798183,-13.931426375404335,2380.7291666666665
Skill cat: Human Resources,0.095887122440244,0.0806155268257331,-15.926638766355744,24659.770833333332
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0075016286271731,-17.695023337928646,2382.75
Skill cat: Property and Real Estate,0.0158432707072756,0.0109184884187643,-31.084378847668898,4773.083333333333
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,0.1477305795784559,-31.797852022512252,71411.58333333333
Skill cat: Architecture and Construction,0.0712326180296085,0.0281372530677217,-60.49948205465901,22095.9375
