,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill subcat: Statistics,0.0126275122885873,0.014694197123433,16.366524043802062,3791.7083333333335
Skill subcat: General Repairs and Maintenance,0.0155456737386034,0.0163786745748865,5.358409357418653,4204.5625
Skill subcat: Basic Technical Knowledge,0.0981805546648946,0.1019562338144929,3.8456486240939176,33130.041666666664
Skill subcat: Medical Support,0.0185925924918849,0.0192527546157237,3.550672796851452,5562.375
Skill subcat: Merchandising,0.0586598160917643,0.0601212904826243,2.4914404582751306,19066.0
Skill subcat: Product Development,0.0370230879135205,0.0374052025421574,1.0320982126867855,10439.75
Skill subcat: HVAC,0.0136781735824454,0.0137656166206056,0.6392888468123028,4176.541666666667
Skill subcat: Emergency Services,0.0111933266432229,0.0112609411072823,0.604060492600177,2561.8541666666665
Skill subcat: Production and Assembly,0.0090888320634395,0.0090865974694215,-0.024586151470317102,2819.3958333333335
Skill subcat: Digital Marketing,0.015875550769256,0.0158513158654591,-0.15265551506932465,5116.1875
Skill subcat: Accounting and Finance Software,0.011871633618425,0.0118152621854129,-0.47484141461887863,3937.8958333333335
Skill subcat: Computer-Aided Manufacturing,0.0026384654985394,0.002616026986193,-0.8504379670236824,834.2708333333334
Skill subcat: Criminal Investigation and Forensics,0.0021518178781122,0.0021269847848865,-1.1540518125765395,712.8541666666666
Skill subcat: Computer Science,0.1076085409988996,0.1057285754083876,-1.747041241392932,31145.3125
Skill subcat: General Sales Practices,0.2172792227518085,0.2134504751606021,-1.7621324039712134,73819.5
Skill subcat: Communication,0.4804998495695234,0.4720031054632276,-1.7683135830131855,147280.85416666666
Skill subcat: Marketing Strategy and Techniques,0.1053577415499833,0.1031747223303614,-2.0720064681590022,33087.041666666664
Skill subcat: Risk Management,0.0347046932722847,0.0339736293679778,-2.1065274905937135,9720.354166666666
Skill subcat: Mathematics and Mathematical Modeling,0.0407749610622469,0.0398864365549672,-2.179093453757763,13171.729166666666
Skill subcat: Instructional and Curriculum Design,0.0169119337617925,0.0165074289807119,-2.391830448120948,4114.9375
Skill subcat: Writing and Editing,0.0650395052590812,0.0632655793632042,-2.7274590863055606,19145.375
Skill subcat: Immunology,0.0016342042459319,0.0015874185208452,-2.862905613124301,508.25
Skill subcat: Market Analysis,0.0325138721914041,0.0315722774420844,-2.895978503503609,9976.6875
Skill subcat: People Management,0.0785046292945843,0.0760598104373248,-3.1142352740568193,24228.291666666668
Skill subcat: Specialized Sales,0.0206246862029368,0.0199674104021026,-3.1868402474923894,8111.6875
Skill subcat: Machinery,0.0492183231146832,0.0475095155146383,-3.471893172921036,14052.270833333334
Skill subcat: Mechanical Engineering,0.0163471305751941,0.0157748921739695,-3.5005434048036492,4816.708333333333
Skill subcat: Content Management Systems,0.0043589313787056,0.0042053000723739,-3.5245176623386394,1537.5625
Skill subcat: Business Analysis,0.059236223814672,0.0571134290718896,-3.583609160205474,16219.979166666666
Skill subcat: Business Management,0.266558763061983,0.2569870097467271,-3.5908604936879036,82133.54166666667
Skill subcat: Safety and Security,0.0182895491631315,0.0176323662277276,-3.5932156093200156,5862.458333333333
"Skill subcat: Welding, Brazing, and Soldering",0.0057801060902405,0.0055713104410684,-3.612315170557924,1721.0208333333333
Skill subcat: Web Design and Development,0.0273702883866238,0.0263684356324509,-3.6603660875656563,8977.145833333334
Skill subcat: Administrative Support and Clerical Tasks,0.1020550205478047,0.098093550164149,-3.8817006379417305,31653.333333333332
Skill subcat: Construction Inspection,0.0068459364313444,0.0065784770375818,-3.9068343161649337,1857.25
Skill subcat: General Construction and Construction Labor,0.0206842715435605,0.0198647402030564,-3.962099118541297,6267.354166666667
Skill subcat: Personal Attributes,0.3470448261825568,0.3331193006717988,-4.012601387531624,105504.39583333333
Skill subcat: Business Solutions,0.0450024028164655,0.0431796419960372,-4.050363328069649,13014.875
