,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs
Skill cat: Personal Care and Services,0.0072353641154025,0.007649383,5.722156867214803,1868.4166666666667
"Skill cat: Transportation, Supply Chain, and Logistics",0.2166069309535808,0.22446151,3.626190081656459,71411.58333333333
Skill cat: Architecture and Construction,0.0712326180296085,0.07287196,2.3013922774958213,22095.9375
Skill cat: Sales,0.2632694786212897,0.26675072,1.3223110392215414,87691.125
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.1287092,0.9768881687104689,37639.479166666664
Skill cat: Information Technology,0.3484055324070972,0.34681022,-0.45788951629882535,108767.22916666667
Skill cat: Customer and Client Support,0.36293667006475,0.36084908,-0.5751940316137173,105940.1875
Skill cat: Manufacturing and Production,0.1236541742138638,0.12240614,-1.0092940426784802,36398.979166666664
Skill cat: Administration,0.2979274098916702,0.2942523,-1.2335588367000214,93349.64583333333
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.33148542,-1.3644247140567312,99668.64583333333
Skill cat: Media and Communications,0.5200549014262643,0.50468576,-2.955292101682737,160138.79166666666
Skill cat: Business,0.5336737912362421,0.5161916,-3.275819709216956,164215.91666666666
Skill cat: Physical and Inherent Abilities,0.6800306258302887,0.65626967,-3.494100843072703,204630.66666666666
Skill cat: Marketing and Public Relations,0.1522460395718468,0.14605618,-4.065694969310327,47948.125
Skill cat: Hospitality and Food Services,0.1143774289812188,0.10941348,-4.3399725150614366,30992.458333333332
Skill cat: Analysis,0.15862969765762,0.15146025,-4.519612508557041,47999.25
Skill cat: Finance,0.2474089649969461,0.23404306,-5.4023527389604,76336.79166666667
Skill cat: Public Safety and National Security,0.0424567898715632,0.03990342,-6.014043641281976,11864.9375
Skill cat: Property and Real Estate,0.0158432707072756,0.014831349,-6.387075787393447,4773.083333333333
Skill cat: Design,0.0494627083818093,0.04625671,-6.481647460672328,14479.458333333334
"Skill cat: Performing Arts, Sports, and Recreation",0.0083448597755846,0.007748695,-7.14409578611326,2380.7291666666665
Skill cat: Science and Research,0.137828604238614,0.1276381,-7.39360620743995,39599.395833333336
Skill cat: Engineering,0.0923176389338343,0.0853888,-7.505433429466624,26350.416666666668
Skill cat: Health Care,0.2593042004777219,0.23881373,-7.902097397563114,75751.4375
Skill cat: Energy and Utilities,0.0160792392820165,0.014728245,-8.402103223424831,4726.333333333333
Skill cat: Education and Training,0.1308780307497347,0.11847641,-9.47570854993158,36544.125
Skill cat: Human Resources,0.095887122440244,0.08673961,-9.539875853449093,24659.770833333332
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.00818444,-10.203480247999288,2382.75
Skill cat: Environment,0.0195210151756944,0.017308872,-11.332111346589892,5110.729166666667
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.053534962,-13.545453445953651,16240.583333333334
Skill cat: Social and Human Services,0.0356723944243313,0.027973332,-21.582690336816732,8481.6875
