,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Mechanical Failure,0.0001966195018252,0.0005170059209749,162.94742697218925,96.88888888888889
Environmental Social And Corporate Governance (ESG),0.0091201530997582,0.0180729176736723,98.16463030814099,28.65277777777778
Equipment Operation,0.0070855882787215,0.0121252347440306,71.12530769595374,108.63888888888889
Battery Testing,0.0002438334387082,0.0004112857440748,68.6748734110227,59.208333333333336
Package Delivery,0.0011974731693905,0.001844135434535,54.00223417729214,96.01388888888889
Cash Register,0.0020897466136865,0.0031046430580042,48.565526445683865,44.263888888888886
Upholstery,0.0023986550381943,0.003120637687922,30.099478175536493,45.638888888888886
Selling Techniques,0.0072365913969148,0.009377715645071,29.587469164958414,158.36111111111111
Folding Machines,0.0027139959987201,0.0034111072003421,25.685785902070325,43.763888888888886
Patience,0.0019097348054823,0.0023748763059356,24.356339902169264,70.47222222222223
Lifting Equipment,0.006022821387789,0.0074442166074821,23.600155611038296,152.38888888888889
Resourcefulness,0.0041071944374984,0.0050681460633298,23.39678923057496,55.236111111111114
Advocacy,0.0027568714364392,0.0033471200857239,21.410089766357423,50.72222222222222
Print Production,0.0030504714870878,0.0036893535730091,20.943716032934397,24.625
Supply Chain,0.018268317678946,0.0219327173913468,20.058769377674956,347.56944444444446
DOT (Department Of Transportation) Inspections,0.0063685850892349,0.0076200775232004,19.65102791954452,97.30555555555556
Security Policies,0.0006792107560862,0.0008020585120364,18.086839003858337,51.236111111111114
Customer Inquiries,0.0049504591553489,0.0057793626089976,16.743971167867965,47.06944444444444
Analytical Skills,0.0053276621297959,0.006213222138664,16.621925101358197,103.95833333333333
Business Process,0.0031702369519234,0.0036820011205512,16.142773438979383,51.458333333333336
Point Of Sale,0.0033807771593498,0.0039036486389043,15.466014318881053,41.40277777777778
Dollies,0.0178496086409058,0.0204086729188889,14.336808887330532,421.18055555555554
New Product Development,0.0025929356696036,0.002962012261147,14.233927816644327,44.291666666666664
Filing,0.0059039750103892,0.0067276426029917,13.95106840989496,128.31944444444446
Tire Maintenance,0.0028605693913558,0.0032574612046273,13.874573868784513,56.736111111111114
Machine Operation,0.0045283255174381,0.0051532385302056,13.800090350418198,123.38888888888889
Mobile Devices,0.0160284747537164,0.0181544286241307,13.26360681899175,209.44444444444446
Development Environment,0.0034857884327034,0.0039375497622337,12.96009032825715,79.58333333333333
Snow Removal,0.0031450654832583,0.0035193711520413,11.901363287203099,66.25
Data Analysis,0.0035179308166061,0.0039237320709522,11.535225548795587,56.55555555555556
Listening Skills,0.0027801733816102,0.0030554491728568,9.901389354615283,63.75
Project Management,0.0094130938934563,0.0103435821656261,9.885041865105034,146.72222222222223
Mentorship,0.0077613432670855,0.0085029326172094,9.55490982171669,115.93055555555556
Furniture Cleaning,0.0019953603716823,0.0021800115843321,9.254028258269944,53.458333333333336
Reconciliation,0.0039277076630003,0.0042756055173387,8.857529230488778,69.33333333333333
Finger Dexterity,0.0028790754272671,0.0031314585291202,8.766116353285994,48.916666666666664
Tape Measure,0.0032574614128989,0.003535435639,8.533461823995127,69.06944444444444
Accounts Receivable,0.0029751259040035,0.0032257176530065,8.422895604713377,65.0
Electrical Wiring,0.0028324717145433,0.0030668351425226,8.274166579527103,53.15277777777778
Spanish Language,0.0054586178698236,0.0059051818922238,8.180899140584664,161.69444444444446
Sales Management,0.0019236559288449,0.0020767316738321,7.957542858463139,44.388888888888886
Stocks (Inventory),0.004098675514932,0.0044086686792184,7.563252156874956,88.34722222222223
Operations Management,0.0079691974477331,0.0085393287551296,7.154187245776909,147.22222222222223
Mopping,0.0045170664964662,0.0048368635149254,7.079750070303032,100.94444444444444
Critical Thinking,0.0053952947717925,0.0057678394736843,6.904992547201061,93.65277777777777
Plasma Cutting,0.0001601428407754,0.0001711760851025,6.88962695658314,47.625
Typing,0.005079924352513,0.0054104662506026,6.506827172063767,97.09722222222223
Word Processing,0.0040423257949167,0.0043042487971952,6.479512428411197,56.72222222222222
Metal Inert Gas (MIG) Welding,0.002931030268594,0.0031193173725245,6.423922193775912,55.80555555555556
Doubles Endorsement,0.0032434305851544,0.0034489808610396,6.337434099130404,92.84722222222223
Pharmaceuticals,0.0038073501768696,0.0040478766414381,6.317424281846885,51.59722222222222
Ethical Standards And Conduct,0.0098925433860235,0.0104800338781789,5.938720400108897,183.625
Fleet Maintenance,0.0083257398667564,0.008811017802626,5.828646386217899,82.95833333333333
Food Manufacturing,0.0020474292574038,0.0021621028957621,5.600859611809463,46.40277777777778
Accounts Payable,0.0030238537750551,0.0031890821179432,5.464164446413731,69.69444444444444
Innovation,0.0087206244066957,0.0091921304113032,5.406791791714795,155.48611111111111
Equipment Maintenance,0.0065083812896218,0.0068551939450824,5.32870832281483,103.68055555555556
Natural Gas,0.0032568227430963,0.0034292420408614,5.29409523839111,18.555555555555557
Lean Manufacturing,0.0042929201221184,0.0044986643219536,4.792639834483412,89.30555555555556
Warehousing,0.2524057003031684,0.2639947632348952,4.591442632954401,6407.277777777777
Planning,0.0294397465298338,0.0306229377112901,4.019026387531121,438.8888888888889
Customer Relationship Management,0.0083276582079815,0.0086416451897341,3.7704114879698643,148.01388888888889
Unpacking,0.0021913152878825,0.0022705534445673,3.616008938694021,52.77777777777778
Microsoft Office,0.0299476602068831,0.0309709466228427,3.4169160758823223,541.0
Conveyor Systems,0.002959846463974,0.003060452905246,3.3990425684757284,62.27777777777778
Forecasting,0.004598815814271,0.0047511576971242,3.3126328386636996,73.26388888888889
Quality Assurance,0.0100496298649644,0.01033823098211,2.871758671946097,174.90277777777777
Negotiation,0.0041032641183454,0.0042193968890152,2.830253362209343,62.916666666666664
Supply Chain Management,0.0040207585759065,0.0041216152719844,2.508399700550571,62.375
Conflict Resolution,0.003254409233804,0.0033292257081625,2.2989264405155625,28.805555555555557
Stocking Merchandise,0.0071590107516521,0.0073117564627944,2.1336147750169285,123.625
Visual Acuity,0.0037998755358378,0.003875407658165,1.9877525359668473,63.625
Microsoft Word,0.0097744458954203,0.0099673048531472,1.973093511288061,196.33333333333334
Scheduling,0.0319061040999829,0.0325143427059478,1.9063393138155853,697.8472222222222
Bilingual (Spanish/English),0.007053358630619,0.0071868869711907,1.893117131348555,148.375
Standard Operating Procedure,0.0159379908150074,0.0161599212266969,1.3924616613565135,271.80555555555554
Staging Area,0.0074966228478112,0.0075972248323901,1.3419640633018204,148.76388888888889
Overhead Crane Operation,0.00315874961598,0.0031928570843379,1.0797775228955013,59.0
Industrial Equipment,0.0037865334621221,0.0038074510178264,0.5524196712783577,70.11111111111111
Inventory Management System,0.0098487762066275,0.0098673483350078,0.18857295556988285,216.70833333333334
Smartphone Operation,0.0118496982941572,0.0118702582391551,0.17350606308716604,389.2083333333333
Material Safety Data Sheet,0.0028738524735611,0.0028745575282345,0.024533433079324984,58.31944444444444
Warehouse Management Systems,0.0189523680170399,0.0189011954705831,-0.2700060826741718,344.5
Interpersonal Communications,0.0305279458764007,0.0304269879749573,-0.33070650037231053,475.0416666666667
Inventory Control,0.0300110390153686,0.0299026015276397,-0.3613253365648811,519.0833333333334
Automation,0.0063943879982696,0.0063668833431198,-0.4301374135764549,99.22222222222223
Auto Body Repairs,0.0013700590349724,0.0013611084155514,-0.6533017331753485,46.125
Enterprise Resource Planning,0.0028660276877347,0.0028464132422581,-0.6843773896721522,52.80555555555556
Rapport Building,0.00365863752264,0.0036311991344009,-0.7499619207781212,56.97222222222222
Management,0.1184908749989534,0.1173962968438452,-0.9237657795318593,2106.4444444444443
CDL Class C License,0.0042835372485866,0.0042392460737249,-1.0339859861453116,76.13888888888889
Presentations,0.0054851567125555,0.0054238635840801,-1.1174362317689182,79.95833333333333
Palletizing,0.0895127686243097,0.0885051158003203,-1.1257084765398846,1788.388888888889
Hoppers,0.0033589907530339,0.0033155530853695,-1.2931761608800667,55.56944444444444
Data Entry,0.0209411564909505,0.020622859606149,-1.5199584843322798,430.81944444444446
Quality Control,0.0148121597218953,0.0145701583858366,-1.6338018263533476,265.5
General Mathematics,0.0509859229043823,0.0499912982848311,-1.950782810024828,1089.7222222222222
Order Entry,0.005018031567964,0.0049063341021752,-2.225921943215668,73.40277777777777
Showrooms,0.0027523047711714,0.0026876300798203,-2.3498375626320582,51.94444444444444
Safety Standards,0.0225041579644101,0.0219118846053372,-2.631839680514018,326.0416666666667
Process Improvement,0.0120172046225362,0.0117002041855704,-2.637888318647085,197.54166666666666
Relationship Building,0.0025075391787824,0.0024406191710559,-2.6687522289878856,45.59722222222222
Honesty,0.0132397464301243,0.0128510024621281,-2.9361889221057353,150.47222222222223
HVAC,0.02266476653973,0.0219844642473709,-3.00158526304063,292.7638888888889
Nursing,0.0022829914485033,0.0022133926517375,-3.0485789515956285,55.72222222222222
Shipping And Receiving,0.0634303709339023,0.0613828808969967,-3.2279332546221307,1121.3472222222222
Continuous Improvement Process,0.004939901114626,0.0047719856879358,-3.3991657483393336,68.09722222222223
Enthusiasm,0.0110416641878282,0.0106625710092113,-3.4332974827725278,236.45833333333334
Calculations,0.0026892266018468,0.0025959173267705,-3.469743866590521,72.06944444444444
Coordinating,0.0297586969563799,0.0287093453168678,-3.5262015707550387,469.68055555555554
Lifting Ability,0.1706170978141111,0.1644641032144317,-3.6063177011621406,3362.75
Writing,0.0407533400807898,0.0392616193338631,-3.660364387236715,638.4583333333334
Report Writing,0.0035011770046049,0.0033713726031385,-3.7074504172646945,54.30555555555556
Merchandise Returns,0.0029410171658153,0.0028319708000094,-3.7077772640497533,58.236111111111114
Procurement,0.006239834682097,0.0059935240507647,-3.9473903377440682,91.98611111111111
Technical Training,0.0043085770348916,0.0041369546588537,-3.9832727753982953,64.02777777777777
Telephone Skills,0.0040352881551888,0.0038718708010964,-4.049707178464285,77.58333333333333
Business Requirements,0.0059185601228333,0.0056728209529256,-4.152009353755809,72.88888888888889
Warehouse Operations,0.0210655425448081,0.0201879088772933,-4.166204908551499,290.625
Merchandising,0.0523303101264498,0.0501318027692387,-4.201212169197314,1144.6805555555557
Positivity,0.0284259547562158,0.0272288035005611,-4.211472458609068,446.84722222222223
Food Safety And Sanitation,0.0184146394166273,0.0176190132880481,-4.320617474924858,288.9166666666667
Supervision,0.0058047523610287,0.0055477334603032,-4.427732394770958,115.77777777777777
Workflow Management,0.0101003783915258,0.0096526138522762,-4.433146184159529,168.83333333333334
Painting,0.0073040033096496,0.0069682869114451,-4.596334146795533,136.36111111111111
Invoicing,0.0330569717159128,0.0314646764303354,-4.816821393264236,514.6527777777778
Tooling,0.0028628493194421,0.0027201066916515,-4.986033558287914,76.86111111111111
Physical Inventory,0.0189866316287761,0.0180004555626134,-5.194054877369905,329.02777777777777
Bill Of Lading,0.0233789617790299,0.0221470309920352,-5.269399037641182,399.72222222222223
Self-Discipline,0.0047945733518407,0.0045358121709173,-5.396959477615631,64.34722222222223
Purchasing,0.0153009719790757,0.0144719529690478,-5.418080702073019,268.5833333333333
Troubleshooting (Problem Solving),0.0425674659619727,0.0402560573679961,-5.429988705556217,538.8472222222222
Good Driving Record,0.090805320034332,0.0858369454626214,-5.47145758622088,1688.0972222222222
Adaptability,0.0073942025164674,0.0069687983249682,-5.753212608821514,103.30555555555556
Grinding Machine,0.0034521527950328,0.0032521295471526,-5.794159753531406,55.013888888888886
Spreadsheets,0.0063132037980515,0.0059376573620107,-5.9485872475193675,96.55555555555556
Welding,0.0066019454109308,0.0062091981990415,-5.9489618202390915,88.72222222222223
Transmission,0.0178970139244496,0.0168266948391374,-5.980433885956842,315.7361111111111
